Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,9.82,9.86,9.82,9.84,9.84,23300
2021-11-18,9.84,9.89,9.834,9.84,9.84,584300
2021-11-19,9.84,9.89,9.84,9.89,9.89,800
2021-11-22,9.89,9.89,9.84,9.84,9.84,99100
2021-11-23,9.87,9.87,9.87,9.87,9.87,101000
2021-11-24,9.865,9.89,9.865,9.89,9.89,300
2021-11-26,9.88,9.88,9.88,9.88,9.88,100000
2021-11-29,9.88,9.88,9.87,9.87,9.87,12100
2021-11-30,9.85,9.85,9.85,9.85,9.85,176000
2021-12-01,9.85,9.85,9.85,9.85,9.85,400
2021-12-02,9.84,9.84,9.84,9.84,9.84,9500
2021-12-03,9.85,9.85,9.84,9.84,9.84,13300
2021-12-06,9.841,9.841,9.84,9.84,9.84,2000
2021-12-07,9.84,9.84,9.84,9.84,9.84,0
2021-12-08,9.831,9.85,9.83,9.85,9.85,336200
2021-12-09,9.85,9.86,9.85,9.85,9.85,136200
2021-12-10,9.86,9.86,9.85,9.86,9.86,189300
2021-12-13,9.85,9.852,9.85,9.852,9.852,65800
2021-12-14,9.852,9.852,9.852,9.852,9.852,0
2021-12-15,9.852,9.852,9.852,9.852,9.852,0
2021-12-16,9.84,9.85,9.84,9.85,9.85,22800
2021-12-17,9.85,9.86,9.85,9.85,9.85,26400
2021-12-20,9.85,9.85,9.85,9.85,9.85,300
2021-12-21,9.85,9.86,9.85,9.86,9.86,4000
2021-12-22,9.82,9.9,9.82,9.87,9.87,42300
2021-12-23,9.87,9.87,9.87,9.87,9.87,0
2021-12-27,9.87,9.87,9.87,9.87,9.87,0
2021-12-28,9.87,9.87,9.87,9.87,9.87,0
2021-12-29,9.87,9.87,9.87,9.87,9.87,0
2021-12-30,9.87,9.87,9.87,9.87,9.87,0
2021-12-31,9.87,9.87,9.87,9.87,9.87,200
2022-01-03,9.87,9.87,9.87,9.87,9.87,0
2022-01-04,9.87,9.87,9.87,9.87,9.87,0
2022-01-05,9.87,9.89,9.87,9.87,9.87,20800
2022-01-06,9.87,9.87,9.87,9.87,9.87,0
2022-01-07,9.87,9.87,9.87,9.87,9.87,2100
2022-01-10,9.87,9.87,9.87,9.87,9.87,48200
2022-01-11,9.87,9.87,9.87,9.87,9.87,0
2022-01-12,9.87,9.87,9.87,9.87,9.87,5700
2022-01-13,9.87,9.87,9.87,9.87,9.87,0
2022-01-14,9.87,9.87,9.87,9.87,9.87,17200
2022-01-18,9.86,9.86,9.86,9.86,9.86,200
2022-01-19,9.86,9.86,9.86,9.86,9.86,0
2022-01-20,9.86,9.86,9.86,9.86,9.86,0
2022-01-21,9.87,9.87,9.86,9.86,9.86,51100
2022-01-24,9.85,9.85,9.85,9.85,9.85,1000
2022-01-25,9.86,9.89,9.86,9.89,9.89,113600
2022-01-26,9.86,9.86,9.858,9.86,9.86,24200
2022-01-27,9.84,9.85,9.84,9.84,9.84,61700
2022-01-28,9.85,9.85,9.85,9.85,9.85,400
2022-01-31,9.85,9.85,9.85,9.85,9.85,0
2022-02-01,9.85,9.85,9.85,9.85,9.85,0
2022-02-02,9.9,9.92,9.9,9.9,9.9,21200
2022-02-03,9.83,9.9,9.83,9.9,9.9,200
2022-02-04,9.9,9.9,9.9,9.9,9.9,0
2022-02-07,9.9,9.9,9.9,9.9,9.9,0
2022-02-08,9.9,9.9,9.9,9.9,9.9,0
2022-02-09,9.88,9.89,9.87,9.87,9.87,5400
2022-02-10,9.87,9.87,9.87,9.87,9.87,0
2022-02-11,9.87,9.87,9.87,9.87,9.87,0
2022-02-14,9.87,9.87,9.87,9.87,9.87,0
2022-02-15,9.87,9.87,9.87,9.87,9.87,0
2022-02-16,9.87,9.87,9.87,9.87,9.87,500
2022-02-17,9.87,9.87,9.87,9.87,9.87,0
2022-02-18,9.87,9.87,9.87,9.87,9.87,0
2022-02-22,9.87,9.87,9.87,9.87,9.87,0
2022-02-23,9.87,9.87,9.87,9.87,9.87,0
2022-02-24,9.87,9.89,9.87,9.88,9.88,700
2022-02-25,9.88,9.88,9.88,9.88,9.88,0
2022-02-28,9.88,9.88,9.88,9.88,9.88,0
2022-03-01,9.885,9.92,9.87,9.92,9.92,13800
2022-03-02,9.91,9.93,9.89,9.93,9.93,14600
2022-03-03,9.9,9.94,9.9,9.92,9.92,46300
2022-03-04,9.94,9.94,9.93,9.94,9.94,1000
2022-03-07,9.94,9.94,9.94,9.94,9.94,0
2022-03-08,9.94,9.94,9.94,9.94,9.94,0
2022-03-09,9.94,9.94,9.94,9.94,9.94,0
2022-03-10,9.94,9.94,9.94,9.94,9.94,0
2022-03-11,9.92,9.93,9.91,9.93,9.93,800
2022-03-14,9.93,9.93,9.93,9.93,9.93,100000
2022-03-15,9.93,9.93,9.93,9.93,9.93,0
2022-03-16,9.93,9.93,9.93,9.93,9.93,5100
2022-03-17,9.93,9.93,9.93,9.93,9.93,2700
2022-03-18,9.92,9.93,9.9,9.93,9.93,56700
2022-03-21,9.93,9.94,9.93,9.94,9.94,10600
2022-03-22,9.94,9.94,9.94,9.94,9.94,1500
2022-03-23,9.94,9.94,9.94,9.94,9.94,0
2022-03-24,9.94,9.94,9.94,9.94,9.94,0
2022-03-25,9.94,9.94,9.94,9.94,9.94,0
2022-03-28,9.94,9.94,9.94,9.94,9.94,0
2022-03-29,9.94,9.96,9.925,9.94,9.94,44500
2022-03-30,9.93,9.95,9.93,9.95,9.95,1000
2022-03-31,9.95,9.95,9.95,9.95,9.95,0
2022-04-01,9.95,9.95,9.95,9.95,9.95,0
2022-04-04,9.955,9.96,9.94,9.94,9.94,41400
2022-04-05,9.96,9.96,9.96,9.96,9.96,1900
2022-04-06,9.96,9.96,9.96,9.96,9.96,0
2022-04-07,9.96,9.96,9.96,9.96,9.96,0
2022-04-08,9.96,9.96,9.96,9.96,9.96,0
2022-04-11,9.96,9.96,9.96,9.96,9.96,0
2022-04-12,9.96,9.96,9.96,9.96,9.96,0
2022-04-13,9.96,9.96,9.96,9.96,9.96,0
2022-04-14,9.96,9.96,9.96,9.96,9.96,0
2022-04-18,9.96,9.96,9.96,9.96,9.96,0
2022-04-19,9.96,9.96,9.96,9.96,9.96,0
2022-04-20,9.96,9.96,9.96,9.96,9.96,100
2022-04-21,9.97,9.97,9.97,9.97,9.97,266600
2022-04-22,9.97,9.97,9.97,9.97,9.97,0
2022-04-25,9.97,9.97,9.97,9.97,9.97,0
2022-04-26,9.96,9.96,9.96,9.96,9.96,200
2022-04-27,9.96,9.96,9.96,9.96,9.96,300
2022-04-28,9.96,9.96,9.96,9.96,9.96,0
2022-04-29,9.96,9.96,9.96,9.96,9.96,0
2022-05-02,9.96,9.96,9.96,9.96,9.96,2300
2022-05-03,10.01,10.01,9.98,9.98,9.98,400
2022-05-04,9.96,9.96,9.96,9.96,9.96,800
2022-05-05,9.96,9.96,9.96,9.96,9.96,0
2022-05-06,9.96,9.96,9.96,9.96,9.96,0
2022-05-09,9.96,9.96,9.96,9.96,9.96,0
2022-05-10,9.96,9.96,9.96,9.96,9.96,0
2022-05-11,9.96,9.96,9.96,9.96,9.96,0
2022-05-12,9.96,9.96,9.96,9.96,9.96,0
2022-05-13,9.96,9.96,9.96,9.96,9.96,0
2022-05-16,9.96,9.96,9.96,9.96,9.96,0
2022-05-17,9.96,9.96,9.96,9.96,9.96,0
2022-05-18,9.96,9.96,9.96,9.96,9.96,0
2022-05-19,9.96,9.96,9.96,9.96,9.96,0
2022-05-20,9.96,9.96,9.96,9.96,9.96,3300
2022-05-23,9.96,9.96,9.96,9.96,9.96,0
2022-05-24,9.96,9.96,9.96,9.96,9.96,0
2022-05-25,9.96,9.96,9.96,9.96,9.96,0
2022-05-26,9.96,9.96,9.96,9.96,9.96,0
2022-05-27,9.96,9.96,9.96,9.96,9.96,0
2022-05-31,9.96,9.96,9.96,9.96,9.96,0
2022-06-01,9.95,9.95,9.95,9.95,9.95,500
2022-06-02,9.95,9.95,9.95,9.95,9.95,0
2022-06-03,9.95,9.95,9.95,9.95,9.95,2400
2022-06-06,9.94,9.94,9.94,9.94,9.94,1100
2022-06-07,9.94,9.94,9.94,9.94,9.94,0
2022-06-08,9.95,9.95,9.95,9.95,9.95,100
2022-06-09,9.95,9.95,9.95,9.95,9.95,0
2022-06-10,9.95,9.95,9.95,9.95,9.95,0
2022-06-13,9.95,9.95,9.95,9.95,9.95,0
2022-06-14,9.95,9.95,9.95,9.95,9.95,0
