Date,Open,High,Low,Close,Adj Close,Volume
2022-04-26,9.96,9.99,9.96,9.97,9.97,6775800
2022-04-27,9.99,9.99,9.97,9.98,9.98,609300
2022-04-28,9.98,9.99,9.98,9.98,9.98,197400
2022-04-29,9.98,9.99,9.97,9.97,9.97,107500
2022-05-02,9.972,9.972,9.972,9.972,9.972,400
2022-05-03,9.97,9.99,9.97,9.985,9.985,15000
2022-05-04,9.985,9.985,9.985,9.985,9.985,0
2022-05-05,9.98,9.98,9.98,9.98,9.98,3800
2022-05-06,9.98,9.98,9.95,9.96,9.96,307700
2022-05-09,9.96,9.96,9.95,9.955,9.955,311800
2022-05-10,9.95,9.95,9.939,9.94,9.94,323900
2022-05-11,9.99,9.99,9.95,9.95,9.95,2600
2022-05-12,9.95,9.95,9.95,9.95,9.95,0
2022-05-13,9.95,10.0,9.888,9.91,9.91,64300
2022-05-16,9.91,9.91,9.88,9.88,9.88,941700
2022-05-17,9.87,9.91,9.87,9.91,9.91,300
2022-05-18,9.91,9.91,9.91,9.91,9.91,0
2022-05-19,9.88,9.88,9.88,9.88,9.88,800
2022-05-20,9.88,9.88,9.88,9.88,9.88,0
2022-05-23,9.91,9.91,9.91,9.91,9.91,500
2022-05-24,9.91,9.91,9.91,9.91,9.91,0
2022-05-25,9.92,9.92,9.92,9.92,9.92,100
2022-05-26,9.92,9.92,9.92,9.92,9.92,0
2022-05-27,9.92,9.92,9.92,9.92,9.92,0
2022-05-31,9.9,9.9,9.9,9.9,9.9,200
2022-06-01,9.948,9.948,9.948,9.948,9.948,200
2022-06-02,9.94,9.94,9.94,9.94,9.94,1500
2022-06-03,9.93,9.93,9.92,9.92,9.92,2000
2022-06-06,9.92,9.92,9.92,9.92,9.92,200
2022-06-07,9.92,9.92,9.92,9.92,9.92,0
2022-06-08,10.0,10.0,9.94,10.0,10.0,3700
2022-06-09,9.94,9.94,9.94,9.94,9.94,100
2022-06-10,9.93,9.93,9.93,9.93,9.93,800
2022-06-13,9.93,9.93,9.93,9.93,9.93,0
2022-06-14,9.93,9.93,9.93,9.93,9.93,0
2022-06-15,9.93,9.93,9.93,9.93,9.93,0
2022-06-16,9.93,9.93,9.93,9.93,9.93,0
2022-06-17,9.93,9.93,9.93,9.93,9.93,0
2022-06-21,9.93,9.93,9.93,9.93,9.93,0
