Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,19.4,19.74,17.02,17.700001,17.700001,11098400
2020-10-30,17.49,18.725,16.780001,18.299999,18.299999,2008600
2020-11-02,18.299999,19.799999,17.915001,19.75,19.75,1640600
2020-11-03,19.75,21.43,19.5,21.0,21.0,2075400
2020-11-04,21.110001,22.51,20.6,21.0,21.0,6056400
2020-11-05,21.0,24.43,21.0,22.75,22.75,1047800
2020-11-06,22.92,24.950001,22.4,24.0,24.0,1125800
2020-11-09,25.25,27.5,24.299999,26.219999,26.219999,1185800
2020-11-10,26.059999,26.690001,21.700001,21.84,21.84,1003000
2020-11-11,22.18,22.809999,21.639999,21.98,21.98,358400
2020-11-12,22.0,23.23,21.809999,21.950001,21.950001,372700
2020-11-13,22.129999,22.35,20.6,20.82,20.82,434800
2020-11-16,21.5,22.209999,20.690001,21.02,21.02,868000
2020-11-17,21.01,24.24,20.93,21.959999,21.959999,651900
2020-11-18,22.200001,22.51,21.5,21.6,21.6,324300
2020-11-19,21.67,23.93,21.67,22.530001,22.530001,507200
2020-11-20,22.73,23.771999,22.423,22.790001,22.790001,851800
2020-11-23,23.5,24.0,21.860001,21.860001,21.860001,1295400
2020-11-24,22.309999,25.530001,21.92,23.629999,23.629999,1171100
2020-11-25,24.200001,24.860001,23.83,24.0,24.0,606800
2020-11-27,25.6,25.9,25.0,25.41,25.41,500200
2020-11-30,26.0,26.5,23.709999,23.950001,23.950001,500900
2020-12-01,23.51,25.450001,23.129999,24.73,24.73,576200
2020-12-02,24.18,26.790001,24.030001,25.709999,25.709999,833800
2020-12-03,25.940001,28.559999,25.129999,27.120001,27.120001,745300
2020-12-04,28.0,29.48,27.0,28.0,28.0,754400
2020-12-07,28.42,28.42,26.5,27.74,27.74,384500
2020-12-08,28.110001,28.280001,26.540001,26.6,26.6,310600
2020-12-09,26.51,27.563,24.52,25.370001,25.370001,488200
2020-12-10,25.459999,27.790001,25.049999,26.52,26.52,1008500
2020-12-11,27.5,27.9,25.799999,26.08,26.08,559700
2020-12-14,26.65,27.200001,26.129999,26.799999,26.799999,303300
2020-12-15,27.77,27.969999,26.799999,27.370001,27.370001,540200
2020-12-16,28.0,28.209,26.25,26.52,26.52,876800
2020-12-17,26.99,27.23,25.000999,26.25,26.25,862500
2020-12-18,26.42,26.84,25.190001,25.360001,25.360001,3677300
2020-12-21,25.76,26.4,24.68,26.139999,26.139999,701500
2020-12-22,26.5,27.77,26.5,27.34,27.34,1130700
2020-12-23,27.77,27.77,24.09,24.809999,24.809999,1223700
2020-12-24,25.799999,25.799999,24.65,24.790001,24.790001,402800
2020-12-28,25.059999,26.16,24.51,26.030001,26.030001,503800
2020-12-29,26.4,26.58,25.6,26.58,26.58,572900
2020-12-30,26.68,28.0,25.35,25.58,25.58,687500
2020-12-31,25.719999,27.49,25.6,26.66,26.66,512400
2021-01-04,26.98,27.59,24.860001,25.52,25.52,1033300
2021-01-05,25.77,26.6,25.610001,26.16,26.16,618900
2021-01-06,25.82,28.27,25.32,28.07,28.07,694700
2021-01-07,28.25,31.152,28.16,29.940001,29.940001,1627500
2021-01-08,30.0,30.18,28.450001,29.190001,29.190001,544100
2021-01-11,28.82,30.33,28.719999,30.200001,30.200001,440000
2021-01-12,30.280001,31.9,30.200001,31.35,31.35,1172900
2021-01-13,31.92,33.330002,31.879999,32.950001,32.950001,910900
2021-01-14,33.0,34.470001,31.809999,33.369999,33.369999,927200
2021-01-15,33.299999,34.66,31.58,32.720001,32.720001,822600
2021-01-19,33.080002,33.5,31.58,32.290001,32.290001,702000
2021-01-20,32.490002,33.686001,32.209999,32.82,32.82,350300
2021-01-21,33.080002,34.57,32.564999,34.099998,34.099998,369300
2021-01-22,34.169998,34.330002,32.959999,33.5,33.5,448000
2021-01-25,34.200001,34.400002,31.51,31.85,31.85,520600
2021-01-26,32.889999,33.355999,30.68,30.82,30.82,992600
2021-01-27,30.92,30.92,28.65,29.35,29.35,831300
2021-01-28,30.0,30.356001,28.809999,29.49,29.49,426800
2021-01-29,30.0,30.049999,27.74,27.92,27.92,1076900
2021-02-01,29.280001,30.48,28.16,30.360001,30.360001,574300
2021-02-02,30.870001,32.040001,29.66,32.009998,32.009998,649500
2021-02-03,31.386,32.292999,28.5,29.02,29.02,1608800
2021-02-04,30.09,31.889999,29.620001,31.66,31.66,838300
2021-02-05,30.74,31.200001,28.860001,30.190001,30.190001,8651900
2021-02-08,30.5,31.24,30.01,30.84,30.84,3983500
2021-02-09,31.26,31.290001,30.02,30.459999,30.459999,2337400
2021-02-10,30.99,31.200001,30.280001,30.459999,30.459999,1670200
2021-02-11,30.559999,30.747999,29.445,30.540001,30.540001,1247000
2021-02-12,30.969999,31.0,29.809999,30.4,30.4,884000
2021-02-16,30.76,30.85,29.631001,30.49,30.49,795400
2021-02-17,30.440001,30.440001,29.914,30.299999,30.299999,815000
