Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,9.78,9.8,9.78,9.8,9.8,500100
2022-01-21,9.82,9.82,9.81,9.81,9.81,19500
2022-01-24,9.81,9.81,9.774,9.81,9.81,75300
2022-01-25,9.81,9.81,9.778,9.778,9.778,6600
2022-01-26,9.8,9.81,9.8,9.8,9.8,17700
2022-01-27,9.8,9.82,9.796,9.805,9.805,524600
2022-01-28,9.82,9.825,9.81,9.81,9.81,56700
2022-01-31,9.82,9.82,9.81,9.82,9.82,168500
2022-02-01,9.82,9.82,9.82,9.82,9.82,100
2022-02-02,9.8,9.82,9.8,9.82,9.82,42500
2022-02-03,9.81,9.82,9.8,9.8,9.8,296900
2022-02-04,9.82,9.85,9.82,9.84,9.84,420900
2022-02-07,9.85,9.85,9.85,9.85,9.85,180500
2022-02-08,9.83,9.85,9.83,9.83,9.83,161400
2022-02-09,9.84,9.85,9.83,9.83,9.83,11100
2022-02-10,9.84,9.84,9.82,9.82,9.82,123500
2022-02-11,9.83,9.84,9.81,9.81,9.81,349800
2022-02-14,9.81,9.84,9.81,9.83,9.83,143300
2022-02-15,9.84,9.84,9.82,9.82,9.82,86300
2022-02-16,9.83,9.83,9.83,9.83,9.83,64400
2022-02-17,9.83,9.84,9.83,9.83,9.83,3800
2022-02-18,9.84,9.84,9.83,9.83,9.83,2800
2022-02-22,9.84,9.84,9.84,9.84,9.84,3200
2022-02-23,9.85,9.85,9.83,9.84,9.84,19100
2022-02-24,9.84,9.84,9.84,9.84,9.84,0
2022-02-25,9.85,9.85,9.85,9.85,9.85,2200
2022-02-28,9.85,9.85,9.84,9.85,9.85,6500
2022-03-01,9.845,9.85,9.841,9.85,9.85,7100
2022-03-02,9.85,9.85,9.85,9.85,9.85,8000
2022-03-03,9.85,9.85,9.85,9.85,9.85,0
2022-03-04,9.86,9.86,9.86,9.86,9.86,1000
2022-03-07,9.87,9.87,9.86,9.86,9.86,1700
2022-03-08,9.86,9.86,9.86,9.86,9.86,1100
