Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,10.0,10.0,10.0,10.0,10.0,0
2022-12-20,10.04,10.05,10.03,10.03,10.03,2628500
2022-12-21,10.04,10.07,10.04,10.04,10.04,107500
2022-12-22,10.1,10.103,10.06,10.07,10.07,183000
2022-12-23,10.1,10.1,10.08,10.1,10.1,23000
2022-12-27,10.036,10.1,10.036,10.1,10.1,1900
2022-12-28,10.1,10.1,10.1,10.1,10.1,1200
2022-12-29,10.1,10.1,10.1,10.1,10.1,0
2022-12-30,10.06,10.1,10.06,10.1,10.1,4900
2023-01-03,10.13,10.13,10.112,10.112,10.112,5300
2023-01-04,10.13,10.13,10.1,10.117,10.117,13200
2023-01-05,10.117,10.117,10.117,10.117,10.117,0
2023-01-06,10.117,10.117,10.117,10.117,10.117,0
2023-01-09,10.117,10.117,10.117,10.117,10.117,0
2023-01-10,10.117,10.117,10.117,10.117,10.117,0
2023-01-11,10.12,10.17,10.12,10.16,10.16,36200
2023-01-12,10.18,10.18,10.15,10.15,10.15,8300
2023-01-13,10.16,10.16,10.14,10.14,10.14,400
2023-01-17,10.14,10.14,10.14,10.14,10.14,0
2023-01-18,10.15,10.15,10.15,10.15,10.15,33500
2023-01-19,10.18,10.2,10.18,10.2,10.2,13300
2023-01-20,10.22,10.22,10.2,10.2,10.2,20900
2023-01-23,10.18,10.22,10.18,10.22,10.22,25600
2023-01-24,10.23,10.23,10.23,10.23,10.23,27900
2023-01-25,10.24,10.27,10.23,10.26,10.26,148000
2023-01-26,10.27,10.69,10.27,10.28,10.28,17100
2023-01-27,10.28,10.28,10.28,10.28,10.28,0
2023-01-30,10.3,10.39,10.3,10.39,10.39,3200
2023-01-31,10.39,10.39,10.388,10.39,10.39,4400
2023-02-01,10.39,10.39,10.39,10.39,10.39,0
2023-02-02,10.39,10.39,10.39,10.39,10.39,300
2023-02-03,10.39,10.39,10.39,10.39,10.39,0
2023-02-06,10.39,10.39,10.28,10.29,10.29,9800
2023-02-07,10.29,10.29,10.29,10.29,10.29,200
2023-02-08,10.38,10.38,10.3,10.3,10.3,400
2023-02-09,10.55,10.55,10.38,10.38,10.38,19800
2023-02-10,10.309,10.4,10.28,10.29,10.29,3800
2023-02-13,10.28,10.292,10.27,10.27,10.27,11200
2023-02-14,10.285,10.285,10.27,10.27,10.27,900
2023-02-15,10.27,10.27,10.27,10.27,10.27,0
2023-02-16,10.3,10.3,10.27,10.27,10.27,1100
2023-02-17,10.27,10.27,10.27,10.27,10.27,0
2023-02-21,10.3,11.03,10.3,11.03,11.03,1500
2023-02-22,11.03,11.03,11.03,11.03,11.03,0
2023-02-23,10.35,10.5,10.35,10.5,10.5,600
2023-02-24,10.5,10.54,10.5,10.54,10.54,2700
2023-02-27,10.4,10.4,10.4,10.4,10.4,100
2023-02-28,10.93,10.93,10.93,10.93,10.93,100
2023-03-01,10.8,10.8,10.8,10.8,10.8,100
2023-03-02,10.8,10.8,10.8,10.8,10.8,0
2023-03-03,10.5,10.5,10.5,10.5,10.5,200
2023-03-06,10.5,10.5,10.5,10.5,10.5,0
2023-03-07,10.5,10.5,10.5,10.5,10.5,0
2023-03-08,10.29,10.29,10.29,10.29,10.29,100
2023-03-09,10.29,10.29,10.29,10.29,10.29,0
2023-03-10,10.32,10.32,10.32,10.32,10.32,100
2023-03-13,10.32,10.32,10.32,10.32,10.32,100
2023-03-14,10.35,10.35,10.35,10.35,10.35,100
2023-03-15,10.35,10.35,10.35,10.35,10.35,0
2023-03-16,10.31,10.31,10.31,10.31,10.31,100
2023-03-17,10.31,10.31,10.31,10.31,10.31,0
2023-03-20,10.31,10.31,10.31,10.31,10.31,0
2023-03-21,10.31,10.31,10.31,10.31,10.31,0
2023-03-22,10.3,10.373,10.3,10.373,10.373,900
2023-03-23,10.373,10.373,10.373,10.373,10.373,0
2023-03-24,10.3,10.3,10.3,10.3,10.3,700
2023-03-27,10.3,10.3,10.3,10.3,10.3,0
2023-03-28,10.3,10.3,10.3,10.3,10.3,0
2023-03-29,10.3,10.3,10.3,10.3,10.3,0
2023-03-30,10.33,10.35,10.33,10.35,10.35,3800
2023-03-31,10.35,10.35,10.35,10.35,10.35,0
2023-04-03,10.35,10.35,10.35,10.35,10.35,0
2023-04-04,10.4,10.4,10.4,10.4,10.4,400
2023-04-05,10.45,10.5,10.45,10.5,10.5,200
2023-04-06,10.5,10.5,10.41,10.41,10.41,600
2023-04-10,10.41,10.41,10.41,10.41,10.41,0
2023-04-11,10.51,10.51,10.51,10.51,10.51,200
2023-04-12,10.51,10.51,10.51,10.51,10.51,0
2023-04-13,10.51,10.51,10.51,10.51,10.51,0
2023-04-14,10.51,10.51,10.51,10.51,10.51,0
2023-04-17,10.41,10.41,10.36,10.36,10.36,1100
2023-04-18,10.36,10.36,10.36,10.36,10.36,0
2023-04-19,10.36,10.36,10.36,10.36,10.36,0
2023-04-20,10.36,10.36,10.36,10.36,10.36,0
2023-04-21,10.36,10.36,10.36,10.36,10.36,0
2023-04-24,10.5,10.5,10.5,10.5,10.5,1900
2023-04-25,10.39,10.433,10.39,10.433,10.433,600
2023-04-26,10.433,10.433,10.433,10.433,10.433,0
2023-04-27,10.39,10.39,10.39,10.39,10.39,500
2023-04-28,10.39,10.39,10.39,10.39,10.39,0
2023-05-01,10.442,10.442,10.442,10.442,10.442,200
2023-05-02,10.442,10.442,10.442,10.442,10.442,0
2023-05-03,10.442,10.442,10.442,10.442,10.442,0
2023-05-04,10.36,10.405,10.36,10.405,10.405,500
2023-05-05,10.38,10.38,10.38,10.38,10.38,200
2023-05-08,10.38,10.38,10.38,10.38,10.38,200
2023-05-09,10.38,10.38,10.38,10.38,10.38,0
2023-05-10,10.38,10.38,10.38,10.38,10.38,0
2023-05-11,10.39,10.39,10.39,10.39,10.39,400
2023-05-12,10.38,10.38,10.38,10.38,10.38,400
2023-05-15,10.38,10.38,10.38,10.38,10.38,0
2023-05-16,10.38,10.38,10.38,10.38,10.38,0
2023-05-17,10.415,10.45,10.415,10.422,10.422,4200
2023-05-18,10.45,10.45,10.45,10.45,10.45,100
2023-05-19,10.45,10.45,10.45,10.45,10.45,200
2023-05-22,10.45,10.45,10.45,10.45,10.45,0
2023-05-23,10.45,10.45,10.445,10.45,10.45,900
2023-05-24,10.491,10.491,10.491,10.491,10.491,100
2023-05-25,10.491,10.491,10.491,10.491,10.491,0
2023-05-26,10.491,10.491,10.491,10.491,10.491,0
2023-05-30,10.45,10.45,10.45,10.45,10.45,300
2023-05-31,10.45,10.45,10.45,10.45,10.45,0
2023-06-01,10.48,10.48,10.48,10.48,10.48,300
2023-06-02,10.48,10.48,10.48,10.48,10.48,0
2023-06-05,10.48,10.48,10.48,10.48,10.48,0
2023-06-06,10.48,10.48,10.48,10.48,10.48,0
2023-06-07,10.48,10.48,10.48,10.48,10.48,0
2023-06-08,10.48,10.48,10.48,10.48,10.48,0
2023-06-09,10.46,10.49,10.45,10.45,10.45,300
2023-06-12,10.46,10.46,10.45,10.45,10.45,1300
2023-06-13,10.45,10.45,10.45,10.45,10.45,900
2023-06-14,10.45,10.45,10.45,10.45,10.45,0
2023-06-15,10.45,10.45,10.45,10.45,10.45,0
2023-06-16,10.45,10.45,10.45,10.45,10.45,800
2023-06-20,10.45,10.45,10.45,10.45,10.45,800
2023-06-21,10.45,10.45,10.45,10.45,10.45,0
2023-06-22,10.46,10.507,10.46,10.507,10.507,900
2023-06-23,10.507,10.507,10.507,10.507,10.507,0
2023-06-26,10.47,10.47,10.47,10.47,10.47,400
2023-06-27,10.47,10.9,10.47,10.9,10.9,300
2023-06-28,10.9,10.9,10.9,10.9,10.9,0
2023-06-29,10.9,10.9,10.9,10.9,10.9,0
2023-06-30,10.48,10.49,10.48,10.49,10.49,200
2023-07-03,10.49,10.49,10.49,10.49,10.49,0
2023-07-05,10.49,10.49,10.49,10.49,10.49,0
2023-07-06,10.485,10.49,10.485,10.485,10.485,2800
2023-07-07,10.485,10.485,10.485,10.485,10.485,0
2023-07-10,10.64,10.65,10.6,10.6,10.6,3400
2023-07-11,10.6,10.6,10.6,10.6,10.6,0
2023-07-12,10.571,10.571,10.571,10.571,10.571,2400
2023-07-13,10.571,10.571,10.571,10.571,10.571,0
2023-07-14,10.571,10.571,10.571,10.571,10.571,0
2023-07-17,10.571,10.571,10.571,10.571,10.571,0
2023-07-18,10.571,10.571,10.571,10.571,10.571,0
2023-07-19,10.571,10.571,10.571,10.571,10.571,0
2023-07-20,10.57,10.57,10.57,10.57,10.57,100
2023-07-21,10.57,10.57,10.57,10.57,10.57,0
2023-07-24,10.57,10.57,10.57,10.57,10.57,100
2023-07-25,10.57,10.57,10.57,10.57,10.57,100
2023-07-26,10.58,10.58,10.58,10.58,10.58,100
2023-07-27,10.59,10.59,10.59,10.59,10.59,100
2023-07-28,10.59,10.59,10.59,10.59,10.59,100
2023-07-31,10.57,10.57,10.57,10.57,10.57,100
2023-08-01,10.57,10.57,10.57,10.57,10.57,0
2023-08-02,10.59,10.59,10.59,10.59,10.59,100
2023-08-03,10.61,10.61,10.61,10.61,10.61,100
2023-08-04,10.6,10.6,10.6,10.6,10.6,100
2023-08-07,10.59,10.59,10.59,10.59,10.59,400
2023-08-08,10.6,10.6,10.6,10.6,10.6,400
2023-08-09,10.6,10.6,10.6,10.6,10.6,0
2023-08-10,10.6,10.6,10.6,10.6,10.6,0
2023-08-11,10.6,10.6,10.6,10.6,10.6,0
2023-08-14,10.6,10.6,10.6,10.6,10.6,0
2023-08-15,10.64,10.65,10.59,10.61,10.61,1700
2023-08-16,10.61,10.61,10.61,10.61,10.61,0
2023-08-17,10.61,10.61,10.61,10.61,10.61,0
2023-08-18,10.61,10.61,10.61,10.61,10.61,0
2023-08-21,10.61,10.61,10.61,10.61,10.61,0
2023-08-22,10.61,10.61,10.61,10.61,10.61,0
2023-08-23,10.71,10.71,10.71,10.71,10.71,100
2023-08-24,10.68,10.68,10.66,10.66,10.66,500
2023-08-25,10.66,10.66,10.66,10.66,10.66,0
2023-08-28,10.66,10.66,10.66,10.66,10.66,0
2023-08-29,10.66,10.66,10.66,10.66,10.66,0
2023-08-30,10.66,10.66,10.66,10.66,10.66,0
2023-08-31,10.66,10.66,10.66,10.66,10.66,0
2023-09-01,10.71,10.71,10.71,10.71,10.71,100
2023-09-05,10.71,10.72,10.68,10.68,10.68,5100
2023-09-06,10.68,10.68,10.68,10.68,10.68,1500
2023-09-07,10.75,10.75,10.75,10.75,10.75,400
2023-09-08,10.75,10.75,10.75,10.75,10.75,0
2023-09-11,10.68,10.74,10.6,10.72,10.72,99500
2023-09-12,10.72,10.72,10.72,10.72,10.72,8000
2023-09-13,10.72,10.72,10.72,10.72,10.72,0
2023-09-14,10.76,10.76,10.76,10.76,10.76,500
2023-09-15,10.76,10.76,10.76,10.76,10.76,100
2023-09-18,10.76,10.76,10.76,10.76,10.76,500
2023-09-19,10.77,10.77,10.77,10.77,10.77,500
2023-09-20,10.77,10.77,10.77,10.77,10.77,500
2023-09-21,10.77,10.858,10.72,10.72,10.72,2000
2023-09-22,10.77,10.77,10.77,10.77,10.77,500
2023-09-25,10.77,10.77,10.77,10.77,10.77,0
2023-09-26,10.78,10.78,10.78,10.78,10.78,900
2023-09-27,10.78,10.78,10.78,10.78,10.78,600
2023-09-28,10.78,10.78,10.78,10.78,10.78,0
2023-09-29,10.78,10.78,10.78,10.78,10.78,0
2023-10-02,10.73,10.73,10.73,10.73,10.73,3300
2023-10-03,10.73,11.22,10.73,11.22,11.22,3100
2023-10-04,10.75,10.75,10.75,10.75,10.75,1500
2023-10-05,10.8,10.8,10.8,10.8,10.8,400
2023-10-06,10.75,10.75,10.75,10.75,10.75,400
2023-10-09,10.76,10.76,10.76,10.76,10.76,400
2023-10-10,10.75,10.75,10.75,10.75,10.75,200
2023-10-11,10.8,10.8,10.8,10.8,10.8,600
2023-10-12,10.75,10.75,10.75,10.75,10.75,200
2023-10-13,10.77,10.77,10.74,10.74,10.74,4300
2023-10-16,10.74,10.74,10.74,10.74,10.74,0
2023-10-17,10.74,10.74,10.74,10.74,10.74,0
2023-10-18,10.74,10.74,10.74,10.74,10.74,0
2023-10-19,10.74,10.74,10.74,10.74,10.74,0
2023-10-20,10.74,10.74,10.74,10.74,10.74,0
2023-10-23,10.74,10.74,10.74,10.74,10.74,100
2023-10-24,10.74,10.74,10.74,10.74,10.74,100
2023-10-25,10.74,10.74,10.74,10.74,10.74,300
2023-10-26,10.74,10.74,10.74,10.74,10.74,0
2023-10-27,10.75,10.75,10.75,10.75,10.75,400
2023-10-30,10.75,10.75,10.75,10.75,10.75,0
2023-10-31,10.75,10.75,10.75,10.75,10.75,0
2023-11-01,10.75,10.75,10.75,10.75,10.75,0
2023-11-02,10.76,10.76,10.76,10.76,10.76,100
2023-11-03,10.74,10.74,10.74,10.74,10.74,100
2023-11-06,10.77,10.77,10.77,10.77,10.77,100
2023-11-07,10.74,10.74,10.74,10.74,10.74,200
2023-11-08,10.76,10.76,10.76,10.76,10.76,100
2023-11-09,10.76,10.76,10.76,10.76,10.76,100
2023-11-10,10.73,10.73,10.73,10.73,10.73,100
2023-11-13,10.77,10.77,10.77,10.77,10.77,100
