Date,Open,High,Low,Close,Adj Close,Volume
2022-12-23,6.8,11.745,1.55,8.75,8.75,6500
2022-12-27,10.0,15.65,9.0,10.2,10.2,28100
2022-12-28,10.2,10.74,8.45,8.5,8.5,36700
2022-12-29,8.13,8.49,7.3,7.69,7.69,29500
2022-12-30,7.69,7.69,5.7,7.0,7.0,67300
2023-01-03,6.52,7.4,6.4,6.97,6.97,9500
2023-01-04,6.99,6.99,6.75,6.873,6.873,11500
2023-01-05,6.26,6.86,6.26,6.86,6.86,32200
2023-01-06,6.86,7.45,6.215,7.45,7.45,21200
2023-01-09,7.35,8.49,7.33,8.1,8.1,68200
2023-01-10,6.75,7.949,6.01,7.1,7.1,607600
2023-01-11,6.81,8.59,6.66,8.17,8.17,624000
2023-01-12,8.49,8.49,7.02,7.46,7.46,147800
2023-01-13,7.27,7.75,7.0,7.536,7.536,102900
2023-01-17,7.48,8.87,7.48,8.48,8.48,360100
2023-01-18,9.38,12.94,8.75,10.2,10.2,4870700
2023-01-19,10.3,10.3,9.113,9.71,9.71,312400
2023-01-20,9.4,10.0,9.4,9.68,9.68,111000
2023-01-23,9.43,9.46,8.39,8.5,8.5,197100
2023-01-24,8.53,8.85,8.5,8.81,8.81,48100
2023-01-25,8.57,8.92,8.33,8.7,8.7,59100
2023-01-26,8.81,8.99,8.3,8.49,8.49,76200
2023-01-27,8.5,8.762,7.318,7.81,7.81,164800
2023-01-30,7.77,8.27,7.495,7.87,7.87,84200
2023-01-31,8.24,8.24,7.5,7.861,7.861,91300
2023-02-01,7.92,8.065,7.55,7.61,7.61,72000
2023-02-02,7.73,7.808,7.17,7.38,7.38,89000
2023-02-03,7.28,7.3,6.52,6.82,6.82,111400
2023-02-06,6.73,7.17,6.57,7.14,7.14,52600
2023-02-07,7.42,7.42,6.99,7.2,7.2,109700
2023-02-08,7.15,7.295,6.955,7.12,7.12,54500
2023-02-09,7.23,7.23,6.99,7.11,7.11,38100
2023-02-10,7.13,7.26,6.76,6.97,6.97,38700
2023-02-13,7.1,7.29,6.86,6.9,6.9,55500
2023-02-14,6.99,7.11,6.85,7.08,7.08,41600
2023-02-15,7.14,7.14,6.93,7.05,7.05,32400
2023-02-16,6.95,7.58,6.86,7.34,7.34,45900
2023-02-17,7.43,7.6,7.0,7.22,7.22,68500
2023-02-21,8.2,11.94,8.2,10.94,10.94,6181800
2023-02-22,10.29,12.68,10.25,12.37,12.37,924500
2023-02-23,13.11,21.290001,13.0,19.85,19.85,3763900
2023-02-24,19.25,21.18,12.53,14.75,14.75,2837600
2023-02-27,13.02,14.29,12.02,12.9,12.9,579200
2023-02-28,13.49,14.84,13.05,13.4,13.4,280600
2023-03-01,13.25,13.75,12.85,13.35,13.35,277200
2023-03-02,13.17,16.65,12.981,16.65,16.65,697400
2023-03-03,17.5,19.48,16.879999,17.85,17.85,683300
2023-03-06,19.0,19.771999,17.059999,17.809999,17.809999,323000
2023-03-07,17.76,18.194,16.280001,17.18,17.18,238900
2023-03-08,17.0,18.43,17.0,17.65,17.65,135900
2023-03-09,18.35,18.889999,16.313999,16.74,16.74,221000
2023-03-10,16.870001,17.23,16.01,16.700001,16.700001,97900
2023-03-13,16.700001,17.889999,16.25,16.6,16.6,198900
2023-03-14,16.700001,17.200001,14.78,14.78,14.78,177000
2023-03-15,14.17,14.684,12.83,13.71,13.71,273500
2023-03-16,13.51,14.517,13.5,13.59,13.59,109100
2023-03-17,13.38,14.0,13.0,13.65,13.65,142100
2023-03-20,13.48,15.44,13.48,14.11,14.11,134600
2023-03-21,14.48,17.26,14.33,16.74,16.74,164200
2023-03-22,16.799999,17.0,16.07,16.110001,16.110001,101500
2023-03-23,16.139999,17.25,16.0,16.219999,16.219999,91600
2023-03-24,16.09,16.67,16.0,16.27,16.27,52100
2023-03-27,16.85,16.969999,16.4,16.719999,16.719999,45000
2023-03-28,16.719999,18.84,16.535,17.48,17.48,194900
2023-03-29,17.549999,18.4,17.4,17.450001,17.450001,92200
2023-03-30,18.200001,18.200001,17.5,17.879999,17.879999,43000
2023-03-31,17.9,17.9,16.76,17.309999,17.309999,84200
2023-04-03,17.200001,17.708,16.200001,16.82,16.82,71400
2023-04-04,16.940001,18.5,16.940001,17.690001,17.690001,124200
2023-04-05,17.73,17.74,16.24,16.860001,16.860001,72000
2023-04-06,17.299999,17.690001,16.549999,16.76,16.76,52500
2023-04-10,17.16,18.25,16.790001,18.110001,18.110001,112400
2023-04-11,17.98,20.700001,17.9,18.559999,18.559999,316200
2023-04-12,19.66,20.264999,18.77,19.75,19.75,211100
2023-04-13,20.01,24.49,19.959999,23.440001,23.440001,451800
2023-04-14,23.440001,23.5,20.5,21.389999,21.389999,285300
2023-04-17,21.5,23.700001,21.5,23.4,23.4,139300
2023-04-18,24.0,25.469999,22.77,23.85,23.85,197200
2023-04-19,23.5,23.914,22.476999,23.379999,23.379999,64000
2023-04-20,23.049999,27.75,23.049999,26.110001,26.110001,300900
2023-04-21,26.49,28.799999,25.15,27.209999,27.209999,229700
2023-04-24,27.93,36.189999,27.702999,30.6,30.6,869000
2023-04-25,32.849998,32.849998,28.440001,29.42,29.42,199900
2023-04-26,30.35,31.0,29.0,30.549999,30.549999,145900
2023-04-27,31.049999,35.740002,31.0,32.669998,32.669998,403000
2023-04-28,33.610001,37.889999,33.299999,34.529999,34.529999,399900
2023-05-01,34.529999,39.395,34.490002,38.889999,38.889999,292300
2023-05-02,44.5,45.0,38.481998,41.459999,41.459999,624100
