Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,49.5,61.200001,46.799999,53.16,53.16,469467
2021-02-09,48.720001,51.240002,45.299999,45.540001,45.540001,105033
2021-02-10,47.220001,49.98,43.326,45.48,45.48,83850
2021-02-11,45.779999,46.265999,42.18,42.84,42.84,35317
2021-02-12,42.0,44.939999,42.0,42.540001,42.540001,22383
2021-02-16,44.639999,46.200001,43.200001,45.959999,45.959999,35667
2021-02-17,45.599998,46.619999,43.5,45.0,45.0,24767
2021-02-18,43.860001,44.16,41.16,42.84,42.84,16600
2021-02-19,42.66,42.66,38.903999,39.360001,39.360001,29533
2021-02-22,38.700001,40.529999,38.34,38.34,38.34,11417
2021-02-23,37.799999,37.799999,32.099998,36.119999,36.119999,14983
2021-02-24,35.939999,39.900002,34.560001,39.360001,39.360001,13183
2021-02-25,37.380001,38.279999,35.16,35.459999,35.459999,6267
2021-02-26,34.200001,35.388,33.959999,34.560001,34.560001,5950
2021-03-01,34.919998,37.560001,34.68,34.799999,34.799999,6600
2021-03-02,34.560001,36.900002,34.32,35.099998,35.099998,5900
2021-03-03,35.82,36.540001,33.66,34.139999,34.139999,6267
2021-03-04,34.200001,34.200001,31.200001,31.92,31.92,7533
2021-03-05,31.92,31.92,24.120001,28.92,28.92,20700
2021-03-08,27.18,29.280001,27.18,27.6,27.6,5317
2021-03-09,28.620001,28.782,26.4,27.299999,27.299999,11683
2021-03-10,27.540001,30.48,27.48,30.48,30.48,11567
2021-03-11,30.120001,31.68,30.0,30.059999,30.059999,9167
2021-03-12,29.76,30.0,28.374001,29.700001,29.700001,7800
2021-03-15,29.82,39.540001,29.82,37.080002,37.080002,73900
2021-03-16,36.599998,41.34,36.0,39.900002,39.900002,44750
2021-03-17,40.32,43.5,38.040001,42.689999,42.689999,32867
2021-03-18,42.84,45.900002,39.060001,39.48,39.48,51833
2021-03-19,39.779999,40.02,38.400002,39.48,39.48,11400
2021-03-22,38.639999,38.880001,36.419998,36.959999,36.959999,11200
2021-03-23,36.540001,37.5,35.099998,36.0,36.0,6433
