Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,9.99,10.0,9.97,9.99,9.99,1453400
2022-02-01,10.0,10.03,10.0,10.03,10.03,667800
2022-02-02,10.081,10.081,10.02,10.03,10.03,84100
2022-02-03,10.02,10.06,10.02,10.06,10.06,146300
2022-02-04,10.02,10.02,10.0,10.01,10.01,1800
2022-02-07,10.0,10.0,10.0,10.0,10.0,1100
2022-02-08,10.08,10.09,10.0,10.0,10.0,3100
2022-02-09,10.01,10.06,10.01,10.014,10.014,28600
2022-02-10,10.014,10.014,10.014,10.014,10.014,0
2022-02-11,10.03,10.03,10.01,10.01,10.01,3600
2022-02-14,10.0,10.0,10.0,10.0,10.0,1600
2022-02-15,10.0,10.0,10.0,10.0,10.0,3500
2022-02-16,10.0,10.0,10.0,10.0,10.0,0
2022-02-17,10.007,10.007,10.007,10.007,10.007,100
2022-02-18,10.03,10.03,10.03,10.03,10.03,48100
2022-02-22,10.03,10.03,10.03,10.03,10.03,500
2022-02-23,10.03,10.03,10.03,10.03,10.03,0
2022-02-24,10.0,10.0,10.0,10.0,10.0,65200
2022-02-25,10.0,10.0,10.0,10.0,10.0,0
2022-02-28,10.02,10.02,10.02,10.02,10.02,200
2022-03-01,10.02,10.02,10.02,10.02,10.02,100
2022-03-02,10.02,10.02,10.02,10.02,10.02,0
2022-03-03,10.02,10.02,10.02,10.02,10.02,0
2022-03-04,10.02,10.02,10.02,10.02,10.02,0
2022-03-07,10.02,10.02,10.02,10.02,10.02,0
2022-03-08,10.06,10.06,10.04,10.06,10.06,39700
2022-03-09,10.02,10.02,10.0,10.0,10.0,7100
2022-03-10,10.0,10.0,10.0,10.0,10.0,0
2022-03-11,10.0,10.0,10.0,10.0,10.0,0
2022-03-14,10.0,10.0,10.0,10.0,10.0,0
2022-03-15,10.0,10.0,10.0,10.0,10.0,0
2022-03-16,10.0,10.0,10.0,10.0,10.0,0
2022-03-17,10.05,10.1,10.05,10.1,10.1,286800
2022-03-18,10.068,10.068,10.068,10.068,10.068,100
2022-03-21,10.068,10.068,10.068,10.068,10.068,0
2022-03-22,10.1,10.235,10.06,10.08,10.08,1200
2022-03-23,10.1,10.61,10.0,10.03,10.03,27200
2022-03-24,10.0,10.05,10.0,10.05,10.05,13700
2022-03-25,10.01,10.01,10.01,10.01,10.01,1400
2022-03-28,10.03,10.03,10.03,10.03,10.03,700
2022-03-29,10.04,10.04,10.03,10.03,10.03,3700
2022-03-30,10.1,10.101,10.085,10.085,10.085,700
2022-03-31,10.085,10.085,10.085,10.085,10.085,0
