Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,5.2,17.33,4.15,4.4,4.4,170200
2022-05-26,4.38,4.55,3.5,3.7,3.7,369100
2022-05-27,3.56,3.73,3.3,3.42,3.42,124200
2022-05-31,3.54,3.63,2.75,3.12,3.12,271000
2022-06-01,3.07,3.24,3.02,3.153,3.153,115300
2022-06-02,3.01,3.09,2.93,2.96,2.96,91800
2022-06-03,2.976,3.08,2.81,2.9,2.9,37200
2022-06-06,3.04,3.49,2.81,2.82,2.82,175500
2022-06-07,2.88,2.98,2.75,2.889,2.889,60200
2022-06-08,3.42,3.42,3.03,3.16,3.16,194200
2022-06-09,3.11,3.11,2.96,3.0,3.0,20400
2022-06-10,2.83,3.1,2.83,2.95,2.95,4100
2022-06-13,2.92,3.06,2.79,2.965,2.965,44800
2022-06-14,2.91,3.03,2.76,2.997,2.997,5700
2022-06-15,2.92,2.92,2.8,2.9,2.9,10400
2022-06-16,2.75,2.8,2.56,2.746,2.746,17100
2022-06-17,2.8,2.99,2.74,2.91,2.91,32000
2022-06-21,3.0,3.0,3.0,3.0,3.0,1200
2022-06-22,3.18,3.27,3.14,3.25,3.25,46800
2022-06-23,3.24,3.4,3.2,3.382,3.382,37300
2022-06-24,3.405,3.5,3.24,3.27,3.27,22500
2022-06-27,3.25,3.49,3.16,3.22,3.22,56600
2022-06-28,3.37,3.9,3.32,3.53,3.53,62400
2022-06-29,3.5,3.609,3.351,3.43,3.43,31800
2022-06-30,3.32,3.52,3.055,3.51,3.51,17600
2022-07-01,3.35,3.73,3.35,3.35,3.35,25500
2022-07-05,3.17,3.18,3.015,3.04,3.04,50200
2022-07-06,3.02,3.19,3.02,3.075,3.075,18800
2022-07-07,3.14,3.53,3.12,3.385,3.385,8300
2022-07-08,3.44,3.5,3.15,3.35,3.35,11500
2022-07-11,3.9,3.9,3.3,3.41,3.41,52500
2022-07-12,3.26,3.586,3.22,3.41,3.41,14000
2022-07-13,3.4,3.7,3.4,3.555,3.555,9200
2022-07-14,3.26,3.38,3.22,3.26,3.26,24900
2022-07-15,3.42,3.42,3.3,3.31,3.31,4300
2022-07-18,3.34,3.35,3.25,3.26,3.26,16400
2022-07-19,3.31,3.51,3.23,3.35,3.35,10100
2022-07-20,3.35,3.64,3.35,3.54,3.54,4700
2022-07-21,3.46,3.778,3.46,3.685,3.685,37700
2022-07-22,3.98,3.98,3.757,3.79,3.79,29100
2022-07-25,3.65,4.09,3.64,3.931,3.931,62000
2022-07-26,3.81,3.88,3.72,3.815,3.815,35600
2022-07-27,3.82,4.0,3.74,3.87,3.87,34400
2022-07-28,3.79,3.89,3.789,3.82,3.82,43200
2022-07-29,3.95,4.15,3.82,3.85,3.85,112700
2022-08-01,3.76,3.85,3.59,3.685,3.685,81200
2022-08-02,3.77,3.77,3.65,3.66,3.66,18200
2022-08-03,3.714,3.9,3.7,3.755,3.755,22900
2022-08-04,3.75,3.9,3.71,3.71,3.71,5200
2022-08-05,3.8,3.85,3.71,3.722,3.722,10700
2022-08-08,3.855,3.99,3.71,3.93,3.93,24800
2022-08-09,4.06,4.2,3.86,4.19,4.19,71000
2022-08-10,4.23,4.23,3.8,3.82,3.82,82800
2022-08-11,3.87,3.95,3.85,3.915,3.915,20200
2022-08-12,3.893,3.982,3.865,3.95,3.95,9600
2022-08-15,3.87,4.09,3.851,3.92,3.92,8100
2022-08-16,4.062,4.064,3.96,3.98,3.98,12900
2022-08-17,3.95,3.99,3.8,3.91,3.91,15800
2022-08-18,3.946,3.99,3.91,3.92,3.92,7000
2022-08-19,4.07,4.07,3.9,3.92,3.92,3800
2022-08-22,3.81,4.03,3.81,3.976,3.976,15900
2022-08-23,4.02,4.02,3.94,3.99,3.99,1900
2022-08-24,3.96,4.048,3.96,3.98,3.98,7100
2022-08-25,4.04,4.095,3.96,4.0,4.0,8400
2022-08-26,4.1,4.1,3.93,3.94,3.94,8600
2022-08-29,3.98,3.99,3.91,3.96,3.96,1700
2022-08-30,3.935,4.04,3.85,3.97,3.97,13500
2022-08-31,3.94,4.17,3.92,4.15,4.15,29600
2022-09-01,4.09,4.1,3.95,4.05,4.05,20400
2022-09-02,4.18,4.18,3.9,3.975,3.975,10300
2022-09-06,3.92,4.07,3.89,3.98,3.98,30100
2022-09-07,3.87,3.98,3.862,3.89,3.89,22000
2022-09-08,3.77,3.96,3.77,3.87,3.87,16400
2022-09-09,4.18,4.18,3.85,3.86,3.86,6800
2022-09-12,3.91,3.97,3.85,3.87,3.87,3400
2022-09-13,3.93,3.93,3.77,3.8,3.8,26800
2022-09-14,3.86,4.11,3.79,3.89,3.89,22300
2022-09-15,3.87,3.95,3.82,3.849,3.849,17500
2022-09-16,3.87,4.025,3.775,3.9,3.9,4400
2022-09-19,3.84,3.84,3.67,3.745,3.745,27800
2022-09-20,3.82,3.875,3.66,3.685,3.685,10100
2022-09-21,3.66,3.86,3.66,3.86,3.86,2300
2022-09-22,3.7,3.821,3.66,3.78,3.78,15000
2022-09-23,3.97,3.97,3.61,3.655,3.655,5200
2022-09-26,3.7,3.88,3.7,3.845,3.845,4300
2022-09-27,3.77,3.82,3.73,3.73,3.73,2700
2022-09-28,3.63,3.712,3.58,3.68,3.68,9200
2022-09-29,3.63,3.855,3.61,3.855,3.855,1900
2022-09-30,3.8,3.809,3.61,3.74,3.74,12800
2022-10-03,3.61,3.9,3.58,3.776,3.776,21600
2022-10-04,3.67,3.74,3.61,3.74,3.74,1300
2022-10-05,3.691,3.875,3.67,3.78,3.78,3300
2022-10-06,3.76,3.843,3.59,3.61,3.61,16300
2022-10-07,3.73,3.73,3.12,3.245,3.245,36500
2022-10-10,3.26,3.497,3.2,3.29,3.29,13000
2022-10-11,3.38,3.44,3.31,3.372,3.372,11000
2022-10-12,3.4,3.415,3.32,3.36,3.36,8200
2022-10-13,3.525,3.525,3.48,3.48,3.48,3000
2022-10-14,3.66,3.66,3.55,3.55,3.55,200
2022-10-17,3.62,3.67,3.57,3.643,3.643,4600
2022-10-18,3.64,3.64,3.52,3.52,3.52,10200
2022-10-19,3.52,3.546,3.35,3.492,3.492,8500
2022-10-20,3.2,3.377,3.2,3.28,3.28,12900
2022-10-21,3.43,3.43,3.19,3.242,3.242,4200
2022-10-24,3.24,3.271,3.16,3.22,3.22,28800
2022-10-25,3.12,3.311,2.9,2.97,2.97,28900
2022-10-26,2.99,3.062,2.99,3.062,3.062,1100
2022-10-27,2.89,2.975,2.89,2.95,2.95,21000
2022-10-28,2.94,3.08,2.94,3.03,3.03,1300
2022-10-31,3.03,3.03,2.78,2.845,2.845,28300
2022-11-01,2.84,2.88,2.84,2.88,2.88,400
2022-11-02,2.8,2.85,2.52,2.55,2.55,29600
2022-11-03,2.38,2.5,2.32,2.34,2.34,47000
2022-11-04,2.575,2.6,2.41,2.5,2.5,5400
2022-11-07,2.34,2.47,2.3,2.46,2.46,13400
2022-11-08,2.41,2.429,2.16,2.29,2.29,23100
2022-11-09,2.21,2.24,2.18,2.24,2.24,4500
2022-11-10,2.14,2.421,2.14,2.354,2.354,17700
2022-11-11,2.419,2.42,2.36,2.42,2.42,1700
2022-11-14,2.2,2.34,2.2,2.34,2.34,15400
2022-11-15,2.18,2.4,2.13,2.313,2.313,14300
2022-11-16,2.11,2.2,2.0,2.0,2.0,29700
2022-11-17,1.86,2.05,1.81,1.83,1.83,52100
2022-11-18,1.89,1.89,1.87,1.87,1.87,700
2022-11-21,1.79,1.79,1.67,1.77,1.77,23700
2022-11-22,1.65,1.72,1.57,1.64,1.64,38300
2022-11-23,1.57,1.59,1.49,1.5,1.5,13200
2022-11-25,1.55,1.757,1.55,1.71,1.71,10100
2022-11-28,1.54,1.54,1.48,1.51,1.51,34200
2022-11-29,1.48,1.48,1.48,1.48,1.48,600
2022-11-30,1.36,1.47,1.3,1.431,1.431,116600
2022-12-01,1.43,1.5,1.43,1.47,1.47,34600
2022-12-02,1.5,1.57,1.5,1.56,1.56,78600
2022-12-05,1.51,1.64,1.48,1.5,1.5,47200
2022-12-06,1.575,1.68,1.57,1.648,1.648,73300
2022-12-07,1.71,1.71,1.484,1.64,1.64,66100
2022-12-08,1.55,1.64,1.5,1.5,1.5,5500
2022-12-09,1.62,1.62,1.62,1.62,1.62,200
2022-12-12,1.48,1.53,1.47,1.53,1.53,1200
2022-12-13,1.574,1.6,1.55,1.6,1.6,8200
2022-12-14,1.52,1.65,1.52,1.6,1.6,2700
2022-12-15,1.51,1.56,1.48,1.56,1.56,10500
2022-12-16,1.49,1.49,1.42,1.48,1.48,6900
2022-12-19,1.41,1.5,1.23,1.32,1.32,7100
2022-12-20,1.395,1.395,1.37,1.379,1.379,4900
2022-12-21,1.36,1.453,1.36,1.453,1.453,1800
2022-12-22,1.564,1.58,1.45,1.45,1.45,2400
2022-12-23,1.54,1.54,1.53,1.53,1.53,200
2022-12-27,1.39,1.4,1.34,1.375,1.375,5800
2022-12-28,1.38,1.5,1.365,1.41,1.41,14900
2022-12-29,1.39,1.42,1.314,1.35,1.35,4100
2022-12-30,1.48,1.48,1.372,1.372,1.372,400
2023-01-03,1.51,1.58,1.49,1.55,1.55,23700
2023-01-04,1.58,1.58,1.57,1.58,1.58,8700
2023-01-05,1.49,1.54,1.48,1.54,1.54,3700
2023-01-06,1.6,1.6,1.511,1.59,1.59,2400
2023-01-09,1.59,1.59,1.59,1.59,1.59,1900
2023-01-10,1.575,1.58,1.57,1.57,1.57,400
2023-01-11,1.62,1.62,1.57,1.62,1.62,7700
2023-01-12,1.72,1.72,1.7,1.7,1.7,300
2023-01-13,1.7,1.7,1.7,1.7,1.7,0
2023-01-17,1.86,1.95,1.86,1.95,1.95,7100
2023-01-18,2.01,2.01,1.93,1.97,1.97,10100
2023-01-19,1.68,1.68,1.6,1.6,1.6,500
2023-01-20,1.64,1.87,1.64,1.8,1.8,3000
2023-01-23,1.68,2.0,1.68,1.83,1.83,2400
2023-01-24,1.84,2.01,1.83,2.01,2.01,3400
2023-01-25,2.0,2.0,1.858,1.94,1.94,3900
2023-01-26,1.84,1.855,1.735,1.84,1.84,4800
2023-01-27,1.86,1.87,1.785,1.87,1.87,3800
2023-01-30,1.7,1.71,1.641,1.7,1.7,13300
2023-01-31,1.65,1.665,1.62,1.65,1.65,5800
2023-02-01,1.65,1.65,1.6,1.62,1.62,6200
2023-02-02,1.62,1.8,1.62,1.711,1.711,15100
2023-02-03,1.78,1.78,1.61,1.65,1.65,5000
2023-02-06,1.76,1.89,1.61,1.76,1.76,4200
2023-02-07,1.62,1.63,1.59,1.59,1.59,6100
2023-02-08,1.55,1.56,1.525,1.525,1.525,3800
2023-02-09,1.6,1.6,1.5,1.5,1.5,2100
