Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,9.93,9.95,9.92,9.95,9.95,4481400
2021-03-22,9.95,9.99,9.92,9.99,9.99,1467400
2021-03-23,9.98,10.0,9.96,10.0,10.0,409800
2021-03-24,9.99,9.99,9.92,9.99,9.99,1319800
2021-03-25,9.98,9.98,9.9,9.98,9.98,303300
2021-03-26,9.95,10.0,9.95,10.0,10.0,96700
2021-03-29,9.96,10.02,9.95,10.0,10.0,104300
2021-03-30,9.96,10.03,9.95,10.0,10.0,50900
2021-03-31,9.95,10.06,9.9,10.0,10.0,709500
2021-04-01,9.97,10.1,9.97,10.06,10.06,22500
2021-04-05,10.03,10.13,10.03,10.03,10.03,1100
2021-04-06,10.02,10.12,10.01,10.02,10.02,7000
2021-04-07,10.02,10.05,10.01,10.05,10.05,160800
2021-04-08,10.2,10.2,10.12,10.161,10.161,3300
2021-04-09,10.14,10.15,10.1,10.15,10.15,1800
2021-04-12,10.077,10.077,10.07,10.07,10.07,500
2021-04-13,10.07,10.07,10.07,10.07,10.07,0
2021-04-14,10.07,10.15,10.07,10.1,10.1,2700
2021-04-15,10.07,10.07,10.07,10.07,10.07,1100
2021-04-16,10.199,10.199,10.07,10.1,10.1,9700
2021-04-19,10.09,10.12,10.08,10.12,10.12,3300
2021-04-20,10.13,10.167,10.05,10.05,10.05,21800
2021-04-21,10.05,10.05,10.05,10.05,10.05,2900
2021-04-22,10.02,10.02,10.02,10.02,10.02,1500
2021-04-23,10.02,10.03,10.02,10.02,10.02,11800
2021-04-26,10.02,10.049,10.02,10.049,10.049,600
2021-04-27,10.02,10.07,10.02,10.07,10.07,700
2021-04-28,10.02,10.03,9.9,9.9,9.9,271400
2021-04-29,10.0,10.045,10.0,10.0,10.0,33300
2021-04-30,10.0,10.058,9.98,10.0,10.0,301100
2021-05-03,10.0,10.095,10.0,10.01,10.01,9500
2021-05-04,10.01,10.01,10.0,10.0,10.0,7100
2021-05-05,10.0,10.04,10.0,10.0,10.0,23800
2021-05-06,10.0,10.02,10.0,10.02,10.02,400
2021-05-07,10.0,10.03,10.0,10.005,10.005,207800
2021-05-10,10.04,10.08,10.0,10.08,10.08,19700
2021-05-11,10.0,10.1,10.0,10.07,10.07,7600
2021-05-12,10.01,10.02,9.99,9.99,9.99,54000
2021-05-13,10.01,10.05,9.97,9.98,9.98,71700
2021-05-14,10.0,10.0,9.99,9.99,9.99,1500
2021-05-17,9.99,10.062,9.99,9.99,9.99,20500
2021-05-18,10.0,10.0,9.97,9.97,9.97,600
2021-05-19,9.99,9.99,9.99,9.99,9.99,100
2021-05-20,9.99,9.99,9.99,9.99,9.99,0
2021-05-21,9.99,9.99,9.99,9.99,9.99,0
2021-05-24,10.03,10.03,9.99,9.99,9.99,19300
2021-05-25,9.99,9.99,9.99,9.99,9.99,39800
2021-05-26,9.99,9.99,9.98,9.99,9.99,32600
2021-05-27,10.0,10.0,10.0,10.0,10.0,13000
2021-05-28,10.0,10.0,9.99,9.99,9.99,101700
2021-06-01,9.99,10.0,9.99,10.0,10.0,1151100
2021-06-02,9.94,9.94,9.94,9.94,9.94,83300
2021-06-03,9.94,9.94,9.94,9.94,9.94,0
2021-06-04,9.94,9.94,9.94,9.94,9.94,0
2021-06-07,9.959,9.959,9.959,9.959,9.959,500
