Date,Open,High,Low,Close,Adj Close,Volume
2022-01-14,9.8,9.83,9.75,9.82,9.82,457800
2022-01-18,9.83,9.87,9.83,9.87,9.87,40200
2022-01-19,9.82,9.83,9.82,9.83,9.83,230600
2022-01-20,9.82,9.82,9.8,9.81,9.81,70800
2022-01-21,9.84,9.84,9.84,9.84,9.84,200
2022-01-24,9.79,9.83,9.79,9.83,9.83,2100
2022-01-25,9.81,9.81,9.81,9.81,9.81,50000
2022-01-26,9.81,9.83,9.81,9.81,9.81,27700
2022-01-27,9.81,9.81,9.81,9.81,9.81,0
2022-01-28,9.81,9.81,9.81,9.81,9.81,200
2022-01-31,9.84,9.84,9.84,9.84,9.84,100
2022-02-01,9.84,9.84,9.82,9.83,9.83,182500
2022-02-02,9.84,9.85,9.84,9.85,9.85,32800
2022-02-03,9.85,9.85,9.85,9.85,9.85,0
2022-02-04,9.85,9.85,9.85,9.85,9.85,0
2022-02-07,9.85,9.85,9.83,9.83,9.83,132300
2022-02-08,9.83,9.86,9.83,9.86,9.86,7500
2022-02-09,9.84,9.86,9.83,9.835,9.835,203600
2022-02-10,9.84,9.86,9.83,9.85,9.85,10100
2022-02-11,9.84,9.85,9.84,9.84,9.84,38400
2022-02-14,9.84,9.84,9.84,9.84,9.84,100
2022-02-15,9.85,9.85,9.847,9.85,9.85,231000
2022-02-16,9.841,9.85,9.84,9.85,9.85,39400
2022-02-17,9.85,9.85,9.85,9.85,9.85,0
2022-02-18,9.85,9.85,9.85,9.85,9.85,0
2022-02-22,9.85,9.85,9.85,9.85,9.85,28600
2022-02-23,9.85,9.855,9.85,9.85,9.85,77500
2022-02-24,9.85,9.85,9.85,9.85,9.85,128800
2022-02-25,9.86,9.86,9.86,9.86,9.86,1000
2022-02-28,9.86,9.865,9.86,9.86,9.86,38800
2022-03-01,9.87,9.87,9.85,9.85,9.85,54000
2022-03-02,9.85,9.87,9.85,9.87,9.87,25800
2022-03-03,9.88,9.88,9.88,9.88,9.88,1000
2022-03-04,9.88,9.88,9.88,9.88,9.88,0
2022-03-07,9.88,9.88,9.88,9.88,9.88,0
2022-03-08,9.88,9.88,9.88,9.88,9.88,1700
2022-03-09,9.88,9.88,9.88,9.88,9.88,0
2022-03-10,9.875,9.875,9.87,9.87,9.87,1300
2022-03-11,9.88,9.88,9.88,9.88,9.88,1100
2022-03-14,9.88,9.88,9.88,9.88,9.88,9600
2022-03-15,9.88,9.88,9.88,9.88,9.88,1300
2022-03-16,9.87,9.87,9.87,9.87,9.87,300
2022-03-17,9.87,9.87,9.87,9.87,9.87,0
2022-03-18,9.87,9.87,9.87,9.87,9.87,0
2022-03-21,9.88,9.88,9.88,9.88,9.88,1000
2022-03-22,9.87,9.875,9.87,9.87,9.87,13300
2022-03-23,9.88,9.88,9.88,9.88,9.88,900
2022-03-24,9.88,9.88,9.88,9.88,9.88,0
2022-03-25,9.88,9.89,9.88,9.89,9.89,2200
2022-03-28,9.91,9.91,9.9,9.9,9.9,3300
2022-03-29,9.89,9.89,9.89,9.89,9.89,1100
2022-03-30,9.89,9.89,9.89,9.89,9.89,0
2022-03-31,9.89,9.89,9.89,9.89,9.89,0
2022-04-01,9.89,9.89,9.89,9.89,9.89,0
2022-04-04,9.89,9.89,9.89,9.89,9.89,0
2022-04-05,9.89,9.89,9.89,9.89,9.89,0
2022-04-06,9.89,9.89,9.89,9.89,9.89,0
2022-04-07,9.89,9.89,9.89,9.89,9.89,0
2022-04-08,9.91,9.91,9.91,9.91,9.91,200
2022-04-11,9.91,9.91,9.91,9.91,9.91,0
2022-04-12,9.9,9.9,9.9,9.9,9.9,800
2022-04-13,9.9,9.9,9.9,9.9,9.9,0
2022-04-14,9.9,9.9,9.9,9.9,9.9,0
2022-04-18,9.92,9.92,9.92,9.92,9.92,1000
2022-04-19,9.92,9.92,9.92,9.92,9.92,5200
2022-04-20,9.92,9.92,9.92,9.92,9.92,0
2022-04-21,9.92,9.92,9.92,9.92,9.92,0
2022-04-22,9.92,9.92,9.92,9.92,9.92,0
2022-04-25,9.92,9.92,9.9,9.905,9.905,365600
2022-04-26,9.91,9.92,9.91,9.92,9.92,6000
2022-04-27,9.92,9.92,9.92,9.92,9.92,0
2022-04-28,9.91,9.91,9.91,9.91,9.91,300
2022-04-29,9.93,9.93,9.905,9.91,9.91,29800
2022-05-02,9.91,9.91,9.91,9.91,9.91,0
2022-05-03,9.91,9.91,9.91,9.91,9.91,50000
2022-05-04,9.92,9.92,9.92,9.92,9.92,5000
2022-05-05,9.92,9.92,9.92,9.92,9.92,500
2022-05-06,9.92,9.93,9.92,9.92,9.92,5100
2022-05-09,9.93,9.93,9.91,9.91,9.91,4400
2022-05-10,9.91,9.91,9.91,9.91,9.91,100
2022-05-11,9.91,9.91,9.91,9.91,9.91,1600
2022-05-12,9.91,9.91,9.91,9.91,9.91,0
2022-05-13,9.91,9.91,9.91,9.91,9.91,0
2022-05-16,9.91,9.91,9.91,9.91,9.91,0
2022-05-17,9.91,9.91,9.91,9.91,9.91,6000
2022-05-18,9.91,9.91,9.91,9.91,9.91,0
2022-05-19,9.91,9.91,9.91,9.91,9.91,0
2022-05-20,9.92,9.92,9.92,9.92,9.92,700
2022-05-23,9.92,9.92,9.92,9.92,9.92,6000
2022-05-24,9.92,9.92,9.92,9.92,9.92,6000
