Date,Open,High,Low,Close,Adj Close,Volume
2006-12-15,13.75,15.28,13.01,15.2,3.640387,5691100
2006-12-18,14.86,15.2,14.3,14.68,3.515847,1062600
2006-12-19,14.35,14.65,14.25,14.5,3.472738,532000
2006-12-20,14.21,14.59,14.0,14.49,3.470342,205900
2006-12-21,14.3,14.57,14.25,14.55,3.484712,71300
2006-12-22,14.25,14.75,14.22,14.71,3.523032,96700
2006-12-26,14.75,14.75,14.25,14.5,3.472738,75600
2006-12-27,14.32,14.65,14.25,14.4,3.448788,54200
2006-12-28,14.49,14.49,14.15,14.15,3.388913,57500
2006-12-29,14.02,14.18,14.0,14.18,3.396098,79400
2007-01-03,14.23,14.4,13.99,14.2,3.400888,163600
2007-01-04,14.2,14.2,12.44,14.0,3.352988,523600
2007-01-05,13.93,14.07,13.75,14.0,3.352988,111000
2007-01-08,14.0,14.39,14.0,14.05,3.364963,101100
2007-01-09,14.2,14.21,13.93,14.07,3.369753,94300
2007-01-10,14.0,14.1,12.34,13.85,3.317063,187800
2007-01-11,13.97,14.0,13.7,13.75,3.293113,109700
2007-01-12,13.75,14.19,13.65,14.19,3.398493,94300
2007-01-16,14.0,14.26,13.7,14.17,3.393703,94300
2007-01-17,14.03,14.28,13.95,14.15,3.388913,37700
2007-01-18,14.01,14.16,13.85,14.15,3.388913,81700
2007-01-19,14.0,14.25,13.85,14.15,3.388913,39000
2007-01-22,14.1,14.3,14.1,14.26,3.415258,81800
2007-01-23,14.05,14.48,14.05,14.48,3.467947,61300
2007-01-24,14.8,15.0,14.7,14.97,3.585302,220700
2007-01-25,15.0,15.0,14.61,14.9,3.568537,76400
2007-01-26,14.9,14.9,14.7,14.84,3.554167,44700
2007-01-29,14.8,14.89,14.65,14.79,3.542192,28900
2007-01-30,14.65,14.86,14.63,14.73,3.527822,40200
2007-01-31,14.62,14.76,14.25,14.42,3.453578,46100
2007-02-01,14.31,14.5,14.25,14.42,3.453578,66400
2007-02-02,14.25,14.42,14.16,14.3,3.424838,108200
2007-02-05,14.35,14.78,14.35,14.55,3.484712,64600
2007-02-06,14.55,14.69,14.53,14.62,3.501477,24200
2007-02-07,14.42,14.95,14.42,14.73,3.527822,44200
2007-02-08,14.7,15.0,14.66,14.86,3.558957,124300
2007-02-09,14.95,14.99,14.85,14.87,3.561352,35300
2007-02-12,14.81,14.94,14.3,14.34,3.434417,69700
2007-02-13,14.49,14.56,14.2,14.32,3.429627,74200
2007-02-14,14.2,14.43,14.18,14.3,3.424838,101900
2007-02-15,14.2,14.21,13.94,14.08,3.372148,143100
2007-02-16,13.95,14.11,13.65,14.0,3.352988,79500
2007-02-20,14.0,14.14,13.76,14.0,3.352988,93900
2007-02-21,13.98,14.01,13.75,13.9,3.329038,80500
2007-02-22,13.75,13.86,13.6,13.66,3.271558,133700
2007-02-23,13.56,13.8,13.5,13.6,3.257188,263600
2007-02-26,13.6,13.83,13.4,13.55,3.245213,182700
2007-02-27,13.29,13.5,13.16,13.37,3.202103,141200
2007-02-28,13.43,13.55,13.3,13.3,3.185339,278200
2007-03-01,13.23,13.59,13.06,13.4,3.209288,326600
2007-03-02,13.47,13.47,13.07,13.26,3.175759,311200
2007-03-05,13.1,13.96,13.0,13.96,3.343408,143900
2007-03-06,14.28,14.37,13.61,13.63,3.264373,138300
2007-03-07,13.56,13.71,13.44,13.71,3.283533,39000
2007-03-08,13.66,13.95,12.91,13.17,3.154204,86000
2007-03-09,13.57,14.01,13.47,13.75,3.293113,192200
2007-03-12,13.94,14.0,13.66,13.66,3.271558,151700
2007-03-13,13.71,13.71,13.41,13.62,3.261978,224900
2007-03-14,13.77,13.77,13.3,13.46,3.223658,196300
2007-03-15,13.46,13.46,13.2,13.33,3.192523,384500
2007-03-16,13.21,13.48,13.21,13.35,3.197314,41700
2007-03-19,13.26,14.09,13.26,14.09,3.374543,93100
2007-03-20,13.99,14.11,13.87,14.08,3.372148,66600
2007-03-21,14.11,14.25,14.02,14.17,3.393703,99800
2007-03-22,14.22,14.22,14.0,14.16,3.391308,60300
2007-03-23,14.28,14.76,14.21,14.76,3.535007,62400
2007-03-26,14.65,14.96,14.4,14.86,3.558957,86500
2007-03-27,14.86,14.98,14.67,14.91,3.570932,41400
2007-03-28,14.7,15.01,14.7,14.91,3.570932,54200
2007-03-29,14.33,14.96,14.33,14.72,3.525427,50500
2007-03-30,14.84,15.3,14.51,14.51,3.475132,900100
2007-04-02,14.84,15.21,14.8,15.0,3.592487,180700
2007-04-03,15.14,15.18,14.95,15.0,3.592487,61700
2007-04-04,15.02,15.2,14.96,15.0,3.592487,56900
2007-04-05,14.97,15.05,14.96,15.05,3.604462,38900
2007-04-09,14.99,15.5,14.84,15.31,3.666732,52500
2007-04-10,15.1,15.56,15.08,15.45,3.700262,29400
2007-04-11,15.36,15.36,14.95,15.01,3.594882,57400
2007-04-12,15.24,15.24,15.0,15.23,3.647572,32000
2007-04-13,15.12,15.14,14.97,15.03,3.599672,36700
2007-04-16,15.14,15.53,15.0,15.32,3.669127,18200
2007-04-17,15.3,15.48,15.08,15.4,3.688287,17400
2007-04-18,15.34,15.46,15.05,15.08,3.611647,22300
2007-04-19,15.02,15.16,14.99,15.16,3.630807,76200
2007-04-20,15.26,15.26,15.0,15.25,3.652362,47100
2007-04-23,15.21,15.25,15.01,15.2,3.640387,19100
2007-04-24,15.32,15.35,15.1,15.3,3.664337,30900
2007-04-25,15.33,15.38,15.23,15.3,3.664337,41400
2007-04-26,15.3,15.53,15.1,15.53,3.719422,33500
2007-04-27,15.58,15.6,15.25,15.41,3.690681,32300
2007-04-30,15.46,15.48,14.82,15.02,3.597277,279900
2007-05-01,15.07,15.57,15.07,15.47,3.705052,122300
2007-05-02,15.5,15.67,15.5,15.62,3.740977,87600
2007-05-03,15.68,15.68,15.2,15.43,3.695472,32000
2007-05-04,15.4,15.6,15.35,15.6,3.736187,61400
2007-05-07,15.55,15.6,15.24,15.25,3.652362,89200
2007-05-08,15.26,15.26,14.94,15.16,3.630807,57200
2007-05-09,15.05,15.6,15.01,15.55,3.724212,67300
2007-05-10,15.47,15.6,15.25,15.5,3.712237,68900
2007-05-11,15.25,15.43,15.01,15.21,3.642782,98400
2007-05-14,15.17,15.26,15.05,15.25,3.652362,62200
2007-05-15,15.21,15.21,15.0,15.1,3.616437,116300
2007-05-16,15.16,15.25,14.99,15.01,3.594882,55800
2007-05-17,15.0,15.1,14.82,14.96,3.582907,31200
2007-05-18,15.01,15.09,14.99,15.05,3.604462,36200
2007-05-21,15.0,15.3,15.0,15.29,3.661942,68600
