Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,9.73,9.77,9.71,9.73,9.73,115700
2021-09-24,9.77,9.77,9.75,9.76,9.76,92900
2021-09-27,9.75,9.78,9.75,9.76,9.76,250200
2021-09-28,9.74,9.74,9.74,9.74,9.74,72900
2021-09-29,9.75,9.78,9.75,9.77,9.77,175900
2021-09-30,9.77,9.79,9.76,9.77,9.77,185400
2021-10-01,9.77,9.79,9.77,9.78,9.78,179800
2021-10-04,9.78,9.8,9.75,9.77,9.77,222700
2021-10-05,9.8,9.81,9.79,9.79,9.79,25600
2021-10-06,9.805,9.805,9.79,9.79,9.79,29200
2021-10-07,9.8,9.82,9.79,9.8,9.8,139000
2021-10-08,9.802,9.802,9.802,9.802,9.802,1000
2021-10-11,9.8,9.81,9.8,9.8,9.8,85000
2021-10-12,9.8,9.8,9.8,9.8,9.8,0
2021-10-13,9.8,9.8,9.8,9.8,9.8,400
2021-10-14,9.8,9.8,9.8,9.8,9.8,0
2021-10-15,9.8,9.81,9.8,9.81,9.81,11300
2021-10-18,9.8,9.8,9.8,9.8,9.8,800
2021-10-19,9.8,9.8,9.8,9.8,9.8,17100
2021-10-20,9.8,9.8,9.8,9.8,9.8,0
2021-10-21,9.8,9.8,9.8,9.8,9.8,100
2021-10-22,9.8,9.8,9.8,9.8,9.8,0
2021-10-25,9.8,9.8,9.8,9.8,9.8,0
2021-10-26,9.8,9.8,9.8,9.8,9.8,400
2021-10-27,9.8,9.8,9.8,9.8,9.8,1000
2021-10-28,9.8,9.81,9.79,9.8,9.8,6700
2021-10-29,9.79,9.81,9.79,9.8,9.8,276800
2021-11-01,9.8,9.81,9.8,9.81,9.81,10400
2021-11-02,9.8,9.8,9.8,9.8,9.8,6900
2021-11-03,9.8,9.82,9.8,9.815,9.815,13800
2021-11-04,9.8,9.8,9.8,9.8,9.8,400
2021-11-05,9.82,9.82,9.81,9.81,9.81,10600
2021-11-08,9.81,9.82,9.81,9.81,9.81,136200
2021-11-09,9.8,9.84,9.8,9.81,9.81,1800
2021-11-10,9.81,9.81,9.81,9.81,9.81,0
2021-11-11,9.81,9.82,9.8,9.82,9.82,101000
2021-11-12,9.81,9.81,9.81,9.81,9.81,10700
2021-11-15,9.81,9.83,9.81,9.82,9.82,6200
2021-11-16,9.81,9.81,9.81,9.81,9.81,300
2021-11-17,9.8,9.83,9.8,9.82,9.82,8000
2021-11-18,9.81,9.81,9.81,9.81,9.81,1800
2021-11-19,10.1,10.1,10.1,10.1,10.1,600
2021-11-22,10.07,10.07,9.8,9.86,9.86,4600
2021-11-23,9.855,9.86,9.8,9.83,9.83,4500
2021-11-24,9.82,9.83,9.82,9.825,9.825,200900
2021-11-26,9.82,9.82,9.82,9.82,9.82,13900
2021-11-29,9.82,9.82,9.81,9.81,9.81,52100
2021-11-30,9.83,9.83,9.8,9.8,9.8,23400
2021-12-01,9.8,9.8,9.8,9.8,9.8,0
2021-12-02,9.9,9.9,9.9,9.9,9.9,100
2021-12-03,9.9,9.9,9.9,9.9,9.9,0
2021-12-06,9.8,9.8,9.8,9.8,9.8,700
2021-12-07,9.79,9.8,9.79,9.79,9.79,21800
2021-12-08,9.78,9.8,9.78,9.8,9.8,679200
2021-12-09,9.81,9.9,9.81,9.9,9.9,5400
2021-12-10,9.77,9.8,9.77,9.78,9.78,48600
2021-12-13,9.78,9.78,9.78,9.78,9.78,30200
2021-12-14,9.78,9.8,9.77,9.78,9.78,65900
2021-12-15,9.78,9.78,9.78,9.78,9.78,500
2021-12-16,9.78,9.78,9.78,9.78,9.78,0
2021-12-17,9.78,9.8,9.78,9.8,9.8,1400
2021-12-20,9.8,9.82,9.78,9.82,9.82,16000
2021-12-21,9.78,9.78,9.78,9.78,9.78,300
