Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,9.83,9.98,9.815,9.82,9.82,6479700
2021-10-18,9.81,9.87,9.81,9.84,9.84,260600
2021-10-19,9.84,9.86,9.82,9.84,9.84,379600
2021-10-20,9.83,9.85,9.82,9.84,9.84,143300
2021-10-21,9.85,9.85,9.825,9.83,9.83,216900
2021-10-22,9.82,9.85,9.82,9.85,9.85,122700
2021-10-25,9.84,9.9,9.84,9.9,9.9,213600
2021-10-26,9.86,9.91,9.85,9.89,9.89,140100
2021-10-27,9.89,9.9,9.89,9.89,9.89,106200
2021-10-28,9.87,9.9,9.853,9.9,9.9,93900
2021-10-29,9.9,9.91,9.875,9.91,9.91,87900
2021-11-01,9.9,9.9,9.88,9.9,9.9,97800
2021-11-02,9.9,9.9,9.9,9.9,9.9,25900
2021-11-03,9.9,9.9,9.89,9.9,9.9,91600
2021-11-04,9.9,9.9,9.895,9.9,9.9,7900
2021-11-05,9.9,9.9,9.9,9.9,9.9,3300
2021-11-08,9.895,9.9,9.89,9.891,9.891,5700
2021-11-09,9.9,9.91,9.85,9.91,9.91,173600
2021-11-10,9.881,9.91,9.881,9.907,9.907,1700
2021-11-11,9.9,9.91,9.88,9.9,9.9,23800
2021-11-12,9.91,9.91,9.89,9.89,9.89,400
2021-11-15,9.91,9.92,9.9,9.92,9.92,94200
2021-11-16,9.92,9.92,9.9,9.91,9.91,5900
2021-11-17,9.92,9.93,9.9,9.913,9.913,46300
2021-11-18,9.9,9.9,9.9,9.9,9.9,1400
2021-11-19,9.889,9.9,9.85,9.9,9.9,8200
2021-11-22,9.9,9.9,9.864,9.9,9.9,4600
2021-11-23,9.9,9.95,9.891,9.92,9.92,258700
2021-11-24,9.94,10.04,9.93,10.0,10.0,182600
2021-11-26,10.0,10.0,10.0,10.0,10.0,0
2021-11-29,10.0,10.0,9.972,9.972,9.972,3900
2021-11-30,9.96,9.96,9.9,9.915,9.915,8400
2021-12-01,9.91,9.91,9.91,9.91,9.91,5300
2021-12-02,9.92,9.92,9.9,9.92,9.92,2900
2021-12-03,9.92,9.92,9.92,9.92,9.92,0
2021-12-06,9.92,9.92,9.92,9.92,9.92,0
2021-12-07,9.92,9.92,9.92,9.92,9.92,0
2021-12-08,9.9,10.0,9.9,10.0,10.0,1000
2021-12-09,9.914,9.914,9.914,9.914,9.914,200
2021-12-10,9.94,9.94,9.93,9.93,9.93,200
2021-12-13,9.93,9.93,9.93,9.93,9.93,0
2021-12-14,9.92,9.92,9.92,9.92,9.92,10900
2021-12-15,9.98,10.0,9.98,9.99,9.99,40100
2021-12-16,9.99,9.99,9.99,9.99,9.99,0
2021-12-17,9.99,9.99,9.99,9.99,9.99,0
2021-12-20,9.99,9.99,9.99,9.99,9.99,0
2021-12-21,9.99,9.99,9.99,9.99,9.99,0
2021-12-22,9.99,9.99,9.99,9.99,9.99,1200
2021-12-23,9.94,9.94,9.94,9.94,9.94,100
2021-12-27,9.92,9.92,9.92,9.92,9.92,100
2021-12-28,9.86,9.9,9.85,9.85,9.85,5000
2021-12-29,9.89,9.9,9.85,9.85,9.85,6900
2021-12-30,9.92,9.99,9.92,9.96,9.96,2900
2021-12-31,9.88,9.88,9.88,9.88,9.88,1000
2022-01-03,9.88,9.88,9.88,9.88,9.88,0
2022-01-04,9.831,9.831,9.81,9.81,9.81,1000
2022-01-05,9.905,9.905,9.905,9.905,9.905,4800
2022-01-06,9.905,9.905,9.905,9.905,9.905,0
2022-01-07,9.905,9.905,9.905,9.905,9.905,0
2022-01-10,9.99,9.99,9.94,9.94,9.94,28900
2022-01-11,9.95,9.95,9.921,9.93,9.93,4100
2022-01-12,9.95,9.95,9.92,9.92,9.92,5100
2022-01-13,9.95,9.95,9.92,9.92,9.92,3600
2022-01-14,9.92,9.92,9.9,9.9,9.9,5800
2022-01-18,9.88,9.88,9.87,9.873,9.873,2400
2022-01-19,9.86,9.97,9.838,9.94,9.94,8200
2022-01-20,9.94,9.94,9.94,9.94,9.94,0
2022-01-21,9.86,9.86,9.86,9.86,9.86,300
2022-01-24,9.87,9.89,9.851,9.89,9.89,1300
2022-01-25,9.89,9.89,9.89,9.89,9.89,0
2022-01-26,9.89,9.89,9.89,9.89,9.89,300
2022-01-27,9.89,9.89,9.89,9.89,9.89,0
2022-01-28,9.82,9.87,9.82,9.87,9.87,1500
2022-01-31,9.82,9.84,9.82,9.82,9.82,7000
2022-02-01,9.77,9.77,9.77,9.77,9.77,100
2022-02-02,9.7,9.78,9.7,9.78,9.78,400
2022-02-03,9.78,9.78,9.78,9.78,9.78,0
2022-02-04,9.77,9.86,9.65,9.86,9.86,41300
2022-02-07,9.86,9.86,9.86,9.86,9.86,0
2022-02-08,9.76,9.84,9.76,9.84,9.84,1100
2022-02-09,9.84,9.84,9.84,9.84,9.84,100
2022-02-10,9.84,9.84,9.84,9.84,9.84,0
2022-02-11,9.75,9.75,9.75,9.75,9.75,600
2022-02-14,9.75,9.75,9.75,9.75,9.75,0
2022-02-15,9.78,9.78,9.78,9.78,9.78,500
2022-02-16,9.94,9.94,9.94,9.94,9.94,100
2022-02-17,9.94,9.94,9.94,9.94,9.94,0
2022-02-18,9.68,9.91,9.67,9.91,9.91,1500
2022-02-22,9.91,9.91,9.91,9.91,9.91,0
2022-02-23,9.91,9.91,9.91,9.91,9.91,0
2022-02-24,9.91,9.91,9.91,9.91,9.91,0
2022-02-25,9.91,9.91,9.91,9.91,9.91,0
2022-02-28,9.7,9.87,9.7,9.75,9.75,3300
2022-03-01,9.75,9.75,9.75,9.75,9.75,0
2022-03-02,9.75,9.75,9.75,9.75,9.75,0
2022-03-03,9.75,9.75,9.75,9.75,9.75,0
2022-03-04,9.75,9.75,9.75,9.75,9.75,0
2022-03-07,9.74,9.74,9.74,9.74,9.74,400
2022-03-08,9.74,9.74,9.74,9.74,9.74,0
2022-03-09,9.74,9.74,9.74,9.74,9.74,0
2022-03-10,9.75,9.75,9.7,9.718,9.718,1900
2022-03-11,9.71,9.736,9.71,9.71,9.71,1400
2022-03-14,9.7,9.75,9.68,9.709,9.709,5400
2022-03-15,9.68,9.82,9.66,9.82,9.82,2200
2022-03-16,9.67,9.81,9.67,9.81,9.81,900
2022-03-17,9.735,9.8,9.735,9.8,9.8,200
2022-03-18,9.8,9.8,9.8,9.8,9.8,0
2022-03-21,9.66,9.66,9.66,9.66,9.66,3300
2022-03-22,9.74,9.77,9.68,9.77,9.77,3100
2022-03-23,9.77,9.77,9.77,9.77,9.77,0
2022-03-24,9.77,9.77,9.77,9.77,9.77,0
2022-03-25,9.68,9.82,9.68,9.73,9.73,800
2022-03-28,9.79,9.79,9.755,9.755,9.755,900
2022-03-29,9.74,9.8,9.7,9.79,9.79,3500
2022-03-30,9.8,9.8,9.8,9.8,9.8,100
2022-03-31,9.71,9.81,9.7,9.74,9.74,500
2022-04-01,9.77,9.77,9.77,9.77,9.77,100
2022-04-04,9.77,9.77,9.77,9.77,9.77,0
2022-04-05,9.8,9.81,9.757,9.81,9.81,3300
2022-04-06,9.81,9.81,9.81,9.81,9.81,700
2022-04-07,9.81,9.81,9.763,9.81,9.81,7100
2022-04-08,9.81,9.81,9.81,9.81,9.81,0
2022-04-11,9.81,9.81,9.81,9.81,9.81,0
2022-04-12,9.81,9.81,9.81,9.81,9.81,0
2022-04-13,9.71,9.8,9.71,9.72,9.72,900
2022-04-14,9.81,9.81,9.81,9.81,9.81,200
2022-04-18,9.79,9.804,9.73,9.78,9.78,3500
2022-04-19,9.78,9.78,9.78,9.78,9.78,0
2022-04-20,9.81,9.82,9.81,9.82,9.82,3200
2022-04-21,9.82,9.82,9.82,9.82,9.82,0
2022-04-22,9.82,9.83,9.82,9.82,9.82,8400
2022-04-25,9.82,9.82,9.82,9.82,9.82,0
2022-04-26,9.82,9.82,9.82,9.82,9.82,0
2022-04-27,9.82,9.82,9.82,9.82,9.82,700
2022-04-28,9.82,9.82,9.82,9.82,9.82,0
2022-04-29,9.82,9.82,9.82,9.82,9.82,0
2022-05-02,9.83,9.83,9.82,9.82,9.82,600
2022-05-03,9.82,9.82,9.82,9.82,9.82,5100
2022-05-04,9.75,9.75,9.75,9.75,9.75,100
2022-05-05,9.75,9.76,9.72,9.72,9.72,40500
2022-05-06,9.78,9.78,9.73,9.73,9.73,6200
2022-05-09,9.73,9.73,9.73,9.73,9.73,0
2022-05-10,9.73,9.73,9.73,9.73,9.73,0
2022-05-11,9.73,9.73,9.73,9.73,9.73,0
2022-05-12,9.69,9.69,9.69,9.69,9.69,100
2022-05-13,9.7,9.7,9.69,9.69,9.69,12800
2022-05-16,9.69,9.69,9.69,9.69,9.69,0
2022-05-17,9.69,9.69,9.69,9.69,9.69,0
2022-05-18,9.69,9.69,9.69,9.69,9.69,0
2022-05-19,9.69,9.69,9.69,9.69,9.69,0
2022-05-20,9.695,9.695,9.695,9.695,9.695,200
2022-05-23,9.65,9.65,9.65,9.65,9.65,600
2022-05-24,9.65,9.65,9.65,9.65,9.65,200
2022-05-25,9.65,9.65,9.65,9.65,9.65,0
2022-05-26,9.65,9.65,9.65,9.65,9.65,0
2022-05-27,9.65,9.65,9.65,9.65,9.65,0
2022-05-31,9.65,9.65,9.65,9.65,9.65,0
2022-06-01,9.65,9.65,9.65,9.65,9.65,0
2022-06-02,9.69,9.69,9.69,9.69,9.69,200
2022-06-03,9.69,9.69,9.69,9.69,9.69,0
2022-06-06,9.69,9.69,9.69,9.69,9.69,0
2022-06-07,9.69,9.69,9.69,9.69,9.69,0
2022-06-08,9.69,9.69,9.69,9.69,9.69,0
2022-06-09,9.69,9.74,9.69,9.74,9.74,1900
2022-06-10,9.74,9.74,9.74,9.74,9.74,0
2022-06-13,9.74,9.74,9.74,9.74,9.74,0
2022-06-14,9.74,9.74,9.74,9.74,9.74,0
2022-06-15,9.74,9.74,9.74,9.74,9.74,0
2022-06-16,9.74,9.74,9.74,9.74,9.74,0
2022-06-17,9.74,9.74,9.74,9.74,9.74,0
2022-06-21,9.74,9.74,9.74,9.74,9.74,0
2022-06-22,9.68,9.68,9.68,9.68,9.68,200
2022-06-23,9.68,9.68,9.68,9.68,9.68,0
2022-06-24,9.68,9.68,9.68,9.68,9.68,0
2022-06-27,9.68,9.68,9.68,9.68,9.68,0
2022-06-28,9.65,9.65,9.65,9.65,9.65,3000
2022-06-29,9.65,9.65,9.65,9.65,9.65,0
2022-06-30,9.65,9.65,9.65,9.65,9.65,0
2022-07-01,9.65,9.65,9.65,9.65,9.65,0
2022-07-05,9.65,9.65,9.65,9.65,9.65,0
2022-07-06,9.69,9.69,9.69,9.69,9.69,1800
2022-07-07,9.69,9.69,9.69,9.69,9.69,0
2022-07-08,9.69,9.71,9.68,9.69,9.69,7000
2022-07-11,9.69,9.69,9.69,9.69,9.69,0
2022-07-12,9.69,9.69,9.69,9.69,9.69,0
2022-07-13,9.69,9.69,9.69,9.69,9.69,0
2022-07-14,9.69,9.69,9.69,9.69,9.69,0
2022-07-15,9.69,9.69,9.69,9.69,9.69,0
2022-07-18,9.72,9.72,9.7,9.7,9.7,4300
2022-07-19,9.7,9.7,9.7,9.7,9.7,0
2022-07-20,9.72,9.72,9.71,9.71,9.71,1800
2022-07-21,9.71,9.71,9.71,9.71,9.71,0
2022-07-22,9.71,9.71,9.71,9.71,9.71,0
2022-07-25,9.71,9.71,9.71,9.71,9.71,0
2022-07-26,9.71,9.71,9.71,9.71,9.71,0
2022-07-27,9.735,9.735,9.71,9.71,9.71,1200
2022-07-28,9.71,9.71,9.71,9.71,9.71,0
2022-07-29,9.71,9.71,9.71,9.71,9.71,0
2022-08-01,9.68,9.68,9.68,9.68,9.68,100
2022-08-02,9.68,9.68,9.68,9.68,9.68,0
2022-08-03,9.68,9.68,9.68,9.68,9.68,0
2022-08-04,9.68,9.68,9.68,9.68,9.68,0
2022-08-05,9.68,9.68,9.68,9.68,9.68,0
2022-08-08,9.68,9.68,9.68,9.68,9.68,0
2022-08-09,9.68,9.68,9.68,9.68,9.68,0
2022-08-10,9.7,9.71,9.7,9.7,9.7,4200
2022-08-11,9.7,9.7,9.7,9.7,9.7,0
2022-08-12,9.7,9.7,9.7,9.7,9.7,0
2022-08-15,9.78,9.79,9.76,9.79,9.79,5000
2022-08-16,9.77,9.78,9.77,9.78,9.78,4600
2022-08-17,9.78,9.78,9.78,9.78,9.78,0
2022-08-18,9.78,9.78,9.78,9.78,9.78,0
2022-08-19,9.79,9.79,9.79,9.79,9.79,1700
2022-08-22,9.79,9.79,9.79,9.79,9.79,0
2022-08-23,9.79,9.79,9.79,9.79,9.79,0
2022-08-24,9.7,9.7,9.7,9.7,9.7,200
2022-08-25,9.71,9.71,9.68,9.71,9.71,80500
2022-08-26,9.67,9.75,9.67,9.73,9.73,3300
2022-08-29,9.76,9.76,9.74,9.74,9.74,4000
2022-08-30,9.78,9.8,9.74,9.74,9.74,4300
2022-08-31,9.75,9.75,9.75,9.75,9.75,100
