Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,3.75,3.75,3.4,3.51,3.51,42200
2016-03-15,3.69,3.78,3.35,3.36,3.36,32000
2016-03-16,3.31,3.5,3.3,3.44,3.44,24200
2016-03-17,3.49,3.52,3.46,3.51,3.51,11200
2016-03-18,3.58,4.21,3.5,3.8,3.8,92200
2016-03-21,4.09,4.45,3.9,4.2,4.2,152400
2016-03-22,4.29,4.32,3.78,4.09,4.09,81500
2016-03-23,4.2,4.45,3.82,4.01,4.01,70500
2016-03-24,4.23,4.32,3.98,4.25,4.25,36800
2016-03-28,4.4,4.45,3.98,4.13,4.13,69400
2016-03-29,4.15,4.32,4.06,4.32,4.32,18800
2016-03-30,4.45,4.45,4.23,4.4,4.4,43200
2016-03-31,4.4,4.4,4.31,4.31,4.31,11600
2016-04-01,4.35,4.4,4.16,4.4,4.4,20900
2016-04-04,4.4,4.45,4.3,4.43,4.43,13800
2016-04-05,4.38,4.5,4.28,4.44,4.44,41300
2016-04-06,4.5,5.2,4.35,4.95,4.95,221300
2016-04-07,5.51,5.51,4.86,5.25,5.25,60500
2016-04-08,5.45,5.49,4.9,5.22,5.22,65300
2016-04-11,5.23,5.36,5.12,5.3,5.3,21200
2016-04-12,5.35,5.4,5.1,5.23,5.23,31100
2016-04-13,5.4,5.4,5.15,5.2,5.2,4200
2016-04-14,5.25,5.34,5.2,5.2,5.2,43300
2016-04-15,5.16,5.3,5.16,5.29,5.29,15500
2016-04-18,5.3,5.7,5.3,5.39,5.39,64800
2016-04-19,5.5,5.7,5.5,5.69,5.69,37400
2016-04-20,5.63,5.82,5.54,5.54,5.54,23700
2016-04-21,5.74,5.74,5.3,5.49,5.49,55900
2016-04-22,5.4,5.5,5.4,5.42,5.42,7200
2016-04-25,5.25,5.69,5.25,5.68,5.68,12800
2016-04-26,5.68,5.68,5.32,5.45,5.45,11800
2016-04-27,5.42,5.61,5.42,5.5,5.5,13200
2016-04-28,5.47,5.49,5.3,5.47,5.47,31900
2016-04-29,5.31,5.38,5.18,5.24,5.24,32400
2016-05-02,5.29,5.3,5.15,5.24,5.24,5700
2016-05-03,5.15,5.26,4.6,5.13,5.13,37400
2016-05-04,5.21,5.49,5.18,5.47,5.47,34900
2016-05-05,5.66,5.66,5.22,5.22,5.22,10200
2016-05-06,5.1,5.42,5.06,5.4,5.4,15000
2016-05-09,5.75,5.9,5.4,5.48,5.48,72200
2016-05-10,5.5,5.5,5.14,5.37,5.37,26200
2016-05-11,5.5,5.5,5.4,5.42,5.42,20700
2016-05-12,5.2,5.36,5.15,5.15,5.15,18600
2016-05-13,5.25,5.5,5.25,5.47,5.47,19600
2016-05-16,5.49,5.49,5.16,5.26,5.26,10300
2016-05-17,5.19,5.4,5.15,5.23,5.23,8000
2016-05-18,5.23,5.25,5.03,5.1,5.1,13800
2016-05-19,5.05,5.1,4.85,5.05,5.05,28700
2016-05-20,5.01,5.01,4.89,4.89,4.89,15400
2016-05-23,4.94,4.95,4.75,4.94,4.94,29100
2016-05-24,4.95,4.99,4.85,4.9,4.9,33100
2016-05-25,4.92,5.05,4.85,5.02,5.02,8200
2016-05-26,5.05,5.19,4.84,5.09,5.09,21300
2016-05-27,5.08,5.3,4.86,5.02,5.02,18200
2016-05-31,4.92,5.21,4.87,5.02,5.02,2800
2016-06-01,4.91,5.02,4.75,4.81,4.81,3100
2016-06-02,4.75,5.0,4.75,4.95,4.95,10800
2016-06-03,4.99,4.99,4.84,4.94,4.94,2300
2016-06-06,4.96,4.96,4.8,4.89,4.89,1400
2016-06-07,4.88,5.01,4.59,5.0,5.0,34400
2016-06-08,4.69,4.99,4.67,4.76,4.76,9700
2016-06-09,4.84,4.9,4.83,4.85,4.85,6800
2016-06-10,4.89,5.0,4.78,4.97,4.97,6200
2016-06-13,4.97,5.38,4.97,5.35,5.35,55800
2016-06-14,5.15,5.33,5.01,5.15,5.15,12900
2016-06-15,5.16,5.45,5.15,5.45,5.45,31800
2016-06-16,5.45,5.5,5.28,5.4,5.4,25200
2016-06-17,5.4,5.47,4.8,4.8,4.8,31700
2016-06-20,5.43,5.43,4.87,4.9,4.9,15100
2016-06-21,5.03,5.1,4.81,4.82,4.82,9400
2016-06-22,4.8,4.98,4.8,4.9,4.9,2700
2016-06-23,4.91,4.91,4.76,4.79,4.79,17300
2016-06-24,4.33,4.782,4.33,4.621,4.621,8700
2016-06-27,4.6,4.69,4.1,4.37,4.37,23500
2016-06-28,4.7,4.7,4.443,4.68,4.68,7600
2016-06-29,4.79,4.79,4.559,4.62,4.62,19600
2016-06-30,4.75,5.16,4.538,5.15,5.15,23100
2016-07-01,5.2,5.2,4.5,4.53,4.53,6700
2016-07-05,4.6,4.89,4.6,4.63,4.63,4900
2016-07-06,4.83,4.87,4.66,4.66,4.66,5100
2016-07-07,4.65,4.65,4.551,4.58,4.58,7400
2016-07-08,4.733,4.79,4.62,4.63,4.63,3100
2016-07-11,4.996,4.996,4.62,4.62,4.62,3700
2016-07-12,4.62,4.78,4.55,4.63,4.63,25000
2016-07-13,4.62,4.62,4.3,4.45,4.45,33000
2016-07-14,4.665,4.69,4.27,4.379,4.379,12800
2016-07-15,4.38,4.38,4.178,4.217,4.217,3500
2016-07-18,4.16,4.252,4.037,4.179,4.179,11200
2016-07-19,4.23,4.699,4.23,4.61,4.61,39300
2016-07-20,4.69,4.7,4.58,4.64,4.64,45000
2016-07-21,4.6,4.69,4.6,4.618,4.618,24400
2016-07-22,4.6,4.696,4.58,4.63,4.63,6600
