Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,92.800003,93.440002,74.559998,83.040001,83.040001,59088
2021-08-16,79.040001,84.480003,72.0,84.480003,84.480003,11213
2021-08-17,80.160004,81.599998,76.800003,81.599998,81.599998,4144
2021-08-18,80.480003,81.120003,75.199997,75.519997,75.519997,2206
2021-08-19,75.199997,82.400002,73.599998,79.199997,79.199997,2506
2021-08-20,75.424004,81.599998,73.599998,73.760002,73.760002,4388
2021-08-23,73.599998,78.239998,73.599998,75.839996,75.839996,1738
2021-08-24,76.160004,80.959999,75.199997,75.839996,75.839996,1469
2021-08-25,76.143997,79.68,75.839996,78.080002,78.080002,2131
2021-08-26,79.839996,84.639999,78.959999,82.080002,82.080002,8294
2021-08-27,81.440002,95.040001,80.160004,84.639999,84.639999,39013
2021-08-30,86.080002,104.0,76.959999,90.879997,90.879997,169638
2021-08-31,92.160004,94.239998,80.160004,92.800003,92.800003,29325
2021-09-01,88.160004,91.040001,83.839996,86.239998,86.239998,21106
2021-09-02,85.760002,92.800003,83.68,84.639999,84.639999,14750
2021-09-03,84.959999,88.463997,82.720001,86.0,86.0,6275
2021-09-07,84.800003,87.360001,82.720001,84.639999,84.639999,3750
2021-09-08,84.639999,85.424004,75.519997,78.400002,78.400002,13119
2021-09-09,78.080002,78.400002,74.080002,74.639999,74.639999,7375
2021-09-10,73.599998,76.639999,70.239998,73.120003,73.120003,7263
2021-09-13,72.32,73.279999,67.68,70.080002,70.080002,4050
2021-09-14,71.040001,71.68,68.160004,69.279999,69.279999,4638
2021-09-15,68.959999,72.800003,66.239998,69.024002,69.024002,6550
2021-09-16,70.720001,71.216003,67.199997,67.199997,67.199997,2450
2021-09-17,67.199997,70.304001,66.720001,66.720001,66.720001,3513
2021-09-20,67.199997,84.32,65.344002,77.919998,77.919998,44425
2021-09-21,75.68,91.68,72.400002,80.0,80.0,55344
2021-09-22,81.440002,98.400002,80.160004,88.879997,88.879997,217363
2021-09-23,88.0,89.279999,79.68,80.959999,80.959999,13738
2021-09-24,81.440002,87.199997,78.400002,82.559998,82.559998,6925
2021-09-27,81.919998,82.671997,78.559998,81.599998,81.599998,5319
2021-09-28,78.720001,81.440002,76.959999,80.480003,80.480003,6206
2021-09-29,80.480003,81.279999,63.056,69.760002,69.760002,29463
2021-09-30,69.760002,75.199997,69.136002,71.839996,71.839996,6844
2021-10-01,71.360001,76.031998,70.400002,73.599998,73.599998,10688
2021-10-04,73.440002,76.0,67.68,68.480003,68.480003,12819
2021-10-05,68.639999,72.32,66.879997,68.32,68.32,7663
2021-10-06,67.839996,72.0,67.360001,67.519997,67.519997,6913
2021-10-07,68.0,72.0,68.0,68.959999,68.959999,6925
2021-10-08,69.599998,72.32,68.800003,69.120003,69.120003,2931
2021-10-11,68.32,70.239998,67.199997,67.199997,67.199997,2394
2021-10-12,68.0,70.400002,67.68,70.239998,70.239998,3713
2021-10-13,67.68,76.32,67.68,76.0,76.0,7950
2021-10-14,74.400002,75.839996,72.480003,74.080002,74.080002,2200
2021-10-15,72.32,74.751999,69.760002,71.456001,71.456001,1919
2021-10-18,72.160004,73.599998,69.599998,70.400002,70.400002,163644
2021-10-19,72.0,76.112,67.519997,72.639999,72.639999,49219
2021-10-20,71.040001,75.519997,69.760002,72.480003,72.480003,6613
2021-10-21,71.68,72.720001,69.120003,71.360001,71.360001,4063
2021-10-22,72.480003,72.480003,67.360001,68.0,68.0,8156
2021-10-25,69.599998,72.800003,67.360001,72.32,72.32,4344
2021-10-26,71.040001,71.440002,68.160004,69.440002,69.440002,2763
2021-10-27,68.32,74.239998,68.32,72.0,72.0,3444
2021-10-28,73.120003,76.416,71.199997,72.639999,72.639999,6531
2021-10-29,70.720001,78.720001,68.800003,74.720001,74.720001,11038
2021-11-01,75.68,84.480003,75.68,80.800003,80.800003,24281
2021-11-02,79.360001,93.440002,78.400002,92.0,92.0,24600
2021-11-03,91.040001,111.199997,89.599998,100.0,100.0,253131
2021-11-04,99.040001,110.400002,93.295998,99.839996,99.839996,98369
2021-11-05,100.800003,102.400002,90.080002,92.160004,92.160004,37275
2021-11-08,91.199997,94.816002,88.160004,90.080002,90.080002,13844
2021-11-09,88.959999,93.919998,84.0,90.239998,90.239998,18194
2021-11-10,88.639999,92.32,77.279999,81.279999,81.279999,11788
2021-11-11,81.760002,87.360001,79.68,81.919998,81.919998,17169
2021-11-12,87.360001,88.0,80.288002,80.991997,80.991997,13569
2021-11-15,80.800003,83.216003,75.264,79.040001,79.040001,14775
2021-11-16,79.519997,84.480003,76.32,78.239998,78.239998,19325
2021-11-17,76.480003,79.552002,75.519997,76.800003,76.800003,11113
2021-11-18,75.519997,78.559998,67.199997,75.839996,75.839996,33363
2021-11-19,75.360001,78.879997,51.84,52.959999,52.959999,56569
2021-11-22,52.799999,52.959999,35.68,38.720001,38.720001,49850
2021-11-23,38.080002,40.0,36.799999,37.279999,37.279999,20969
2021-11-24,39.52,45.119999,37.919998,44.959999,44.959999,22200
2021-11-26,40.959999,45.599998,40.0,43.200001,43.200001,8938
2021-11-29,45.759998,50.560001,42.560001,50.080002,50.080002,13281
2021-11-30,50.240002,51.040001,40.799999,43.52,43.52,13838
2021-12-01,43.52,44.799999,37.439999,39.200001,39.200001,7356
2021-12-02,37.439999,40.32,36.959999,38.880001,38.880001,5331
2021-12-03,39.040001,41.375999,36.639999,36.639999,36.639999,4619
2021-12-06,36.48,36.816002,32.16,35.200001,35.200001,9413
2021-12-07,35.84,43.712002,34.080002,40.639999,40.639999,11181
2021-12-08,40.0,41.279999,34.880001,40.48,40.48,6125
2021-12-09,38.784,43.68,38.784,38.880001,38.880001,5856
2021-12-10,42.880001,42.880001,34.560001,36.959999,36.959999,10375
2021-12-13,37.279999,40.48,36.16,39.360001,39.360001,10088
2021-12-14,40.832001,41.264,35.200001,36.0,36.0,10775
2021-12-15,39.200001,39.360001,35.040001,38.560001,38.560001,4688
2021-12-16,39.360001,42.240002,36.799999,37.279999,37.279999,5663
2021-12-17,37.759998,40.495998,37.759998,38.400002,38.400002,4019
2021-12-20,38.720001,38.720001,35.200001,36.959999,36.959999,3875
2021-12-21,36.32,38.383999,33.759998,34.880001,34.880001,6744
2021-12-22,35.040001,36.639999,31.360001,32.48,32.48,12638
2021-12-23,33.119999,34.127998,32.48,33.919998,33.919998,4006
2021-12-27,34.240002,34.240002,28.32,29.76,29.76,14725
2021-12-28,29.280001,30.559999,26.559999,27.68,27.68,21369
2021-12-29,28.0,28.0,25.76,26.4,26.4,8613
2021-12-30,25.76,26.4,24.639999,24.959999,24.959999,13738
2021-12-31,24.799999,27.84,24.32,27.84,27.84,14725
2022-01-03,28.639999,30.304001,28.48,30.08,30.08,3638
2022-01-04,30.24,30.24,26.784,27.360001,27.360001,10200
2022-01-05,28.639999,29.120001,24.959999,25.6,25.6,10119
2022-01-06,25.120001,26.24,24.0,24.16,24.16,9231
2022-01-07,24.16,25.280001,23.200001,25.120001,25.120001,4569
2022-01-10,24.32,24.879999,22.559999,23.68,23.68,5281
2022-01-11,24.959999,26.719999,23.360001,26.08,26.08,15600
2022-01-12,26.08,26.4,23.200001,24.0,24.0,11438
2022-01-13,24.32,24.848,23.200001,24.0,24.0,8006
2022-01-14,23.200001,26.4,22.879999,24.799999,24.799999,8469
2022-01-18,23.68,25.120001,22.879999,24.16,24.16,6250
2022-01-19,24.48,28.32,23.84,26.879999,26.879999,17294
2022-01-20,25.440001,28.959999,25.440001,27.52,27.52,8619
2022-01-21,26.559999,27.040001,24.48,26.24,26.24,10500
2022-01-24,25.440001,27.68,22.879999,27.68,27.68,14538
2022-01-25,28.639999,35.056,28.096001,31.84,31.84,10331
2022-01-26,31.84,32.16,27.52,31.040001,31.040001,6444
2022-01-27,31.040001,34.080002,28.16,31.52,31.52,7194
2022-01-28,33.279999,33.599998,30.4,32.639999,32.639999,9694
2022-01-31,32.639999,36.639999,32.639999,36.0,36.0,5463
2022-02-01,36.0,39.040001,36.0,38.080002,38.080002,7600
2022-02-02,38.720001,38.720001,32.48,35.52,35.52,4344
2022-02-03,34.560001,39.200001,29.6,34.240002,34.240002,4875
2022-02-04,35.200001,36.0,32.976002,35.52,35.52,9638
2022-02-07,26.559999,29.120001,21.76,23.200001,23.200001,115763
2022-02-08,23.200001,23.84,20.959999,21.92,21.92,36594
2022-02-09,20.799999,21.120001,15.04,17.120001,17.120001,81325
2022-02-10,21.440001,24.799999,19.200001,22.719999,22.719999,1431881
2022-02-11,21.92,22.879999,17.92,18.24,18.24,91381
2022-02-14,17.76,19.84,17.6,18.559999,18.559999,21363
2022-02-15,18.879999,19.440001,18.719999,18.719999,18.719999,13281
2022-02-16,19.167999,20.32,18.559999,20.16,20.16,15063
2022-02-17,19.52,20.32,19.040001,20.0,20.0,11113
2022-02-18,19.52,21.6,19.040001,19.68,19.68,14288
2022-02-22,19.68,19.84,18.559999,18.879999,18.879999,8138
2022-02-23,20.0,20.32,18.559999,18.719999,18.719999,4950
2022-02-24,16.639999,19.84,16.32,19.200001,19.200001,4694
2022-02-25,19.68,20.639999,18.719999,19.84,19.84,6013
2022-02-28,19.200001,20.48,19.040001,19.68,19.68,1775
2022-03-01,19.52,20.639999,19.360001,19.84,19.84,5438
2022-03-02,20.16,20.608,19.200001,19.360001,19.360001,2781
2022-03-03,19.52,20.16,18.559999,19.200001,19.200001,2425
2022-03-04,18.752001,19.440001,17.280001,17.440001,17.440001,1956
2022-03-07,17.120001,17.440001,16.32,16.32,16.32,2475
2022-03-08,17.040001,17.056,16.0,16.704,16.704,2338
2022-03-09,16.799999,18.24,16.799999,17.84,17.84,1513
2022-03-10,17.280001,17.792,16.608,16.639999,16.639999,1225
2022-03-11,17.76,17.76,14.736,14.88,14.88,5731
2022-03-14,15.2,16.0,14.88,15.008,15.008,3025
2022-03-15,15.2,15.84,14.72,14.96,14.96,1919
2022-03-16,15.2,15.36,14.592,15.2,15.2,2069
2022-03-17,15.04,16.0,15.04,16.0,16.0,3350
2022-03-18,17.76,17.92,15.456,16.0,16.0,3894
2022-03-21,15.68,23.200001,15.52,23.040001,23.040001,159369
2022-03-22,19.84,21.408001,19.68,20.48,20.48,27550
2022-03-23,20.0,20.208,18.559999,18.879999,18.879999,7275
2022-03-24,18.719999,20.0,18.719999,19.360001,19.360001,5569
2022-03-25,18.719999,21.6,18.559999,21.120001,21.120001,11356
2022-03-28,21.488001,22.08,19.84,21.280001,21.280001,5844
2022-03-29,20.799999,20.799999,19.52,20.48,20.48,5050
2022-03-30,19.968,20.959999,19.344,20.799999,20.799999,2619
2022-03-31,20.32,20.784,18.719999,20.0,20.0,3950
2022-04-01,19.52,20.48,19.232,20.48,20.48,2025
2022-04-04,19.200001,20.48,19.200001,20.0,20.0,2131
2022-04-05,19.52,23.52,18.719999,21.280001,21.280001,36894
2022-04-06,20.48,21.440001,20.0,20.608,20.608,3088
2022-04-07,20.16,21.120001,18.719999,18.879999,18.879999,6244
2022-04-08,18.4,19.040001,17.280001,18.784,18.784,5788
2022-04-11,18.4,18.879999,17.440001,18.24,18.24,1956
2022-04-12,18.4,19.344,18.08,18.719999,18.719999,813
2022-04-13,18.4,19.664,18.08,18.591999,18.591999,5925
2022-04-14,18.4,19.040001,17.6,18.32,18.32,2513
2022-04-18,18.719999,19.184,18.24,18.559999,18.559999,1556
2022-04-19,18.559999,19.68,18.24,19.120001,19.120001,3025
2022-04-20,20.48,21.6,19.200001,20.48,20.48,7794
2022-04-21,20.16,22.719999,20.16,20.48,20.48,26569
2022-04-22,20.799999,20.959999,20.16,20.32,20.32,2825
2022-04-25,20.16,20.799999,19.360001,19.76,19.76,6044
2022-04-26,19.360001,19.68,18.08,18.24,18.24,2194
2022-04-27,19.040001,19.040001,16.32,16.48,16.48,3106
2022-04-28,16.639999,17.6,15.52,16.879999,16.879999,4875
2022-04-29,16.0,19.040001,16.0,16.48,16.48,2906
2022-05-02,17.120001,17.120001,16.0,16.0,16.0,1394
2022-05-03,16.799999,16.944,15.84,16.16,16.16,1200
2022-05-04,16.799999,16.848,15.84,16.528,16.528,4931
2022-05-05,16.48,16.48,15.216,15.84,15.84,1513
2022-05-06,15.2,15.84,14.24,14.24,14.24,1894
2022-05-09,14.288,15.472,10.88,14.032,14.032,3288
2022-05-10,13.6,14.4,13.6,14.4,14.4,156
2022-05-11,13.6,14.208,11.76,11.76,11.76,1244
2022-05-12,10.56,12.416,10.464,12.304,12.304,2775
2022-05-13,13.424,14.24,12.448,13.184,13.184,494
2022-05-16,13.312,14.432,9.92,11.904,11.904,3006
2022-05-17,10.4,13.68,10.4,11.04,11.04,2488
2022-05-18,13.28,13.44,10.08,11.84,11.84,2713
2022-05-19,10.4,12.32,10.4,11.056,11.056,6738
2022-05-20,10.72,11.6,10.4,11.2,11.2,1375
2022-05-23,11.36,13.104,10.56,12.0,12.0,4350
2022-05-24,11.168,11.968,10.56,11.968,11.968,988
2022-05-25,11.52,12.016,11.264,12.016,12.016,663
2022-05-26,13.168,13.168,12.32,12.96,12.96,294
2022-05-27,12.32,12.96,11.76,12.56,12.56,856
2022-05-31,12.784,12.8,12.16,12.48,12.48,325
2022-06-01,12.288,12.448,11.04,11.04,11.04,2175
2022-06-02,11.984,12.848,11.04,11.2,11.2,3506
2022-06-03,11.552,11.968,10.416,11.024,11.024,2319
2022-06-06,11.2,11.68,10.72,10.72,10.72,2231
2022-06-07,10.576,12.096,10.08,10.24,10.24,2488
2022-06-08,10.24,10.72,10.08,10.704,10.704,950
2022-06-09,10.88,10.896,8.88,10.24,10.24,10025
2022-06-10,10.0,14.4,8.64,9.44,9.44,30056
2022-06-13,9.216,9.744,7.68,8.96,8.96,3094
2022-06-14,8.736,9.6,8.736,8.816,8.816,4244
2022-06-15,9.136,9.44,8.0,8.608,8.608,4494
2022-06-16,8.0,8.736,6.96,8.736,8.736,3700
2022-06-17,8.736,8.736,7.28,7.744,7.744,1250
2022-06-21,7.76,9.6,7.68,8.224,8.224,11219
2022-06-22,8.176,9.28,7.52,8.0,8.0,13906
2022-06-23,8.576,8.672,7.68,8.384,8.384,6800
2022-06-24,8.608,8.96,7.68,7.68,7.68,16263
2022-06-27,7.52,9.2,7.2,8.144,8.144,39869
2022-06-28,8.72,9.04,7.68,8.48,8.48,27306
2022-06-29,8.64,10.08,8.16,8.688,8.688,63663
2022-06-30,9.12,16.639999,9.12,10.4,10.4,1844638
2022-07-01,8.976,9.232,8.08,8.208,8.208,90356
2022-07-05,8.208,8.48,7.68,8.16,8.16,81000
2022-07-06,8.016,8.8,7.36,8.32,8.32,73244
2022-07-07,8.32,12.64,8.256,11.04,11.04,1083381
2022-07-08,11.072,14.064,10.56,12.784,12.784,680213
2022-07-11,12.8,14.08,11.36,13.12,13.12,328700
2022-07-12,12.8,13.6,12.112,12.64,12.64,83275
2022-07-13,12.624,12.8,11.2,11.84,11.84,63900
2022-07-14,12.0,13.2,11.216,12.624,12.624,67706
2022-07-15,13.12,13.12,11.28,11.84,11.84,69925
2022-07-18,11.52,12.16,10.88,11.2,11.2,40031
2022-07-19,11.2,12.08,9.92,11.472,11.472,65600
2022-07-20,12.032,13.6,10.768,12.64,12.64,108400
2022-07-21,12.32,13.12,11.84,12.08,12.08,29975
2022-07-22,12.144,12.432,10.96,11.28,11.28,24075
2022-07-25,11.264,11.84,10.24,11.2,11.2,28363
2022-07-26,11.232,11.52,7.76,9.12,9.12,183625
2022-07-27,8.864,9.76,8.512,9.536,9.536,30600
2022-07-28,9.12,9.584,8.48,9.088,9.088,21706
2022-07-29,9.12,9.504,8.576,9.296,9.296,30488
2022-08-01,9.296,9.52,8.96,9.36,9.36,8713
2022-08-02,8.96,9.28,8.272,8.592,8.592,13725
2022-08-03,8.368,11.04,8.368,10.336,10.336,54063
2022-08-04,10.352,10.56,9.296,10.24,10.24,25406
2022-08-05,10.224,10.4,9.664,9.92,9.92,12581
2022-08-08,9.76,11.2,9.6,10.704,10.704,18938
2022-08-09,10.4,11.152,10.096,10.592,10.592,24675
2022-08-10,10.56,10.88,9.76,10.08,10.08,18900
2022-08-11,10.208,10.72,9.76,9.84,9.84,28588
2022-08-12,9.872,11.024,9.872,10.56,10.56,41825
2022-08-15,10.72,11.52,10.24,10.88,10.88,37769
2022-08-16,11.2,12.32,11.04,11.248,11.248,173575
2022-08-17,11.984,13.12,11.36,11.888,11.888,67544
2022-08-18,11.632,12.8,11.04,12.128,12.128,81631
2022-08-19,11.84,12.8,10.8,11.616,11.616,70000
2022-08-22,11.04,12.448,10.88,11.52,11.52,25331
2022-08-23,11.792,12.0,10.864,11.168,11.168,23256
2022-08-24,11.2,11.68,10.4,11.2,11.2,17169
2022-08-25,11.68,11.68,10.88,11.36,11.36,17069
2022-08-26,11.28,11.28,10.032,10.192,10.192,20338
2022-08-29,10.208,10.4,9.616,10.0,10.0,15319
2022-08-30,9.76,10.08,8.8,9.52,9.52,39100
2022-08-31,9.6,9.6,9.024,9.12,9.12,7425
2022-09-01,8.96,10.24,8.208,9.6,9.6,67563
2022-09-02,10.144,10.4,9.472,9.712,9.712,14144
2022-09-06,9.6,11.68,9.28,11.2,11.2,63813
2022-09-07,11.216,12.0,11.2,11.616,11.616,20750
2022-09-08,11.456,12.4,10.88,11.76,11.76,16219
2022-09-09,11.52,12.0,10.752,11.52,11.52,11069
2022-09-12,11.168,11.84,10.944,11.28,11.28,7100
2022-09-13,10.944,11.2,10.56,10.816,10.816,7963
2022-09-14,10.48,10.88,10.4,10.576,10.576,9750
2022-09-15,10.56,10.64,9.776,10.272,10.272,7144
2022-09-16,10.08,10.416,9.792,9.936,9.936,4913
2022-09-19,10.048,10.72,9.616,9.776,9.776,4338
2022-09-20,9.6,9.92,9.296,9.472,9.472,14113
2022-09-21,10.24,10.24,9.12,9.44,9.44,7469
2022-09-22,9.152,9.296,8.16,8.496,8.496,18656
2022-09-23,8.208,9.28,8.16,8.64,8.64,4763
2022-09-26,8.64,9.2,8.016,8.112,8.112,3506
2022-09-27,8.016,8.64,8.016,8.336,8.336,1825
2022-09-28,8.16,8.864,7.04,8.64,8.64,37956
2022-09-29,8.16,8.8,8.16,8.32,8.32,14469
2022-09-30,8.64,8.8,8.32,8.32,8.32,2925
2022-10-03,8.96,9.6,8.8,9.36,9.36,10500
2022-10-04,9.2,9.92,9.12,9.744,9.744,9169
2022-10-05,9.008,9.712,8.976,9.44,9.44,3631
2022-10-06,9.28,10.0,9.28,9.68,9.68,5000
2022-10-07,9.28,9.76,8.96,9.568,9.568,5750
2022-10-10,9.6,10.32,9.44,9.6,9.6,5794
2022-10-11,9.6,10.56,9.36,10.496,10.496,23381
2022-10-12,10.08,10.4,9.76,10.128,10.128,6838
2022-10-13,10.192,11.12,9.52,10.8,10.8,42144
2022-10-14,10.512,11.76,10.512,11.36,11.36,24463
2022-10-17,11.36,11.408,10.64,11.136,11.136,9875
2022-10-18,10.976,11.44,10.48,11.2,11.2,8081
2022-10-19,11.52,11.52,10.88,10.896,10.896,3050
2022-10-20,10.56,11.36,10.368,10.416,10.416,5000
2022-10-21,10.928,10.928,10.16,10.432,10.432,2631
2022-10-24,10.72,12.64,10.32,12.32,12.32,32088
2022-10-25,12.48,12.64,11.44,11.632,11.632,12075
2022-10-26,11.52,13.12,11.52,12.16,12.16,31706
2022-10-27,12.0,12.112,11.216,11.28,11.28,6388
2022-10-28,11.6,11.792,10.24,11.072,11.072,5988
2022-10-31,11.184,11.2,10.56,10.576,10.576,6138
2022-11-01,10.56,11.52,10.56,11.008,11.008,6113
2022-11-02,10.56,10.88,9.888,10.4,10.4,8831
2022-11-03,9.76,10.864,9.76,10.56,10.56,17788
2022-11-04,10.88,10.88,9.76,10.24,10.24,5725
2022-11-07,10.24,10.848,9.6,9.92,9.92,18625
2022-11-08,10.08,10.272,9.12,9.6,9.6,13550
2022-11-09,9.312,9.6,8.816,8.96,8.96,10631
2022-11-10,9.44,9.6,9.168,9.28,9.28,8875
2022-11-11,9.696,10.688,9.216,10.24,10.24,35894
2022-11-14,9.76,10.864,9.6,10.176,10.176,6100
2022-11-15,10.176,11.04,9.92,10.72,10.72,13138
2022-11-16,10.4,12.16,10.4,11.76,11.76,29325
2022-11-17,11.744,11.84,11.072,11.84,11.84,17344
2022-11-18,11.488,11.84,10.576,11.28,11.28,9331
2022-11-21,11.36,11.68,10.56,11.168,11.168,4038
2022-11-22,11.2,11.2,10.576,10.96,10.96,938
2022-11-23,10.56,10.88,9.92,10.304,10.304,14650
2022-11-25,10.0,10.56,9.984,10.112,10.112,913
2022-11-28,9.68,10.4,9.648,10.0,10.0,931
2022-11-29,9.936,10.56,9.84,10.24,10.24,4531
2022-11-30,10.4,10.56,9.84,10.32,10.32,2863
2022-12-01,10.24,10.72,9.84,9.92,9.92,7694
2022-12-02,9.616,10.56,9.6,10.256,10.256,3675
2022-12-05,4.208,4.608,3.584,4.112,4.112,396956
2022-12-06,3.968,4.112,3.12,3.2,3.2,99294
2022-12-07,3.36,3.36,2.88,3.12,3.12,27163
2022-12-08,3.12,3.28,2.96,2.976,2.976,22425
2022-12-09,2.976,3.52,2.912,2.992,2.992,38144
2022-12-12,3.152,3.84,2.592,3.152,3.152,185706
2022-12-13,3.04,3.36,2.976,2.992,2.992,49875
2022-12-14,3.04,3.6,3.04,3.296,3.296,102919
2022-12-15,3.2,3.36,2.912,3.104,3.104,32600
2022-12-16,3.12,6.08,3.104,3.616,3.616,1177556
2022-12-19,3.808,4.08,3.6,3.616,3.616,95881
2022-12-20,3.504,3.52,3.072,3.2,3.2,48419
2022-12-21,2.96,3.36,2.928,3.024,3.024,29000
2022-12-22,2.96,3.04,2.752,2.848,2.848,18050
