Date,Open,High,Low,Close,Adj Close,Volume
2023-03-30,10.2,10.2,10.15,10.16,10.16,58200
2023-03-31,10.16,10.18,10.15,10.16,10.16,1428300
2023-04-03,10.18,10.18,10.16,10.16,10.16,133200
2023-04-04,10.15,10.17,10.15,10.16,10.16,230700
2023-04-05,10.17,10.175,10.16,10.17,10.17,517500
2023-04-06,10.19,10.19,10.17,10.17,10.17,11400
2023-04-10,10.17,10.179,10.17,10.179,10.179,147000
2023-04-11,10.17,10.19,10.17,10.18,10.18,130100
2023-04-12,10.18,10.19,10.18,10.19,10.19,7900
2023-04-13,11.17,11.17,10.18,10.195,10.195,23100
2023-04-14,10.2,10.895,10.18,10.23,10.23,51400
2023-04-17,10.29,10.29,10.245,10.26,10.26,2900
2023-04-18,10.275,10.275,10.26,10.26,10.26,7300
2023-04-19,10.27,10.28,10.27,10.275,10.275,102100
2023-04-20,10.275,10.275,10.27,10.27,10.27,4900
2023-04-21,10.28,10.28,10.26,10.265,10.265,105600
2023-04-24,10.27,10.29,10.265,10.28,10.28,227400
2023-04-25,10.29,10.29,10.27,10.27,10.27,4400
2023-04-26,10.28,10.28,10.28,10.28,10.28,200
2023-04-27,10.28,10.28,10.28,10.28,10.28,0
2023-04-28,10.28,10.28,10.28,10.28,10.28,0
2023-05-01,10.28,10.28,10.28,10.28,10.28,0
2023-05-02,10.37,10.37,10.26,10.33,10.33,7400
2023-05-03,10.33,10.33,10.33,10.33,10.33,100
2023-05-04,10.26,10.32,10.22,10.32,10.32,4900
2023-05-05,10.32,10.32,10.32,10.32,10.32,0
2023-05-08,10.27,10.31,10.27,10.31,10.31,400
2023-05-09,10.22,10.23,10.22,10.23,10.23,2400
2023-05-10,10.23,10.23,10.23,10.23,10.23,0
2023-05-11,10.249,10.249,10.23,10.23,10.23,3700
2023-05-12,10.23,10.26,10.23,10.26,10.26,9900
2023-05-15,10.26,10.27,10.26,10.27,10.27,3300
2023-05-16,10.27,10.27,10.27,10.27,10.27,0
2023-05-17,10.34,10.34,10.34,10.34,10.34,200
2023-05-18,10.259,10.328,10.25,10.328,10.328,1600
2023-05-19,10.24,10.24,10.24,10.24,10.24,200
2023-05-22,10.29,10.29,10.29,10.29,10.29,300
2023-05-23,10.299,10.32,10.299,10.32,10.32,600
2023-05-24,10.32,10.32,10.32,10.32,10.32,0
2023-05-25,10.29,10.29,10.29,10.29,10.29,300
2023-05-26,10.297,10.3,10.297,10.3,10.3,1000
2023-05-30,10.26,10.26,10.26,10.26,10.26,1100
2023-05-31,10.26,10.26,10.26,10.26,10.26,0
2023-06-01,10.26,10.26,10.26,10.26,10.26,0
2023-06-02,10.26,10.26,10.26,10.26,10.26,0
2023-06-05,10.28,10.29,10.28,10.28,10.28,16000
2023-06-06,10.28,10.28,10.28,10.28,10.28,0
2023-06-07,10.28,10.28,10.28,10.28,10.28,0
2023-06-08,10.28,10.28,10.28,10.28,10.28,600
2023-06-09,10.28,10.28,10.28,10.28,10.28,0
2023-06-12,10.28,10.28,10.28,10.28,10.28,600
2023-06-13,10.28,10.28,10.28,10.28,10.28,0
2023-06-14,10.29,10.29,10.29,10.29,10.29,5100
2023-06-15,10.29,10.29,10.29,10.29,10.29,0
2023-06-16,10.29,10.29,10.29,10.29,10.29,0
2023-06-20,10.29,10.29,10.29,10.29,10.29,0
2023-06-21,10.295,10.297,10.295,10.297,10.297,1500
2023-06-22,10.3,10.32,10.3,10.32,10.32,3000
2023-06-23,10.32,10.32,10.32,10.32,10.32,0
2023-06-26,10.32,10.32,10.32,10.32,10.32,0
2023-06-27,10.32,10.32,10.32,10.32,10.32,600
2023-06-28,10.32,10.32,10.32,10.32,10.32,0
2023-06-29,10.32,10.32,10.32,10.32,10.32,600
2023-06-30,10.32,10.32,10.32,10.32,10.32,0
2023-07-03,10.32,10.32,10.32,10.32,10.32,0
2023-07-05,10.32,10.32,10.32,10.32,10.32,0
2023-07-06,10.32,10.32,10.32,10.32,10.32,0
2023-07-07,10.35,10.35,10.35,10.35,10.35,11200
2023-07-10,10.35,10.35,10.35,10.35,10.35,180000
2023-07-11,10.35,10.35,10.35,10.35,10.35,0
