Date,Open,High,Low,Close,Adj Close,Volume
2016-02-03,18.0,18.879999,16.0,18.200001,18.200001,4157900
2016-02-04,18.26,19.42,17.57,18.5,18.5,469900
2016-02-05,18.84,18.879999,17.52,17.6,17.6,219900
2016-02-08,17.52,18.0,15.72,15.85,15.85,372100
2016-02-09,15.5,15.5,12.748,12.81,12.81,744100
2016-02-10,13.01,14.0,12.79,13.09,13.09,260800
2016-02-11,12.97,16.9,12.57,15.77,15.77,258900
2016-02-12,16.0,17.440001,15.05,15.4,15.4,216300
2016-02-16,15.85,16.205,15.73,15.94,15.94,142500
2016-02-17,16.74,17.16,15.96,16.700001,16.700001,245500
2016-02-18,17.15,17.389999,16.200001,16.75,16.75,129900
2016-02-19,16.860001,19.98,16.66,18.48,18.48,345700
2016-02-22,19.6,21.9,19.1,21.620001,21.620001,417000
2016-02-23,21.299999,23.48,21.26,22.620001,22.620001,411800
2016-02-24,22.9,24.559999,22.0,23.219999,23.219999,498300
2016-02-25,22.84,24.280001,22.799999,23.950001,23.950001,325800
2016-02-26,25.360001,29.4,24.32,27.49,27.49,583100
2016-02-29,28.0,30.120001,27.440001,28.950001,28.950001,618700
2016-03-01,29.469999,29.799999,26.690001,28.959999,28.959999,532700
2016-03-02,29.0,31.9,28.049999,31.9,31.9,394300
2016-03-03,32.919998,39.075001,31.511,37.490002,37.490002,590000
2016-03-04,39.0,39.130001,34.25,35.560001,35.560001,577300
2016-03-07,35.889999,41.599998,35.889999,39.110001,39.110001,421100
2016-03-08,41.990002,43.990002,40.130001,41.990002,41.990002,603900
2016-03-09,42.700001,43.41,30.0,31.1,31.1,1444300
2016-03-10,32.5,32.5,25.639999,26.74,26.74,816900
2016-03-11,27.98,32.0,27.25,31.25,31.25,467800
2016-03-14,31.25,34.299999,30.51,30.77,30.77,305500
2016-03-15,29.85,33.349998,29.4,32.34,32.34,197800
2016-03-16,32.080002,35.200001,31.01,31.02,31.02,278500
2016-03-17,31.17,32.539001,30.309999,30.43,30.43,290400
2016-03-18,31.57,31.57,28.02,29.360001,29.360001,1080500
2016-03-21,30.24,30.5,29.0,29.959999,29.959999,229900
2016-03-22,29.950001,30.379999,29.200001,29.879999,29.879999,100100
2016-03-23,30.0,30.879999,29.110001,30.450001,30.450001,294000
2016-03-24,30.440001,31.57,30.049999,31.309999,31.309999,185400
2016-03-28,31.780001,31.99,30.049999,30.530001,30.530001,104100
2016-03-29,30.129999,33.240002,30.129999,32.610001,32.610001,158500
2016-03-30,33.0,34.325001,31.02,31.190001,31.190001,122500
2016-03-31,32.0,35.0,31.5,34.540001,34.540001,976300
2016-04-01,35.0,37.41,33.169998,36.900002,36.900002,230300
2016-04-04,37.290001,40.5,37.0,39.580002,39.580002,333900
2016-04-05,39.450001,42.845001,38.599998,42.040001,42.040001,403700
2016-04-06,41.98,43.5,41.612,41.830002,41.830002,271900
2016-04-07,41.5,41.563999,38.599998,39.860001,39.860001,372000
2016-04-08,40.41,41.132,40.0,40.450001,40.450001,236900
2016-04-11,41.049999,41.189999,37.259998,37.869999,37.869999,241900
2016-04-12,37.48,37.91,35.419998,37.110001,37.110001,275100
2016-04-13,38.610001,38.610001,37.150002,38.189999,38.189999,107900
2016-04-14,38.099998,40.757999,38.099998,39.73,39.73,159200
2016-04-15,39.669998,41.400002,39.669998,39.869999,39.869999,161200
2016-04-18,40.5,41.259998,40.0,40.360001,40.360001,57000
2016-04-19,40.759998,41.099998,38.75,39.59,39.59,144900
2016-04-20,39.740002,40.966,39.099998,40.639999,40.639999,67600
2016-04-21,41.040001,41.240002,39.52,40.23,40.23,91000
2016-04-22,40.48,40.757999,37.759998,38.099998,38.099998,210600
2016-04-25,38.09,39.5,38.09,38.709999,38.709999,121900
2016-04-26,39.279999,39.41,36.5,37.0,37.0,141200
2016-04-27,36.860001,36.98,36.02,36.369999,36.369999,141600
2016-04-28,36.98,38.029999,34.040001,34.139999,34.139999,152300
2016-04-29,34.0,34.549999,32.029999,33.049999,33.049999,215000
2016-05-02,33.07,34.308998,33.07,33.509998,33.509998,91100
2016-05-03,33.470001,33.52,30.99,30.99,30.99,181900
2016-05-04,32.049999,32.18,30.0,30.200001,30.200001,169900
2016-05-05,31.0,32.5,30.292999,31.99,31.99,199700
2016-05-06,31.9,32.560001,29.43,30.129999,30.129999,169800
2016-05-09,30.040001,30.973,30.040001,30.299999,30.299999,76000
2016-05-10,30.299999,30.889999,30.200001,30.610001,30.610001,79100
2016-05-11,30.440001,30.940001,30.299999,30.389999,30.389999,105700
2016-05-12,30.41,30.41,27.98,28.540001,28.540001,251100
2016-05-13,28.639999,30.344999,28.620001,30.09,30.09,114400
2016-05-16,31.0,36.244999,30.889999,34.0,34.0,573800
2016-05-17,35.099998,35.599998,32.200001,32.200001,32.200001,185800
2016-05-18,31.950001,33.52,31.879999,33.34,33.34,106100
2016-05-19,33.490002,34.43,32.48,32.849998,32.849998,160700
2016-05-20,32.93,33.737,32.669998,33.25,33.25,131400
2016-05-23,33.139999,34.557999,33.07,33.779999,33.779999,203100
2016-05-24,33.860001,36.099998,33.860001,35.75,35.75,201800
2016-05-25,36.0,37.0,35.150002,36.02,36.02,254400
2016-05-26,36.0,36.584999,35.189999,35.389999,35.389999,77700
2016-05-27,36.0,36.25,34.400002,35.220001,35.220001,162800
2016-05-31,35.220001,37.240002,35.02,37.09,37.09,227500
2016-06-01,37.110001,38.25,36.52,36.790001,36.790001,154900
2016-06-02,36.080002,37.950001,34.02,34.84,34.84,167600
2016-06-03,34.209999,35.48,33.02,33.709999,33.709999,182100
2016-06-06,33.75,33.82,32.049999,32.889999,32.889999,216400
2016-06-07,32.68,35.080002,32.52,33.57,33.57,193400
2016-06-08,33.689999,35.0,33.080002,34.470001,34.470001,217800
2016-06-09,34.0,34.924999,32.290001,32.389999,32.389999,142200
2016-06-10,32.0,32.021999,30.4,30.540001,30.540001,189200
2016-06-13,30.1,30.952999,29.709999,30.030001,30.030001,243400
2016-06-14,30.25,31.01,29.700001,30.870001,30.870001,179200
2016-06-15,30.92,32.669998,30.92,32.529999,32.529999,141100
2016-06-16,32.220001,32.544998,30.51,31.299999,31.299999,287000
2016-06-17,31.41,31.549999,29.690001,29.690001,29.690001,646900
2016-06-20,30.01,31.25,29.07,29.68,29.68,185100
2016-06-21,29.700001,30.190001,26.799999,27.59,27.59,361500
2016-06-22,27.879999,29.440001,26.799999,28.08,28.08,153500
2016-06-23,28.15,28.648001,27.5,28.35,28.35,133200
2016-06-24,26.559999,27.309999,25.450001,26.07,26.07,328600
2016-06-27,25.25,27.389999,22.5,23.860001,23.860001,374500
2016-06-28,24.299999,25.76,24.299999,24.809999,24.809999,169800
2016-06-29,25.25,25.540001,24.52,25.18,25.18,123300
2016-06-30,25.219999,25.459999,23.6,24.4,24.4,189500
2016-07-01,24.450001,25.83,24.450001,25.450001,25.450001,129700
2016-07-05,25.700001,26.99,24.396999,25.200001,25.200001,110500
2016-07-06,24.85,25.5,24.540001,25.5,25.5,140900
2016-07-07,25.690001,26.395,25.110001,25.620001,25.620001,64700
2016-07-08,25.0,25.610001,24.639999,25.32,25.32,146800
2016-07-11,25.5,26.142,25.0,25.24,25.24,78300
2016-07-12,25.4,25.690001,24.820999,25.639999,25.639999,117800
2016-07-13,25.84,26.67,25.174,25.370001,25.370001,104100
2016-07-14,25.639999,25.799999,24.68,24.77,24.77,88400
2016-07-15,24.85,24.976,24.32,24.73,24.73,60300
2016-07-18,24.74,25.605,24.43,24.559999,24.559999,69200
2016-07-19,24.440001,25.5,24.26,24.58,24.58,54200
2016-07-20,24.799999,25.540001,24.58,25.48,25.48,85300
2016-07-21,25.6,26.438,25.51,25.84,25.84,162700
2016-07-22,26.01,28.311001,25.860001,27.110001,27.110001,214400
2016-07-25,28.219999,28.219999,26.200001,26.450001,26.450001,107400
2016-07-26,26.52,27.299999,26.049999,27.08,27.08,58800
2016-07-27,27.33,28.259001,26.809999,28.200001,28.200001,87800
2016-07-28,28.49,28.632,27.110001,27.280001,27.280001,66000
2016-07-29,27.4,27.566,25.59,25.719999,25.719999,183600
2016-08-01,25.75,26.049999,25.51,25.700001,25.700001,123600
2016-08-02,25.700001,25.83,24.33,24.969999,24.969999,142000
2016-08-03,25.549999,25.733,24.639999,25.059999,25.059999,70200
2016-08-04,25.23,25.540001,24.549999,24.99,24.99,83300
2016-08-05,25.15,25.469999,24.690001,24.870001,24.870001,160100
2016-08-08,25.01,25.200001,22.9,23.700001,23.700001,411800
2016-08-09,23.6,24.098,22.799999,23.280001,23.280001,214100
2016-08-10,24.9,24.950001,21.5,21.5,21.5,469200
2016-08-11,21.549999,21.639999,20.25,20.74,20.74,448100
2016-08-12,20.5,20.5,19.754,20.110001,20.110001,324700
2016-08-15,20.110001,20.540001,20.1,20.360001,20.360001,208100
2016-08-16,20.1,20.299999,19.639999,19.940001,19.940001,251500
2016-08-17,19.950001,19.950001,18.870001,19.059999,19.059999,352600
