Date,Open,High,Low,Close,Adj Close,Volume
2022-03-22,48.0,49.0,47.0,47.0,45.65329,7000
2022-03-23,48.0,48.0,42.0,42.0,40.796551,22900
2022-03-24,44.049999,44.450001,44.049999,44.418999,43.146236,600
2022-03-25,43.009998,43.009998,43.009998,43.009998,41.777611,1100
2022-03-28,44.0,44.0,42.000999,43.5,42.253574,1100
2022-03-29,43.5,43.549999,39.509998,40.049999,38.90242,15500
2022-03-30,40.419998,40.830002,36.400002,36.419998,35.376438,46100
2022-03-31,36.360001,36.360001,33.330002,33.330002,32.374977,132200
2022-04-01,32.360001,33.150002,28.594999,30.5,29.626066,22998000
2022-04-04,30.120001,33.779999,30.120001,31.4,30.500277,5199700
2022-04-05,30.57,31.280001,30.0,30.0,29.140396,4333000
2022-04-06,29.889999,30.58,27.200001,29.98,29.120966,7015800
2022-04-07,28.780001,30.16,28.6,29.4,28.557585,5450300
2022-04-08,28.9,34.169998,28.299999,32.540001,31.607616,3501100
2022-04-11,31.77,32.740002,30.700001,32.419998,31.491051,1937500
2022-04-12,32.5,33.220001,30.459999,32.110001,31.189936,2213400
2022-04-13,31.68,33.439999,31.0,33.360001,32.404118,2132600
2022-04-14,33.009998,33.560001,32.189999,32.830002,31.889305,1598900
2022-04-18,32.360001,32.75,31.690001,32.27,31.345348,926600
2022-04-19,31.99,32.240002,30.42,30.93,30.043745,1038300
2022-04-20,30.940001,31.639999,29.879999,31.129999,30.238016,964500
2022-04-21,31.059999,31.290001,29.299999,30.58,29.703775,860600
2022-04-22,30.459999,31.93,30.0,31.65,30.743114,792100
2022-04-25,31.32,32.529999,30.07,32.439999,31.510477,862800
2022-04-26,31.76,32.75,30.91,31.09,30.199162,1023700
2022-04-27,30.84,32.0,30.469999,31.65,30.743114,921200
2022-04-28,31.440001,31.75,29.959999,30.940001,30.053459,846700
2022-04-29,30.52,30.860001,29.51,30.43,29.558075,958800
2022-05-02,29.75,31.76,29.690001,31.74,30.830538,1029700
2022-05-03,31.34,32.560001,31.1,32.130001,31.209362,746900
2022-05-04,31.85,32.849998,31.674999,32.439999,31.510477,475800
2022-05-05,32.080002,33.240002,31.33,31.799999,30.888815,269900
2022-05-06,31.280001,31.462,29.870001,30.059999,29.198673,604900
2022-05-09,29.469999,29.745001,28.309999,29.030001,28.198187,1003300
2022-05-10,28.74,29.055,27.5,28.58,27.761082,929900
2022-05-11,28.190001,30.24,27.75,28.879999,28.052485,536900
2022-05-12,28.440001,29.1,27.85,28.879999,28.052485,660700
2022-05-13,27.120001,27.68,24.610001,26.33,25.575552,2386000
2022-05-16,25.940001,26.889999,25.0,25.24,24.516787,1390800
