Date,Open,High,Low,Close,Adj Close,Volume
1999-06-04,5.125,7.921875,5.0625,7.4375,7.4375,7386600
1999-06-07,7.90625,8.3125,7.3125,7.75,7.75,1234600
1999-06-08,7.8125,10.1875,7.75,9.84375,9.84375,1477200
1999-06-09,10.0,10.59375,9.3125,9.6875,9.6875,1332600
1999-06-10,9.6875,9.84375,8.5,8.59375,8.59375,545600
1999-06-11,8.625,8.6875,7.9375,8.0,8.0,446200
1999-06-14,7.96875,8.0,7.25,7.625,7.625,503600
1999-06-15,7.4375,8.0625,7.4375,7.75,7.75,384400
1999-06-16,7.875,8.9375,7.8125,8.34375,8.34375,135400
1999-06-17,8.4375,10.40625,8.375,10.03125,10.03125,814000
1999-06-18,10.25,11.0625,9.28125,9.3125,9.3125,428600
1999-06-21,9.9375,10.875,9.5,9.75,9.75,410400
1999-06-22,10.25,10.25,9.625,9.875,9.875,207600
1999-06-23,9.75,9.8125,9.125,9.3125,9.3125,337800
1999-06-24,9.21875,9.3125,8.5625,9.0,9.0,198200
1999-06-25,9.0,11.6875,8.84375,11.3125,11.3125,1423000
1999-06-28,12.25,14.5,11.5,13.9375,13.9375,1403200
1999-06-29,14.03125,18.25,12.875,15.75,15.75,2018200
1999-06-30,16.96875,22.5625,16.0,20.5,20.5,2313600
1999-07-01,21.875,23.0,19.0,19.25,19.25,1578400
1999-07-02,18.9375,19.9375,17.0,18.5,18.5,1060600
1999-07-06,18.375,21.3125,18.0625,20.78125,20.78125,736800
1999-07-07,21.0,21.5,18.75,19.75,19.75,587400
1999-07-08,20.625,22.0,20.25,21.96875,21.96875,672000
1999-07-09,22.40625,25.9375,22.0,25.375,25.375,1105600
1999-07-12,27.5,28.25,26.5,27.46875,27.46875,1173600
1999-07-13,27.25,27.3125,23.75,25.34375,25.34375,697800
1999-07-14,26.25,27.625,26.1875,26.71875,26.71875,339200
1999-07-15,28.5,37.0,27.8125,35.625,35.625,2381000
1999-07-16,35.59375,42.5,33.03125,34.5625,34.5625,3667000
1999-07-19,36.0,36.375,32.75,34.5,34.5,1256000
1999-07-20,33.625,34.0,30.84375,31.40625,31.40625,900400
1999-07-21,32.8125,35.75,27.75,29.34375,29.34375,1656400
1999-07-22,31.0,31.5625,28.0,30.40625,30.40625,918800
1999-07-23,30.40625,30.625,28.75,29.4375,29.4375,419600
1999-07-26,29.03125,29.21875,25.125,25.75,25.75,683200
1999-07-27,26.875,28.0,25.625,27.0,27.0,477400
1999-07-28,26.59375,29.125,26.5,28.8125,28.8125,446000
1999-07-29,28.0,28.0,25.125,25.375,25.375,569800
1999-07-30,26.75,26.75,21.90625,25.0,25.0,698400
1999-08-02,23.8125,25.0,21.5625,22.25,22.25,296400
1999-08-03,19.5,21.5,19.5,20.5625,20.5625,1086600
1999-08-04,19.25,19.375,16.5,17.25,17.25,1538600
1999-08-05,16.0625,18.0625,13.875,17.3125,17.3125,1604800
1999-08-06,16.03125,18.75,16.0,16.0625,16.0625,1064600
1999-08-09,17.1875,17.5,14.625,14.9375,14.9375,371400
1999-08-10,14.875,19.0,14.875,18.75,18.75,943400
1999-08-11,19.9375,22.78125,17.0,21.4375,21.4375,1462400
1999-08-12,22.28125,24.5,20.375,22.75,22.75,1445400
1999-08-13,24.03125,27.3125,24.0,27.21875,27.21875,1661600
1999-08-16,27.5625,31.5625,25.03125,29.5,29.5,2053200
1999-08-17,31.25,32.0625,28.0,28.3125,28.3125,1451400
1999-08-18,28.4375,28.4375,25.0,26.65625,26.65625,1120200
1999-08-19,24.75,27.0625,24.6875,25.8125,25.8125,599600
1999-08-20,26.40625,27.5,25.25,27.4375,27.4375,375600
1999-08-23,29.125,31.0,28.25,30.4375,30.4375,886800
1999-08-24,29.84375,35.0,29.3125,33.3125,33.3125,2357400
1999-08-25,34.84375,35.0625,31.375,31.71875,31.71875,1071000
1999-08-26,33.25,33.625,30.1875,30.34375,30.34375,546000
1999-08-27,29.75,30.34375,28.0,28.625,28.625,486800
1999-08-30,29.625,31.5,29.25,31.0,31.0,393600
1999-08-31,32.25,34.375,31.5,33.90625,33.90625,1286000
1999-09-01,34.1875,34.21875,31.125,32.25,32.25,504200
1999-09-02,30.09375,34.1875,29.75,32.75,32.75,668600
1999-09-03,34.96875,36.125,34.0,34.75,34.75,845400
1999-09-07,35.0,41.46875,32.8125,37.65625,37.65625,2121600
1999-09-08,36.5625,39.25,34.625,34.75,34.75,904400
1999-09-09,34.0,36.25,32.8125,35.5,35.5,1068000
1999-09-10,35.96875,38.0,34.28125,37.3125,37.3125,666400
1999-09-13,36.0,41.75,35.5,36.625,36.625,618600
1999-09-14,35.453125,37.75,33.5,34.96875,34.96875,626200
1999-09-15,35.1875,35.625,32.125,32.390625,32.390625,513800
1999-09-16,32.71875,35.84375,31.46875,35.0625,35.0625,769600
1999-09-17,36.15625,36.75,34.25,34.375,34.375,630400
1999-09-20,34.25,34.25,32.0,32.90625,32.90625,406400
1999-09-21,32.6875,34.5,30.0625,34.328125,34.328125,1064800
1999-09-22,33.375,36.875,32.4375,34.75,34.75,730000
1999-09-23,35.5,36.3125,32.75,32.875,32.875,506800
1999-09-24,32.5,34.0,31.5,33.125,33.125,587600
1999-09-27,34.0,35.9375,33.9375,34.46875,34.46875,677800
1999-09-28,34.21875,34.21875,32.53125,33.5,33.5,368600
