Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,10.0,10.13,10.0,10.13,8.748143,800
2021-08-25,12.83,19.799999,12.57,16.25,14.0333,69200
2021-08-26,17.6,17.799999,13.268,13.3,11.485716,35800
2021-08-27,14.0,14.1,13.4,14.1,12.176587,9200
2021-08-30,12.694,13.068,11.5,12.03,10.388959,16000
2021-08-31,11.42,12.29,11.32,11.85,10.233514,9500
2021-09-01,12.456,12.5,11.85,12.04,10.397596,11900
2021-09-02,11.6,11.85,11.6,11.85,10.345215,2400
2021-09-03,11.55,12.039,11.485,11.94,10.423786,5700
2021-09-07,11.31,11.99,11.31,11.5,10.03966,6500
2021-09-08,11.57,11.8,11.205,11.205,9.78212,5300
2021-09-09,11.35,11.5,10.857,11.5,10.03966,1100
2021-09-10,11.07,11.175,11.05,11.05,9.646804,3600
2021-09-13,11.0,11.0,10.233,10.233,8.933553,2100
2021-09-14,10.0,10.525,10.0,10.06,8.78252,13300
2021-09-15,9.95,10.0,9.75,9.75,8.511886,3200
2021-09-16,9.8,10.05,9.01,9.01,7.865856,14400
2021-09-17,9.51,9.72,8.65,8.65,7.551569,7500
2021-09-20,8.7,8.7,8.7,8.7,7.595222,700
2021-09-21,10.355,10.355,9.06,9.15,7.988078,6000
2021-09-22,9.44,9.52,8.53,9.05,7.900777,43000
2021-09-23,9.03,9.03,9.03,9.03,7.883316,500
2021-09-24,9.37,9.37,9.37,9.37,8.18014,1200
2021-09-27,8.55,9.065,8.55,9.065,7.91387,2500
2021-09-28,9.065,9.065,9.065,9.065,7.91387,500
2021-09-29,8.855,8.855,8.85,8.85,7.726175,900
2021-09-30,9.073,9.073,8.82,8.82,7.699984,1000
2021-10-01,8.892,8.892,8.892,8.892,7.762839,500
2021-10-04,8.82,8.82,8.72,8.72,7.612682,1600
2021-10-05,8.56,8.66,8.56,8.66,7.560301,700
2021-10-06,8.66,8.66,8.66,8.66,7.560301,0
2021-10-07,8.4,8.4,7.69,8.18,7.141254,1300
2021-10-08,8.13,8.13,8.03,8.03,7.010302,1000
2021-10-11,7.95,7.95,7.95,7.95,6.94046,400
2021-10-12,7.79,7.79,7.46,7.615,6.648001,2700
2021-10-13,7.799,7.8,7.35,7.35,6.416652,4200
2021-10-14,7.632,7.632,7.632,7.632,6.662842,600
2021-10-15,7.65,7.65,7.635,7.635,6.665462,5400
2021-10-18,7.35,7.42,7.35,7.361,6.426255,4200
2021-10-19,7.371,7.49,7.371,7.42,6.477763,900
2021-10-20,7.62,7.62,7.5,7.5,6.547605,800
2021-10-21,7.555,7.555,7.515,7.515,6.560699,600
2021-10-22,7.0,7.51,7.0,7.49,6.538874,1200
2021-10-25,7.54,7.54,7.54,7.54,6.582526,800
2021-10-26,7.75,7.75,6.82,6.98,6.093637,3500
2021-10-27,6.99,7.0,6.99,7.0,6.111098,700
2021-10-28,7.0,7.0,7.0,7.0,6.111098,0
2021-10-29,7.0,7.0,7.0,7.0,6.111098,0
2021-11-01,7.025,7.152,7.025,7.15,6.24205,1100
2021-11-02,7.199,7.75,7.199,7.75,6.765858,2600
2021-11-03,7.74,25.24,7.565,15.44,13.479335,9225000
2021-11-04,12.35,24.83,12.101,16.5,14.40473,4702700
2021-11-05,29.25,30.66,18.27,19.280001,16.831709,9328300
