Date,Open,High,Low,Close,Adj Close,Volume
2008-10-08,3.3,3.3,3.233333,3.233333,2.647612,69300
2008-10-09,3.233333,3.233333,3.166667,3.233333,2.647612,27600
2008-10-10,3.163333,3.18,3.116667,3.133333,2.565727,22500
2008-10-13,3.183333,3.2,3.133333,3.2,2.620317,8100
2008-10-14,3.27,3.333333,3.27,3.33,2.726767,78900
2008-10-15,3.33,3.33,3.166667,3.296667,2.699472,13500
2008-10-16,3.093333,3.166667,2.856667,3.15,2.579374,158100
2008-10-17,3.003333,3.09,3.003333,3.083333,2.524784,3900
2008-10-20,3.046667,3.083333,3.0,3.083333,2.524784,75000
2008-10-21,3.083333,3.083333,3.0,3.083333,2.524784,39000
2008-10-22,3.033333,3.083333,3.033333,3.083333,2.524784,32700
2008-10-23,3.0,3.0,2.936667,2.936667,2.404687,17100
2008-10-24,2.936667,2.936667,2.936667,2.936667,2.404687,0
2008-10-27,2.916667,2.923333,2.906667,2.906667,2.38012,9900
2008-10-28,2.916667,3.0,2.916667,3.0,2.456547,1200
2008-10-29,3.0,3.0,3.0,3.0,2.456547,0
2008-10-30,3.0,3.003333,2.993333,3.0,2.456547,120300
2008-10-31,3.116667,3.166667,3.116667,3.166667,2.593022,1800
2008-11-03,3.166667,3.166667,3.166667,3.166667,2.593022,0
2008-11-04,3.15,3.15,3.15,3.15,2.579374,3000
2008-11-05,3.15,3.15,3.15,3.15,2.579374,300
2008-11-06,3.133333,3.133333,3.066667,3.066667,2.511137,11100
2008-11-07,3.0,3.133333,3.0,3.073333,2.516596,4800
2008-11-10,3.066667,3.07,3.066667,3.07,2.513867,2700
2008-11-11,3.066667,3.083333,3.066667,3.083333,2.524784,34500
2008-11-12,3.033333,3.033333,3.033333,3.033333,2.483841,3000
2008-11-13,3.033333,3.096667,3.0,3.096667,2.535702,12600
2008-11-14,3.01,3.096667,3.0,3.096667,2.535702,1500
2008-11-17,3.01,3.013333,3.01,3.013333,2.467465,900
2008-11-18,3.05,3.05,3.04,3.05,2.497489,15000
2008-11-19,3.05,3.05,3.0,3.0,2.456547,30300
2008-11-20,3.0,3.003333,2.986667,2.986667,2.445629,144300
2008-11-21,2.966667,2.966667,2.933333,2.933333,2.401957,12600
