Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,33.5,35.950001,32.0,35.0,35.0,18628300
2021-10-29,35.0,36.639999,34.259998,35.57,35.57,2742000
2021-11-01,35.57,37.200001,34.259998,36.950001,36.950001,1949400
2021-11-02,37.139999,37.82,34.860001,35.43,35.43,1837200
2021-11-03,35.16,36.419998,34.625,35.810001,35.810001,3567800
2021-11-04,36.23,36.82,34.305,34.5,34.5,953400
2021-11-05,34.799999,35.380001,33.5,34.34,34.34,762900
2021-11-08,35.880001,37.650002,35.48,36.060001,36.060001,1593900
2021-11-09,36.200001,37.150002,35.25,36.439999,36.439999,561600
2021-11-10,36.689999,36.84,33.580002,34.16,34.16,1159500
2021-11-11,34.610001,37.43,34.18,37.240002,37.240002,872300
2021-11-12,37.240002,39.290001,37.009998,37.52,37.52,526600
2021-11-15,38.130001,39.400002,37.380001,37.610001,37.610001,524000
2021-11-16,37.599998,37.970001,36.290001,36.509998,36.509998,528400
2021-11-17,36.830002,37.650002,35.509998,35.82,35.82,531800
2021-11-18,35.82,36.990002,34.43,35.0,35.0,644300
2021-11-19,35.0,36.369999,34.650002,35.799999,35.799999,579400
2021-11-22,37.709999,38.869999,36.209999,36.459999,36.459999,1545900
2021-11-23,36.459999,38.0,36.139999,36.529999,36.529999,2139600
2021-11-24,37.169998,37.25,35.448002,35.970001,35.970001,598100
2021-11-26,35.049999,35.255001,33.799999,34.369999,34.369999,431200
2021-11-29,35.0,35.09,33.091,34.080002,34.080002,677800
2021-11-30,35.630001,35.785,31.59,31.690001,31.690001,1430700
2021-12-01,32.689999,36.0,32.619999,33.189999,33.189999,1404500
2021-12-02,33.299999,35.550999,32.75,33.740002,33.740002,775000
2021-12-03,33.759998,34.880001,30.245001,31.030001,31.030001,826600
2021-12-06,31.049999,32.619999,27.48,32.57,32.57,1389200
2021-12-07,33.57,34.23,31.02,31.85,31.85,937200
2021-12-08,31.690001,32.029999,31.129999,31.620001,31.620001,872900
2021-12-09,30.299999,32.240002,29.75,31.32,31.32,1438300
2021-12-10,31.32,32.84,30.959999,32.16,32.16,861500
2021-12-13,32.200001,33.472,31.67,32.700001,32.700001,778200
2021-12-14,32.310001,33.619999,30.34,30.540001,30.540001,662000
2021-12-15,30.57,31.459999,29.549999,31.24,31.24,908900
2021-12-16,31.51,34.470001,29.799999,30.379999,30.379999,1139100
2021-12-17,30.01,30.610001,28.25,30.049999,30.049999,5110400
2021-12-20,29.43,29.93,28.4,29.709999,29.709999,724500
2021-12-21,30.93,32.43,30.93,31.92,31.92,832400
2021-12-22,31.91,32.959999,31.110001,32.900002,32.900002,1207300
2021-12-23,33.209999,35.599998,33.040001,35.369999,35.369999,734900
2021-12-27,35.169998,35.57,34.189999,35.09,35.09,364900
2021-12-28,34.990002,36.5,34.860001,36.02,36.02,672500
2021-12-29,35.970001,36.18,33.310001,33.5,33.5,859300
2021-12-30,33.400002,35.580002,33.310001,34.389999,34.389999,1607100
2021-12-31,34.389999,36.389999,34.27,35.560001,35.560001,370200
2022-01-03,35.91,36.705002,34.57,34.869999,34.869999,583600
2022-01-04,35.290001,35.810001,34.27,34.849998,34.849998,589000
2022-01-05,34.759998,35.07,29.575001,30.23,30.23,1343800
2022-01-06,30.17,30.43,27.65,28.059999,28.059999,2183700
2022-01-07,28.459999,28.67,27.200001,27.4,27.4,1057100
2022-01-10,27.280001,27.280001,25.059999,26.049999,26.049999,990600
2022-01-11,26.059999,27.597,25.59,26.92,26.92,976400
2022-01-12,27.32,27.549999,25.389999,25.82,25.82,577600
2022-01-13,27.0,27.469999,24.52,24.6,24.6,740600
2022-01-14,24.18,24.73,22.129999,24.200001,24.200001,1200800
2022-01-18,23.51,24.514999,22.889999,23.49,23.49,1077800
2022-01-19,24.16,24.74,21.82,21.93,21.93,775300
2022-01-20,22.620001,23.625,21.27,21.370001,21.370001,847700
2022-01-21,20.809999,21.355,19.459999,20.129999,20.129999,1440800
2022-01-24,19.34,20.75,18.424999,20.66,20.66,1424500
2022-01-25,20.139999,21.049999,19.700001,20.790001,20.790001,1230300
2022-01-26,21.139999,21.84,19.75,19.959999,19.959999,1044400
2022-01-27,20.280001,21.004999,17.5,17.559999,17.559999,1210700
2022-01-28,17.41,17.41,15.58,17.030001,17.030001,1614300
2022-01-31,17.040001,19.059999,17.040001,18.700001,18.700001,2322600
2022-02-01,18.879999,19.639999,18.459999,19.16,19.16,1421200
2022-02-02,19.549999,19.98,17.655001,17.85,17.85,1537800
2022-02-03,17.690001,17.690001,15.35,15.61,15.61,1644800
2022-02-04,15.41,16.17,15.23,15.47,15.47,1634100
2022-02-07,15.5,16.57,15.43,15.97,15.97,1708700
2022-02-08,15.97,16.629999,15.36,15.61,15.61,895000
2022-02-09,16.41,17.66,16.41,16.67,16.67,2151100
2022-02-10,15.5,16.65,13.441,15.21,15.21,2640500
2022-02-11,14.64,16.0,12.82,13.34,13.34,3030800
2022-02-14,13.17,13.17,12.4,12.74,12.74,1928400
2022-02-15,13.29,14.11,12.86,13.47,13.47,2297000
2022-02-16,13.75,13.94,13.22,13.59,13.59,1468700
2022-02-17,14.07,14.64,12.82,13.08,13.08,1182600
2022-02-18,13.21,13.29,11.95,12.16,12.16,1345000
2022-02-22,11.99,12.39,11.07,11.18,11.18,1541900
2022-02-23,11.66,11.68,10.745,10.83,10.83,1346600
2022-02-24,10.34,12.52,10.24,12.48,12.48,2805500
2022-02-25,12.5,12.79,11.45,12.07,12.07,2727300
2022-02-28,12.36,13.56,12.28,13.53,13.53,1939400
2022-03-01,13.53,13.82,12.06,12.18,12.18,1436500
2022-03-02,12.16,12.478,11.11,11.74,11.74,1938800
2022-03-03,11.73,11.84,10.7,10.77,10.77,980700
2022-03-04,10.79,11.03,9.93,10.04,10.04,949400
2022-03-07,10.19,10.66,9.82,9.85,9.85,1687700
2022-03-08,10.15,11.69,9.9,11.3,11.3,1925200
2022-03-09,11.5,12.74,11.5,11.93,11.93,2287300
2022-03-10,11.93,12.33,11.38,12.18,12.18,1120600
2022-03-11,12.34,12.96,10.84,10.88,10.88,899400
2022-03-14,10.76,11.11,10.08,10.26,10.26,1270200
2022-03-15,10.26,11.41,10.15,11.33,11.33,1758800
2022-03-16,11.6,12.82,11.56,12.55,12.55,1301600
2022-03-17,12.39,14.09,12.14,13.59,13.59,1213100
2022-03-18,13.35,14.23,13.18,14.17,14.17,2666900
2022-03-21,14.07,14.72,13.77,14.17,14.17,1794900
2022-03-22,14.2,14.76,14.01,14.24,14.24,883100
2022-03-23,13.89,13.94,13.08,13.58,13.58,902200
2022-03-24,13.91,15.02,13.0,13.82,13.82,1610800
2022-03-25,13.95,14.277,12.67,13.13,13.13,1218200
2022-03-28,13.17,13.6,12.52,13.05,13.05,813300
2022-03-29,13.29,14.1,13.24,13.91,13.91,1098400
2022-03-30,13.77,14.419,13.27,13.34,13.34,1894800
2022-03-31,13.29,13.67,12.77,13.11,13.11,931700
2022-04-01,13.36,13.99,13.17,13.62,13.62,947200
2022-04-04,13.79,14.49,13.68,14.44,14.44,2132500
2022-04-05,14.57,15.17,13.06,13.14,13.14,2903600
