Date,Open,High,Low,Close,Adj Close,Volume
2021-12-23,9.75,9.95,9.75,9.9,9.9,12700
2021-12-27,10.42,10.42,9.68,9.743,9.743,5400
2021-12-28,10.215,10.215,9.82,9.82,9.82,250300
2021-12-29,9.73,9.73,9.73,9.73,9.73,100
2021-12-30,9.85,9.87,9.85,9.87,9.87,700
2021-12-31,9.87,9.87,9.87,9.87,9.87,400
2022-01-03,9.83,9.85,9.83,9.835,9.835,5300
2022-01-04,9.83,9.87,9.83,9.87,9.87,51300
2022-01-05,9.87,9.87,9.87,9.87,9.87,2100
2022-01-06,9.87,9.87,9.87,9.87,9.87,0
2022-01-07,9.9,9.9,9.89,9.9,9.9,1700
2022-01-10,9.89,9.89,9.87,9.89,9.89,35200
2022-01-11,9.89,9.9,9.89,9.9,9.9,20900
2022-01-12,9.9,9.9,9.9,9.9,9.9,0
2022-01-13,9.9,9.9,9.87,9.87,9.87,72400
2022-01-14,9.87,9.87,9.87,9.87,9.87,12000
2022-01-18,9.87,9.87,9.87,9.87,9.87,9900
2022-01-19,9.87,9.874,9.87,9.87,9.87,700
2022-01-20,9.87,9.885,9.87,9.87,9.87,94100
2022-01-21,9.85,9.88,9.83,9.85,9.85,132500
2022-01-24,9.85,9.85,9.83,9.83,9.83,1400
2022-01-25,9.84,9.84,9.84,9.84,9.84,75100
2022-01-26,9.85,9.85,9.84,9.84,9.84,77300
2022-01-27,9.86,9.865,9.83,9.835,9.835,108900
2022-01-28,9.83,9.845,9.83,9.83,9.83,53300
2022-01-31,9.83,9.83,9.83,9.83,9.83,0
2022-02-01,9.88,9.88,9.83,9.85,9.85,12500
2022-02-02,9.91,9.91,9.88,9.9,9.9,7300
2022-02-03,9.86,9.86,9.84,9.86,9.86,1600
2022-02-04,9.855,9.88,9.855,9.86,9.86,114500
2022-02-07,9.86,9.86,9.86,9.86,9.86,400
2022-02-08,9.86,9.86,9.86,9.86,9.86,0
2022-02-09,9.86,9.86,9.86,9.86,9.86,28800
2022-02-10,9.9,9.9,9.88,9.88,9.88,2900
2022-02-11,9.88,9.88,9.88,9.88,9.88,0
2022-02-14,9.88,9.88,9.88,9.88,9.88,0
2022-02-15,9.88,9.88,9.88,9.88,9.88,0
2022-02-16,9.88,9.88,9.88,9.88,9.88,0
2022-02-17,9.88,9.88,9.88,9.88,9.88,0
2022-02-18,9.86,9.86,9.86,9.86,9.86,1500
2022-02-22,9.86,9.86,9.86,9.86,9.86,0
2022-02-23,9.86,9.86,9.86,9.86,9.86,0
2022-02-24,9.86,9.86,9.86,9.86,9.86,97300
2022-02-25,9.85,9.85,9.85,9.85,9.85,10000
2022-02-28,9.85,9.85,9.85,9.85,9.85,0
2022-03-01,9.89,9.91,9.89,9.91,9.91,291800
2022-03-02,9.91,9.92,9.9,9.9,9.9,6600
2022-03-03,9.9,9.9,9.9,9.9,9.9,17700
2022-03-04,9.9,9.9,9.9,9.9,9.9,0
