Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,33.110001,35.0,32.0,32.0,32.0,9700
2023-06-21,32.5,34.0,32.0,32.52,32.52,10900
2023-06-22,32.799999,33.25,32.599998,33.25,33.25,78600
2023-06-23,35.470001,35.470001,33.0,33.75,33.75,107800
2023-06-26,33.75,33.75,33.75,33.75,33.75,0
2023-06-27,34.0,35.5,32.82,34.27,34.27,197100
2023-06-28,34.25,35.0,34.0,34.259998,34.259998,90200
2023-06-29,34.549999,35.5,34.009998,35.419998,35.419998,808900
2023-06-30,35.759998,35.759998,33.599998,34.009998,34.009998,1918600
2023-07-03,33.799999,36.84,32.799999,36.84,36.84,6510800
2023-07-05,36.84,37.299999,34.200001,37.0,37.0,23950900
2023-07-06,35.98,36.610001,33.325001,33.990002,33.990002,6018900
2023-07-07,32.990002,33.647999,31.139999,32.220001,32.220001,7580200
2023-07-10,31.25,32.060001,29.690001,30.65,30.65,7603600
2023-07-11,30.299999,31.379999,29.66,30.85,30.85,4523800
2023-07-12,30.85,31.84,30.65,31.15,31.15,3454200
2023-07-13,31.15,32.439999,30.290001,32.209999,32.209999,1854000
2023-07-14,31.870001,32.965,31.5,32.52,32.52,1992000
2023-07-17,32.150002,33.209999,31.75,33.110001,33.110001,2258300
2023-07-18,32.48,34.029999,32.48,33.450001,33.450001,1773500
2023-07-19,34.110001,34.110001,33.150002,33.360001,33.360001,1584800
2023-07-20,33.139999,33.465,32.599998,32.990002,32.990002,1315800
2023-07-21,32.779999,33.139999,32.049999,32.900002,32.900002,1737000
2023-07-24,32.529999,34.029999,31.753,33.790001,33.790001,1312500
2023-07-25,33.549999,34.0,33.330002,33.75,33.75,928100
2023-07-26,33.349998,33.700001,32.869999,33.099998,33.099998,691800
2023-07-27,33.060001,33.220001,32.150002,33.009998,33.009998,924200
2023-07-28,33.02,33.25,31.629999,31.73,31.73,1178000
2023-07-31,31.120001,32.009998,29.940001,31.959999,31.959999,1374500
2023-08-01,31.629999,31.629999,30.709999,30.809999,30.809999,791800
2023-08-02,30.75,31.950001,29.719999,30.0,30.0,1574400
2023-08-03,29.67,30.639999,29.34,30.290001,30.290001,1491200
2023-08-04,30.27,30.440001,29.084999,29.77,29.77,1191700
2023-08-07,29.25,31.049999,28.35,30.209999,30.209999,1792200
2023-08-08,29.719999,30.85,29.552,30.629999,30.629999,737300
2023-08-09,30.209999,30.555,29.58,30.059999,30.059999,742000
2023-08-10,30.059999,30.82,29.530001,30.41,30.41,434700
2023-08-11,30.459999,31.01,29.879999,30.639999,30.639999,1079900
2023-08-14,26.26,27.690001,25.68,26.9,26.9,4929300
2023-08-15,26.52,27.889999,26.26,27.18,27.18,1992100
2023-08-16,26.940001,27.549999,26.75,27.1,27.1,982900
2023-08-17,27.02,27.385,26.49,26.52,26.52,767700
2023-08-18,26.49,26.77,25.77,26.08,26.08,950200
2023-08-21,26.02,26.02,24.98,25.110001,25.110001,1289900
