Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,9.9,9.94,9.9,9.94,9.94,40000
2021-12-28,9.9,9.92,9.9,9.92,9.92,2100
2021-12-29,9.93,9.98,9.88,9.94,9.94,191000
2021-12-30,9.9,9.95,9.9,9.94,9.94,42700
2021-12-31,9.94,9.95,9.94,9.945,9.945,14700
2022-01-03,9.94,9.94,9.94,9.94,9.94,800
2022-01-04,9.94,9.94,9.93,9.93,9.93,100400
2022-01-05,9.93,9.93,9.93,9.93,9.93,125000
2022-01-06,9.948,9.95,9.94,9.94,9.94,2000
2022-01-07,9.94,9.95,9.94,9.95,9.95,9700
2022-01-10,9.94,9.94,9.94,9.94,9.94,200
2022-01-11,9.96,9.96,9.95,9.95,9.95,908600
2022-01-12,9.96,9.96,9.96,9.96,9.96,7500
2022-01-13,9.96,9.96,9.96,9.96,9.96,2500
2022-01-14,9.97,9.97,9.93,9.97,9.97,18800
2022-01-18,9.96,9.96,9.96,9.96,9.96,2500
2022-01-19,9.96,9.96,9.96,9.96,9.96,0
2022-01-20,9.95,9.95,9.95,9.95,9.95,27600
2022-01-21,9.94,9.97,9.94,9.94,9.94,41100
2022-01-24,9.94,9.95,9.93,9.93,9.93,14300
2022-01-25,9.93,9.93,9.93,9.93,9.93,0
2022-01-26,9.93,9.93,9.93,9.93,9.93,0
2022-01-27,9.95,9.97,9.95,9.97,9.97,72600
2022-01-28,9.95,9.97,9.95,9.97,9.97,1000
2022-01-31,9.98,9.98,9.97,9.97,9.97,7700
2022-02-01,9.98,9.98,9.98,9.98,9.98,100
2022-02-02,9.98,10.0,9.98,10.0,10.0,22300
2022-02-03,10.0,10.0,9.99,9.99,9.99,4700
2022-02-04,9.99,9.99,9.99,9.99,9.99,0
2022-02-07,10.0,10.0,10.0,10.0,10.0,100
2022-02-08,9.98,10.0,9.98,10.0,10.0,138800
2022-02-09,10.0,10.0,9.99,9.99,9.99,4000
2022-02-10,9.99,9.99,9.99,9.99,9.99,100
2022-02-11,9.975,9.98,9.96,9.98,9.98,110800
2022-02-14,9.97,9.985,9.97,9.985,9.985,3700
2022-02-15,9.99,9.99,9.99,9.99,9.99,100
2022-02-16,9.99,9.99,9.99,9.99,9.99,0
2022-02-17,9.99,9.99,9.99,9.99,9.99,0
2022-02-18,9.99,9.99,9.99,9.99,9.99,0
2022-02-22,9.97,9.99,9.97,9.99,9.99,25100
2022-02-23,9.99,9.99,9.99,9.99,9.99,0
2022-02-24,9.99,9.99,9.99,9.99,9.99,60000
2022-02-25,9.99,9.99,9.99,9.99,9.99,0
2022-02-28,9.99,9.99,9.99,9.99,9.99,0
2022-03-01,9.99,9.99,9.99,9.99,9.99,0
2022-03-02,9.99,10.02,9.99,10.0,10.0,5700
2022-03-03,10.01,10.02,10.01,10.02,10.02,20200
2022-03-04,10.03,10.03,10.03,10.03,10.03,2000
2022-03-07,10.03,10.03,10.03,10.03,10.03,0
2022-03-08,10.03,10.03,10.03,10.03,10.03,0
2022-03-09,10.03,10.03,10.03,10.03,10.03,0
2022-03-10,10.01,10.02,10.01,10.02,10.02,500
2022-03-11,10.02,10.02,10.02,10.02,10.02,0
2022-03-14,10.015,10.02,10.0,10.02,10.02,8600
2022-03-15,10.03,10.03,10.03,10.03,10.03,230900
2022-03-16,10.03,10.03,10.03,10.03,10.03,0
2022-03-17,10.02,10.02,10.02,10.02,10.02,5300
2022-03-18,10.02,10.02,10.01,10.015,10.015,9300
2022-03-21,10.03,10.03,10.02,10.03,10.03,99500
2022-03-22,10.03,10.03,10.03,10.03,10.03,600
2022-03-23,10.035,10.035,10.02,10.02,10.02,6800
2022-03-24,10.04,10.04,10.04,10.04,10.04,1200
2022-03-25,10.03,10.03,10.03,10.03,10.03,2400
2022-03-28,10.02,10.04,10.02,10.035,10.035,5700
2022-03-29,10.03,10.03,10.01,10.02,10.02,126300
2022-03-30,10.02,10.02,10.02,10.02,10.02,600
2022-03-31,10.03,10.04,10.02,10.04,10.04,32400
2022-04-01,10.04,10.05,10.04,10.05,10.05,2400
2022-04-04,10.03,10.05,10.03,10.05,10.05,204100
2022-04-05,10.03,10.04,10.03,10.03,10.03,100100
2022-04-06,10.03,10.03,10.03,10.03,10.03,100200
2022-04-07,10.03,10.03,10.03,10.03,10.03,0
2022-04-08,10.03,10.03,10.03,10.03,10.03,0
2022-04-11,10.03,10.03,10.03,10.03,10.03,1600
2022-04-12,10.05,10.05,10.05,10.05,10.05,4100
2022-04-13,10.06,10.06,10.06,10.06,10.06,200
2022-04-14,10.06,10.06,10.06,10.06,10.06,0
2022-04-18,10.06,10.06,10.06,10.06,10.06,0
2022-04-19,10.06,10.06,10.06,10.06,10.06,0
2022-04-20,10.05,10.05,10.05,10.05,10.05,600
2022-04-21,10.05,10.05,10.05,10.05,10.05,0
2022-04-22,10.05,10.05,10.05,10.05,10.05,0
2022-04-25,10.05,10.05,10.05,10.05,10.05,2600
2022-04-26,10.05,10.05,10.05,10.05,10.05,0
2022-04-27,10.06,10.08,10.06,10.08,10.08,1100
2022-04-28,10.06,10.06,10.05,10.05,10.05,1300
2022-04-29,10.05,10.05,10.05,10.05,10.05,0
2022-05-02,10.05,10.05,10.05,10.05,10.05,0
2022-05-03,10.05,10.08,10.05,10.07,10.07,9500
2022-05-04,10.05,10.05,10.05,10.05,10.05,700
2022-05-05,10.05,10.05,10.05,10.05,10.05,1700
2022-05-06,10.05,10.05,10.05,10.05,10.05,100
2022-05-09,10.05,10.05,10.05,10.05,10.05,0
2022-05-10,10.09,10.09,10.04,10.04,10.04,200
2022-05-11,10.04,10.04,10.04,10.04,10.04,0
2022-05-12,10.05,10.05,10.05,10.05,10.05,4700
2022-05-13,10.05,10.05,10.05,10.05,10.05,600
2022-05-16,10.05,10.05,10.05,10.05,10.05,0
2022-05-17,10.05,10.05,10.05,10.05,10.05,0
2022-05-18,10.05,10.05,10.05,10.05,10.05,0
2022-05-19,10.05,10.05,10.05,10.05,10.05,0
2022-05-20,10.05,10.05,10.05,10.05,10.05,0
2022-05-23,10.07,10.07,10.07,10.07,10.07,200
2022-05-24,10.05,10.05,10.03,10.03,10.03,18600
2022-05-25,10.03,10.05,10.03,10.05,10.05,1700
2022-05-26,10.05,10.05,10.05,10.05,10.05,0
2022-05-27,10.03,10.055,10.03,10.055,10.055,26900
2022-05-31,10.08,10.08,10.08,10.08,10.08,300
2022-06-01,10.06,10.06,10.06,10.06,10.06,2400
2022-06-02,10.06,10.06,10.06,10.06,10.06,0
2022-06-03,10.06,10.06,10.06,10.06,10.06,0
2022-06-06,10.09,10.09,10.09,10.09,10.09,200
2022-06-07,10.09,10.09,10.09,10.09,10.09,0
2022-06-08,10.09,10.09,10.09,10.09,10.09,0
2022-06-09,10.07,10.07,10.07,10.07,10.07,16500
2022-06-10,10.07,10.07,10.07,10.07,10.07,0
2022-06-13,10.06,10.06,10.06,10.06,10.06,1000
2022-06-14,10.06,10.07,10.06,10.06,10.06,20000
2022-06-15,10.06,10.06,10.06,10.06,10.06,0
2022-06-16,10.06,10.06,10.06,10.06,10.06,300
2022-06-17,10.06,10.06,10.06,10.06,10.06,0
2022-06-21,10.08,10.08,10.08,10.08,10.08,400
2022-06-22,10.06,10.06,10.06,10.06,10.06,27800
2022-06-23,10.06,10.06,10.06,10.06,10.06,0
2022-06-24,10.06,10.06,10.06,10.06,10.06,0
2022-06-27,10.06,10.06,10.06,10.06,10.06,0
2022-06-28,10.06,10.06,10.06,10.06,10.06,0
2022-06-29,10.06,10.06,10.06,10.06,10.06,0
2022-06-30,10.06,10.06,10.06,10.06,10.06,0
2022-07-01,10.06,10.06,10.06,10.06,10.06,0
2022-07-05,10.06,10.06,10.06,10.06,10.06,0
2022-07-06,10.06,10.06,10.06,10.06,10.06,0
2022-07-07,10.06,10.06,10.06,10.06,10.06,0
2022-07-08,10.06,10.06,10.06,10.06,10.06,0
2022-07-11,10.06,10.06,10.06,10.06,10.06,0
2022-07-12,10.06,10.06,10.06,10.06,10.06,0
2022-07-13,10.06,10.06,10.06,10.06,10.06,0
2022-07-14,10.06,10.06,10.06,10.06,10.06,0
2022-07-15,10.06,10.06,10.06,10.06,10.06,0
2022-07-18,10.06,10.06,10.06,10.06,10.06,0
2022-07-19,10.06,10.06,10.06,10.06,10.06,0
2022-07-20,10.09,10.1,10.09,10.1,10.1,69500
2022-07-21,10.1,10.1,10.1,10.1,10.1,0
2022-07-22,10.1,10.1,10.1,10.1,10.1,19300
2022-07-25,10.1,10.1,10.1,10.1,10.1,0
2022-07-26,10.1,10.1,10.1,10.1,10.1,0
2022-07-27,10.1,10.1,10.1,10.1,10.1,0
2022-07-28,10.1,10.1,10.1,10.1,10.1,0
2022-07-29,10.1,10.1,10.1,10.1,10.1,0
2022-08-01,10.1,10.1,10.1,10.1,10.1,0
2022-08-02,10.1,10.1,10.1,10.1,10.1,0
2022-08-03,10.1,10.1,10.1,10.1,10.1,0
2022-08-04,10.1,10.1,10.1,10.1,10.1,0
2022-08-05,10.1,10.1,10.1,10.1,10.1,0
2022-08-08,10.1,10.1,10.1,10.1,10.1,0
2022-08-09,10.12,10.12,10.11,10.12,10.12,14200
2022-08-10,10.12,10.12,10.12,10.12,10.12,100
2022-08-11,10.12,10.12,10.12,10.12,10.12,100
2022-08-12,10.12,10.12,10.12,10.12,10.12,100
2022-08-15,10.12,10.12,10.12,10.12,10.12,0
2022-08-16,10.12,10.12,10.12,10.12,10.12,0
2022-08-17,10.12,10.12,10.12,10.12,10.12,0
2022-08-18,10.12,10.12,10.12,10.12,10.12,0
2022-08-19,10.12,10.12,10.12,10.12,10.12,0
2022-08-22,10.12,10.12,10.12,10.12,10.12,0
2022-08-23,10.12,10.12,10.12,10.12,10.12,0
2022-08-24,10.15,10.15,10.14,10.14,10.14,1400
2022-08-25,10.13,10.13,10.13,10.13,10.13,200000
