Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,18.299999,19.99,15.0,15.34,15.34,2821400
2023-06-29,14.05,15.84,14.05,14.91,14.91,705400
2023-06-30,14.91,16.99,14.75,16.99,16.99,578900
2023-07-03,17.01,17.799999,16.27,17.35,17.35,581300
2023-07-05,17.17,17.4,16.5,16.5,16.5,214400
2023-07-06,16.219999,16.75,14.81,14.81,14.81,159000
2023-07-07,14.76,16.24,14.73,16.0,16.0,129900
2023-07-10,15.87,16.469999,15.04,15.04,15.04,183600
2023-07-11,15.44,16.200001,15.17,16.17,16.17,81800
2023-07-12,16.559999,16.75,15.91,16.49,16.49,203600
2023-07-13,16.49,16.6,15.67,15.85,15.85,94300
2023-07-14,15.94,16.4,15.71,16.200001,16.200001,79400
2023-07-17,16.34,16.48,16.024,16.25,16.25,47100
2023-07-18,16.27,18.280001,16.27,17.290001,17.290001,700900
2023-07-19,17.35,19.0,16.93,18.92,18.92,851100
2023-07-20,18.91,19.700001,18.27,18.879999,18.879999,303400
2023-07-21,19.389999,19.389999,16.5,17.17,17.17,178300
2023-07-24,17.76,18.74,17.530001,18.59,18.59,112000
2023-07-25,18.99,18.99,17.950001,18.41,18.41,104100
2023-07-26,18.65,19.450001,18.306,19.17,19.17,187200
2023-07-27,19.43,19.549999,17.549999,17.99,17.99,101600
2023-07-28,18.190001,19.389999,18.0,19.209999,19.209999,149100
2023-07-31,19.5,20.440001,19.0,19.93,19.93,277200
2023-08-01,19.969999,19.969999,19.059999,19.799999,19.799999,116500
2023-08-02,19.540001,19.754999,19.0,19.219999,19.219999,36600
2023-08-03,19.23,19.790001,18.799999,19.0,19.0,98600
2023-08-04,19.01,19.5,18.9,18.940001,18.940001,90800
2023-08-07,19.02,19.719999,18.58,19.33,19.33,165600
2023-08-08,19.48,20.219999,18.702,20.219999,20.219999,129100
2023-08-09,20.190001,20.5,19.061001,19.299999,19.299999,156900
2023-08-10,19.540001,19.75,17.709999,18.620001,18.620001,134400
2023-08-11,18.58,18.58,17.809999,18.5,18.5,64300
2023-08-14,18.280001,18.395,16.549999,16.690001,16.690001,182300
2023-08-15,16.52,17.08,15.59,16.01,16.01,167900
2023-08-16,16.1,17.16,15.77,16.1,16.1,114300
2023-08-17,16.200001,16.5,16.040001,16.040001,16.040001,81500
2023-08-18,16.0,16.805,16.0,16.17,16.17,62800
2023-08-21,16.33,16.452,15.25,15.5,15.5,111100
2023-08-22,15.6,15.6,14.85,15.0,15.0,130100
2023-08-23,15.17,15.17,14.79,14.95,14.95,66700
