Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,8.13,8.13,6.24,6.25,5.15662,258300
2016-04-29,6.39,6.45,6.3,6.4,5.280381,24600
2016-05-02,6.45,6.45,6.25,6.37,5.255629,33300
2016-05-03,6.4,6.59,6.25,6.39,5.272128,53700
2016-05-04,6.56,6.57,6.23,6.49,5.354636,72300
2016-05-05,6.58,7.1,6.53,7.0,5.775415,107600
2016-05-06,7.1,7.32,6.901,7.04,5.808418,72700
2016-05-09,7.19,7.25,7.02,7.2,5.940428,89000
2016-05-10,7.25,7.25,7.0,7.1,5.857919,33600
2016-05-11,7.24,7.24,6.85,7.05,5.816669,89200
2016-05-12,7.0,7.12,7.0,7.12,5.874424,44700
2016-05-13,7.1,7.12,6.9,7.1,5.874423,87300
2016-05-16,7.26,7.35,6.94,7.35,6.081269,17600
2016-05-17,7.0,7.27,6.96,7.27,6.015077,21000
2016-05-18,7.22,7.5,7.002,7.5,6.205375,7000
2016-05-19,7.5,7.5,7.11,7.18,5.940612,7600
2016-05-20,7.23,7.5,7.2,7.5,6.205375,6100
2016-05-23,7.41,7.75,7.36,7.44,6.155733,50800
2016-05-24,7.58,7.66,7.25,7.46,6.17228,12500
2016-05-25,7.45,7.45,7.17,7.29,6.031625,20400
2016-05-26,7.07,7.45,7.07,7.45,6.164006,19600
2016-05-27,7.45,7.45,6.99,7.26,6.006804,20300
2016-05-31,7.27,7.35,6.97,7.35,6.081269,4200
2016-06-01,7.02,7.2,7.02,7.08,5.857875,6500
2016-06-02,7.16,7.16,7.07,7.15,5.915792,2900
2016-06-03,7.36,7.4,7.12,7.4,6.122639,6800
2016-06-06,7.04,7.2,7.04,7.15,5.915792,19700
2016-06-07,7.11,7.2,7.09,7.14,5.907519,4700
2016-06-08,7.21,7.45,7.13,7.45,6.164006,24600
2016-06-09,7.45,7.45,7.15,7.15,5.915792,5700
2016-06-10,7.259,7.29,7.16,7.29,6.031625,13000
2016-06-13,7.37,7.74,7.355,7.62,6.304663,55400
2016-06-14,7.6,7.6,7.43,7.5,6.221707,28700
2016-06-15,7.384,7.61,7.384,7.5,6.221707,38300
2016-06-16,7.37,7.53,7.17,7.28,6.039201,46600
2016-06-17,7.54,7.54,7.17,7.23,5.997725,85000
2016-06-20,7.38,7.72,7.35,7.56,6.271479,30600
2016-06-21,7.5,7.62,7.5,7.62,6.321255,25400
2016-06-22,7.5,7.88,7.5,7.88,6.53694,38900
2016-06-23,7.9,8.0,7.77,7.96,6.603305,48100
2016-06-24,7.63,8.14,7.63,8.06,6.686259,731000
2016-06-27,8.12,8.13,7.87,7.99,6.628192,56700
2016-06-28,8.2,8.46,8.0,8.16,6.769217,68600
2016-06-29,8.27,8.47,8.2,8.42,6.984901,39100
2016-06-30,8.5,8.97,8.406,8.8,7.300138,129200
2016-07-01,8.8,8.88,8.47,8.86,7.349906,37600
2016-07-05,8.99,9.009,8.86,8.98,7.449461,76300
2016-07-06,9.09,9.09,8.86,8.97,7.441163,34300
2016-07-07,8.98,8.98,8.86,8.87,7.358207,8700
2016-07-08,8.97,8.98,8.7,8.91,7.391389,61000
2016-07-11,9.0,9.0,8.76,8.86,7.349906,41400
2016-07-12,8.76,8.93,8.72,8.91,7.391389,58600
2016-07-13,8.95,9.1,8.8,9.0,7.484528,40000
2016-07-14,9.02,9.109,9.02,9.08,7.551058,17600
2016-07-15,9.18,9.18,8.93,9.0,7.484528,36100
2016-07-18,8.98,9.09,8.95,9.06,7.534424,18700
2016-07-19,9.027,9.03,8.9,8.97,7.459577,14700
2016-07-20,8.89,8.99,8.82,8.89,7.393049,18300
2016-07-21,8.82,8.9,8.71,8.81,7.326519,25300
2016-07-22,8.769,8.77,8.6,8.63,7.176833,20900
2016-07-25,8.65,8.72,8.62,8.7,7.235044,9500
2016-07-26,8.71,8.75,8.38,8.42,7.002191,27600
2016-07-27,8.46,8.52,8.37,8.51,7.077038,21700
2016-07-28,8.53,8.53,8.41,8.43,7.010508,12500
2016-07-29,8.51,8.549,8.37,8.46,7.035457,18200
2016-08-01,8.52,8.52,8.37,8.46,7.035457,9300
2016-08-02,8.47,8.47,8.33,8.35,6.943978,12900
2016-08-03,8.32,8.436,8.14,8.17,6.794286,22900
2016-08-04,8.14,8.14,7.36,7.48,6.220474,109700
2016-08-05,7.48,7.7,7.41,7.67,6.37848,42100
2016-08-08,7.61,7.82,7.61,7.75,6.445011,12300
2016-08-09,7.75,7.95,7.75,7.94,6.603015,6900
2016-08-10,8.0,8.08,7.87,7.91,6.578067,21600
2016-08-11,8.31,8.31,7.897,8.09,6.727758,34500
2016-08-12,8.15,8.4,8.15,8.34,6.935661,43000
2016-08-15,8.34,8.52,7.97,7.99,6.662172,45900
2016-08-16,8.02,8.509,7.99,7.99,6.662172,22400
2016-08-17,8.33,8.33,8.122,8.23,6.862285,8300
2016-08-18,8.27,8.27,8.2,8.26,6.887301,7200
2016-08-19,8.28,8.29,8.2,8.21,6.845607,19700
2016-08-22,8.16,8.31,8.16,8.22,6.853948,8500
2016-08-23,8.24,8.414,8.24,8.33,6.945668,8100
2016-08-24,8.35,8.35,8.01,8.1,6.753892,14700
2016-08-25,8.05,8.075,7.99,8.0,6.670507,17300
2016-08-26,8.05,8.15,7.85,7.88,6.570452,26500
2016-08-29,7.9,7.9,7.85,7.89,6.578789,7900
2016-08-30,7.952,7.99,7.9,7.98,6.653834,7600
