Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,9.78,10.56,9.78,9.83,9.83,8600
2021-10-06,9.9,9.9,9.75,9.84,9.84,82200
2021-10-07,9.86,9.921,9.86,9.905,9.905,27400
2021-10-08,10.06,10.06,9.9,9.907,9.907,700
2021-10-11,9.85,9.89,9.81,9.88,9.88,16100
2021-10-12,9.8,9.94,9.8,9.91,9.91,154000
2021-10-13,9.95,9.96,9.91,9.95,9.95,6800
2021-10-14,9.9,9.9,9.83,9.87,9.87,700900
2021-10-15,9.9,9.9,9.88,9.9,9.9,135700
2021-10-18,9.9,9.9,9.88,9.9,9.9,901700
2021-10-19,9.9,9.91,9.89,9.905,9.905,82800
2021-10-20,9.854,9.9,9.85,9.86,9.86,327100
2021-10-21,9.87,9.88,9.87,9.87,9.87,188400
2021-10-22,9.87,9.87,9.86,9.864,9.864,5500
2021-10-25,9.87,9.92,9.86,9.92,9.92,32900
2021-10-26,9.88,9.93,9.88,9.89,9.89,209300
2021-10-27,9.89,9.89,9.86,9.86,9.86,24300
2021-10-28,9.88,9.9,9.88,9.9,9.9,175500
2021-10-29,9.9,9.9,9.87,9.89,9.89,64000
2021-11-01,9.93,9.94,9.88,9.915,9.915,12600
2021-11-02,9.93,9.94,9.91,9.91,9.91,162100
2021-11-03,9.93,9.95,9.91,9.94,9.94,44400
2021-11-04,9.95,10.0,9.92,9.965,9.965,1740900
2021-11-05,9.97,10.028,9.91,9.91,9.91,20700
2021-11-08,9.91,9.98,9.89,9.9,9.9,27700
2021-11-09,9.9,9.941,9.9,9.91,9.91,5700
2021-11-10,9.92,9.92,9.89,9.89,9.89,1000700
2021-11-11,9.89,9.92,9.89,9.9,9.9,48400
2021-11-12,9.9,9.98,9.9,9.92,9.92,73300
2021-11-15,9.96,9.96,9.9,9.94,9.94,133000
2021-11-16,9.94,10.0,9.92,10.0,10.0,32500
2021-11-17,10.0,10.0,9.93,9.98,9.98,11400
2021-11-18,9.977,9.977,9.91,9.95,9.95,9500
2021-11-19,9.95,9.96,9.92,9.937,9.937,66300
2021-11-22,9.92,9.935,9.92,9.93,9.93,4300
2021-11-23,9.93,9.93,9.91,9.93,9.93,12500
2021-11-24,9.9,9.91,9.88,9.91,9.91,20500
2021-11-26,9.91,9.92,9.91,9.918,9.918,1600
2021-11-29,9.92,9.92,9.89,9.92,9.92,21000
2021-11-30,9.9,9.93,9.88,9.93,9.93,5800
2021-12-01,9.898,9.9,9.89,9.89,9.89,22800
2021-12-02,9.89,9.91,9.89,9.91,9.91,21000
2021-12-03,9.89,9.92,9.89,9.91,9.91,17400
2021-12-06,9.9,9.91,9.9,9.909,9.909,243800
2021-12-07,9.9,9.93,9.9,9.91,9.91,3700
2021-12-08,9.9,9.92,9.89,9.92,9.92,25100
2021-12-09,9.92,9.96,9.92,9.96,9.96,9600
2021-12-10,9.91,9.91,9.87,9.91,9.91,120400
2021-12-13,9.916,9.916,9.896,9.91,9.91,700
2021-12-14,9.9,9.9,9.9,9.9,9.9,65100
2021-12-15,9.92,9.92,9.88,9.895,9.895,210900
2021-12-16,9.92,9.92,9.84,9.84,9.84,69600
2021-12-17,9.841,9.85,9.84,9.84,9.84,8400
2021-12-20,9.84,9.84,9.84,9.84,9.84,373900
2021-12-21,9.844,9.844,9.84,9.84,9.84,500
2021-12-22,9.85,9.885,9.85,9.88,9.88,5400
2021-12-23,9.85,9.89,9.844,9.88,9.88,14200
2021-12-27,9.88,9.88,9.88,9.88,9.88,0
2021-12-28,9.9,9.9,9.85,9.87,9.87,1400
2021-12-29,9.85,9.856,9.85,9.856,9.856,500
2021-12-30,9.865,9.873,9.865,9.873,9.873,3000
2021-12-31,9.86,9.86,9.86,9.86,9.86,5900
2022-01-03,9.85,9.85,9.85,9.85,9.85,900
2022-01-04,9.85,9.85,9.85,9.85,9.85,0
2022-01-05,9.85,9.85,9.85,9.85,9.85,3200
2022-01-06,9.86,9.86,9.86,9.86,9.86,50800
2022-01-07,9.86,9.94,9.86,9.94,9.94,4100
2022-01-10,9.87,9.87,9.87,9.87,9.87,7300
2022-01-11,9.87,9.87,9.87,9.87,9.87,0
2022-01-12,9.87,9.87,9.87,9.87,9.87,0
2022-01-13,9.88,9.88,9.88,9.88,9.88,200500
2022-01-14,9.87,9.87,9.85,9.85,9.85,2300
2022-01-18,9.85,9.88,9.84,9.87,9.87,140200
2022-01-19,9.87,9.9,9.87,9.88,9.88,36400
2022-01-20,9.89,9.9,9.85,9.85,9.85,314100
2022-01-21,9.895,9.895,9.85,9.85,9.85,11700
2022-01-24,9.94,9.94,9.85,9.86,9.86,47400
2022-01-25,9.85,9.85,9.84,9.85,9.85,16700
2022-01-26,9.84,9.84,9.84,9.84,9.84,600
2022-01-27,9.84,9.86,9.84,9.84,9.84,2700
2022-01-28,9.84,9.84,9.84,9.84,9.84,2300
2022-01-31,9.85,9.9,9.83,9.9,9.9,15000
2022-02-01,9.86,9.9,9.847,9.9,9.9,10800
2022-02-02,9.85,9.9,9.85,9.88,9.88,6100
2022-02-03,9.84,9.9,9.84,9.9,9.9,600
2022-02-04,9.88,9.88,9.88,9.88,9.88,200
2022-02-07,9.885,9.9,9.87,9.9,9.9,55900
2022-02-08,9.88,9.896,9.87,9.896,9.896,12700
2022-02-09,9.84,9.91,9.84,9.9,9.9,14000
2022-02-10,9.91,9.91,9.89,9.89,9.89,1300
2022-02-11,9.85,9.89,9.831,9.89,9.89,1200
2022-02-14,9.85,9.9,9.85,9.9,9.9,4300
2022-02-15,9.9,9.9,9.89,9.89,9.89,500
2022-02-16,9.85,9.87,9.85,9.87,9.87,800
2022-02-17,9.86,9.86,9.86,9.86,9.86,900
2022-02-18,9.86,9.88,9.85,9.88,9.88,5800
2022-02-22,9.88,9.88,9.88,9.88,9.88,300
2022-02-23,9.88,9.88,9.88,9.88,9.88,300
2022-02-24,9.85,9.883,9.84,9.85,9.85,184900
2022-02-25,9.85,9.88,9.85,9.88,9.88,175100
2022-02-28,9.85,9.85,9.85,9.85,9.85,600
2022-03-01,9.85,9.88,9.84,9.84,9.84,10800
2022-03-02,9.84,9.85,9.84,9.84,9.84,41200
2022-03-03,9.84,9.84,9.84,9.84,9.84,0
2022-03-04,9.84,9.84,9.84,9.84,9.84,200
2022-03-07,9.84,9.84,9.84,9.84,9.84,0
2022-03-08,9.865,9.865,9.865,9.865,9.865,300
2022-03-09,9.84,9.86,9.84,9.86,9.86,3700
2022-03-10,9.85,9.86,9.85,9.85,9.85,15600
2022-03-11,9.88,9.88,9.88,9.88,9.88,1400
2022-03-14,9.84,9.86,9.84,9.86,9.86,21100
2022-03-15,9.86,9.86,9.86,9.86,9.86,0
2022-03-16,9.86,9.86,9.86,9.86,9.86,0
2022-03-17,9.87,9.87,9.87,9.87,9.87,1300
2022-03-18,9.86,9.879,9.86,9.87,9.87,3500
2022-03-21,9.89,9.89,9.885,9.89,9.89,8000
2022-03-22,9.89,9.89,9.89,9.89,9.89,0
2022-03-23,9.89,9.89,9.89,9.89,9.89,1100
2022-03-24,9.89,9.89,9.89,9.89,9.89,90000
2022-03-25,9.89,9.89,9.89,9.89,9.89,100
2022-03-28,9.89,9.89,9.89,9.89,9.89,0
2022-03-29,9.86,9.894,9.86,9.894,9.894,1100
2022-03-30,9.89,9.89,9.89,9.89,9.89,47500
2022-03-31,9.92,9.95,9.89,9.94,9.94,3800
2022-04-01,9.94,9.94,9.94,9.94,9.94,0
2022-04-04,9.94,9.94,9.94,9.94,9.94,0
2022-04-05,9.95,9.95,9.93,9.93,9.93,1200
2022-04-06,9.91,9.92,9.9,9.92,9.92,7800
2022-04-07,9.927,9.927,9.91,9.926,9.926,2000
2022-04-08,9.91,9.91,9.9,9.9,9.9,136100
2022-04-11,9.92,9.92,9.9,9.9,9.9,10500
2022-04-12,9.93,9.93,9.93,9.93,9.93,480600
2022-04-13,9.95,9.95,9.92,9.92,9.92,109400
2022-04-14,9.95,9.96,9.9,9.96,9.96,5200
2022-04-18,9.96,9.96,9.96,9.96,9.96,0
2022-04-19,9.94,9.94,9.93,9.93,9.93,2300
2022-04-20,9.94,9.94,9.94,9.94,9.94,200
2022-04-21,9.94,9.94,9.94,9.94,9.94,800
2022-04-22,9.93,9.952,9.92,9.92,9.92,54000
2022-04-25,9.92,9.94,9.92,9.925,9.925,50000
2022-04-26,9.93,9.95,9.92,9.92,9.92,276100
2022-04-27,9.93,9.93,9.92,9.92,9.92,11200
2022-04-28,9.92,9.92,9.919,9.92,9.92,27100
2022-04-29,9.95,9.95,9.92,9.92,9.92,2900
2022-05-02,9.93,9.93,9.915,9.93,9.93,647100
2022-05-03,9.93,9.93,9.93,9.93,9.93,9200
2022-05-04,9.95,9.95,9.93,9.93,9.93,4300
2022-05-05,9.93,9.93,9.93,9.93,9.93,100
2022-05-06,9.93,9.94,9.93,9.93,9.93,116300
2022-05-09,9.93,9.935,9.92,9.92,9.92,8800
2022-05-10,9.92,9.92,9.92,9.92,9.92,700
2022-05-11,9.92,9.92,9.92,9.92,9.92,200
2022-05-12,9.9,9.9,9.9,9.9,9.9,3000
2022-05-13,9.9,9.9,9.9,9.9,9.9,0
2022-05-16,9.88,9.89,9.88,9.89,9.89,311200
2022-05-17,9.89,9.89,9.88,9.88,9.88,1119600
2022-05-18,9.88,9.88,9.87,9.87,9.87,29000
2022-05-19,9.87,9.87,9.87,9.87,9.87,21000
2022-05-20,9.87,9.87,9.87,9.87,9.87,0
2022-05-23,9.87,9.87,9.87,9.87,9.87,900
2022-05-24,9.87,9.87,9.87,9.87,9.87,50000
2022-05-25,9.89,9.89,9.88,9.88,9.88,8300
2022-05-26,9.88,9.88,9.88,9.88,9.88,6300
2022-05-27,9.91,9.92,9.88,9.92,9.92,143400
2022-05-31,9.92,9.92,9.89,9.9,9.9,25900
2022-06-01,9.9,9.91,9.9,9.91,9.91,400
2022-06-02,9.91,9.91,9.91,9.91,9.91,0
2022-06-03,9.91,9.93,9.91,9.915,9.915,2900
2022-06-06,9.93,9.93,9.93,9.93,9.93,200
2022-06-07,9.93,9.93,9.93,9.93,9.93,0
2022-06-08,9.93,9.93,9.92,9.92,9.92,241400
2022-06-09,9.91,9.93,9.91,9.93,9.93,12500
2022-06-10,9.92,9.925,9.91,9.91,9.91,59500
2022-06-13,9.92,9.92,9.9,9.905,9.905,35400
2022-06-14,9.91,9.911,9.91,9.91,9.91,32800
2022-06-15,9.94,9.94,9.91,9.91,9.91,26400
2022-06-16,9.916,9.916,9.91,9.91,9.91,1600
2022-06-17,9.92,9.92,9.91,9.92,9.92,22100
2022-06-21,9.92,9.92,9.92,9.92,9.92,0
2022-06-22,9.92,9.92,9.92,9.92,9.92,0
2022-06-23,9.92,9.92,9.92,9.92,9.92,0
2022-06-24,9.91,9.91,9.91,9.91,9.91,54800
2022-06-27,9.91,9.925,9.91,9.925,9.925,79800
2022-06-28,9.91,9.91,9.91,9.91,9.91,600
2022-06-29,9.925,9.925,9.92,9.924,9.924,3400
2022-06-30,9.91,9.925,9.91,9.91,9.91,2100
2022-07-01,9.92,9.925,9.91,9.925,9.925,372700
2022-07-05,9.925,9.925,9.925,9.925,9.925,0
2022-07-06,9.925,9.925,9.925,9.925,9.925,0
2022-07-07,9.91,9.91,9.905,9.91,9.91,42400
