Date,Open,High,Low,Close,Adj Close,Volume
2014-07-16,10.0,11.27,7.94,9.9,9.413334,902700
2014-07-17,9.25,9.85,8.89,9.0,8.557577,144400
2014-07-18,9.3,9.3,8.8,8.8,8.367408,22400
2014-07-21,8.97,8.97,8.5,8.79,8.3579,39900
2014-07-22,8.9,8.9,8.26,8.75,8.319866,12700
2014-07-23,8.71,9.089,8.7,8.99,8.548068,18600
2014-07-24,8.75,9.5,8.75,9.22,8.766763,14600
2014-07-25,9.3,9.35,9.004,9.21,8.757254,37900
2014-07-28,9.25,9.25,9.03,9.25,8.795287,47800
2014-07-29,9.25,9.35,9.216,9.35,8.890372,60400
2014-07-30,9.48,9.48,9.25,9.3,8.842829,14800
2014-07-31,9.26,9.305,9.13,9.13,8.681186,27900
2014-08-01,9.24,9.39,9.14,9.37,8.909389,14500
2014-08-04,9.44,9.44,9.19,9.43,8.966439,14900
2014-08-05,9.24,9.352,9.128,9.35,8.890372,24800
2014-08-06,9.65,9.88,9.15,9.38,8.918897,20000
2014-08-07,9.5,9.75,9.38,9.5,9.032997,13400
2014-08-08,9.6,11.57,9.6,11.03,10.487785,37500
2014-08-11,13.14,13.6,11.01,11.04,10.497293,34300
2014-08-12,11.0,11.02,10.25,10.47,9.955315,30200
2014-08-13,10.35,11.0,10.35,11.0,10.459261,7900
2014-08-14,10.96,11.25,10.7,10.84,10.307126,7300
2014-08-15,10.79,11.0,10.73,10.75,10.221549,8300
2014-08-18,10.87,12.49,10.75,10.89,10.354668,23300
2014-08-19,10.82,11.22,10.76,10.98,10.440244,22300
2014-08-20,10.85,11.08,10.85,11.08,10.535327,11900
2014-08-21,11.02,11.29,11.02,11.29,10.735005,3300
2014-08-22,11.3,11.3,10.96,11.1,10.554344,4600
2014-08-25,11.27,11.3,10.95,11.15,10.601887,17600
2014-08-26,11.16,11.24,10.92,11.1,10.554344,9600
2014-08-27,11.1,11.18,10.8,10.95,10.411718,13100
2014-08-28,11.03,11.15,10.5,10.87,10.33565,10500
2014-08-29,10.86,11.14,10.71,10.8,10.269093,15600
2014-09-02,11.915,11.915,10.01,10.4,9.888756,20500
2014-09-03,9.89,9.89,6.26,7.15,6.798519,653100
2014-09-04,7.15,7.69,6.9,7.68,7.302465,151800
2014-09-05,7.5,8.05,7.5,7.7,7.321482,108000
2014-09-08,7.7,7.96,7.7,7.91,7.521159,17100
2014-09-09,8.1,8.14,7.66,7.66,7.283448,19100
2014-09-10,7.72,7.82,7.0,7.65,7.27394,32700
2014-09-11,7.47,8.0,7.45,7.8,7.416567,91300
2014-09-12,7.82,8.0,7.25,7.655,7.278695,27800
2014-09-15,7.42,7.58,7.25,7.37,7.007704,26700
2014-09-16,7.24,7.43,7.15,7.18,6.827044,14500
2014-09-17,7.2,7.54,7.18,7.325,6.964916,16600
2014-09-18,7.15,7.53,7.15,7.16,6.808028,34400
2014-09-19,7.16,7.3,6.65,6.75,6.418182,50700
2014-09-22,6.81,7.2,6.77,7.07,6.722452,14700
2014-09-23,6.88,7.13,6.75,6.952,6.610252,4500
2014-09-24,7.16,7.16,6.86,7.12,6.769994,1700
2014-09-25,6.87,7.22,6.75,6.94,6.598843,81100
2014-09-26,6.96,7.25,6.96,7.14,6.789011,5400
2014-09-29,6.78,7.12,6.701,7.1,6.750977,37900
2014-09-30,6.99,7.27,6.85,7.01,6.665401,10900
2014-10-01,7.08,7.1,6.87,7.045,6.698681,10600
2014-10-02,7.05,7.17,6.91,7.17,6.817536,6800
2014-10-03,7.22,7.22,7.0,7.2,6.846061,3300
2014-10-06,7.2,7.39,7.1,7.31,6.950654,13700
2014-10-07,7.23,7.39,7.12,7.12,6.769994,5400
2014-10-08,7.13,7.13,7.13,7.13,6.779502,200
2014-10-09,7.973,7.973,7.13,7.25,6.893604,2400
2014-10-10,7.51,7.51,7.13,7.2,6.846061,11100
2014-10-13,7.25,7.49,7.25,7.25,6.893604,10900
2014-10-14,7.195,7.29,6.9,7.29,6.931637,10500
2014-10-15,7.1,7.17,6.92,7.0,6.655893,13500
2014-10-16,6.95,7.05,6.95,7.02,6.67491,31300
2014-10-17,7.04,7.23,7.02,7.23,6.874587,11500
2014-10-20,7.01,7.22,7.0,7.18,6.827044,1600
2014-10-21,7.06,7.55,7.0,7.24,6.884095,70200
2014-10-22,7.23,7.52,7.16,7.2,6.846061,15900
2014-10-23,7.2,7.53,7.05,7.3,6.941146,5000
2014-10-24,7.35,7.35,7.21,7.21,6.85557,1200
2014-10-27,7.1,7.475,7.0,7.475,7.107543,22600
2014-10-28,7.2,7.49,7.03,7.345,6.983933,8700
2014-10-29,7.12,7.41,7.02,7.41,7.045738,3600
2014-10-30,7.4,7.44,7.03,7.11,6.760486,52500
