Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,9.9,9.9,9.9,9.9,9.9,1000
2021-12-01,9.9,9.9,9.9,9.9,9.9,9100
2021-12-02,9.9,9.9,9.9,9.9,9.9,0
2021-12-03,9.9,9.9,9.9,9.9,9.9,5100
2021-12-06,9.9,9.9,9.9,9.9,9.9,0
2021-12-07,9.69,9.69,9.69,9.69,9.69,200
2021-12-08,9.69,9.707,9.69,9.7,9.7,6700
2021-12-09,9.7,9.71,9.7,9.7,9.7,28600
2021-12-10,9.725,9.725,9.7,9.72,9.72,5100
2021-12-13,9.7,9.73,9.7,9.7,9.7,95400
2021-12-14,9.722,9.77,9.69,9.7,9.7,313600
2021-12-15,9.68,9.7,9.68,9.7,9.7,5200
2021-12-16,9.7,9.7,9.7,9.7,9.7,0
2021-12-17,9.7,9.7,9.7,9.7,9.7,101100
2021-12-20,9.71,9.71,9.7,9.71,9.71,11600
2021-12-21,9.7,9.7,9.69,9.7,9.7,20400
2021-12-22,9.7,9.708,9.7,9.7,9.7,108300
2021-12-23,9.71,9.71,9.69,9.71,9.71,70900
2021-12-27,9.71,9.71,9.71,9.71,9.71,0
2021-12-28,9.71,9.71,9.71,9.71,9.71,5100
2021-12-29,9.71,9.71,9.71,9.71,9.71,0
2021-12-30,9.7,9.7,9.7,9.7,9.7,5300
2021-12-31,9.7,9.7,9.7,9.7,9.7,0
2022-01-03,9.7,9.7,9.7,9.7,9.7,0
2022-01-04,9.72,9.72,9.705,9.71,9.71,414300
2022-01-05,9.71,9.71,9.71,9.71,9.71,54300
2022-01-06,9.71,9.71,9.71,9.71,9.71,206400
2022-01-07,9.72,9.72,9.72,9.72,9.72,4800
2022-01-10,9.72,9.72,9.71,9.71,9.71,212500
2022-01-11,9.71,9.71,9.71,9.71,9.71,1300
2022-01-12,9.71,9.71,9.71,9.71,9.71,1300
2022-01-13,9.71,9.71,9.71,9.71,9.71,105400
2022-01-14,9.72,9.72,9.7,9.7,9.7,115200
2022-01-18,9.69,9.69,9.69,9.69,9.69,400
2022-01-19,9.72,9.72,9.71,9.71,9.71,21300
2022-01-20,9.71,9.71,9.71,9.71,9.71,0
