Date,Open,High,Low,Close,Adj Close,Volume
2007-02-12,7.35,7.5,7.35,7.38,6.677083,744900
2007-02-13,7.51,7.51,7.46,7.46,6.749463,518100
2007-02-14,7.47,7.47,7.4,7.4,6.695178,33100
2007-02-15,7.4,7.4,7.4,7.4,6.695178,7300
2007-02-16,7.41,7.41,7.41,7.41,6.704226,25700
2007-02-20,7.42,7.42,7.4,7.42,6.713273,4500
2007-02-21,7.43,7.43,7.43,7.43,6.72232,6000
2007-02-22,7.44,7.44,7.38,7.4,6.695178,14000
2007-02-23,7.44,7.44,7.39,7.4,6.695178,27100
2007-02-26,7.4,7.42,7.36,7.4,6.695178,123100
2007-02-27,7.4,7.4,7.4,7.4,6.695178,0
2007-02-28,7.39,7.39,7.39,7.39,6.68613,100
2007-03-01,7.39,7.42,7.34,7.34,6.640893,500
2007-03-02,7.31,7.32,7.26,7.26,6.568513,11600
2007-03-05,7.35,7.35,7.32,7.33,6.631845,29000
2007-03-06,7.38,7.41,7.38,7.41,6.704226,70300
2007-03-07,7.39,7.42,7.33,7.42,6.713273,112900
2007-03-08,7.4,7.42,7.39,7.4,6.695178,466200
2007-03-09,7.4,7.45,7.4,7.45,6.740415,4700
2007-03-12,7.45,7.45,7.42,7.42,6.713273,16000
2007-03-13,7.42,7.42,7.42,7.42,6.713273,50000
2007-03-14,7.4,7.45,7.35,7.42,6.713273,188000
2007-03-15,7.45,7.45,7.41,7.41,6.704226,5600
2007-03-16,7.44,7.44,7.42,7.43,6.72232,1800
2007-03-19,7.44,7.44,7.4,7.42,6.713273,67900
2007-03-20,7.42,7.44,7.4,7.4,6.695178,152100
2007-03-21,7.45,7.45,7.4,7.45,6.740415,47600
2007-03-22,7.45,7.49,7.42,7.45,6.740415,55500
2007-03-23,7.45,7.49,7.4,7.48,6.767557,36000
2007-03-26,7.45,7.45,7.45,7.45,6.740415,900
2007-03-27,7.42,7.44,7.41,7.41,6.704226,66400
2007-03-28,7.45,7.45,7.45,7.45,6.740415,5100
2007-03-29,7.41,7.62,7.38,7.54,6.821843,274800
2007-03-30,7.54,7.6,7.43,7.46,6.749463,626100
2007-04-02,7.47,7.52,7.4,7.48,6.767557,179400
2007-04-03,7.43,7.45,7.43,7.45,6.740415,58500
2007-04-04,7.45,7.45,7.4,7.4,6.695178,119600
2007-04-05,7.41,7.43,7.39,7.43,6.72232,73700
2007-04-09,7.42,7.55,7.41,7.42,6.713273,83600
2007-04-10,7.41,7.51,7.41,7.45,6.740415,310100
2007-04-11,7.46,7.5,7.44,7.46,6.749463,638200
2007-04-12,7.44,7.5,7.41,7.5,6.785653,149900
2007-04-13,7.49,7.49,7.4,7.45,6.740415,164800
2007-04-16,7.49,7.5,7.44,7.45,6.740415,37800
2007-04-17,7.44,7.5,7.43,7.48,6.767557,53500
2007-04-18,7.45,7.46,7.42,7.42,6.713273,36700
2007-04-19,7.41,7.45,7.41,7.44,6.731368,54200
2007-04-20,7.44,7.55,7.41,7.48,6.767557,95000
2007-04-23,7.47,7.47,7.4,7.41,6.704226,12500
2007-04-24,7.4,7.48,7.4,7.47,6.758511,35400
2007-04-25,7.6,7.7,7.57,7.68,6.948509,524700
2007-04-26,7.63,7.65,7.58,7.64,6.912318,338600
