Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,9.65,9.681,9.628,9.65,9.65,1104800
2021-10-04,9.651,9.69,9.65,9.68,9.68,311100
2021-10-05,9.66,9.68,9.66,9.68,9.68,2800
2021-10-06,9.675,9.7,9.67,9.69,9.69,75900
2021-10-07,9.69,9.7,9.63,9.685,9.685,422900
2021-10-08,9.66,9.7,9.66,9.69,9.69,4800
2021-10-11,9.69,9.69,9.69,9.69,9.69,0
2021-10-12,9.7,9.7,9.7,9.7,9.7,2900
2021-10-13,9.7,9.7,9.7,9.7,9.7,450000
2021-10-14,9.7,9.7,9.7,9.7,9.7,0
2021-10-15,9.7,9.7,9.7,9.7,9.7,251400
2021-10-18,9.69,9.69,9.69,9.69,9.69,5100
2021-10-19,9.69,9.69,9.69,9.69,9.69,0
2021-10-20,9.69,9.69,9.69,9.69,9.69,0
2021-10-21,9.67,9.67,9.67,9.67,9.67,200
2021-10-22,9.68,9.68,9.68,9.68,9.68,5100
2021-10-25,9.693,9.7,9.68,9.69,9.69,687600
2021-10-26,9.7,9.7,9.68,9.69,9.69,29400
2021-10-27,9.69,9.69,9.68,9.68,9.68,4000
2021-10-28,9.69,9.69,9.67,9.69,9.69,8500
2021-10-29,9.69,9.7,9.67,9.7,9.7,1100
2021-11-01,9.7,9.7,9.7,9.7,9.7,0
2021-11-02,9.66,9.68,9.66,9.66,9.66,21300
2021-11-03,9.67,9.67,9.67,9.67,9.67,3600
2021-11-04,9.67,9.67,9.67,9.67,9.67,0
2021-11-05,9.67,9.67,9.67,9.67,9.67,300
2021-11-08,9.67,9.74,9.67,9.7,9.7,142600
2021-11-09,9.656,9.72,9.656,9.69,9.69,111900
2021-11-10,9.7,9.7,9.67,9.7,9.7,208800
2021-11-11,9.7,9.7,9.7,9.7,9.7,0
2021-11-12,9.7,9.72,9.7,9.72,9.72,13000
2021-11-15,9.72,9.72,9.72,9.72,9.72,0
2021-11-16,9.68,9.69,9.68,9.69,9.69,4100
2021-11-17,9.7,9.7,9.67,9.7,9.7,4100
2021-11-18,9.7,9.7,9.7,9.7,9.7,0
2021-11-19,9.7,9.7,9.7,9.7,9.7,3300
2021-11-22,9.7,9.72,9.7,9.72,9.72,19000
2021-11-23,9.71,9.71,9.7,9.71,9.71,12800
2021-11-24,9.71,9.71,9.71,9.71,9.71,0
2021-11-26,9.71,9.71,9.71,9.71,9.71,0
2021-11-29,9.71,9.71,9.71,9.71,9.71,0
2021-11-30,9.68,9.71,9.68,9.7,9.7,308400
2021-12-01,9.7,9.7,9.7,9.7,9.7,0
2021-12-02,9.7,9.7,9.7,9.7,9.7,0
2021-12-03,9.7,9.7,9.7,9.7,9.7,0
2021-12-06,9.7,9.7,9.7,9.7,9.7,0
2021-12-07,9.67,9.67,9.67,9.67,9.67,400
2021-12-08,9.66,9.687,9.65,9.66,9.66,23200
2021-12-09,9.68,9.69,9.675,9.68,9.68,5300
2021-12-10,9.68,9.68,9.645,9.66,9.66,52100
2021-12-13,9.65,9.65,9.65,9.65,9.65,100
2021-12-14,9.61,9.64,9.61,9.64,9.64,4300
2021-12-15,9.63,9.65,9.63,9.65,9.65,900
2021-12-16,9.64,9.64,9.61,9.62,9.62,53000
2021-12-17,9.63,9.63,9.63,9.63,9.63,800
2021-12-20,9.64,9.64,9.61,9.63,9.63,20200
2021-12-21,9.63,9.63,9.63,9.63,9.63,500
2021-12-22,9.64,9.64,9.64,9.64,9.64,1300
2021-12-23,9.64,9.64,9.64,9.64,9.64,600
2021-12-27,9.61,9.63,9.61,9.63,9.63,700
2021-12-28,9.62,9.62,9.58,9.61,9.61,81200
2021-12-29,9.6,9.61,9.59,9.608,9.608,18500
2021-12-30,9.61,9.63,9.59,9.6,9.6,14500
2021-12-31,9.6,9.61,9.59,9.61,9.61,8400
2022-01-03,9.615,9.615,9.59,9.61,9.61,32400
2022-01-04,9.61,9.615,9.61,9.61,9.61,5500
2022-01-05,9.6,9.62,9.59,9.62,9.62,62800
2022-01-06,9.61,9.61,9.6,9.61,9.61,12400
2022-01-07,9.59,9.61,9.59,9.61,9.61,2500
2022-01-10,9.62,9.63,9.62,9.63,9.63,38500
2022-01-11,9.62,9.62,9.62,9.62,9.62,12100
2022-01-12,9.61,9.61,9.61,9.61,9.61,2700
2022-01-13,9.61,9.61,9.61,9.61,9.61,200
2022-01-14,9.61,9.61,9.595,9.6,9.6,10300
2022-01-18,9.6,9.61,9.58,9.61,9.61,21000
2022-01-19,9.61,9.61,9.59,9.59,9.59,37500
2022-01-20,9.6,9.6,9.59,9.6,9.6,5200
2022-01-21,9.6,9.6,9.58,9.6,9.6,700
2022-01-24,9.59,9.6,9.57,9.6,9.6,4900
2022-01-25,9.6,9.6,9.585,9.6,9.6,1500
2022-01-26,9.6,9.6,9.6,9.6,9.6,100
2022-01-27,9.57,9.6,9.57,9.6,9.6,800
2022-01-28,9.58,9.6,9.58,9.6,9.6,300
2022-01-31,9.6,9.6,9.6,9.6,9.6,0
2022-02-01,9.59,9.6,9.59,9.6,9.6,10500
2022-02-02,9.6,9.6,9.6,9.6,9.6,0
2022-02-03,9.6,9.6,9.6,9.6,9.6,0
2022-02-04,9.61,9.61,9.61,9.61,9.61,200
2022-02-07,9.58,9.615,9.58,9.6,9.6,6700
2022-02-08,9.6,9.6,9.6,9.6,9.6,0
2022-02-09,9.6,9.6,9.6,9.6,9.6,300
2022-02-10,9.58,9.6,9.58,9.6,9.6,360200
2022-02-11,9.59,9.6,9.58,9.58,9.58,14000
2022-02-14,9.6,9.6,9.6,9.6,9.6,2300
2022-02-15,9.61,9.61,9.6,9.6,9.6,17400
2022-02-16,9.6,9.6,9.6,9.6,9.6,11100
2022-02-17,9.63,9.63,9.59,9.61,9.61,4000
2022-02-18,9.59,9.61,9.59,9.61,9.61,300
2022-02-22,9.61,9.61,9.61,9.61,9.61,0
2022-02-23,9.6,9.6,9.6,9.6,9.6,6100
2022-02-24,9.6,9.6,9.6,9.6,9.6,0
2022-02-25,9.6,9.605,9.6,9.6,9.6,32200
2022-02-28,9.6,9.6,9.6,9.6,9.6,1500
2022-03-01,9.59,9.6,9.59,9.6,9.6,10300
2022-03-02,9.61,9.62,9.6,9.61,9.61,68400
2022-03-03,9.615,9.615,9.615,9.615,9.615,50300
2022-03-04,9.615,9.615,9.615,9.615,9.615,0
2022-03-07,9.6,9.61,9.6,9.61,9.61,6000
2022-03-08,9.61,9.61,9.61,9.61,9.61,0
2022-03-09,9.615,9.615,9.615,9.615,9.615,200
2022-03-10,9.61,9.62,9.61,9.62,9.62,300
2022-03-11,9.62,9.62,9.62,9.62,9.62,0
2022-03-14,9.62,9.62,9.62,9.62,9.62,0
2022-03-15,9.61,9.62,9.61,9.62,9.62,8400
