Date,Open,High,Low,Close,Adj Close,Volume
2021-10-14,12.75,13.52,10.36,11.76,11.76,5016000
2021-10-15,11.63,11.98,9.299,9.35,9.35,1121900
2021-10-18,9.7,9.843,9.22,9.35,9.35,524200
2021-10-19,9.29,9.74,9.2,9.43,9.43,316700
2021-10-20,9.5,9.657,9.1,9.53,9.53,297300
2021-10-21,9.6,10.75,9.538,10.75,10.75,294400
2021-10-22,10.62,10.95,10.01,10.89,10.89,119400
2021-10-25,10.65,11.12,10.421,10.89,10.89,136000
2021-10-26,10.89,11.0,9.6,9.9,9.9,221500
2021-10-27,10.07,10.72,9.23,9.31,9.31,140700
2021-10-28,9.59,10.09,9.44,10.07,10.07,224400
2021-10-29,9.82,10.15,9.32,9.97,9.97,189400
2021-11-01,9.93,10.23,8.91,9.6,9.6,360800
2021-11-02,9.58,9.58,9.1,9.36,9.36,109300
2021-11-03,9.29,9.54,9.161,9.54,9.54,113100
2021-11-04,9.55,9.99,9.396,9.99,9.99,167600
2021-11-05,9.9,10.1,9.52,9.52,9.52,95800
2021-11-08,9.75,10.46,9.75,10.15,10.15,296600
2021-11-09,10.58,10.631,9.99,10.12,10.12,227200
2021-11-10,10.25,10.62,8.8,9.56,9.56,455600
2021-11-11,9.91,9.966,9.31,9.66,9.66,181700
2021-11-12,9.75,9.97,9.61,9.78,9.78,91100
2021-11-15,9.95,10.59,9.67,10.44,10.44,189600
2021-11-16,10.82,10.9,10.111,10.46,10.46,162600
2021-11-17,9.73,9.85,8.164,9.19,9.19,555700
2021-11-18,9.33,10.07,9.25,10.06,10.06,157200
2021-11-19,10.0,10.008,9.05,9.42,9.42,228300
2021-11-22,9.68,9.68,7.37,7.98,7.98,360600
2021-11-23,7.81,8.18,7.56,7.99,7.99,229400
2021-11-24,8.02,8.24,7.755,8.23,8.23,130400
2021-11-26,8.09,8.49,7.9,8.44,8.44,95800
2021-11-29,8.52,8.54,7.9,7.96,7.96,159700
2021-11-30,7.91,8.39,7.085,7.71,7.71,205500
2021-12-01,7.76,7.98,7.47,7.67,7.67,114500
2021-12-02,7.58,7.725,6.95,7.19,7.19,168000
2021-12-03,7.26,7.295,6.34,7.19,7.19,176600
2021-12-06,7.29,7.29,6.25,7.0,7.0,245100
2021-12-07,6.98,7.289,6.805,7.14,7.14,231000
2021-12-08,7.32,7.465,7.001,7.1,7.1,134600
2021-12-09,7.09,7.09,6.62,6.74,6.74,87800
2021-12-10,6.95,7.0,6.27,6.62,6.62,166800
2021-12-13,6.68,6.68,5.7,6.0,6.0,324100
2021-12-14,5.98,6.0,5.49,5.62,5.62,163600
2021-12-15,5.5,5.95,5.17,5.75,5.75,270500
2021-12-16,5.85,5.85,5.35,5.56,5.56,203500
2021-12-17,5.5,5.56,4.97,5.0,5.0,694800
2021-12-20,4.93,5.07,4.61,4.97,4.97,255200
2021-12-21,5.0,5.29,4.85,5.0,5.0,355700
2021-12-22,5.06,5.21,4.64,5.0,5.0,260800
2021-12-23,5.0,5.0,4.8,4.92,4.92,206500
2021-12-27,5.33,5.87,5.15,5.23,5.23,1631300
2021-12-28,5.27,5.31,4.82,4.87,4.87,445500
2021-12-29,4.9,5.04,4.63,4.9,4.9,386600
2021-12-30,4.9,5.32,4.81,5.18,5.18,292600
2021-12-31,5.21,5.49,5.21,5.37,5.37,233700
2022-01-03,5.45,5.53,5.19,5.24,5.24,500100
2022-01-04,5.25,5.276,4.95,5.05,5.05,165400
2022-01-05,5.03,5.07,4.52,4.55,4.55,253100
2022-01-06,4.62,4.734,4.23,4.56,4.56,223600
2022-01-07,4.59,4.653,4.27,4.52,4.52,458900
2022-01-10,4.4,4.447,4.27,4.38,4.38,127600
2022-01-11,4.4,4.7,4.32,4.54,4.54,218300
2022-01-12,4.57,4.76,4.54,4.62,4.62,175900
2022-01-13,4.64,4.64,4.15,4.26,4.26,331700
2022-01-14,4.27,4.344,4.02,4.27,4.27,144600
2022-01-18,4.26,4.26,3.93,4.05,4.05,197600
2022-01-19,4.2,4.24,3.78,3.85,3.85,263800
2022-01-20,3.85,4.1,3.75,3.86,3.86,207100
2022-01-21,3.81,3.9,3.666,3.86,3.86,209900
2022-01-24,3.77,3.87,3.45,3.76,3.76,332700
2022-01-25,3.72,3.73,3.49,3.64,3.64,200100
2022-01-26,3.68,3.755,3.25,3.27,3.27,256900
2022-01-27,3.31,3.38,2.747,2.85,2.85,544500
2022-01-28,2.87,3.115,2.75,3.05,3.05,205200
2022-01-31,3.06,3.299,2.95,3.22,3.22,188900
2022-02-01,3.23,3.44,3.21,3.41,3.41,142500
2022-02-02,3.46,3.5,3.24,3.37,3.37,107200
2022-02-03,3.37,3.37,3.12,3.18,3.18,72800
2022-02-04,3.16,3.34,3.06,3.28,3.28,94500
2022-02-07,3.31,3.55,3.27,3.41,3.41,72500
2022-02-08,3.38,3.49,3.33,3.47,3.47,70500
2022-02-09,3.52,3.7,3.51,3.67,3.67,149100
2022-02-10,3.63,3.77,3.58,3.74,3.74,149700
2022-02-11,3.79,3.94,3.65,3.75,3.75,161900
2022-02-14,3.75,3.83,3.46,3.65,3.65,148600
2022-02-15,3.71,3.97,3.7,3.9,3.9,148300
2022-02-16,3.91,4.06,3.7,3.95,3.95,79300
2022-02-17,3.94,4.0,3.783,3.95,3.95,101700
2022-02-18,3.94,3.96,3.52,3.72,3.72,137400
2022-02-22,3.69,3.74,3.58,3.59,3.59,63500
2022-02-23,3.6,3.72,3.29,3.35,3.35,93000
2022-02-24,3.2,3.61,3.11,3.55,3.55,203000
2022-02-25,3.57,3.681,3.41,3.56,3.56,78000
2022-02-28,3.56,3.87,3.46,3.74,3.74,166100
2022-03-01,3.7,3.85,3.64,3.75,3.75,100400
2022-03-02,3.75,3.86,3.688,3.83,3.83,42300
2022-03-03,3.9,3.93,3.56,3.69,3.69,82700
2022-03-04,3.7,3.75,3.517,3.63,3.63,69200
2022-03-07,3.52,3.74,3.5,3.65,3.65,136100
2022-03-08,3.68,3.9,3.63,3.64,3.64,105800
2022-03-09,3.69,3.84,3.58,3.65,3.65,124000
2022-03-10,3.58,3.87,3.53,3.65,3.65,129400
2022-03-11,3.66,3.66,3.23,3.29,3.29,115700
2022-03-14,3.29,3.33,3.0,3.105,3.105,50000
2022-03-15,3.1,3.34,2.955,3.06,3.06,249300
2022-03-16,3.09,3.23,2.98,3.2,3.2,114000
2022-03-17,3.28,3.5,3.17,3.44,3.44,173900
2022-03-18,3.44,3.55,3.2,3.22,3.22,417400
2022-03-21,3.21,3.34,2.85,2.915,2.915,154200
2022-03-22,2.99,3.1,2.94,3.03,3.03,105600
2022-03-23,3.03,3.24,2.958,3.03,3.03,273500
2022-03-24,3.05,3.282,3.01,3.21,3.21,139800
2022-03-25,3.29,3.29,3.0,3.01,3.01,95200
2022-03-28,3.08,3.19,2.9,3.05,3.05,163400
2022-03-29,3.06,3.29,2.9,3.25,3.25,301100
2022-03-30,3.26,3.34,3.12,3.29,3.29,80100
2022-03-31,3.29,3.38,3.21,3.36,3.36,101700
2022-04-01,3.4,3.51,3.312,3.44,3.44,109500
2022-04-04,3.46,3.51,3.32,3.44,3.44,241300
2022-04-05,3.46,3.475,3.22,3.27,3.27,75600
2022-04-06,3.22,3.22,2.95,3.14,3.14,101000
2022-04-07,3.12,3.12,2.87,2.99,2.99,92600
2022-04-08,3.05,3.05,2.85,2.9,2.9,168100
2022-04-11,2.83,2.879,2.72,2.8,2.8,158500
2022-04-12,2.78,2.89,2.51,2.54,2.54,134400
2022-04-13,2.51,2.57,2.43,2.47,2.47,154000
2022-04-14,2.46,2.56,2.31,2.46,2.46,760800
2022-04-18,2.47,2.48,2.08,2.25,2.25,583400
2022-04-19,2.26,2.345,2.2,2.28,2.28,188600
2022-04-20,2.29,2.29,2.15,2.19,2.19,187900
2022-04-21,2.2,2.22,2.08,2.1,2.1,138100
2022-04-22,2.13,2.23,2.05,2.14,2.14,124700
2022-04-25,2.2,2.33,2.16,2.24,2.24,348100
