Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,10.0,10.0,10.0,10.0,10.0,8000
2021-06-08,9.87,9.87,9.81,9.81,9.81,11200
2021-06-09,9.82,10.335,9.8,9.88,9.88,99200
2021-06-10,9.9,10.62,9.9,10.62,10.62,2300
2021-06-11,11.37,11.37,9.75,9.84,9.84,2300
2021-06-14,9.85,9.86,9.84,9.84,9.84,55500
2021-06-15,9.82,9.85,9.82,9.85,9.85,416100
2021-06-16,9.86,9.9,9.85,9.89,9.89,262900
2021-06-17,9.959,10.06,9.88,9.89,9.89,260800
2021-06-18,9.89,10.465,9.89,9.98,9.98,36400
2021-06-21,10.43,10.5,9.89,9.93,9.93,18100
2021-06-22,9.91,9.93,9.83,9.91,9.91,14300
2021-06-23,9.91,9.91,9.91,9.91,9.91,0
2021-06-24,9.91,9.91,9.91,9.91,9.91,0
2021-06-25,9.91,9.91,9.91,9.91,9.91,0
2021-06-28,9.86,9.96,9.86,9.96,9.96,200
2021-06-29,9.96,9.96,9.96,9.96,9.96,0
2021-06-30,9.88,9.88,9.84,9.84,9.84,7500
2021-07-01,9.87,9.9,9.84,9.84,9.84,15200
2021-07-02,9.87,9.87,9.87,9.87,9.87,200
2021-07-06,9.88,9.912,9.88,9.912,9.912,4200
2021-07-07,9.92,9.92,9.89,9.89,9.89,26100
2021-07-08,9.87,10.029,9.87,9.91,9.91,6000
2021-07-09,9.9,9.97,9.9,9.95,9.95,170500
2021-07-12,10.03,10.182,9.95,9.95,9.95,25700
2021-07-13,9.95,9.95,9.95,9.95,9.95,0
2021-07-14,9.87,9.9,9.84,9.87,9.87,35800
2021-07-15,9.87,9.89,9.85,9.89,9.89,3000
2021-07-16,9.88,9.88,9.88,9.88,9.88,200
2021-07-19,9.88,9.89,9.82,9.88,9.88,691700
2021-07-20,9.85,9.873,9.82,9.82,9.82,133600
2021-07-21,9.84,9.84,9.82,9.82,9.82,800
2021-07-22,9.86,9.9,9.86,9.86,9.86,44000
2021-07-23,9.86,9.895,9.851,9.895,9.895,600
2021-07-26,9.89,9.89,9.85,9.85,9.85,29400
2021-07-27,9.85,9.96,9.84,9.95,9.95,81700
2021-07-28,9.85,9.96,9.84,9.85,9.85,44000
2021-07-29,9.85,9.86,9.85,9.85,9.85,5400
2021-07-30,9.87,9.9,9.83,9.85,9.85,550700
2021-08-02,9.86,9.86,9.83,9.85,9.85,52700
2021-08-03,9.86,9.86,9.84,9.84,9.84,92300
2021-08-04,9.86,9.86,9.83,9.85,9.85,175100
2021-08-05,9.86,9.86,9.86,9.86,9.86,2000
2021-08-06,9.86,9.86,9.86,9.86,9.86,0
2021-08-09,9.86,9.86,9.86,9.86,9.86,400
2021-08-10,9.86,9.89,9.86,9.88,9.88,12000
2021-08-11,9.88,9.9,9.88,9.88,9.88,1900
2021-08-12,9.89,9.89,9.86,9.88,9.88,4900
2021-08-13,9.88,9.88,9.88,9.88,9.88,0
2021-08-16,9.88,9.88,9.88,9.88,9.88,0
2021-08-17,9.88,9.9,9.85,9.85,9.85,7400
2021-08-18,9.88,9.88,9.88,9.88,9.88,5100
2021-08-19,9.88,9.88,9.88,9.88,9.88,0
2021-08-20,9.9,9.91,9.9,9.91,9.91,6500
2021-08-23,9.9,9.91,9.9,9.91,9.91,199200
2021-08-24,9.91,9.91,9.9,9.91,9.91,38500
2021-08-25,9.89,9.92,9.89,9.91,9.91,20800
2021-08-26,9.89,9.93,9.89,9.93,9.93,37500
2021-08-27,9.89,9.94,9.89,9.94,9.94,9900
2021-08-30,9.91,9.99,9.91,9.96,9.96,55200
2021-08-31,9.9,9.98,9.9,9.98,9.98,7800
2021-09-01,9.9,9.96,9.9,9.96,9.96,6700
2021-09-02,9.96,9.96,9.96,9.96,9.96,200
2021-09-03,9.96,9.97,9.96,9.97,9.97,62400
2021-09-07,9.97,9.97,9.97,9.97,9.97,0
2021-09-08,9.98,9.98,9.98,9.98,9.98,15600
2021-09-09,9.98,9.99,9.98,9.99,9.99,9100
2021-09-10,10.01,10.01,10.0,10.0,10.0,7900
2021-09-13,10.01,10.01,10.003,10.005,10.005,11400
2021-09-14,10.0,10.01,10.0,10.01,10.01,7100
2021-09-15,10.009,10.01,10.0,10.0,10.0,67600
2021-09-16,10.01,10.01,10.009,10.01,10.01,63800
2021-09-17,10.02,10.02,10.0,10.0,10.0,175400
2021-09-20,10.01,10.01,10.0,10.008,10.008,1200
2021-09-21,10.008,10.008,10.008,10.008,10.008,0
2021-09-22,10.0,10.02,10.0,10.02,10.02,12900
2021-09-23,10.01,10.03,10.01,10.01,10.01,3000
2021-09-24,10.02,10.02,10.0,10.0,10.0,500
2021-09-27,10.0,10.01,10.0,10.01,10.01,2300
2021-09-28,10.02,10.02,10.02,10.02,10.02,350000
2021-09-29,10.01,10.03,9.97,9.97,9.97,17100
2021-09-30,10.0,10.02,10.0,10.01,10.01,39200
2021-10-01,10.0,10.011,10.0,10.011,10.011,1800
2021-10-04,10.02,10.02,10.01,10.01,10.01,7700
2021-10-05,10.02,10.02,10.01,10.02,10.02,5700
2021-10-06,10.03,10.03,10.03,10.03,10.03,400
2021-10-07,10.04,10.04,10.01,10.03,10.03,3300
2021-10-08,10.03,10.03,10.03,10.03,10.03,0
2021-10-11,10.0,10.02,10.0,10.02,10.02,16600
2021-10-12,10.01,10.02,10.01,10.02,10.02,11600
2021-10-13,10.01,10.03,10.01,10.03,10.03,11500
2021-10-14,10.01,10.01,10.01,10.01,10.01,1400
2021-10-15,10.0,10.01,10.0,10.0,10.0,1900
2021-10-18,10.01,10.02,10.01,10.02,10.02,7500
2021-10-19,10.02,10.02,10.02,10.02,10.02,0
2021-10-20,10.02,10.02,10.02,10.02,10.02,0
2021-10-21,10.011,10.039,10.011,10.039,10.039,19100
2021-10-22,10.04,11.0,10.031,10.08,10.08,6717800
2021-10-25,10.5,10.537,10.12,10.13,10.13,3053100
2021-10-26,10.16,10.18,10.07,10.1,10.1,747600
2021-10-27,10.06,10.18,10.06,10.09,10.09,559100
2021-10-28,10.12,10.12,10.07,10.08,10.08,277300
2021-10-29,10.08,10.1,10.03,10.03,10.03,523000
2021-11-01,10.04,10.054,10.01,10.02,10.02,187000
2021-11-02,10.01,10.08,10.01,10.05,10.05,412600
2021-11-03,10.02,10.045,10.02,10.03,10.03,158000
2021-11-04,10.02,10.04,10.02,10.04,10.04,603400
2021-11-05,10.03,10.06,10.03,10.06,10.06,136000
2021-11-08,10.06,10.06,10.03,10.04,10.04,87100
2021-11-09,10.04,10.04,10.03,10.04,10.04,33300
2021-11-10,10.05,10.05,10.03,10.04,10.04,935300
2021-11-11,10.05,10.05,10.03,10.04,10.04,25700
2021-11-12,10.04,10.2,10.03,10.07,10.07,109200
2021-11-15,10.13,10.13,10.065,10.13,10.13,32600
2021-11-16,10.17,10.17,10.07,10.07,10.07,10100
2021-11-17,10.099,10.11,10.03,10.03,10.03,51800
2021-11-18,10.043,10.069,10.03,10.03,10.03,13100
2021-11-19,10.03,10.08,10.03,10.05,10.05,34800
2021-11-22,10.03,10.06,10.03,10.05,10.05,32800
2021-11-23,10.06,10.08,10.03,10.03,10.03,16100
2021-11-24,10.04,10.27,10.03,10.04,10.04,269900
2021-11-26,10.042,10.06,10.04,10.04,10.04,133800
2021-11-29,10.07,10.07,10.04,10.04,10.04,17900
2021-11-30,10.04,10.075,10.03,10.05,10.05,40300
2021-12-01,10.11,10.11,10.04,10.06,10.06,13500
2021-12-02,10.05,10.06,10.03,10.05,10.05,31100
2021-12-03,10.04,10.071,10.03,10.06,10.06,17900
2021-12-06,10.08,10.08,10.03,10.06,10.06,123200
2021-12-07,10.04,10.05,10.03,10.05,10.05,95400
2021-12-08,10.05,10.08,10.043,10.06,10.06,12100
2021-12-09,10.04,10.08,10.03,10.05,10.05,52000
2021-12-10,10.05,10.06,10.03,10.04,10.04,243900
2021-12-13,10.03,10.06,10.03,10.04,10.04,7200
2021-12-14,10.04,10.05,10.03,10.04,10.04,16300
2021-12-15,10.04,10.05,10.03,10.04,10.04,2500
