Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,10.0,10.0,10.0,10.0,10.0,0
2023-02-14,10.16,10.2,10.16,10.17,10.17,5049000
2023-02-15,10.17,10.182,10.17,10.17,10.17,96100
2023-02-16,10.19,10.2,10.17,10.17,10.17,36500
2023-02-17,10.17,10.185,10.17,10.18,10.18,28000
2023-02-21,10.18,10.184,10.18,10.18,10.18,1600
2023-02-22,10.181,10.181,10.18,10.18,10.18,1300
2023-02-23,10.16,10.18,10.16,10.171,10.171,13800
2023-02-24,10.17,10.2,10.17,10.17,10.17,223100
2023-02-27,10.19,10.2,10.19,10.19,10.19,103400
2023-02-28,10.19,10.19,10.185,10.19,10.19,99400
2023-03-01,10.21,10.21,10.17,10.21,10.21,12700
2023-03-02,10.21,10.21,10.21,10.21,10.21,13000
2023-03-03,10.21,10.21,10.21,10.21,10.21,0
2023-03-06,10.21,10.21,10.21,10.21,10.21,0
2023-03-07,10.21,10.21,10.21,10.21,10.21,0
2023-03-08,10.2,10.22,10.2,10.22,10.22,7700
2023-03-09,10.23,10.43,10.23,10.28,10.28,19300
2023-03-10,10.246,10.25,10.246,10.25,10.25,2500
2023-03-13,10.26,10.29,10.26,10.29,10.29,28000
2023-03-14,10.4,10.4,10.31,10.36,10.36,72000
2023-03-15,10.35,10.38,10.35,10.38,10.38,66800
2023-03-16,10.38,10.38,10.35,10.35,10.35,800
2023-03-17,10.34,10.359,10.34,10.359,10.359,600
2023-03-20,10.35,10.355,10.33,10.355,10.355,600
2023-03-21,10.355,10.38,10.355,10.38,10.38,500
2023-03-22,10.362,10.362,10.32,10.33,10.33,5500
2023-03-23,10.33,10.33,10.33,10.33,10.33,0
2023-03-24,10.33,10.33,10.33,10.33,10.33,0
2023-03-27,10.33,10.33,10.33,10.33,10.33,0
2023-03-28,10.33,10.33,10.33,10.33,10.33,0
2023-03-29,10.33,10.33,10.33,10.33,10.33,0
2023-03-30,10.33,10.33,10.33,10.33,10.33,100
2023-03-31,10.33,10.33,10.33,10.33,10.33,0
2023-04-03,10.33,10.33,10.33,10.33,10.33,0
2023-04-04,10.38,10.38,10.38,10.38,10.38,100
2023-04-05,10.38,10.38,10.38,10.38,10.38,300
2023-04-06,10.38,10.38,10.34,10.34,10.34,300
2023-04-10,10.38,10.38,10.34,10.38,10.38,600
2023-04-11,10.38,10.38,10.34,10.34,10.34,10600
2023-04-12,10.4,10.4,10.35,10.35,10.35,4400
2023-04-13,10.35,10.35,10.35,10.35,10.35,200
2023-04-14,10.35,10.35,10.35,10.35,10.35,600
2023-04-17,10.35,10.35,10.35,10.35,10.35,0
2023-04-18,10.35,10.35,10.35,10.35,10.35,0
2023-04-19,10.35,10.35,10.35,10.35,10.35,0
2023-04-20,10.35,10.35,10.35,10.35,10.35,0
2023-04-21,10.35,10.35,10.35,10.35,10.35,0
2023-04-24,10.35,10.35,10.35,10.35,10.35,200
2023-04-25,10.35,10.359,10.35,10.35,10.35,800
2023-04-26,10.35,10.35,10.35,10.35,10.35,0
2023-04-27,10.39,10.39,10.39,10.39,10.39,500
2023-04-28,10.39,10.39,10.39,10.39,10.39,0
2023-05-01,10.39,10.39,10.39,10.39,10.39,0
2023-05-02,10.39,10.39,10.39,10.39,10.39,0
2023-05-03,10.39,10.39,10.39,10.39,10.39,0
2023-05-04,10.39,10.39,10.39,10.39,10.39,0
2023-05-05,10.37,10.37,10.37,10.37,10.37,7000
2023-05-08,10.4,10.4,10.4,10.4,10.4,7300
2023-05-09,10.41,10.5,10.39,10.39,10.39,3200
2023-05-10,10.39,10.39,10.39,10.39,10.39,0
2023-05-11,10.39,10.39,10.39,10.39,10.39,0
2023-05-12,10.39,10.39,10.39,10.39,10.39,0
2023-05-15,10.44,10.45,10.44,10.445,10.445,1400
2023-05-16,10.445,10.445,10.445,10.445,10.445,0
2023-05-17,10.42,10.469,10.42,10.469,10.469,2300
2023-05-18,10.579,11.51,10.42,10.58,10.58,1100
2023-05-19,10.52,10.52,10.42,10.42,10.42,6800
2023-05-22,10.42,10.43,10.42,10.43,10.43,150000
2023-05-23,10.52,10.52,10.43,10.43,10.43,2000
2023-05-24,10.43,10.43,10.43,10.43,10.43,0
2023-05-25,10.45,10.845,10.45,10.845,10.845,600
2023-05-26,10.49,10.49,10.45,10.45,10.45,700
2023-05-30,10.45,10.45,10.45,10.45,10.45,0
2023-05-31,10.45,10.45,10.45,10.45,10.45,0
2023-06-01,10.45,10.45,10.45,10.45,10.45,0
2023-06-02,10.45,10.45,10.45,10.45,10.45,0
2023-06-05,10.45,10.45,10.45,10.45,10.45,0
2023-06-06,10.48,10.48,10.48,10.48,10.48,100
2023-06-07,10.48,10.48,10.48,10.48,10.48,100
2023-06-08,10.51,10.51,10.51,10.51,10.51,100
2023-06-09,10.48,10.48,10.48,10.48,10.48,100
2023-06-12,10.48,10.48,10.48,10.48,10.48,0
2023-06-13,10.48,10.48,10.48,10.48,10.48,0
2023-06-14,10.85,10.85,10.85,10.85,10.85,500
2023-06-15,10.85,10.85,10.85,10.85,10.85,0
2023-06-16,10.85,10.85,10.85,10.85,10.85,0
2023-06-20,10.85,10.85,10.85,10.85,10.85,0
2023-06-21,10.85,10.85,10.85,10.85,10.85,0
2023-06-22,10.85,10.85,10.85,10.85,10.85,0
2023-06-23,10.76,10.76,10.76,10.76,10.76,200
2023-06-26,10.76,10.76,10.76,10.76,10.76,0
2023-06-27,10.76,10.76,10.76,10.76,10.76,0
2023-06-28,10.76,10.76,10.76,10.76,10.76,0
2023-06-29,10.76,10.76,10.76,10.76,10.76,0
2023-06-30,10.76,10.76,10.76,10.76,10.76,0
2023-07-03,10.76,10.76,10.76,10.76,10.76,0
2023-07-05,10.76,10.76,10.76,10.76,10.76,0
2023-07-06,10.76,10.76,10.76,10.76,10.76,0
2023-07-07,10.76,10.76,10.76,10.76,10.76,0
2023-07-10,10.76,10.76,10.76,10.76,10.76,0
2023-07-11,10.76,10.76,10.76,10.76,10.76,0
2023-07-12,10.76,10.76,10.76,10.76,10.76,0
2023-07-13,10.76,10.76,10.76,10.76,10.76,0
2023-07-14,10.56,10.56,10.56,10.56,10.56,300
2023-07-17,10.56,10.56,10.56,10.56,10.56,0
2023-07-18,10.56,10.56,10.56,10.56,10.56,0
2023-07-19,10.56,10.56,10.56,10.56,10.56,0
2023-07-20,10.56,10.56,10.56,10.56,10.56,0
2023-07-21,10.56,10.56,10.56,10.56,10.56,0
2023-07-24,10.56,10.56,10.56,10.56,10.56,0
2023-07-25,10.56,10.56,10.56,10.56,10.56,0
2023-07-26,10.56,10.56,10.56,10.56,10.56,0
2023-07-27,10.56,10.56,10.56,10.56,10.56,0
2023-07-28,10.56,10.56,10.56,10.56,10.56,0
2023-07-31,10.56,10.56,10.56,10.56,10.56,0
2023-08-01,10.56,10.56,10.56,10.56,10.56,0
2023-08-02,10.56,10.56,10.56,10.56,10.56,0
2023-08-03,10.56,10.56,10.56,10.56,10.56,0
2023-08-04,10.56,10.56,10.56,10.56,10.56,0
2023-08-07,10.56,10.56,10.56,10.56,10.56,0
2023-08-08,10.56,10.56,10.56,10.56,10.56,0
2023-08-09,10.56,10.56,10.56,10.56,10.56,0
2023-08-10,10.56,10.56,10.56,10.56,10.56,0
2023-08-11,10.65,10.72,10.61,10.72,10.72,400
2023-08-14,10.72,10.72,10.72,10.72,10.72,0
2023-08-15,10.72,10.72,10.72,10.72,10.72,0
2023-08-16,10.72,10.72,10.72,10.72,10.72,0
2023-08-17,10.72,10.72,10.72,10.72,10.72,0
2023-08-18,10.72,10.72,10.72,10.72,10.72,0
2023-08-21,10.72,10.72,10.72,10.72,10.72,0
2023-08-22,10.72,10.72,10.72,10.72,10.72,0
2023-08-23,10.64,10.64,10.63,10.63,10.63,1600
2023-08-24,10.63,10.63,10.63,10.63,10.63,0
2023-08-25,10.63,10.63,10.63,10.63,10.63,0
2023-08-28,10.63,10.63,10.63,10.63,10.63,0
2023-08-29,10.63,10.63,10.63,10.63,10.63,0
2023-08-30,10.63,10.63,10.63,10.63,10.63,0
2023-08-31,10.63,10.63,10.63,10.63,10.63,0
2023-09-01,10.63,10.63,10.63,10.63,10.63,0
2023-09-05,10.63,10.63,10.63,10.63,10.63,0
2023-09-06,10.63,10.63,10.63,10.63,10.63,0
2023-09-07,10.72,10.795,10.701,10.795,10.795,800
2023-09-08,10.68,10.68,10.67,10.67,10.67,300
2023-09-11,10.67,10.67,10.67,10.67,10.67,0
2023-09-12,10.67,10.67,10.67,10.67,10.67,0
2023-09-13,10.67,10.67,10.67,10.67,10.67,0
2023-09-14,10.67,10.67,10.67,10.67,10.67,0
2023-09-15,10.67,10.67,10.67,10.67,10.67,0
2023-09-18,10.67,10.67,10.67,10.67,10.67,0
2023-09-19,10.68,10.71,10.65,10.69,10.69,103600
2023-09-20,10.7,10.71,10.66,10.66,10.66,1000
2023-09-21,10.66,10.66,10.66,10.66,10.66,0
