Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,12.21,12.3,12.06,12.06,12.06,2733
2018-03-16,12.3,12.45,12.0,12.3,12.3,1133
2018-03-19,12.3,12.6,12.27,12.6,12.6,500
2018-03-20,12.6,12.66,12.6,12.6,12.6,167
2018-03-21,12.51,12.51,12.0,12.51,12.51,300
2018-03-22,11.43,11.43,11.43,11.43,11.43,33
2018-03-23,11.43,11.43,11.43,11.43,11.43,100
2018-03-26,11.43,11.43,11.43,11.43,11.43,0
2018-03-27,11.43,11.43,11.43,11.43,11.43,0
2018-03-28,11.43,11.43,11.43,11.43,11.43,0
2018-03-29,11.43,11.43,11.43,11.43,11.43,0
2018-04-02,11.43,11.43,11.43,11.43,11.43,0
2018-04-03,11.22,11.22,11.22,11.22,11.22,67
2018-04-04,12.45,12.45,12.0,12.39,12.39,3567
2018-04-05,12.15,12.18,12.06,12.18,12.18,1133
2018-04-06,12.12,12.21,12.06,12.21,12.21,400
2018-04-09,12.21,12.3,12.21,12.24,12.24,1400
2018-04-10,12.45,12.9,12.15,12.15,12.15,1500
2018-04-11,12.15,12.18,12.15,12.18,12.18,333
2018-04-12,13.2,13.2,11.4,12.21,12.21,2100
2018-04-13,12.21,12.21,11.4,12.0,12.0,767
2018-04-16,12.0,12.21,11.55,12.0,12.0,4000
2018-04-17,12.18,12.18,12.0,12.0,12.0,2400
2018-04-18,11.85,12.18,11.49,12.18,12.18,367
2018-04-19,12.18,12.18,12.18,12.18,12.18,0
2018-04-20,12.15,12.18,11.85,12.18,12.18,667
2018-04-23,11.7,12.0,11.7,12.0,12.0,1367
2018-04-24,11.85,12.0,11.85,12.0,12.0,600
2018-04-25,12.0,12.15,12.0,12.0,12.0,1000
2018-04-26,12.0,12.0,12.0,12.0,12.0,33
2018-04-27,11.55,11.55,11.49,11.49,11.49,133
2018-04-30,11.49,11.49,11.49,11.49,11.49,33
2018-05-01,11.7,11.7,11.7,11.7,11.7,200
2018-05-02,11.7,11.7,11.7,11.7,11.7,0
2018-05-03,11.97,12.42,11.55,12.42,12.42,5200
2018-05-04,12.0,12.42,11.1,12.21,12.21,1467
2018-05-07,18.0,18.0,12.0,12.36,12.36,4800
2018-05-08,12.3,12.6,12.15,12.42,12.42,1167
2018-05-09,12.36,12.36,11.85,11.85,11.85,133
2018-05-10,12.3,12.3,11.55,11.55,11.55,1167
2018-05-11,11.55,11.55,11.55,11.55,11.55,0
2018-05-14,11.52,11.52,11.52,11.52,11.52,467
2018-05-15,11.52,11.52,11.52,11.52,11.52,33
2018-05-16,12.15,12.15,11.55,11.55,11.55,200
2018-05-17,10.83,11.7,10.83,11.7,11.7,233
2018-05-18,11.7,11.7,11.7,11.7,11.7,33
2018-05-21,11.7,11.7,11.7,11.7,11.7,0
2018-05-22,12.0,12.0,12.0,12.0,12.0,33
2018-05-23,12.03,12.03,11.85,12.0,12.0,733
2018-05-24,12.0,12.0,12.0,12.0,12.0,0
2018-05-25,11.4,12.15,10.65,12.15,12.15,7200
2018-05-29,12.24,12.24,12.15,12.15,12.15,400
2018-05-30,12.15,12.21,12.15,12.21,12.21,900
2018-05-31,13.05,13.05,10.8,12.12,12.12,1200
2018-06-01,12.15,12.45,12.0,12.45,12.45,1133
2018-06-04,12.9,12.9,10.68,12.3,12.3,2767
2018-06-05,12.0,12.21,12.0,12.21,12.21,1000
