Date,Open,High,Low,Close,Adj Close,Volume
2019-01-31,13.25,13.78,12.9,13.07,11.703042,4047000
2019-02-01,13.5,14.0,13.44,13.95,12.491005,984800
2019-02-04,13.96,14.05,13.81,13.99,12.52682,289200
2019-02-05,14.0,14.12,13.85,13.98,12.517866,533100
2019-02-06,14.05,14.05,13.85,14.0,12.535775,407300
2019-02-07,14.08,14.09,13.9,14.06,12.5895,400600
2019-02-08,13.96,14.256,13.95,14.0,12.535775,230100
2019-02-11,14.23,14.23,14.01,14.09,12.616362,212500
2019-02-12,14.03,14.2,13.95,14.07,12.598454,124600
2019-02-13,14.11,14.14,13.62,14.0,12.535775,90300
2019-02-14,14.04,14.06,13.95,14.0,12.535775,46600
2019-02-15,14.02,14.08,13.99,14.01,12.54473,164300
2019-02-19,14.02,14.08,14.0,14.0,12.535775,106000
2019-02-20,14.0,14.07,13.9,14.07,12.598454,291800
2019-02-21,14.09,14.1,13.95,14.02,12.553683,91000
2019-02-22,14.05,14.05,14.0,14.0,12.535775,81900
2019-02-25,14.05,14.65,13.9,14.0,12.535775,403900
2019-02-26,14.04,14.84,14.021,14.62,13.090929,252000
2019-02-27,14.59,15.83,14.285,15.64,14.004253,244600
2019-02-28,15.6,16.0,15.0,15.42,13.807261,203900
2019-03-01,15.57,16.049999,15.35,15.91,14.246012,110900
2019-03-04,15.95,16.106001,14.16,14.75,13.207335,408300
2019-03-05,14.75,14.75,14.41,14.65,13.117794,200200
2019-03-06,14.65,14.705,14.197,14.51,12.992435,231100
2019-03-07,14.5,14.7,14.32,14.53,13.010342,149300
2019-03-08,14.66,14.7,14.27,14.28,12.786489,123500
2019-03-11,14.35,14.388,12.5,12.76,11.425464,551500
2019-03-12,12.82,13.01,12.06,12.47,11.165794,268000
2019-03-13,12.51,12.51,11.75,11.99,10.735994,297800
2019-03-14,11.95,11.95,10.4,11.07,9.912217,686900
2019-03-15,11.01,11.12,9.93,10.28,9.204839,423500
2019-03-18,10.28,11.55,10.28,11.25,10.073391,714400
2019-03-19,11.2,11.545,11.01,11.23,10.055482,532300
2019-03-20,11.19,11.53,10.66,10.89,9.751041,326800
2019-03-21,10.94,11.22,10.645,10.86,9.72418,179900
2019-03-22,10.79,10.85,10.05,10.16,9.097389,201900
2019-03-25,10.2,10.427,9.56,9.85,8.819815,115000
2019-03-26,9.85,10.18,9.61,9.73,8.712363,46200
2019-03-27,9.78,9.92,8.9,9.51,8.515374,221100
2019-03-28,9.45,10.392,9.34,9.91,8.873538,1543100
2019-03-29,10.24,11.93,9.55,11.68,10.458418,575300
2019-04-01,11.75,12.04,10.72,11.13,9.965941,236500
2019-04-02,11.23,11.75,11.1,11.41,10.216656,99200
2019-04-03,11.66,12.3,11.37,12.26,10.977757,155700
2019-04-04,12.22,12.71,12.052,12.18,10.906125,112100
2019-04-05,12.19,12.67,12.0,12.65,11.326966,86900
2019-04-08,12.76,12.89,12.15,12.35,11.058345,79800
2019-04-09,12.28,13.109,11.81,11.93,10.682272,114300
2019-04-10,11.97,12.25,11.68,11.8,10.565868,69000
2019-04-11,11.81,12.325,11.28,11.41,10.216656,208200
2019-04-12,11.47,11.66,10.61,10.97,9.822675,82100
2019-04-15,11.0,11.18,10.5,10.76,9.634637,89400
2019-04-16,10.79,11.35,10.63,11.1,9.939077,55000
2019-04-17,11.16,11.18,10.91,11.05,9.894309,22500
2019-04-18,11.0,11.11,10.7,10.77,9.643592,62500
2019-04-22,11.15,12.06,10.69,12.03,10.771811,313300
2019-04-23,12.23,13.25,12.05,12.69,11.362783,199200
2019-04-24,12.7,12.868,11.92,12.03,10.771811,66200
2019-04-25,11.96,12.21,11.77,12.02,10.762857,32400
2019-04-26,11.98,12.17,11.49,11.84,10.601684,86200
2019-04-29,12.01,13.2,11.52,12.79,11.452327,102400
2019-04-30,12.79,12.949,12.01,12.56,11.246378,71200
2019-05-01,12.56,12.88,12.16,12.74,11.407554,27200
2019-05-02,12.76,12.917,12.5,12.71,11.380692,45600
2019-05-03,12.78,12.98,12.61,12.9,11.550819,63700
2019-05-06,12.82,12.9,12.42,12.65,11.326966,47600
2019-05-07,12.82,12.822,12.16,12.18,10.906125,55200
2019-05-08,12.32,12.32,11.37,12.09,10.825537,71800
2019-05-09,12.02,13.185,11.56,12.29,11.00462,118300
2019-05-10,12.21,12.37,11.57,11.87,10.628547,47500
2019-05-13,11.77,11.87,11.04,11.11,9.948033,86800
2019-05-14,11.16,11.4,10.84,11.34,10.153977,113900
2019-05-15,11.5,12.153,11.35,11.65,10.431555,207200
2019-05-16,11.88,11.88,10.97,11.33,10.145023,124600
2019-05-17,11.5,12.28,11.5,12.1,10.834491,113600
2019-05-20,12.1,13.06,12.07,13.02,11.658273,325300
2019-05-21,13.2,13.502,12.5,12.97,11.613499,83000
2019-05-22,12.66,13.06,11.5,12.86,11.515004,51400
2019-05-23,12.77,13.38,12.6,13.38,11.980618,157800
2019-05-24,12.98,13.51,12.855,13.22,11.837353,111300
2019-05-28,13.3,13.47,12.623,12.91,11.559775,86100
2019-05-29,12.93,13.0,12.22,12.25,10.968803,59400
2019-05-30,12.25,12.3,11.5,11.77,10.539005,66800
2019-05-31,11.78,11.78,10.85,10.88,9.742087,188100
2019-06-03,10.91,11.225,9.6,10.1,9.043667,351700
2019-06-04,10.19,10.69,9.78,10.38,9.294383,185500
2019-06-05,10.39,10.66,10.0,10.5,9.40183,164500
2019-06-06,10.4,10.63,9.93,10.49,9.392877,126700
2019-06-07,10.51,10.56,9.76,10.25,9.177978,120100
2019-06-10,10.3,10.3,9.85,10.0,8.954125,136000
2019-06-11,10.07,10.08,9.34,9.65,8.64073,153700
2019-06-12,9.66,10.26,9.5,9.69,8.676545,162000
2019-06-13,9.72,10.19,9.72,10.02,8.972034,148600
2019-06-14,10.07,10.5,9.81,10.18,9.115298,130900
2019-06-17,10.18,10.39,9.8,10.22,9.151115,74000
2019-06-18,10.35,10.41,10.03,10.34,9.258563,128400
2019-06-19,10.36,10.4,10.01,10.13,9.070528,112600
2019-06-20,10.22,10.35,10.0,10.06,9.007851,59800
2019-06-21,10.1,10.85,10.01,10.55,9.446602,149500
2019-06-24,10.59,10.82,10.36,10.6,9.491372,101200
2019-06-25,10.7,11.13,10.43,10.86,9.72418,120300
2019-06-26,10.93,11.15,10.85,11.05,9.894309,86300
2019-06-27,11.08,11.1,10.705,10.92,9.777905,74600
2019-06-28,10.91,11.84,10.91,11.71,10.485279,108600
2019-07-01,11.8,11.99,11.13,11.87,10.628547,111300
2019-07-02,11.57,11.84,11.11,11.37,10.180841,227400
2019-07-03,11.41,11.88,11.28,11.84,10.601684,41600
2019-07-05,11.78,11.97,11.28,11.42,10.22561,43600
2019-07-08,11.45,11.72,11.15,11.61,10.395739,39200
2019-07-09,11.65,11.72,11.36,11.62,10.404692,42500
2019-07-10,11.62,12.14,11.4,11.9,10.655408,58200
2019-07-11,11.81,11.841,11.46,11.6,10.386786,42200
2019-07-12,11.72,11.94,11.47,11.7,10.476325,37500
2019-07-15,11.73,11.85,11.465,11.7,10.476325,24200
2019-07-16,11.644,12.09,11.644,11.78,10.547958,45300
2019-07-17,11.77,12.04,11.485,11.9,10.655408,112100
2019-07-18,12.07,12.68,11.7,12.39,11.094161,361300
2019-07-19,12.43,12.6,12.32,12.45,11.147883,39000
2019-07-22,12.42,12.66,12.31,12.51,11.201611,66500
2019-07-23,12.55,12.7,12.31,12.68,11.353829,56400
2019-07-24,12.66,12.66,12.304,12.59,11.273242,103700
2019-07-25,12.56,12.69,12.33,12.45,11.147883,68500
2019-07-26,12.46,12.48,12.21,12.26,10.977757,134900
2019-07-29,12.18,12.22,11.51,11.75,10.521094,95100
2019-07-30,11.75,12.45,11.75,12.31,11.022529,189200
2019-07-31,12.36,12.4,11.74,11.88,10.6375,91400
2019-08-01,11.94,12.28,11.5,11.64,10.4226,161900
2019-08-02,11.75,12.06,11.51,11.73,10.503187,38300
2019-08-05,11.54,11.8,11.5,11.73,10.503187,68700
2019-08-06,11.91,12.02,11.49,11.52,10.315151,245800
2019-08-07,11.28,11.66,11.05,11.64,10.4226,92900
2019-08-08,11.99,12.64,11.93,12.62,11.300104,256400
2019-08-09,12.87,12.87,12.11,12.15,10.87926,135000
2019-08-12,12.25,13.085,11.85,12.88,11.532913,413400
2019-08-13,12.27,13.96,12.27,13.9,12.446232,275600
2019-08-14,13.72,14.56,13.55,14.23,12.74172,1515600
2019-08-15,14.25,15.15,14.25,15.1,13.520727,191200
2019-08-16,15.18,15.55,14.78,15.51,13.887846,427600
2019-08-19,15.58,16.541,15.57,16.4,14.684766,488000
2019-08-20,16.540001,16.59,16.209999,16.360001,14.648949,120200
2019-08-21,16.690001,16.700001,16.07,16.299999,14.595225,108700
2019-08-22,16.370001,16.4,14.514,15.16,13.574453,241200
2019-08-23,15.21,15.46,14.63,14.78,13.234196,100900
2019-08-26,14.85,15.3,14.27,15.05,13.475958,92900
2019-08-27,15.11,15.49,14.733,15.16,13.574453,64700
2019-08-28,15.11,15.67,15.03,15.45,13.834123,116300
2019-08-29,15.53,16.24,15.4,16.049999,14.371369,156000
2019-08-30,16.139999,16.25,15.995,16.030001,14.353462,110100
2019-09-03,15.56,15.99,15.11,15.22,13.628179,71800
2019-09-04,15.41,15.85,15.295,15.59,13.95948,40200
2019-09-05,15.7,16.139999,15.7,15.91,14.246012,60500
2019-09-06,15.81,16.07,15.25,15.86,14.201242,34900
2019-09-09,15.94,16.379999,15.94,16.110001,14.425096,68000
2019-09-10,16.07,16.215,15.43,15.62,13.986342,70400
2019-09-11,15.65,16.17,15.65,15.67,14.031113,70100
2019-09-12,15.84,16.200001,15.53,15.92,14.254965,67400
2019-09-13,15.93,16.4,15.93,16.15,14.46091,123300
2019-09-16,16.24,16.41,15.71,16.370001,14.657906,112800
