Date,Open,High,Low,Close,Adj Close,Volume
1996-04-02,16.0,16.0,14.583333,16.0,14.647414,6225
1996-04-03,16.666668,18.0,14.916667,17.333332,15.868032,47100
1996-04-04,18.0,18.333332,16.0,16.666668,15.257725,62025
1996-04-08,17.666668,18.0,16.0,17.666668,16.173189,41025
1996-04-09,18.0,18.0,16.666668,17.666668,16.173189,18675
1996-04-10,17.666668,17.666668,16.333332,17.666668,16.173189,2025
1996-04-11,16.166668,17.333332,15.666667,15.666667,14.34226,1125
1996-04-12,17.0,17.0,15.333333,15.333333,14.037105,16875
1996-04-15,15.333333,15.333333,15.333333,15.333333,14.037105,2700
1996-04-16,17.0,17.0,13.333333,13.333333,12.206181,16425
1996-04-17,13.333333,14.333333,12.666667,14.0,12.816488,6300
1996-04-18,14.0,16.0,14.0,15.666667,14.34226,37725
1996-04-19,16.333332,16.333332,15.0,16.333332,14.952568,9825
1996-04-22,16.333332,18.0,16.0,18.0,16.478344,26325
1996-04-23,16.666668,19.0,16.666668,19.0,17.393806,23175
1996-04-24,19.0,21.333332,18.333332,21.333332,19.529879,16125
1996-04-25,22.666668,24.666668,20.666668,22.395832,20.50256,24525
1996-04-26,23.666668,24.0,22.0,23.333332,21.360807,4275
1996-04-29,24.0,24.666668,23.3125,23.666668,21.66597,7575
1996-04-30,24.0,24.666668,23.0,24.666668,22.581429,44250
1996-05-01,24.333332,25.333332,22.666668,23.833332,21.818544,11550
1996-05-02,25.333332,26.0,24.0,25.333332,23.19174,16575
1996-05-03,25.333332,25.333332,23.666668,25.333332,23.19174,6825
1996-05-06,26.0,28.0,24.0,28.0,25.632977,14025
1996-05-07,28.666668,29.666668,26.666668,29.0,26.548433,39825
1996-05-08,29.0,29.333332,27.0,28.666668,26.243284,10350
1996-05-09,28.666668,29.333332,26.666668,29.333332,26.853592,15375
1996-05-10,29.333332,30.0,26.666668,30.0,27.463898,21600
1996-05-13,30.333332,35.333332,29.333332,34.666668,31.736067,23625
1996-05-14,34.666668,38.666668,31.333332,38.666668,35.397923,24675
