Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,9.76,9.82,9.76,9.82,9.82,405000
2021-10-07,9.82,9.82,9.82,9.82,9.82,400
2021-10-08,9.82,9.85,9.8,9.8,9.8,161700
2021-10-11,9.81,9.82,9.8,9.8,9.8,195000
2021-10-12,9.82,9.87,9.82,9.86,9.86,646900
2021-10-13,9.86,9.87,9.84,9.87,9.87,932400
2021-10-14,9.87,9.87,9.84,9.84,9.84,219500
2021-10-15,9.84,9.87,9.84,9.85,9.85,34900
2021-10-18,9.86,9.95,9.85,9.88,9.88,76700
2021-10-19,9.865,9.88,9.865,9.88,9.88,8300
2021-10-20,9.87,9.9,9.84,9.85,9.85,560100
2021-10-21,9.85,9.87,9.85,9.86,9.86,127800
2021-10-22,9.868,9.87,9.84,9.85,9.85,45800
2021-10-25,9.84,9.9,9.84,9.9,9.9,55400
2021-10-26,9.9,9.929,9.87,9.87,9.87,40200
2021-10-27,9.869,9.885,9.869,9.88,9.88,3400
2021-10-28,9.905,9.905,9.905,9.905,9.905,100
2021-10-29,9.905,9.923,9.884,9.91,9.91,378200
2021-11-01,9.92,9.92,9.886,9.886,9.886,1400
2021-11-02,9.89,9.91,9.89,9.91,9.91,5600
2021-11-03,9.92,9.92,9.89,9.89,9.89,1000
2021-11-04,9.87,9.9,9.87,9.9,9.9,494800
2021-11-05,9.9,9.93,9.9,9.93,9.93,9700
2021-11-08,9.89,9.895,9.89,9.895,9.895,1400
2021-11-09,9.886,9.9,9.886,9.89,9.89,1200
2021-11-10,9.9,9.91,9.89,9.89,9.89,237500
2021-11-11,9.89,9.915,9.88,9.9,9.9,56700
2021-11-12,9.88,9.92,9.88,9.89,9.89,3800
2021-11-15,9.897,9.922,9.89,9.91,9.91,205000
2021-11-16,9.9,9.93,9.9,9.92,9.92,55000
2021-11-17,9.98,9.98,9.88,9.92,9.92,517700
2021-11-18,9.99,9.99,9.92,9.95,9.95,9800
2021-11-19,9.97,10.14,9.91,9.946,9.946,120900
2021-11-22,9.97,9.97,9.91,9.95,9.95,52600
2021-11-23,9.928,9.96,9.92,9.96,9.96,25000
2021-11-24,9.96,9.96,9.93,9.95,9.95,1300
2021-11-26,9.95,9.96,9.928,9.95,9.95,3500
2021-11-29,9.98,9.98,9.92,9.92,9.92,5700
2021-11-30,9.935,9.95,9.923,9.925,9.925,7600
2021-12-01,9.94,9.95,9.92,9.95,9.95,21900
2021-12-02,9.95,9.95,9.93,9.935,9.935,4800
2021-12-03,9.95,9.97,9.92,9.97,9.97,55900
2021-12-06,9.94,9.97,9.92,9.93,9.93,86200
2021-12-07,9.93,9.94,9.93,9.94,9.94,10200
2021-12-08,9.94,9.94,9.92,9.92,9.92,41800
2021-12-09,9.94,9.94,9.92,9.94,9.94,171300
2021-12-10,9.94,9.94,9.93,9.93,9.93,20400
2021-12-13,9.94,9.94,9.92,9.93,9.93,8300
2021-12-14,9.93,9.93,9.88,9.9,9.9,172000
2021-12-15,9.883,9.9,9.882,9.883,9.883,35600
2021-12-16,9.9,9.9,9.88,9.88,9.88,1400
2021-12-17,9.889,9.889,9.88,9.88,9.88,3300
2021-12-20,9.89,9.89,9.88,9.88,9.88,5600
2021-12-21,9.88,9.88,9.874,9.88,9.88,2600
2021-12-22,9.89,9.94,9.88,9.94,9.94,27500
2021-12-23,9.89,9.89,9.88,9.89,9.89,34200
2021-12-27,9.88,9.88,9.88,9.88,9.88,1200
2021-12-28,9.872,9.89,9.87,9.89,9.89,1300
2021-12-29,9.87,9.88,9.87,9.88,9.88,400
2021-12-30,9.889,9.889,9.88,9.88,9.88,400
2021-12-31,9.86,9.9,9.86,9.88,9.88,9200
2022-01-03,9.88,9.88,9.87,9.872,9.872,53100
2022-01-04,9.88,9.88,9.88,9.88,9.88,1100
2022-01-05,9.86,9.89,9.86,9.87,9.87,80200
2022-01-06,9.87,9.875,9.87,9.87,9.87,24500
2022-01-07,9.87,9.89,9.87,9.89,9.89,10000
2022-01-10,9.87,9.9,9.87,9.89,9.89,14700
2022-01-11,9.9,9.9,9.87,9.89,9.89,1300
2022-01-12,9.9,9.9,9.885,9.89,9.89,6700
2022-01-13,9.89,9.89,9.87,9.87,9.87,2700
2022-01-14,9.86,9.87,9.86,9.87,9.87,3900
2022-01-18,9.87,9.873,9.86,9.873,9.873,2100
2022-01-19,9.89,9.9,9.86,9.86,9.86,540400
2022-01-20,9.85,9.9,9.85,9.9,9.9,12900
2022-01-21,9.83,9.88,9.83,9.86,9.86,14800
2022-01-24,9.9,9.94,9.86,9.88,9.88,12100
2022-01-25,9.87,9.88,9.85,9.87,9.87,405600
2022-01-26,9.851,9.851,9.851,9.851,9.851,1200
2022-01-27,9.86,9.86,9.85,9.851,9.851,1200
2022-01-28,9.88,9.88,9.85,9.85,9.85,1500
2022-01-31,9.85,9.885,9.85,9.85,9.85,1800
2022-02-01,9.89,9.913,9.885,9.895,9.895,7200
2022-02-02,9.89,9.89,9.87,9.88,9.88,1000
2022-02-03,9.87,9.88,9.87,9.88,9.88,700
2022-02-04,9.89,9.89,9.89,9.89,9.89,31800
2022-02-07,9.9,9.9,9.89,9.89,9.89,7100
2022-02-08,9.89,9.9,9.89,9.9,9.9,1900
2022-02-09,9.88,9.88,9.88,9.88,9.88,100
2022-02-10,9.86,9.92,9.86,9.92,9.92,544000
2022-02-11,9.9,9.93,9.9,9.9,9.9,3200
2022-02-14,9.9,9.9,9.9,9.9,9.9,1000
2022-02-15,9.9,9.9,9.9,9.9,9.9,0
2022-02-16,9.9,9.9,9.9,9.9,9.9,100
2022-02-17,9.945,9.945,9.9,9.91,9.91,3400
2022-02-18,9.91,9.91,9.91,9.91,9.91,300
2022-02-22,9.92,9.93,9.9,9.9,9.9,1400
2022-02-23,9.9,9.91,9.9,9.9,9.9,2300
2022-02-24,9.89,9.91,9.89,9.9,9.9,24400
2022-02-25,9.9,9.905,9.9,9.905,9.905,400
2022-02-28,9.9,9.94,9.9,9.92,9.92,17000
2022-03-01,9.925,9.94,9.92,9.94,9.94,163000
2022-03-02,9.93,9.94,9.93,9.94,9.94,2800
2022-03-03,9.94,9.94,9.94,9.94,9.94,0
2022-03-04,9.945,9.945,9.945,9.945,9.945,100
2022-03-07,9.945,9.945,9.945,9.945,9.945,0
2022-03-08,9.93,9.95,9.93,9.95,9.95,2600
2022-03-09,9.94,9.94,9.94,9.94,9.94,1800
2022-03-10,9.94,9.95,9.93,9.94,9.94,50100
2022-03-11,9.94,9.95,9.94,9.95,9.95,23200
2022-03-14,9.94,9.95,9.94,9.95,9.95,14500
2022-03-15,9.93,9.95,9.93,9.935,9.935,14400
2022-03-16,9.94,9.955,9.94,9.95,9.95,25700
2022-03-17,9.93,9.95,9.93,9.94,9.94,1600
2022-03-18,9.95,9.95,9.94,9.95,9.95,12700
2022-03-21,9.96,9.96,9.95,9.96,9.96,9400
