Date,Open,High,Low,Close,Adj Close,Volume
1999-08-10,7.0625,7.5,7.0,7.0625,4.503129,3726900
1999-08-11,7.0,7.125,7.0,7.0,4.46328,307500
1999-08-12,7.0,7.0625,7.0,7.0,4.46328,172400
1999-08-13,7.0625,7.75,7.0,7.375,4.702383,314400
1999-08-16,7.4375,7.625,7.25,7.25,4.622683,93600
1999-08-17,7.34375,7.375,7.0,7.0,4.46328,83500
1999-08-18,7.0,7.125,7.0,7.03125,4.483204,83900
1999-08-19,7.0625,7.125,6.5,6.6875,4.264026,268200
1999-08-20,6.75,7.0625,6.5,6.625,4.224174,194000
1999-08-23,6.5,6.875,6.5,6.875,4.383577,69700
1999-08-24,6.8125,9.625,6.5,9.125,5.818203,1542800
1999-08-25,9.0625,9.15625,7.53125,8.8125,5.618948,745900
1999-08-26,8.8125,9.0,8.25,8.75,5.5791,196500
1999-08-27,8.84375,12.875,8.625,11.75,7.491932,889000
1999-08-30,11.53125,12.875,10.25,10.8125,6.894171,456700
1999-08-31,10.46875,11.0625,9.8125,10.9375,6.973874,319900
1999-09-01,11.0625,12.625,10.3125,11.625,7.412229,845900
1999-09-02,11.25,13.75,10.6875,12.75,8.129544,773600
1999-09-03,13.25,14.75,13.1875,13.625,8.687455,555900
1999-09-07,14.0,14.0,12.625,12.9375,8.249099,405400
1999-09-08,13.3125,13.4375,12.0,13.0,8.288948,362000
1999-09-09,12.8125,13.5,11.5,12.375,7.890442,291700
1999-09-10,12.5,15.25,11.75,13.6875,8.727304,622700
1999-09-13,13.6875,15.0,12.875,13.0,8.288948,346900
1999-09-14,13.1875,13.25,12.25,13.0,8.288948,114500
1999-09-15,13.125,13.5,11.9375,12.1875,7.770887,113200
1999-09-16,12.125,12.5,11.9375,12.125,7.731037,83900
1999-09-17,12.375,13.75,12.25,13.375,8.528051,188000
1999-09-20,13.4375,18.5,13.4375,17.875,11.397304,686900
1999-09-21,16.75,18.75,15.9375,17.0,10.839395,597600
1999-09-22,17.625,17.625,16.375,17.0625,10.879243,205600
1999-09-23,17.3125,19.75,15.25,15.375,9.803275,462400
1999-09-24,16.1875,17.625,16.09375,17.0,10.839395,115900
1999-09-27,17.875,18.0,16.25,17.0,10.839395,150500
1999-09-28,16.78125,16.9375,15.375,16.5,10.520587,127300
1999-09-29,16.34375,16.75,15.5625,16.0,10.201781,91300
1999-09-30,16.25,16.625,15.25,16.625,10.600288,60300
1999-10-01,16.125,16.625,16.0625,16.25,10.361184,28700
1999-10-04,16.0,16.5,14.6875,15.125,9.643871,96400
1999-10-05,15.21875,15.75,13.25,14.625,9.325068,94900
1999-10-06,14.34375,14.5,13.8125,14.0,8.92656,90900
1999-10-07,14.0625,14.375,13.125,13.3125,8.488199,56600
1999-10-08,13.3125,14.875,12.9375,14.875,9.484467,67400
1999-10-11,14.875,16.875,14.25,15.875,10.122077,90900
1999-10-12,16.1875,16.25,15.5,15.5,9.882976,39500
1999-10-13,15.0,16.0625,14.75,15.0,9.564171,39400
1999-10-14,15.5,15.5,14.75,15.1875,9.683721,33100
1999-10-15,14.625,15.0,13.25,14.75,9.404766,84300
1999-10-18,15.125,15.125,13.25,13.625,8.687455,53500
1999-10-19,24.0,28.5,21.625,23.5,14.983865,5250900
1999-10-20,25.125,25.4375,22.375,24.5,15.621474,1477800
1999-10-21,23.875,24.125,22.75,23.125,14.744767,546900
1999-10-22,23.125,25.375,23.0,24.5,15.621474,654900
1999-10-25,24.875,27.5,24.75,27.125,17.295204,439900
1999-10-26,27.625,27.8125,25.875,27.0,17.215504,270300
1999-10-27,27.0,27.375,25.75,26.375,16.817001,125200
1999-10-28,26.25,29.5,25.875,29.4375,18.769686,359000
1999-10-29,31.9375,32.625,29.875,30.0,19.128342,370900
1999-11-01,29.6875,29.75,28.25,28.625,18.251621,159500
1999-11-02,29.0,31.5,28.625,29.75,18.968933,411100
1999-11-03,30.5,32.5,29.125,30.0625,19.16819,317300
1999-11-04,30.0625,30.75,28.0,28.5,18.171925,207400
1999-11-05,29.75,30.875,29.375,30.0,19.128342,211200
1999-11-08,30.25,34.0,29.75,33.0,21.041174,437400
1999-11-09,34.0625,35.875,31.75,35.875,22.874308,498500
1999-11-10,35.96875,36.5,35.0,36.0,22.954004,318900
1999-11-11,36.5,37.625,35.6875,36.875,23.511919,589500
1999-11-12,37.5,38.5,35.0,38.25,24.388636,597100
1999-11-15,39.875,39.875,36.375,38.6875,24.667589,235800
1999-11-16,39.125,45.5,38.875,45.0,28.692514,591100
1999-11-17,46.5,49.875,43.5,44.5,28.373699,451900
1999-11-18,44.25,48.0,42.5,47.0,29.96773,435600
1999-11-19,48.75,48.875,45.75,46.625,29.728626,333300
1999-11-22,46.125,50.625,45.5,50.0,31.880552,497000
1999-11-23,49.28125,50.25,46.75,48.1875,30.724901,161400
1999-11-24,45.5,48.25,44.0625,46.0,29.330124,227800
1999-11-26,46.0,46.75,45.25,45.6875,29.130867,25300
1999-11-29,46.25,46.5,40.875,40.875,26.062366,192200
1999-11-30,40.625,44.625,36.875,36.875,23.511919,211600
1999-12-01,38.0625,41.3125,37.75,40.0,25.504457,226900
1999-12-02,39.875,43.3125,39.5,41.875,26.699976,312100
1999-12-03,43.75,44.4375,40.75,42.0,26.779678,453000
1999-12-06,42.4375,49.5,40.625,47.875,30.525627,290000
1999-12-07,50.0,50.625,45.375,47.625,30.366241,154000
1999-12-08,48.25,49.0,43.0,46.75,29.808329,114400
1999-12-09,47.0,47.5,42.625,44.0,28.054897,223400
1999-12-10,44.875,46.0,42.875,45.25,28.851908,122700
1999-12-13,45.5,47.5,42.0,44.75,28.533104,111100
1999-12-14,42.875,45.75,42.5,43.25,27.576685,103200
1999-12-15,42.0,44.75,42.0,42.5,27.098478,152700
1999-12-16,42.28125,44.0,42.0625,42.75,27.257879,69100
1999-12-17,44.125,44.125,41.5,43.0,27.417299,264800
1999-12-20,42.5,43.75,38.625,38.625,24.627741,205400
1999-12-21,39.15625,40.6875,34.625,39.9375,25.464603,242000
1999-12-22,41.0625,45.5,40.9375,43.9375,28.015047,260800
1999-12-23,44.5,46.5,44.5,45.25,28.851908,105800
1999-12-27,45.125,49.0,40.125,46.5,29.648914,360100
1999-12-28,47.0,51.25,45.25,48.75,31.083548,172300
1999-12-29,46.625,50.0,45.25,49.125,31.322662,73700
1999-12-30,50.125,51.5,48.375,48.5,30.924149,92200
1999-12-31,50.9375,54.0,50.9375,52.5,33.47459,83000
2000-01-03,59.5,60.0625,54.0,57.75,36.82206,484200
2000-01-04,57.5625,58.25,50.5,51.875,33.076099,353600
2000-01-05,52.0,58.0,51.875,57.0,36.343849,335500
2000-01-06,57.0,59.0,54.5,55.375,35.307728,318500
2000-01-07,54.25,57.0,54.25,56.8125,36.224289,339000
2000-01-10,58.0,59.0,52.375,55.75,35.546825,225400
2000-01-11,51.0,55.0,45.0,50.0,31.880552,365500
2000-01-12,50.3125,50.375,45.0,48.0,30.605352,169200
2000-01-13,50.0,57.75,48.25,57.5,36.662647,450900
2000-01-14,59.5,60.75,54.125,57.5,36.662647,242400
2000-01-18,59.0625,66.0,57.0,63.4375,40.448471,267100
2000-01-19,65.0,65.5,61.0,64.25,40.966518,157700
2000-01-20,65.125,68.0,61.25,62.75,40.010113,65800
2000-01-21,65.0,68.625,63.75,67.125,42.799667,335400
2000-01-24,67.75,70.375,62.75,62.75,40.010113,227500
2000-01-25,63.1875,63.375,57.0,59.125,37.69878,364300
2000-01-26,60.0,64.5,59.5,62.0,39.531902,772300
2000-01-27,63.78125,64.0,59.5,61.25,39.053703,237200
2000-01-28,61.0,61.0,58.0,59.0,37.619064,120000
2000-01-31,58.875,61.0,53.25,59.0,37.619064,236300
2000-02-01,61.8125,62.0,54.5,55.0,35.068619,146800
2000-02-02,55.75,56.25,53.25,55.5,35.387428,87700
2000-02-03,55.0,56.0,50.0,51.875,33.076099,292100
2000-02-04,52.3125,55.3125,51.5,52.75,33.634003,295900
2000-02-07,53.125,54.5,47.0,47.625,30.366241,321500
2000-02-08,47.75,49.25,44.875,49.25,31.402359,375600
2000-02-09,49.75,54.0,49.5,52.25,33.315186,172900
2000-02-10,52.0,55.0,52.0,53.375,34.032513,312400
2000-02-11,53.90625,54.0625,47.375,50.75,32.358765,154800
2000-02-14,50.125,51.0,48.75,48.875,31.163258,84100
2000-02-15,48.75,49.0,45.5,45.5,29.011314,181900
2000-02-16,45.3125,47.25,42.625,46.375,29.569216,185100
2000-02-17,46.0,46.4375,42.4375,44.1875,28.174448,226100
2000-02-18,43.5,49.0,43.0,44.5,28.373699,137900
2000-02-22,43.25,47.0,43.25,46.5,29.648914,131700
2000-02-23,46.0625,50.875,45.5,49.9375,31.840717,121800
2000-02-24,50.375,54.25,50.3125,51.9375,33.115925,294000
2000-02-25,52.8125,59.0,51.5625,57.5,36.662647,263300
2000-02-28,53.125,60.0,48.75,59.125,37.69878,216600
2000-02-29,59.25,69.0,58.75,68.0,43.357578,493000
2000-03-01,70.5,90.0,68.0,88.0,56.109795,959400
2000-03-02,88.0,90.0,83.0,86.1875,54.954128,356300
2000-03-03,87.5,98.0,87.25,95.875,61.130985,322700
2000-03-06,93.0,93.5,87.125,91.0,58.022629,242000
2000-03-07,91.0,92.0,85.0,88.0,56.109795,176400
2000-03-08,88.0,89.5,81.875,83.0,52.921749,180000
2000-03-09,81.0,83.9375,77.5,83.125,53.001457,232800
2000-03-10,84.0,87.75,84.0,84.0,53.559357,84700
