Date,Open,High,Low,Close,Adj Close,Volume
1997-06-25,66.875,71.25,65.0,67.5,55.247757,624920
1997-06-26,68.125,69.375,66.875,67.5,55.247757,83200
1997-06-27,68.125,68.75,66.875,66.875,54.73621,33720
1997-06-30,68.75,68.75,67.5,67.5,55.247757,4480
1997-07-01,68.75,68.75,66.875,68.125,55.759315,126940
1997-07-02,68.75,68.75,67.5,68.75,56.27087,77400
1997-07-03,69.375,73.75,69.375,72.5,59.340191,26620
1997-07-07,73.75,83.75,73.75,83.125,68.036606,109720
1997-07-08,83.75,85.625,81.25,82.5,67.525047,46360
1997-07-09,81.25,83.125,80.0,82.5,67.525047,34680
1997-07-10,82.5,85.0,81.25,85.0,69.571266,25820
1997-07-11,85.625,93.125,84.375,90.625,74.175232,37040
1997-07-14,88.75,92.5,88.75,90.0,73.663696,18280
1997-07-15,88.75,88.75,83.75,87.5,71.61747,61960
1997-07-16,87.5,90.0,84.375,86.25,70.594345,9440
1997-07-17,87.5,87.5,84.375,87.5,71.61747,6620
1997-07-18,86.25,87.5,85.0,86.875,71.105911,2820
1997-07-21,86.25,87.5,85.625,87.5,71.61747,4840
1997-07-22,87.5,92.5,85.0,92.5,75.709892,16920
1997-07-23,92.5,93.125,90.0,91.875,75.198341,5280
1997-07-24,93.125,94.375,93.125,93.125,76.221443,16680
1997-07-25,95.0,95.0,90.625,90.625,74.175232,5680
1997-07-28,92.5,93.125,91.875,93.125,76.221443,4120
1997-07-29,93.75,94.375,91.875,94.375,77.244576,14220
1997-07-30,95.0,95.0,92.5,93.125,76.221443,3320
1997-07-31,92.5,95.0,92.5,93.125,76.221443,4660
1997-08-01,93.125,93.75,93.125,93.125,76.221443,2240
1997-08-04,95.0,95.0,90.625,91.25,74.68679,12960
1997-08-05,90.625,90.625,86.25,87.5,71.61747,4960
1997-08-06,85.0,87.5,81.875,85.0,69.571266,9180
1997-08-07,87.5,88.125,85.625,85.625,70.082802,5500
1997-08-08,85.0,85.0,78.75,81.875,67.013489,6900
1997-08-11,78.75,80.625,78.75,80.625,65.990379,1780
1997-08-12,80.625,80.625,78.75,80.0,65.478844,13740
1997-08-13,80.625,80.625,79.375,79.375,64.967278,1700
1997-08-14,79.375,80.625,79.375,80.625,65.990379,500
1997-08-15,79.375,80.625,79.375,80.0,65.478844,6480
1997-08-18,79.375,80.625,79.375,80.625,65.990379,2080
1997-08-19,80.625,80.625,79.375,80.625,65.990379,380
1997-08-20,80.0,80.625,79.375,80.625,65.990379,6660
1997-08-21,80.625,80.625,79.375,80.0,65.478844,6960
1997-08-22,80.0,82.5,79.375,80.625,65.990379,5860
1997-08-25,79.375,81.875,79.375,81.875,67.013489,700
1997-08-26,81.875,82.5,81.25,82.5,67.525047,2820
1997-08-27,83.125,85.625,83.125,85.625,70.082802,2480
1997-08-28,83.75,85.625,83.75,85.0,69.571266,1880
1997-08-29,86.25,86.875,85.0,85.625,70.082802,1560
1997-09-02,86.875,86.875,83.75,85.0,69.571266,3300
1997-09-03,85.0,91.25,85.0,90.0,73.663696,5100
1997-09-04,91.5625,93.125,90.625,91.25,74.68679,3800
1997-09-05,90.0,91.25,88.75,88.75,72.640579,1500
1997-09-08,87.5,91.25,87.5,90.0,73.663696,23100
1997-09-09,88.125,90.0,88.125,88.125,72.129013,940
1997-09-10,90.0,90.0,86.25,86.25,70.594345,760
1997-09-11,87.5,90.0,87.5,90.0,73.663696,3580
1997-09-12,88.75,89.375,88.125,88.125,72.129013,1180
1997-09-15,88.75,88.75,88.125,88.75,72.640579,1580
1997-09-16,90.0,91.25,90.0,90.0,73.663696,1140
1997-09-17,91.25,91.25,90.625,91.25,74.68679,6060
1997-09-18,89.375,92.5,89.375,90.0,73.663696,4900
1997-09-19,89.375,92.5,89.375,92.5,75.709892,21880
1997-09-22,93.75,98.125,93.75,96.25,78.779221,13680
1997-09-23,96.25,97.5,96.25,96.25,78.779221,2180
1997-09-24,96.25,98.125,93.75,93.75,76.733017,3360
1997-09-25,93.28125,95.0,91.25,91.25,74.68679,2060
