Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,9.86,9.86,9.765,9.85,9.85,2400
2022-02-11,9.97,10.033,9.75,10.033,10.033,2200
2022-02-14,9.85,9.85,9.85,9.85,9.85,400
2022-02-15,9.78,10.58,9.78,9.82,9.82,168200
2022-02-16,9.79,9.8,9.79,9.8,9.8,1600
2022-02-17,9.79,9.875,9.79,9.79,9.79,6100
2022-02-18,9.8,9.8,9.8,9.8,9.8,1400
2022-02-22,9.8,9.8,9.8,9.8,9.8,0
2022-02-23,9.8,9.8,9.8,9.8,9.8,0
2022-02-24,9.82,9.84,9.8,9.84,9.84,2200
2022-02-25,9.84,9.84,9.84,9.84,9.84,0
2022-02-28,9.84,9.84,9.84,9.84,9.84,0
2022-03-01,9.83,9.84,9.83,9.84,9.84,10400
2022-03-02,9.84,9.84,9.84,9.84,9.84,0
2022-03-03,9.86,9.88,9.86,9.86,9.86,650300
2022-03-04,9.88,9.88,9.86,9.88,9.88,87300
2022-03-07,9.88,9.88,9.88,9.88,9.88,11400
2022-03-08,9.87,9.87,9.87,9.87,9.87,10200
2022-03-09,9.87,9.87,9.87,9.87,9.87,0
2022-03-10,9.87,9.87,9.87,9.87,9.87,0
2022-03-11,9.89,9.89,9.85,9.89,9.89,37300
2022-03-14,9.89,9.89,9.89,9.89,9.89,0
2022-03-15,9.89,9.89,9.89,9.89,9.89,0
2022-03-16,9.89,9.9,9.85,9.89,9.89,18900
2022-03-17,9.89,9.89,9.89,9.89,9.89,6900
2022-03-18,9.9,9.9,9.89,9.9,9.9,48900
2022-03-21,9.9,9.9,9.9,9.9,9.9,90300
2022-03-22,9.9,9.9,9.84,9.9,9.9,59100
2022-03-23,9.9,9.9,9.9,9.9,9.9,5100
2022-03-24,9.9,9.9,9.9,9.9,9.9,0
2022-03-25,9.91,9.91,9.85,9.89,9.89,12700
2022-03-28,9.86,9.86,9.85,9.85,9.85,35700
2022-03-29,9.85,9.85,9.85,9.85,9.85,7700
2022-03-30,9.86,9.87,9.86,9.87,9.87,500
2022-03-31,9.86,9.88,9.86,9.88,9.88,49700
2022-04-01,9.9,9.91,9.9,9.9,9.9,32100
2022-04-04,9.87,9.87,9.87,9.87,9.87,400
2022-04-05,9.87,9.9,9.87,9.9,9.9,5000
2022-04-06,9.88,9.88,9.87,9.87,9.87,30100
2022-04-07,9.89,9.89,9.88,9.88,9.88,27700
2022-04-08,9.88,9.9,9.88,9.88,9.88,700800
2022-04-11,9.9,9.92,9.9,9.92,9.92,79900
2022-04-12,9.92,9.92,9.92,9.92,9.92,0
2022-04-13,9.88,9.94,9.88,9.94,9.94,7100
2022-04-14,9.91,9.91,9.91,9.91,9.91,6100
2022-04-18,9.91,9.91,9.91,9.91,9.91,0
2022-04-19,9.91,9.91,9.91,9.91,9.91,0
2022-04-20,9.91,9.91,9.91,9.91,9.91,0
2022-04-21,9.91,9.91,9.91,9.91,9.91,0
2022-04-22,9.91,9.91,9.91,9.91,9.91,0
2022-04-25,9.91,9.91,9.91,9.91,9.91,600
2022-04-26,9.91,9.91,9.91,9.91,9.91,27000
2022-04-27,9.91,9.93,9.91,9.93,9.93,8900
2022-04-28,9.91,9.93,9.91,9.93,9.93,36600
2022-04-29,9.93,9.93,9.93,9.93,9.93,0
2022-05-02,9.93,9.94,9.93,9.93,9.93,26100
2022-05-03,9.93,9.93,9.93,9.93,9.93,0
2022-05-04,9.93,9.93,9.93,9.93,9.93,0
2022-05-05,9.93,9.93,9.93,9.93,9.93,0
2022-05-06,9.98,9.98,9.91,9.97,9.97,25900
2022-05-09,9.97,9.97,9.97,9.97,9.97,0
2022-05-10,9.97,9.97,9.97,9.97,9.97,0
2022-05-11,9.97,9.97,9.97,9.97,9.97,0
2022-05-12,9.97,9.97,9.97,9.97,9.97,0
2022-05-13,9.97,9.97,9.97,9.97,9.97,0
2022-05-16,9.97,9.97,9.97,9.97,9.97,0
2022-05-17,9.9,9.905,9.87,9.9,9.9,2200
2022-05-18,9.9,9.9,9.9,9.9,9.9,0
2022-05-19,9.9,9.9,9.9,9.9,9.9,0
2022-05-20,9.85,9.85,9.84,9.84,9.84,12400
2022-05-23,9.84,9.84,9.84,9.84,9.84,0
2022-05-24,9.84,9.84,9.84,9.84,9.84,0
2022-05-25,9.84,9.84,9.84,9.84,9.84,0
2022-05-26,9.87,9.87,9.87,9.87,9.87,1100
2022-05-27,9.87,9.87,9.87,9.87,9.87,0
2022-05-31,9.87,9.87,9.87,9.87,9.87,0
2022-06-01,9.87,9.87,9.87,9.87,9.87,0
2022-06-02,9.87,9.87,9.87,9.87,9.87,0
2022-06-03,9.87,9.87,9.87,9.87,9.87,0
2022-06-06,9.87,9.87,9.87,9.87,9.87,0
2022-06-07,9.895,9.895,9.895,9.895,9.895,99000
2022-06-08,9.895,9.895,9.895,9.895,9.895,0
2022-06-09,9.895,9.895,9.895,9.895,9.895,0
2022-06-10,9.895,9.895,9.895,9.895,9.895,0
2022-06-13,9.9,9.91,9.9,9.91,9.91,62700
2022-06-14,9.91,9.91,9.91,9.91,9.91,0
2022-06-15,9.91,9.91,9.91,9.91,9.91,0
2022-06-16,9.91,9.91,9.91,9.91,9.91,0
2022-06-17,9.91,9.91,9.91,9.91,9.91,0
2022-06-21,9.91,9.91,9.91,9.91,9.91,0
2022-06-22,9.875,9.875,9.862,9.862,9.862,40000
2022-06-23,9.862,9.862,9.862,9.862,9.862,0
2022-06-24,9.862,9.862,9.862,9.862,9.862,0
