Date,Open,High,Low,Close,Adj Close,Volume
2006-01-31,27.629999,29.639999,25.530001,25.530001,18.589828,272567
2006-02-01,26.4,26.549999,25.559999,25.92,18.873806,101633
2006-02-02,26.190001,26.82,25.65,25.950001,18.895651,38467
2006-02-03,25.950001,26.01,24.75,25.02,18.218468,72633
2006-02-06,25.200001,25.469999,24.0,24.24,17.650505,34367
2006-02-07,24.24,24.360001,23.129999,23.67,17.235456,58133
2006-02-08,23.459999,25.32,23.43,24.809999,18.065554,71867
2006-02-09,25.35,25.5,24.360001,24.75,18.021864,25467
2006-02-10,25.049999,25.200001,24.299999,24.42,17.781572,8367
2006-02-13,24.15,25.65,24.15,24.75,18.021864,17600
2006-02-14,25.5,25.5,24.299999,25.35,18.458759,14133
2006-02-15,25.74,25.74,24.870001,25.559999,18.61167,6500
2006-02-16,25.5,25.5,24.9,25.139999,18.305843,12833
2006-02-17,25.32,25.799999,24.15,24.66,17.956329,83833
2006-02-21,25.469999,25.469999,23.459999,24.15,17.58497,26867
2006-02-22,23.43,24.389999,23.43,24.0,17.475746,16967
2006-02-23,24.540001,24.540001,23.43,23.459999,17.082541,21000
2006-02-24,23.43,23.969999,23.43,23.67,17.235456,2833
2006-02-27,23.52,23.879999,23.43,23.43,17.060699,13400
2006-02-28,23.58,23.58,22.799999,23.549999,17.148077,23767
2006-03-01,23.43,23.549999,23.280001,23.4,17.038853,2933
2006-03-02,23.4,23.82,23.16,23.549999,17.148077,2233
2006-03-03,23.4,23.940001,23.25,23.940001,17.432058,2133
2006-03-06,23.85,23.85,23.52,23.58,17.169922,1467
2006-03-07,23.4,23.85,23.4,23.549999,17.148077,24867
2006-03-08,23.639999,23.700001,23.43,23.43,17.060699,2800
2006-03-09,23.43,23.700001,23.4,23.4,17.038853,5400
2006-03-10,23.459999,23.549999,23.4,23.549999,17.148077,3400
2006-03-13,23.4,23.610001,23.4,23.4,17.038853,15433
2006-03-14,23.700001,23.700001,23.25,23.25,16.92963,1167
2006-03-15,23.549999,23.549999,22.709999,23.1,16.820406,3500
2006-03-16,23.73,25.950001,23.309999,24.75,18.021864,85333
2006-03-17,25.17,25.200001,24.629999,24.9,18.131086,12967
2006-03-20,24.780001,24.9,24.18,24.299999,17.694193,10967
2006-03-21,24.75,24.75,23.549999,24.0,17.475746,11933
2006-03-22,24.0,24.299999,23.969999,24.299999,17.694193,14533
2006-03-23,24.75,25.5,24.75,25.41,18.502447,39833
2006-03-24,25.290001,26.879999,24.75,25.74,18.742739,16533
2006-03-27,25.32,26.25,24.450001,24.6,17.912642,18500
2006-03-28,25.5,25.5,24.389999,24.719999,18.000019,15400
2006-03-29,25.110001,25.139999,24.690001,24.780001,18.043709,8400
