Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,3.375,3.0,3.0,2.20845,7600
1980-03-18,0.0,3.25,2.875,2.875,2.116431,1900
1980-03-19,0.0,3.25,2.875,2.875,2.116431,2900
1980-03-20,0.0,3.25,2.875,2.875,2.116431,1300
1980-03-21,0.0,3.25,2.875,2.875,2.116431,11900
1980-03-24,0.0,3.125,2.75,2.75,2.024413,6500
1980-03-25,0.0,3.125,2.75,2.75,2.024413,95200
1980-03-26,0.0,3.125,2.75,2.75,2.024413,13900
1980-03-27,0.0,2.875,2.5,2.5,1.840375,8500
1980-03-28,0.0,2.875,2.5,2.5,1.840375,11100
1980-03-31,0.0,2.875,2.5,2.5,1.840375,27100
1980-04-01,0.0,2.875,2.5,2.5,1.840375,6700
1980-04-02,0.0,3.0,2.625,2.625,1.932394,5700
1980-04-03,0.0,3.0,2.625,2.625,1.932394,4400
1980-04-07,0.0,3.0,2.625,2.625,1.932394,4400
1980-04-08,0.0,2.625,2.25,2.25,1.656338,14500
1980-04-09,0.0,2.75,2.375,2.375,1.748356,7100
1980-04-10,0.0,2.75,2.375,2.375,1.748356,7800
1980-04-11,0.0,2.875,2.5,2.5,1.840375,4700
1980-04-14,0.0,2.75,2.375,2.375,1.748356,1400
1980-04-15,0.0,2.75,2.375,2.375,1.748356,1000
1980-04-16,0.0,2.75,2.375,2.375,1.748356,700
1980-04-17,0.0,2.625,2.25,2.25,1.656338,5200
1980-04-18,0.0,2.625,2.25,2.25,1.656338,700
1980-04-21,0.0,2.625,2.25,2.25,1.656338,1000
1980-04-22,0.0,2.625,2.25,2.25,1.656338,8700
1980-04-23,0.0,2.625,2.25,2.25,1.656338,5000
1980-04-24,0.0,2.625,2.25,2.25,1.656338,3300
1980-04-25,0.0,2.5,2.125,2.125,1.564319,14300
1980-04-28,0.0,2.5,2.125,2.125,1.564319,3000
1980-04-29,0.0,2.625,2.25,2.25,1.656338,2200
1980-04-30,0.0,2.625,2.25,2.25,1.656338,4900
1980-05-01,0.0,2.625,2.25,2.25,1.656338,5800
1980-05-02,0.0,2.625,2.25,2.25,1.656338,11200
1980-05-05,0.0,2.75,2.375,2.375,1.748356,500
1980-05-06,0.0,2.75,2.375,2.375,1.748356,4300
1980-05-07,0.0,2.75,2.375,2.375,1.748356,4900
1980-05-08,0.0,2.75,2.375,2.375,1.748356,2200
1980-05-09,0.0,2.75,2.375,2.375,1.748356,1200
1980-05-12,0.0,2.75,2.375,2.375,1.748356,600
1980-05-13,0.0,2.625,2.25,2.25,1.656338,5200
1980-05-14,0.0,2.625,2.25,2.25,1.656338,10200
1980-05-15,0.0,2.625,2.25,2.25,1.656338,7300
1980-05-16,0.0,2.75,2.375,2.375,1.748356,3000
1980-05-19,0.0,2.875,2.5,2.5,1.840375,6300
1980-05-20,0.0,2.875,2.5,2.5,1.840375,300
1980-05-21,0.0,2.75,2.375,2.375,1.748356,6500
1980-05-22,0.0,3.125,2.75,2.75,2.024413,28800
1980-05-23,0.0,3.125,2.75,2.75,2.024413,2800
1980-05-27,0.0,3.0,2.625,2.625,1.932394,3000
1980-05-28,0.0,3.0,2.625,2.625,1.932394,2500
1980-05-29,0.0,3.0,2.625,2.625,1.932394,1000
1980-05-30,0.0,3.0,2.625,2.625,1.932394,3200
1980-06-02,0.0,3.0,2.625,2.625,1.932394,5200
1980-06-03,0.0,3.0,2.625,2.625,1.932394,4000
1980-06-04,0.0,2.875,2.5,2.5,1.840375,11300
1980-06-05,0.0,2.875,2.5,2.5,1.840375,5100
1980-06-06,0.0,2.875,2.5,2.5,1.840375,3000
1980-06-09,0.0,3.0,2.625,2.625,1.932394,10600
1980-06-10,0.0,3.0,2.625,2.625,1.932394,7500
1980-06-11,0.0,3.0,2.625,2.625,1.932394,4300
1980-06-12,0.0,2.875,2.5,2.5,1.840375,10600
1980-06-13,0.0,2.875,2.5,2.5,1.840375,15500
1980-06-16,0.0,3.0,2.625,2.625,1.932394,4900
1980-06-17,0.0,3.0,2.625,2.625,1.932394,600
1980-06-18,0.0,3.0,2.625,2.625,1.932394,5900
1980-06-19,0.0,3.0,2.625,2.625,1.932394,6700
1980-06-20,0.0,3.0,2.625,2.625,1.932394,3400
1980-06-23,0.0,3.125,2.75,2.75,2.024413,5500
1980-06-24,0.0,3.125,2.75,2.75,2.024413,9100
1980-06-25,0.0,3.125,2.75,2.75,2.024413,5700
1980-06-26,0.0,3.125,2.75,2.75,2.024413,12500
1980-06-27,0.0,3.125,2.75,2.75,2.024413,4700
1980-06-30,0.0,3.125,2.75,2.75,2.024413,12700
1980-07-01,0.0,3.125,2.75,2.75,2.024413,7600
1980-07-02,0.0,3.125,2.75,2.75,2.024413,11700
1980-07-03,0.0,3.0,2.625,2.625,1.932394,12500
1980-07-07,0.0,2.875,2.75,2.75,2.024413,7500
1980-07-08,0.0,3.0,2.75,2.75,2.024413,6800
1980-07-09,0.0,3.125,3.0,3.0,2.20845,9400
1980-07-10,0.0,3.25,3.0,3.0,2.20845,20200
1980-07-11,0.0,3.25,3.125,3.125,2.300469,4900
1980-07-14,0.0,3.25,3.125,3.125,2.300469,2000
1980-07-15,0.0,3.25,3.125,3.125,2.300469,6400
1980-07-16,0.0,3.25,3.0,3.0,2.20845,12300
1980-07-17,0.0,3.25,3.0,3.0,2.20845,800
1980-07-18,0.0,3.25,3.125,3.125,2.300469,6500
1980-07-21,0.0,3.375,3.25,3.25,2.392488,13900
1980-07-22,0.0,3.375,3.25,3.25,2.392488,11800
1980-07-23,0.0,3.5,3.25,3.25,2.392488,10100
1980-07-24,0.0,3.625,3.5,3.5,2.576525,26700
1980-07-25,0.0,3.75,3.5,3.5,2.576525,15100
1980-07-28,0.0,3.875,3.75,3.75,2.760563,24700
1980-07-29,0.0,3.875,3.75,3.75,2.760563,34300
1980-07-30,0.0,4.25,4.125,4.125,3.036619,44400
1980-07-31,0.0,4.625,4.5,4.5,3.312677,145500
1980-08-01,0.0,5.125,5.0,5.0,3.680749,283700
1980-08-04,0.0,5.125,4.875,4.875,3.588732,115500
1980-08-05,0.0,4.875,4.75,4.75,3.496713,91400
1980-08-06,0.0,4.75,4.625,4.625,3.404694,80200
1980-08-07,0.0,4.625,4.5,4.5,3.312677,51300
1980-08-08,0.0,4.75,4.5,4.5,3.312677,70700
1980-08-11,0.0,5.125,5.0,5.0,3.680749,120800
1980-08-12,0.0,4.875,4.75,4.75,3.496713,110200
1980-08-13,0.0,5.0,4.75,4.75,3.496713,39900
1980-08-14,0.0,5.0,4.875,4.875,3.588732,47900
1980-08-15,0.0,5.0,4.875,4.875,3.588732,45700
1980-08-18,0.0,5.0,4.875,4.875,3.588732,24500
1980-08-19,0.0,4.875,4.75,4.75,3.496713,20000
1980-08-20,0.0,4.875,4.75,4.75,3.496713,25800
1980-08-21,0.0,5.125,5.0,5.0,3.680749,50500
1980-08-22,0.0,5.625,5.5,5.5,4.048826,159200
1980-08-25,0.0,5.875,5.75,5.75,4.232862,126400
1980-08-26,0.0,6.0,5.875,5.875,4.324881,55500
1980-08-27,0.0,6.0,5.75,5.75,4.232862,33500
1980-08-28,0.0,5.875,5.75,5.75,4.232862,33800
1980-08-29,0.0,5.875,5.75,5.75,4.232862,26300
1980-09-02,0.0,6.125,6.0,6.0,4.4169,40900
1980-09-03,0.0,6.375,6.25,6.25,4.600938,37300
1980-09-04,0.0,6.0,5.75,5.75,4.232862,62100
1980-09-05,0.0,6.0,5.875,5.875,4.324881,28700
1980-09-08,0.0,5.75,5.625,5.625,4.140843,19400
1980-09-09,0.0,5.875,5.75,5.75,4.232862,294000
1980-09-10,0.0,7.25,7.125,7.125,5.24507,320500
1980-09-11,0.0,7.25,7.125,7.125,5.24507,174600
1980-09-12,0.0,6.875,6.625,6.625,4.876994,55700
1980-09-15,0.0,6.625,6.5,6.5,4.784976,42400
1980-09-16,0.0,6.75,6.625,6.625,4.876994,27300
1980-09-17,0.0,6.875,6.625,6.625,4.876994,54600
1980-09-18,0.0,6.75,6.625,6.625,4.876994,56900
1980-09-19,0.0,6.75,6.625,6.625,4.876994,24000
1980-09-22,0.0,6.75,6.625,6.625,4.876994,22400
