Date,Open,High,Low,Close,Adj Close,Volume
2014-09-18,19.9,21.870001,14.2,14.73,14.73,6760600
2014-09-19,14.24,17.280001,14.122,16.370001,16.370001,816800
2014-09-22,15.86,16.790001,15.51,16.049999,16.049999,259900
2014-09-23,16.0,16.0,15.23,15.76,15.76,248800
2014-09-24,15.6,16.950001,15.27,16.35,16.35,161700
2014-09-25,16.1,16.49,15.661,15.75,15.75,256400
2014-09-26,16.0,16.440001,15.89,16.129999,16.129999,89600
2014-09-29,15.79,16.24,15.65,15.88,15.88,124600
2014-09-30,16.01,17.25,15.95,17.190001,17.190001,67300
2014-10-01,17.5,17.834999,16.316,16.74,16.74,97000
2014-10-02,16.98,16.98,16.26,16.610001,16.610001,58900
2014-10-03,16.219999,16.99,15.9,16.67,16.67,89400
2014-10-06,16.77,16.966,16.040001,16.379999,16.379999,114300
2014-10-07,16.74,16.74,15.82,16.209999,16.209999,71800
2014-10-08,16.15,16.200001,15.69,16.129999,16.129999,80700
2014-10-09,15.97,16.200001,15.785,16.08,16.08,144800
2014-10-10,16.190001,16.190001,15.08,15.46,15.46,159000
2014-10-13,15.5,15.5,12.0,13.0,13.0,459400
2014-10-14,13.2,14.29,12.2,12.48,12.48,210300
2014-10-15,12.61,12.62,11.05,11.82,11.82,199100
2014-10-16,11.65,13.17,11.004,12.51,12.51,147800
2014-10-17,13.08,13.25,11.05,12.49,12.49,207200
2014-10-20,12.38,12.86,11.8,12.77,12.77,74300
2014-10-21,12.63,13.09,12.0,13.02,13.02,183700
2014-10-22,13.0,13.19,12.325,13.07,13.07,63400
2014-10-23,13.185,13.48,12.54,13.0,13.0,96000
2014-10-24,12.87,13.02,12.67,12.96,12.96,96900
2014-10-27,12.89,12.94,12.16,12.33,12.33,30600
2014-10-28,12.28,12.86,12.21,12.29,12.29,47600
2014-10-29,12.35,12.89,12.24,12.72,12.72,238000
2014-10-30,12.47,12.88,12.2,12.64,12.64,36800
2014-10-31,12.67,13.45,12.67,12.83,12.83,46400
2014-11-03,13.13,13.15,12.68,12.88,12.88,22900
2014-11-04,13.0,13.0,12.42,12.79,12.79,10600
2014-11-05,12.96,12.978,12.19,12.34,12.34,60900
2014-11-06,12.19,12.32,11.248,11.83,11.83,107900
2014-11-07,11.99,12.14,11.05,11.44,11.44,95600
2014-11-10,11.46,11.91,11.25,11.45,11.45,14500
2014-11-11,11.53,11.627,11.04,11.48,11.48,63100
2014-11-12,11.52,11.94,11.45,11.77,11.77,47200
2014-11-13,11.81,12.43,11.53,12.14,12.14,54600
2014-11-14,12.44,12.97,11.763,12.86,12.86,94000
2014-11-17,12.89,12.89,12.06,12.55,12.55,62600
2014-11-18,12.8,12.91,12.28,12.79,12.79,34800
2014-11-19,12.25,13.49,11.69,12.97,12.97,72800
2014-11-20,12.34,14.0,12.22,13.9,13.9,95300
2014-11-21,13.29,14.91,13.28,14.8,14.8,85000
2014-11-24,15.48,15.48,13.51,14.93,14.93,108900
2014-11-25,15.16,15.79,14.54,15.07,15.07,92500
2014-11-26,15.09,15.27,15.01,15.2,15.2,42500
2014-11-28,15.07,15.62,14.81,15.17,15.17,49500
2014-12-01,15.2,15.2,14.12,14.65,14.65,32500
2014-12-02,14.77,15.2,14.485,15.17,15.17,125900
2014-12-03,15.17,15.99,15.17,15.75,15.75,75600
2014-12-04,15.965,16.450001,15.44,16.07,16.07,117800
2014-12-05,16.42,18.58,16.219999,18.33,18.33,131300
2014-12-08,18.35,19.74,17.799999,18.299999,18.299999,98900
2014-12-09,17.870001,18.75,17.52,18.18,18.18,46400
2014-12-10,18.0,18.17,17.41,17.780001,17.780001,53700
2014-12-11,17.587999,18.040001,16.6,18.0,18.0,51400
2014-12-12,18.0,19.17,17.34,18.780001,18.780001,62100
2014-12-15,18.879999,19.190001,16.75,16.92,16.92,121700
2014-12-16,17.860001,18.52,16.08,17.74,17.74,107400
2014-12-17,17.950001,18.99,17.190001,18.07,18.07,50000
2014-12-18,18.0,19.5,17.809999,18.719999,18.719999,186400
2014-12-19,19.0,21.0,18.212999,20.25,20.25,167400
2014-12-22,20.35,20.610001,19.025,19.959999,19.959999,58800
2014-12-23,20.0,20.0,18.233,19.82,19.82,144800
2014-12-24,19.799999,20.1,18.35,19.68,19.68,58500
2014-12-26,19.530001,19.690001,18.76,18.9,18.9,8000
2014-12-29,19.200001,20.23,18.719999,19.6,19.6,96200
2014-12-30,19.610001,20.5,18.82,20.450001,20.450001,61800
2014-12-31,20.33,23.02,19.690001,21.67,21.67,199000
2015-01-02,21.73,21.91,20.08,20.459999,20.459999,69400
2015-01-05,20.16,20.16,19.32,19.65,19.65,62700
2015-01-06,19.860001,20.1,18.719999,18.790001,18.790001,57800
2015-01-07,19.85,19.85,18.049999,18.24,18.24,176200
2015-01-08,18.450001,21.690001,18.389999,19.58,19.58,116200
2015-01-09,19.66,20.445,18.57,19.799999,19.799999,99000
2015-01-12,19.74,20.768,18.08,19.74,19.74,130200
2015-01-13,20.040001,20.4,18.309999,19.809999,19.809999,110400
2015-01-14,19.51,20.0,18.5,19.5,19.5,132500
2015-01-15,19.450001,20.799999,18.285,20.32,20.32,101300
2015-01-16,20.08,20.745001,19.68,20.360001,20.360001,67200
2015-01-20,20.530001,21.209999,19.98,20.77,20.77,44400
2015-01-21,20.305,21.24,20.27,20.690001,20.690001,138300
2015-01-22,20.639999,21.5,20.129999,20.549999,20.549999,34700
2015-01-23,20.040001,21.49,19.92,21.01,21.01,78900
2015-01-26,21.120001,21.48,20.440001,20.719999,20.719999,80900
2015-01-27,20.389999,20.83,19.0,20.6,20.6,53300
2015-01-28,20.639999,21.280001,20.059999,20.540001,20.540001,67000
2015-01-29,20.620001,21.0,19.299999,20.52,20.52,146900
2015-01-30,20.57,20.700001,19.969999,20.08,20.08,17500
2015-02-02,20.299999,20.5,18.549999,18.98,18.98,82500
2015-02-03,18.77,19.35,17.41,17.68,17.68,78500
2015-02-04,17.889999,18.120001,15.8,15.84,15.84,81000
2015-02-05,15.84,17.719999,15.8,17.4,17.4,75200
2015-02-06,17.610001,18.49,17.0,17.41,17.41,50100
2015-02-09,17.43,18.84,16.309999,17.700001,17.700001,52400
2015-02-10,18.01,18.389999,17.629999,18.040001,18.040001,33400
2015-02-11,18.5,20.486,18.129999,18.25,18.25,163700
2015-02-12,18.129999,19.5,18.129999,19.18,19.18,514500
2015-02-13,19.219999,19.75,18.1,18.32,18.32,60400
2015-02-17,18.41,18.959999,17.459999,17.57,17.57,77500
2015-02-18,17.809999,17.92,17.059999,17.129999,17.129999,62000
2015-02-19,16.836,18.26,16.75,17.25,17.25,110100
2015-02-20,17.309999,19.336,17.309999,18.969999,18.969999,92700
2015-02-23,18.33,20.15,18.33,20.110001,20.110001,57600
2015-02-24,20.139999,21.0,18.799999,20.959999,20.959999,66200
2015-02-25,20.879999,20.879999,19.389999,19.98,19.98,39300
2015-02-26,20.540001,20.540001,19.32,19.77,19.77,80600
2015-02-27,19.950001,19.950001,18.51,18.83,18.83,60900
2015-03-02,18.620001,19.464001,18.09,18.51,18.51,99600
2015-03-03,19.464001,19.464001,17.74,18.200001,18.200001,52300
2015-03-04,19.278,20.4,17.83,19.49,19.49,108600
2015-03-05,19.280001,21.493999,19.190001,21.370001,21.370001,71600
2015-03-06,21.120001,23.26,20.719999,22.860001,22.860001,162300
2015-03-09,22.799999,23.99,22.41,23.4,23.4,85600
2015-03-10,23.24,27.18,22.83,24.99,24.99,394200
2015-03-11,25.16,26.73,24.209999,24.93,24.93,83000
2015-03-12,24.879999,26.785,24.23,24.24,24.24,85100
2015-03-13,24.35,25.0,23.799999,24.73,24.73,61100
2015-03-16,24.450001,27.6,23.75,24.02,24.02,127100
2015-03-17,24.030001,24.559999,22.99,24.23,24.23,92200
2015-03-18,24.200001,24.379999,22.205,23.629999,23.629999,189800
2015-03-19,23.6,25.360001,22.83,24.440001,24.440001,640500
2015-03-20,24.4,25.280001,24.153999,24.25,24.25,340300
2015-03-23,24.370001,25.23,23.635,24.700001,24.700001,233700
2015-03-24,24.65,24.65,23.959999,24.219999,24.219999,140600
2015-03-25,24.309999,24.799999,22.57,23.440001,23.440001,280800
2015-03-26,22.559999,23.549999,21.43,23.16,23.16,91500
2015-03-27,23.0,23.98,22.59,23.299999,23.299999,111600
2015-03-30,23.889999,24.99,22.98,24.35,24.35,213800
2015-03-31,24.41,24.41,21.700001,21.879999,21.879999,139200
2015-04-01,21.99,22.969999,20.565001,20.959999,20.959999,209300
2015-04-02,21.01,21.309999,20.0,20.51,20.51,123500
2015-04-06,20.57,20.690001,19.700001,19.82,19.82,80500
2015-04-07,19.790001,20.950001,19.67,20.52,20.52,125000
2015-04-08,20.52,22.299999,20.51,21.450001,21.450001,273400
2015-04-09,21.584999,22.450001,20.879999,21.25,21.25,142700
2015-04-10,21.16,21.68,20.200001,20.469999,20.469999,48500
2015-04-13,20.559999,21.0,19.83,19.98,19.98,85300
2015-04-14,20.25,20.84,19.75,19.83,19.83,85800
2015-04-15,19.959999,19.959999,19.200001,19.424,19.424,75700
2015-04-16,19.200001,20.290001,19.09,20.01,20.01,44300
2015-04-17,20.0,20.16,19.4,19.969999,19.969999,76300
2015-04-20,19.950001,19.950001,19.02,19.209999,19.209999,63900
2015-04-21,19.26,19.26,17.969999,18.15,18.15,99700
2015-04-22,18.25,19.059999,18.0,18.790001,18.790001,49000
2015-04-23,18.73,19.790001,18.68,19.5,19.5,79000
2015-04-24,19.5,20.4,19.044001,19.459999,19.459999,113900
2015-04-27,19.559999,19.674999,18.0,18.68,18.68,162100
2015-04-28,18.77,20.0,18.469999,18.799999,18.799999,61800
2015-04-29,18.85,19.65,18.629999,19.25,19.25,54900
2015-04-30,19.5,19.5,18.309999,18.969999,18.969999,85100
2015-05-01,19.15,19.655001,18.799999,19.110001,19.110001,52600
2015-05-04,19.07,19.639999,18.77,19.48,19.48,38000
2015-05-05,19.360001,19.360001,18.68,19.1,19.1,137900
2015-05-06,19.139999,19.5,19.01,19.209999,19.209999,37800
2015-05-07,19.049999,19.4,18.860001,19.200001,19.200001,39900
2015-05-08,19.4,20.34,19.25,20.290001,20.290001,83100
2015-05-11,20.280001,21.389999,20.15,20.860001,20.860001,70900
2015-05-12,20.889999,20.889999,19.52,19.610001,19.610001,35000
2015-05-13,19.379999,19.98,19.26,19.4,19.4,41400
2015-05-14,19.450001,20.5,19.389999,19.639999,19.639999,51100
2015-05-15,19.610001,20.059999,19.57,19.790001,19.790001,94700
2015-05-18,19.68,20.200001,19.639999,19.860001,19.860001,48700
2015-05-19,19.719999,19.950001,19.370001,19.6,19.6,58500
2015-05-20,20.790001,20.790001,19.700001,20.049999,20.049999,197200
2015-05-21,20.290001,20.417999,18.719999,19.690001,19.690001,227100
2015-05-22,20.01,20.01,18.940001,19.549999,19.549999,36300
2015-05-26,19.469999,19.75,18.32,18.809999,18.809999,67500
2015-05-27,18.860001,18.860001,18.299999,18.82,18.82,46200
2015-05-28,18.700001,19.200001,18.370001,18.629999,18.629999,109500
2015-05-29,18.6,18.950001,18.155001,18.24,18.24,29300
2015-06-01,18.33,19.610001,18.040001,18.389999,18.389999,80600
2015-06-02,18.379999,19.07,18.02,18.24,18.24,51800
2015-06-03,18.120001,19.15,18.01,18.110001,18.110001,23000
2015-06-04,18.09,19.129999,18.01,18.049999,18.049999,55500
2015-06-05,18.0,18.73,17.73,18.5,18.5,38900
2015-06-08,18.51,19.469999,18.049999,18.129999,18.129999,61700
2015-06-09,18.16,18.860001,17.82,18.139999,18.139999,189600
2015-06-10,18.370001,18.58,18.0,18.49,18.49,59800
2015-06-11,18.5,18.540001,17.620001,17.959999,17.959999,66200
2015-06-12,17.9,18.1,17.02,17.16,17.16,53000
