Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,5.7,19.5,5.7,18.9,13.929646,19400
2020-10-09,18.51,18.51,18.5,18.5,13.634837,900
2020-10-12,18.950001,19.5,18.950001,19.5,14.371858,600
2020-10-13,19.25,19.75,19.25,19.75,14.556109,10100
2020-10-14,18.778999,18.778999,18.778999,18.778999,13.840464,800
2020-10-15,18.778999,18.778999,18.778999,18.778999,13.840464,0
2020-10-16,18.778999,18.778999,18.778999,18.778999,13.840464,0
2020-10-19,19.0,20.5,19.0,19.5,14.371858,1700
2020-10-20,19.5,19.5,19.5,19.5,14.371858,0
2020-10-21,19.5,19.5,19.5,19.5,14.371858,0
2020-10-22,19.5,19.5,19.5,19.5,14.371858,0
2020-10-23,19.5,19.5,19.5,19.5,14.371858,0
2020-10-26,18.775,18.775,18.775,18.775,13.837514,100
2020-10-27,18.75,18.75,18.75,18.75,13.819089,300
2020-10-28,18.549999,18.549999,18.549999,18.549999,13.67169,100
2020-10-29,18.6,18.6,18.6,18.6,13.708542,100
2020-10-30,18.6,18.6,18.6,18.6,13.708542,0
2020-11-02,18.6,18.6,18.6,18.6,13.708542,0
2020-11-03,18.6,18.6,18.6,18.6,13.708542,0
2020-11-04,18.6,18.6,18.6,18.6,13.708542,0
2020-11-05,18.59,18.59,18.59,18.59,13.701171,100
2020-11-06,18.59,18.59,18.59,18.59,13.701171,0
2020-11-09,18.0,18.0,18.0,18.0,13.266329,500
2020-11-10,17.903999,17.903999,17.75,17.75,13.082074,600
2020-11-11,17.0,17.0,16.5,16.5,12.160801,1100
2020-11-12,17.4,17.6,16.0,16.0,11.936251,4500
2020-11-13,16.040001,16.040001,15.94,15.94,11.89149,700
2020-11-16,16.139999,16.139999,15.5,15.5,11.563242,1500
2020-11-17,15.5,15.5,15.386,15.386,11.478196,1300
2020-11-18,15.25,15.25,15.25,15.25,11.376737,100
2020-11-19,15.0,15.0,14.75,14.75,11.003727,400
2020-11-20,14.75,14.75,14.75,14.75,11.003727,100
2020-11-23,14.75,14.75,13.45,14.2,10.593425,2400
2020-11-24,14.01,14.5,14.01,14.5,10.817225,1200
2020-11-25,13.763,14.3,13.763,14.15,10.55612,3000
2020-11-27,14.0,14.03,13.96,14.0,10.44422,1100
2020-11-30,14.0,14.0,14.0,14.0,10.44422,0
2020-12-01,14.0,14.0,14.0,14.0,10.44422,0
2020-12-02,14.05,14.05,14.05,14.05,10.481521,200
2020-12-03,14.05,14.05,14.05,14.05,10.481521,0
2020-12-04,15.5,15.887,15.5,15.887,11.85195,300
2020-12-07,15.887,15.887,15.887,15.887,11.85195,0
2020-12-08,15.179,15.179,15.179,15.179,11.323771,200
2020-12-09,14.3,16.48,14.3,16.48,12.294337,900
2020-12-10,16.48,16.75,16.48,16.75,12.495764,800
2020-12-11,16.6,16.6,16.6,16.6,12.504804,300
2020-12-14,16.6,16.6,16.6,16.6,12.504804,0
2020-12-15,15.88,16.4,15.88,16.4,12.354139,500
2020-12-16,15.88,15.88,15.0,15.02,11.314586,1200
2020-12-17,15.49,15.5,15.49,15.5,11.67617,300
2020-12-18,15.5,15.5,15.0,15.0,11.29952,700
2020-12-21,15.0,15.0,14.0,14.0,10.54622,4800
2020-12-22,14.05,14.05,14.0,14.024,10.564297,1200
2020-12-23,13.89,14.17,13.89,14.17,10.674277,400
2020-12-24,13.59,14.18,13.59,14.18,10.681811,600
2020-12-28,14.18,14.18,14.18,14.18,10.681811,300
2020-12-29,13.86,14.2,13.5,14.2,10.696879,1200
2020-12-30,14.19,14.19,14.19,14.19,10.689342,200
2020-12-31,14.0,14.2,13.75,14.2,10.696879,1100
2021-01-04,14.2,14.2,14.2,14.2,10.696879,0
2021-01-05,14.2,14.2,14.2,14.2,10.696879,1700
2021-01-06,14.2,14.2,14.2,14.2,10.696879,400
2021-01-07,14.64,14.64,14.64,14.64,11.028332,200
2021-01-08,14.64,14.64,14.64,14.64,11.028332,0
2021-01-11,14.482,14.482,14.482,14.482,11.031379,100
2021-01-12,15.04,16.530001,14.25,15.64,11.913464,1400
2021-01-13,15.64,15.64,15.64,15.64,11.913464,0
2021-01-14,15.89,15.89,15.89,15.89,12.103894,100
2021-01-15,16.195,16.299999,14.972,15.0,11.425955,1400
