Date,Open,High,Low,Close,Adj Close,Volume
1999-08-02,154.0,162.0,151.0,154.0,154.0,42400
1999-08-03,156.0,157.5,151.0,154.5,154.5,39688
1999-08-04,156.5,162.0,153.0,153.0,153.0,87188
1999-08-05,152.0,155.0,146.5,148.5,148.5,58238
1999-08-06,149.0,154.0,148.0,151.0,151.0,39700
1999-08-09,151.0,153.5,149.0,150.5,150.5,71213
1999-08-10,149.5,152.5,149.0,152.0,152.0,89088
1999-08-11,154.5,161.0,153.5,161.0,161.0,102650
1999-08-12,164.0,169.0,163.5,164.0,164.0,126138
1999-08-13,165.0,171.5,164.5,170.5,170.5,81613
1999-08-16,172.0,174.0,168.5,169.5,169.5,65613
1999-08-17,171.5,172.0,169.0,171.5,171.5,53775
1999-08-18,169.5,172.5,163.5,165.5,165.5,73900
1999-08-19,165.5,166.5,159.5,161.0,161.0,61675
1999-08-20,162.0,166.0,161.0,164.0,164.0,76938
1999-08-23,161.5,161.5,158.0,159.5,159.5,66588
1999-08-24,159.5,166.0,157.5,158.0,158.0,132138
1999-08-25,157.5,158.0,152.0,158.0,158.0,106913
1999-08-26,158.0,160.0,156.0,156.5,156.5,40700
1999-08-27,155.0,156.0,153.0,154.5,154.5,60063
1999-08-30,151.5,153.0,142.0,143.0,143.0,116225
1999-08-31,141.0,148.5,141.0,146.5,146.5,204350
1999-09-01,146.5,153.0,146.5,150.0,150.0,78400
1999-09-02,150.0,153.0,144.0,153.0,153.0,86125
1999-09-03,152.5,160.0,152.0,152.0,152.0,109800
1999-09-07,151.5,152.0,144.0,144.0,144.0,112475
1999-09-08,144.0,150.5,142.0,146.0,146.0,81725
1999-09-09,146.0,149.0,144.0,144.5,144.5,106200
1999-09-10,144.0,148.0,144.0,146.0,146.0,82700
1999-09-13,144.5,150.0,144.5,148.0,148.0,77775
1999-09-14,149.0,156.0,147.5,153.0,153.0,119488
1999-09-15,152.0,152.5,147.5,147.5,147.5,98275
1999-09-16,148.5,149.0,143.5,148.0,148.0,78088
1999-09-17,148.0,150.0,143.0,144.0,144.0,179275
1999-09-20,144.0,144.0,142.5,143.5,143.5,180413
1999-09-21,143.5,143.5,136.0,138.5,138.5,185975
1999-09-22,139.5,140.0,137.0,137.5,137.5,85925
1999-09-23,138.5,138.5,117.0,121.0,121.0,304438
1999-09-24,120.5,120.5,114.0,115.0,115.0,232575
1999-09-27,117.0,123.0,116.5,119.0,119.0,198913
1999-09-28,119.0,120.0,111.0,113.0,113.0,167600
1999-09-29,113.5,114.0,111.0,111.0,111.0,101525
1999-09-30,111.0,114.0,110.0,112.5,112.5,118363
1999-10-01,113.0,113.5,107.5,112.5,112.5,171950
1999-10-04,114.5,118.0,111.0,113.0,113.0,85938
1999-10-05,115.0,115.5,111.0,111.5,111.5,154488
1999-10-06,112.5,114.0,111.5,111.5,111.5,199850
1999-10-07,112.0,112.0,106.0,107.0,107.0,93763
1999-10-08,94.0,94.0,85.0,92.0,92.0,545763
1999-10-11,97.0,112.5,97.0,108.5,108.5,295775
1999-10-12,109.0,120.0,107.5,113.5,113.5,278850
1999-10-13,113.5,114.0,105.0,110.0,110.0,250500
1999-10-14,112.0,112.5,109.0,112.0,112.0,150313
1999-10-15,112.0,129.5,110.0,112.5,112.5,489963
1999-10-18,113.5,117.5,109.0,113.0,113.0,78488
1999-10-19,115.0,118.0,115.0,117.0,117.0,95175
1999-10-20,117.0,120.0,116.0,119.0,119.0,125875
1999-10-21,117.5,117.5,112.0,115.0,115.0,84963
1999-10-22,116.0,118.5,115.5,117.5,117.5,47675
1999-10-25,116.5,117.5,115.0,115.5,115.5,30425
1999-10-26,115.0,115.0,107.0,108.0,108.0,176588
1999-10-27,109.0,113.5,109.0,111.0,111.0,74863
1999-10-28,111.0,119.0,111.0,118.5,118.5,93713
1999-10-29,119.0,124.5,118.5,123.5,123.5,132013
1999-11-01,123.5,129.0,123.5,126.0,126.0,124575
1999-11-02,124.0,125.0,123.0,124.0,124.0,69450
1999-11-03,123.5,124.0,119.0,120.0,120.0,110050
1999-11-04,120.5,121.0,116.0,119.0,119.0,76638
1999-11-05,116.0,119.5,113.0,113.0,113.0,109825
1999-11-08,112.0,121.0,111.5,120.0,120.0,81813
1999-11-09,120.0,125.0,120.0,124.0,124.0,120325
1999-11-10,127.0,132.0,123.5,124.0,124.0,128100
1999-11-11,122.0,123.0,120.5,122.0,122.0,93738
1999-11-12,122.0,127.5,122.0,127.0,127.0,56888
1999-11-15,127.0,131.0,126.5,130.0,130.0,104638
1999-11-16,130.5,143.0,130.0,140.5,140.5,191200
1999-11-17,139.0,151.0,139.0,148.5,148.5,187038
1999-11-18,148.5,151.5,139.0,142.5,142.5,148338
1999-11-19,143.0,147.5,142.5,146.0,146.0,133638
1999-11-22,148.0,151.5,145.0,147.0,147.0,127100
1999-11-23,146.0,146.5,140.0,141.0,141.0,68400
1999-11-24,139.0,142.0,136.5,139.5,139.5,37200
1999-11-26,139.0,141.0,136.5,138.5,138.5,28175
1999-11-29,138.0,138.0,134.5,136.5,136.5,71700
1999-11-30,135.0,136.5,125.5,126.0,126.0,75663
1999-12-01,129.5,132.0,127.5,129.5,129.5,73338
1999-12-02,126.5,133.0,126.5,130.0,130.0,55963
1999-12-03,128.0,132.5,127.5,131.0,131.0,83413
1999-12-06,131.0,132.0,127.5,129.0,129.0,70763
1999-12-07,129.0,130.0,122.0,125.5,125.5,63700
1999-12-08,125.0,131.0,124.5,126.0,126.0,83125
1999-12-09,126.5,127.0,117.0,117.0,117.0,97638
1999-12-10,117.0,126.0,117.0,118.0,118.0,121625
1999-12-13,118.0,120.5,116.5,119.5,119.5,107813
1999-12-14,117.5,118.5,110.0,111.5,111.5,127800
1999-12-15,112.0,112.5,108.0,110.5,110.5,218850
1999-12-16,110.5,113.5,110.0,113.0,113.0,124050
1999-12-17,113.0,114.0,111.0,112.0,112.0,102050
1999-12-20,113.0,113.5,107.5,108.0,108.0,174675
1999-12-21,109.0,112.0,108.0,112.0,112.0,130188
1999-12-22,112.0,113.5,110.5,112.0,112.0,136550
1999-12-23,112.5,119.5,112.5,114.5,114.5,157625
1999-12-27,116.5,119.0,114.0,115.5,115.5,90863
1999-12-28,114.5,116.5,112.0,113.5,113.5,104875
1999-12-29,113.5,116.5,111.5,112.5,112.5,70938
1999-12-30,112.0,118.5,112.0,118.0,118.0,93488
1999-12-31,118.0,121.0,116.0,121.0,121.0,62850
2000-01-03,120.5,126.0,120.5,125.5,125.5,107938
2000-01-04,118.0,123.5,117.5,123.5,123.5,81775
2000-01-05,121.5,123.0,116.0,118.0,118.0,148050
2000-01-06,117.5,118.0,105.0,107.5,107.5,227600
2000-01-07,107.5,110.0,104.0,105.5,105.5,169038
2000-01-10,106.0,108.0,96.0,96.0,96.0,96138
2000-01-11,84.5,89.0,64.0,70.0,70.0,1566013
2000-01-12,71.0,74.0,71.0,73.5,73.5,746913
2000-01-13,75.0,82.5,75.0,82.5,82.5,627125
2000-01-14,82.5,84.5,82.0,84.0,84.0,276800
2000-01-18,85.5,87.5,82.5,85.0,85.0,339613
2000-01-19,82.5,85.0,80.0,81.5,81.5,327000
2000-01-20,81.5,85.0,80.5,82.5,82.5,96663
2000-01-21,83.0,84.0,79.0,80.0,80.0,163338
2000-01-24,81.0,82.5,78.0,79.5,79.5,260838
2000-01-25,79.5,79.5,76.0,76.0,76.0,129038
2000-01-26,76.0,78.5,76.0,77.5,77.5,150163
2000-01-27,78.5,83.0,77.5,80.0,80.0,547138
2000-01-28,80.0,82.0,75.5,76.0,76.0,143050
2000-01-31,76.5,78.0,76.0,77.0,77.0,310288
2000-02-01,78.0,84.0,78.0,83.0,83.0,201200
2000-02-02,82.0,83.0,80.0,80.5,80.5,97513
2000-02-03,81.5,84.0,81.5,83.5,83.5,112425
2000-02-04,84.0,84.0,82.0,82.5,82.5,86050
2000-02-07,88.0,92.5,83.0,83.5,83.5,446313
2000-02-08,84.0,85.5,82.5,84.0,84.0,139200
2000-02-09,84.0,85.0,81.5,81.5,81.5,97363
2000-02-10,82.0,84.5,82.0,83.5,83.5,132025
2000-02-11,84.0,84.0,82.0,82.5,82.5,131275
2000-02-14,84.0,84.0,82.5,83.0,83.0,134688
2000-02-15,83.0,83.0,78.5,79.0,79.0,188788
2000-02-16,79.0,80.0,78.5,79.0,79.0,111813
2000-02-17,79.0,80.0,77.0,80.0,80.0,134213
2000-02-18,80.0,82.0,76.0,77.0,77.0,171175
2000-02-22,78.5,80.5,78.0,79.0,79.0,156925
2000-02-23,80.0,82.0,78.5,80.5,80.5,135600
2000-02-24,81.0,82.0,77.0,77.5,77.5,129913
2000-02-25,79.0,81.0,78.5,81.0,81.0,156650
2000-02-28,80.0,82.0,79.5,80.0,80.0,125638
2000-02-29,82.0,83.5,80.5,83.0,83.0,115863
2000-03-01,84.0,86.0,83.0,86.0,86.0,218525
2000-03-02,86.0,91.0,85.5,88.5,88.5,253425
2000-03-03,90.0,92.5,89.0,90.0,90.0,210225
2000-03-06,93.0,102.0,92.5,99.0,99.0,333525
2000-03-07,104.0,108.0,97.0,108.0,108.0,267100
2000-03-08,98.0,100.5,95.0,97.0,97.0,154738
2000-03-09,97.0,97.5,90.0,95.0,95.0,216888
2000-03-10,94.0,98.5,94.0,96.5,96.5,168913
2000-03-13,93.0,101.5,92.5,95.0,95.0,286963
2000-03-14,96.0,100.5,93.0,94.0,94.0,167725
2000-03-15,94.0,95.0,89.5,91.0,91.0,140838
2000-03-16,94.0,98.5,93.0,95.5,95.5,122838
2000-03-17,95.5,99.5,95.5,97.0,97.0,137875
2000-03-20,98.5,101.0,96.0,99.0,99.0,100900
2000-03-21,98.5,99.5,95.5,97.5,97.5,80875
2000-03-22,100.5,104.0,96.0,100.5,100.5,148225
2000-03-23,102.5,108.0,102.0,103.0,103.0,165900
2000-03-24,104.0,104.5,98.5,101.0,101.0,95425
2000-03-27,103.0,105.0,100.0,102.5,102.5,70250
2000-03-28,101.0,103.5,97.5,99.0,99.0,75500
2000-03-29,99.5,100.0,91.0,96.0,96.0,131950
2000-03-30,94.0,99.5,89.0,91.0,91.0,147400
2000-03-31,93.0,96.5,92.0,95.5,95.5,118313
2000-04-03,94.5,95.5,89.0,89.0,89.0,92125
2000-04-04,90.0,90.5,76.0,83.5,83.5,171363
2000-04-05,84.0,86.0,82.0,85.5,85.5,99250
2000-04-06,88.0,91.0,87.5,88.5,88.5,129113
2000-04-07,89.5,93.5,88.5,93.0,93.0,102913
2000-04-10,94.0,97.0,89.5,89.5,89.5,129125
2000-04-11,90.0,90.0,83.5,84.0,84.0,119463
2000-04-12,86.0,86.0,80.0,81.5,81.5,115313
2000-04-13,82.0,85.0,79.5,81.0,81.0,110938
2000-04-14,80.0,80.0,76.0,76.0,76.0,139313
2000-04-17,76.5,78.0,76.0,77.5,77.5,267100
2000-04-18,78.0,82.0,78.0,81.5,81.5,109538
2000-04-19,82.0,83.0,79.5,80.5,80.5,57663
2000-04-20,80.0,81.0,77.5,78.0,78.0,35575
2000-04-24,78.5,81.5,76.0,81.0,81.0,91325
2000-04-25,83.0,90.5,82.0,90.0,90.0,121850
2000-04-26,92.0,94.5,87.0,94.0,94.0,200900
2000-04-27,90.0,94.5,89.5,94.5,94.5,120200
2000-04-28,94.5,95.5,92.5,93.0,93.0,99263
2000-05-01,92.0,95.0,88.5,94.0,94.0,143088
2000-05-02,94.5,96.5,93.0,95.5,95.5,104938
2000-05-03,94.5,95.5,90.0,92.0,92.0,56788
2000-05-04,93.5,94.0,88.5,89.0,89.0,92238
2000-05-05,90.0,93.0,87.5,88.0,88.0,84738
2000-05-08,87.0,91.5,87.0,90.5,90.5,75313
2000-05-09,89.5,92.0,89.0,92.0,92.0,100238
2000-05-10,90.0,90.5,85.0,85.0,85.0,63450
2000-05-11,86.5,88.0,84.0,87.5,87.5,44650
2000-05-12,87.0,92.0,87.0,89.5,89.5,43050
2000-05-15,89.5,91.0,86.5,87.0,87.0,82638
2000-05-16,90.5,93.5,90.5,92.0,92.0,65800
2000-05-17,93.0,95.0,91.0,94.5,94.5,59663
2000-05-18,93.5,94.0,92.0,93.0,93.0,47388
2000-05-19,92.0,92.5,86.5,88.0,88.0,74913
2000-05-22,87.0,88.0,82.0,84.0,84.0,55413
2000-05-23,84.5,86.0,81.5,82.5,82.5,74900
2000-05-24,81.5,81.5,77.0,81.0,81.0,87625
2000-05-25,82.5,83.5,76.5,77.0,77.0,70225
2000-05-26,77.0,79.0,76.0,78.0,78.0,39038
2000-05-30,78.0,86.0,78.0,86.0,86.0,56438
2000-05-31,84.5,84.5,81.0,82.5,82.5,32288
2000-06-01,82.5,88.0,82.5,87.5,87.5,71350
2000-06-02,88.5,92.0,87.0,88.5,88.5,46075
2000-06-05,88.0,90.5,86.5,89.0,89.0,46200
2000-06-06,89.0,90.5,86.0,87.5,87.5,49550
2000-06-07,85.0,87.0,83.5,85.0,85.0,48875
2000-06-08,86.0,87.5,84.5,85.0,85.0,32150
2000-06-09,87.0,87.5,79.5,80.0,80.0,80050
2000-06-12,81.0,83.5,80.5,81.5,81.5,46838
2000-06-13,80.5,81.0,78.0,79.5,79.5,49788
2000-06-14,79.5,81.5,76.0,77.5,77.5,65550
2000-06-15,76.5,77.0,74.0,76.5,76.5,138025
2000-06-16,76.0,79.5,76.0,79.5,79.5,91313
2000-06-19,78.5,79.5,77.0,77.5,77.5,52050
2000-06-20,78.0,79.5,77.0,79.0,79.0,86975
2000-06-21,79.0,79.0,76.0,76.5,76.5,40625
2000-06-22,76.0,78.5,73.0,78.0,78.0,184675
2000-06-23,78.5,79.5,75.0,75.5,75.5,58638
2000-06-26,75.5,77.0,75.0,77.0,77.0,48413
2000-06-27,77.5,77.5,76.0,76.0,76.0,84300
2000-06-28,76.5,78.0,76.0,76.0,76.0,77988
2000-06-29,76.0,76.5,75.0,76.0,76.0,76913
2000-06-30,76.5,78.5,76.0,77.5,77.5,53013
2000-07-03,78.5,78.5,76.5,77.5,77.5,11550
2000-07-05,76.5,78.5,75.0,77.0,77.0,53700
2000-07-06,76.0,77.0,74.5,75.5,75.5,43288
2000-07-07,76.0,82.5,75.5,80.5,80.5,124188
2000-07-10,80.5,83.0,80.0,81.5,81.5,46725
2000-07-11,80.5,81.5,76.5,78.0,78.0,36800
2000-07-12,78.0,83.0,77.0,82.5,82.5,68563
2000-07-13,82.5,83.5,80.0,81.0,81.0,34975
2000-07-14,79.0,82.0,79.0,81.5,81.5,33275
2000-07-17,80.5,84.5,80.5,83.0,83.0,76575
2000-07-18,82.5,83.0,79.0,79.0,79.0,107300
2000-07-19,80.0,82.5,79.0,81.5,81.5,46575
2000-07-20,82.0,86.5,82.0,85.0,85.0,79675
2000-07-21,85.5,87.0,83.5,84.0,84.0,66213
2000-07-24,84.5,88.5,84.0,87.5,87.5,85688
2000-07-25,89.0,90.5,84.5,90.0,90.0,125088
2000-07-26,90.0,96.0,85.5,95.5,95.5,201850
2000-07-27,93.5,99.0,88.0,94.0,94.0,260613
2000-07-28,93.0,94.5,89.0,89.0,89.0,70913
2000-07-31,88.0,94.0,87.0,94.0,94.0,82963
2000-08-01,93.0,95.5,92.0,95.5,95.5,62175
2000-08-02,94.5,97.0,92.0,92.5,92.5,114813
2000-08-03,94.5,94.5,90.0,93.5,93.5,54725
2000-08-04,93.0,94.5,92.0,93.5,93.5,51288
2000-08-07,93.5,97.0,93.5,95.5,95.5,49888
2000-08-08,94.5,96.0,93.5,95.5,95.5,41275
2000-08-09,95.5,98.5,95.0,97.5,97.5,84663
2000-08-10,97.0,100.5,97.0,97.5,97.5,74813
2000-08-11,100.0,100.0,96.0,97.0,97.0,49588
2000-08-14,96.5,100.0,96.5,100.0,100.0,52825
2000-08-15,99.0,101.0,97.5,98.0,98.0,50950
2000-08-16,98.0,100.5,97.0,98.0,98.0,65700
2000-08-17,97.5,101.0,97.5,100.0,100.0,39750
2000-08-18,102.0,103.0,99.5,102.5,102.5,57750
2000-08-21,102.5,104.0,99.5,102.0,102.0,50363
2000-08-22,101.0,104.0,101.0,103.0,103.0,53963
2000-08-23,102.0,107.0,101.5,105.5,105.5,93900
2000-08-24,105.0,111.0,104.5,108.0,108.0,193438
2000-08-25,108.0,109.0,105.0,106.0,106.0,156225
2000-08-28,105.0,108.0,104.5,106.0,106.0,85900
2000-08-29,106.5,106.5,104.5,105.0,105.0,51463
2000-08-30,104.5,106.5,104.5,105.5,105.5,48750
2000-08-31,105.0,109.5,105.0,108.5,108.5,124213
2000-09-01,109.0,109.5,107.0,108.5,108.5,79575
2000-09-05,108.0,111.0,106.5,109.0,109.0,200638
2000-09-06,109.0,114.5,107.5,113.5,113.5,130138
2000-09-07,113.5,127.0,113.0,123.5,123.5,166588
2000-09-08,121.5,122.0,116.5,119.0,119.0,66075
2000-09-11,118.5,118.5,113.5,115.0,115.0,71600
2000-09-12,116.0,120.0,114.0,114.0,114.0,64613
2000-09-13,114.0,117.0,111.0,111.0,111.0,85863
2000-09-14,111.5,113.5,105.0,105.0,105.0,84538
2000-09-15,105.0,108.0,103.0,108.0,108.0,121788
2000-09-18,108.0,110.5,102.0,108.5,108.5,62938
2000-09-19,104.5,105.5,103.0,104.0,104.0,45925
2000-09-20,111.0,120.0,110.5,118.0,118.0,252150
2000-09-21,118.0,118.0,113.5,113.5,113.5,75738
2000-09-22,113.0,116.0,111.0,111.5,111.5,62463
2000-09-25,112.0,116.0,111.5,114.5,114.5,54863
2000-09-26,115.0,120.5,114.0,119.5,119.5,157075
2000-09-27,120.0,129.0,120.0,124.5,124.5,195138
2000-09-28,122.5,123.5,119.5,123.5,123.5,125663
2000-09-29,122.5,126.0,120.0,120.5,120.5,107013
2000-10-02,119.0,120.0,112.0,115.0,115.0,79813
2000-10-03,115.0,118.5,114.5,114.5,114.5,36738
2000-10-04,116.0,117.5,111.5,114.0,114.0,60350
2000-10-05,112.5,113.5,110.5,112.5,112.5,137075
2000-10-06,114.0,122.0,114.0,120.5,120.5,163850
2000-10-09,119.0,121.5,118.0,118.0,118.0,92538
2000-10-10,117.0,118.0,113.0,114.5,114.5,53900
2000-10-11,112.0,113.0,110.5,112.0,112.0,80488
2000-10-12,112.0,113.0,107.0,107.5,107.5,55863
2000-10-13,107.5,113.0,107.5,113.0,113.0,79038
2000-10-16,113.5,119.5,113.0,119.5,119.5,51338
2000-10-17,117.5,118.0,112.0,112.0,112.0,45463
2000-10-18,110.0,118.0,109.0,116.0,116.0,75038
2000-10-19,115.5,118.0,113.5,116.5,116.5,105175
2000-10-20,114.5,120.0,113.5,119.5,119.5,80413
2000-10-23,118.5,119.5,117.0,117.5,117.5,45550
2000-10-24,120.0,128.0,119.5,126.5,126.5,145350
2000-10-25,123.5,123.5,114.0,119.0,119.0,171525
2000-10-26,119.0,122.0,115.5,121.0,121.0,113963
2000-10-27,122.0,124.0,116.0,116.0,116.0,58513
2000-10-30,115.0,117.0,114.0,114.5,114.5,25763
2000-10-31,113.5,125.5,113.5,120.0,120.0,88375
2000-11-01,117.0,119.0,114.0,116.0,116.0,83938
2000-11-02,117.0,125.0,117.0,121.5,121.5,46675
2000-11-03,120.0,122.5,119.5,121.5,121.5,53675
2000-11-06,121.5,122.0,118.0,119.5,119.5,22700
