Date,Open,High,Low,Close,Adj Close,Volume
1991-02-01,0.0,5.5,5.125,5.125,5.125,17900
1991-02-04,0.0,5.875,5.5,5.5,5.5,68900
1991-02-05,0.0,5.875,5.625,5.625,5.625,34400
1991-02-06,0.0,5.875,5.625,5.625,5.625,47500
1991-02-07,0.0,6.125,5.875,5.875,5.875,116400
1991-02-08,0.0,6.625,6.25,6.25,6.25,85700
1991-02-11,0.0,6.5,6.125,6.125,6.125,68700
1991-02-12,0.0,6.5,6.125,6.125,6.125,32200
1991-02-13,0.0,6.625,6.25,6.25,6.25,36600
1991-02-14,0.0,6.25,6.0,6.0,6.0,103200
1991-02-15,0.0,6.0,5.625,5.625,5.625,46600
1991-02-19,0.0,6.0,5.625,5.625,5.625,14700
1991-02-20,0.0,6.0,5.625,5.625,5.625,27000
1991-02-21,0.0,5.5,5.25,5.25,5.25,57500
1991-02-22,0.0,5.375,5.125,5.125,5.125,53800
1991-02-25,0.0,5.375,5.125,5.125,5.125,41800
1991-02-26,0.0,5.375,5.125,5.125,5.125,44800
1991-02-27,0.0,5.625,5.25,5.25,5.25,25300
1991-02-28,0.0,6.125,5.75,5.75,5.75,34200
1991-03-01,0.0,6.125,6.0,6.0,6.0,103800
1991-03-04,0.0,6.125,6.0,6.0,6.0,35500
1991-03-05,0.0,6.25,5.875,6.25,6.25,232000
1991-03-06,0.0,6.25,5.25,5.625,5.625,64700
1991-03-07,0.0,5.625,5.25,5.5,5.5,67300
1991-03-08,0.0,5.75,5.375,5.5,5.5,60900
1991-03-11,0.0,5.75,5.5,5.625,5.625,63200
1991-03-12,0.0,6.0,5.5,6.0,6.0,45700
1991-03-13,0.0,6.25,5.625,6.125,6.125,59900
1991-03-14,0.0,7.125,6.0,7.125,7.125,363100
1991-03-15,0.0,7.5,6.5,6.625,6.625,281800
1991-03-18,0.0,6.625,6.375,6.625,6.625,46300
1991-03-19,0.0,6.5,6.125,6.125,6.125,25000
1991-03-20,0.0,6.75,6.125,6.5,6.5,125800
1991-03-21,0.0,6.5,5.75,6.125,6.125,63900
1991-03-22,0.0,6.125,5.75,5.875,5.875,24100
1991-03-25,0.0,6.125,5.75,5.75,5.75,17500
1991-03-26,0.0,6.0,5.75,5.75,5.75,13700
1991-03-27,0.0,6.0,5.75,5.75,5.75,6300
1991-03-28,0.0,6.0,5.75,6.0,6.0,4000
1991-04-01,0.0,6.0,5.75,5.75,5.75,15600
1991-04-02,0.0,6.0,5.5,5.75,5.75,31500
1991-04-03,0.0,5.875,5.5,5.75,5.75,124700
1991-04-04,0.0,7.0,5.75,6.5,6.5,418800
1991-04-05,0.0,6.875,6.25,6.375,6.375,152100
1991-04-08,0.0,6.5,6.25,6.5,6.5,56000
1991-04-09,0.0,6.5,6.125,6.25,6.25,98700
1991-04-10,0.0,6.5,5.875,6.25,6.25,71900
1991-04-11,0.0,6.25,6.0,6.25,6.25,20100
1991-04-12,0.0,6.25,5.75,5.75,5.75,42300
1991-04-15,0.0,6.25,5.75,6.125,6.125,133200
1991-04-16,0.0,6.25,5.875,6.125,6.125,14200
1991-04-17,0.0,6.125,5.875,6.125,6.125,19800
1991-04-18,0.0,6.25,6.0,6.25,6.25,130300
1991-04-19,0.0,6.25,5.75,5.75,5.75,77600
1991-04-22,0.0,6.0,5.625,5.75,5.75,16000
1991-04-23,0.0,6.0,5.625,5.75,5.75,17500
1991-04-24,0.0,5.875,5.625,5.875,5.875,62900
1991-04-25,0.0,5.875,5.5,5.75,5.75,36600
1991-04-26,0.0,5.875,5.5,5.75,5.75,17300
1991-04-29,0.0,5.75,5.5,5.5,5.5,12800
1991-04-30,0.0,5.5,5.25,5.25,5.25,12000
1991-05-01,0.0,5.75,5.25,5.5,5.5,8300
1991-05-02,0.0,5.75,5.25,5.625,5.625,117300
1991-05-03,0.0,5.5,5.0,5.5,5.5,206700
1991-05-06,0.0,5.5,5.25,5.5,5.5,18700
1991-05-07,0.0,5.5,5.125,5.125,5.125,152700
1991-05-08,0.0,5.375,5.125,5.375,5.375,40300
1991-05-09,0.0,5.375,5.125,5.25,5.25,63700
1991-05-10,0.0,5.375,5.125,5.25,5.25,88600
1991-05-13,0.0,5.375,5.25,5.375,5.375,50700
1991-05-14,0.0,5.375,5.125,5.125,5.125,19100
1991-05-15,0.0,5.25,4.875,5.0,5.0,70000
1991-05-16,0.0,5.125,4.75,4.875,4.875,36200
1991-05-17,0.0,5.0,4.625,5.0,5.0,20300
1991-05-20,0.0,5.0,4.625,4.875,4.875,36600
1991-05-21,0.0,4.875,4.625,4.75,4.75,49900
1991-05-22,0.0,4.875,4.625,4.625,4.625,22500
1991-05-23,0.0,5.0,4.75,4.875,4.875,43300
1991-05-24,0.0,5.125,4.75,5.0,5.0,15100
1991-05-28,0.0,5.125,4.875,5.0,5.0,107000
1991-05-29,0.0,5.0,4.875,4.875,4.875,43300
1991-05-30,0.0,5.0,4.875,4.875,4.875,180000
1991-05-31,0.0,5.5,5.0,5.5,5.5,399300
1991-06-03,0.0,5.5,5.125,5.25,5.25,120400
1991-06-04,0.0,5.375,5.125,5.25,5.25,70100
1991-06-05,0.0,5.375,5.125,5.25,5.25,50400
1991-06-06,0.0,5.375,5.125,5.25,5.25,98800
1991-06-07,0.0,5.375,5.125,5.125,5.125,13500
1991-06-10,0.0,5.375,5.125,5.125,5.125,34500
1991-06-11,0.0,5.25,4.75,5.125,5.125,82000
1991-06-12,0.0,5.125,4.75,5.0,5.0,55800
1991-06-13,0.0,5.125,4.625,4.875,4.875,55400
1991-06-14,0.0,4.875,4.625,4.75,4.75,64900
1991-06-17,0.0,4.875,4.75,4.75,4.75,38900
1991-06-18,0.0,4.875,4.625,4.75,4.75,117600
1991-06-19,0.0,4.875,4.625,4.75,4.75,43500
1991-06-20,0.0,4.875,4.625,4.625,4.625,10400
1991-06-21,0.0,4.875,4.625,4.625,4.625,23600
1991-06-24,0.0,4.625,4.375,4.5,4.5,50700
1991-06-25,0.0,4.5,3.875,3.875,3.875,72600
1991-06-26,0.0,4.125,3.875,3.875,3.875,43900
1991-06-27,0.0,4.125,3.875,4.125,4.125,33200
1991-06-28,0.0,4.125,3.875,3.875,3.875,32100
1991-07-01,0.0,4.0,3.125,3.25,3.25,106700
1991-07-02,0.0,3.5,3.25,3.5,3.5,32300
1991-07-03,0.0,3.5,3.25,3.25,3.25,50500
1991-07-05,0.0,3.5,3.25,3.375,3.375,39000
1991-07-08,0.0,3.5,3.25,3.25,3.25,89500
1991-07-09,0.0,3.5,3.25,3.375,3.375,72800
1991-07-10,0.0,3.625,3.25,3.375,3.375,44400
1991-07-11,0.0,4.25,3.375,4.25,4.25,69900
1991-07-12,0.0,5.0,4.125,4.625,4.625,175700
1991-07-15,0.0,4.875,4.375,4.375,4.375,118000
1991-07-16,0.0,4.625,4.25,4.25,4.25,98500
1991-07-17,0.0,4.375,4.125,4.125,4.125,15700
1991-07-18,0.0,4.375,4.125,4.125,4.125,41500
1991-07-19,0.0,4.25,4.125,4.125,4.125,20200
1991-07-22,0.0,4.25,4.0,4.0,4.0,30100
1991-07-23,0.0,4.125,3.625,4.0,4.0,13700
1991-07-24,0.0,4.0,3.625,3.875,3.875,3700
1991-07-25,0.0,4.0,3.625,3.625,3.625,13600
1991-07-26,0.0,4.125,3.75,4.125,4.125,37000
1991-07-29,0.0,4.125,3.875,4.0,4.0,38100
1991-07-30,0.0,4.125,3.875,3.875,3.875,7200
1991-07-31,0.0,4.125,3.875,4.125,4.125,21600
1991-08-01,0.0,4.125,3.875,4.0625,4.0625,65000
1991-08-02,0.0,4.125,3.875,3.875,3.875,22200
1991-08-05,0.0,4.125,3.875,4.0,4.0,4500
1991-08-06,0.0,4.0,3.875,3.875,3.875,20100
1991-08-07,0.0,4.0,3.875,4.0,4.0,4800
1991-08-08,0.0,4.0,3.75,3.75,3.75,36500
1991-08-09,0.0,4.0,3.625,3.8125,3.8125,98600
1991-08-12,0.0,3.875,3.875,3.875,3.875,600
1991-08-13,0.0,3.875,3.75,3.875,3.875,12600
1991-08-14,0.0,3.875,3.625,3.625,3.625,14700
1991-08-15,0.0,3.75,3.5,3.75,3.75,46000
1991-08-16,0.0,3.75,3.375,3.75,3.75,44700
1991-08-19,0.0,3.625,3.25,3.25,3.25,50800
1991-08-20,0.0,3.875,3.25,3.875,3.875,100800
1991-08-21,0.0,4.125,3.75,4.125,4.125,20400
1991-08-22,0.0,4.125,3.75,4.0,4.0,31400
1991-08-23,0.0,4.125,3.75,4.0,4.0,11700
1991-08-26,0.0,4.125,3.75,4.0,4.0,12000
1991-08-27,0.0,4.125,3.75,4.125,4.125,1700
1991-08-28,0.0,4.0,3.75,4.0,4.0,24000
1991-08-29,0.0,4.0,3.75,3.875,3.875,21500
1991-08-30,0.0,4.125,3.75,3.75,3.75,7800
1991-09-03,0.0,3.75,3.75,3.75,3.75,500
1991-09-04,0.0,4.0,3.75,4.0,4.0,15800
1991-09-05,0.0,4.0,3.75,4.0,4.0,1100
1991-09-06,0.0,4.0,3.75,3.75,3.75,4600
1991-09-09,0.0,4.125,3.875,4.0625,4.0625,29300
1991-09-10,0.0,4.125,3.8125,3.875,3.875,78200
1991-09-11,0.0,4.5,3.875,4.375,4.375,179400
1991-09-12,0.0,4.75,4.375,4.75,4.75,121700
1991-09-13,0.0,4.75,4.5,4.75,4.75,136600
1991-09-16,0.0,5.0,4.5,4.625,4.625,173400
1991-09-17,0.0,5.125,4.75,5.0,5.0,92100
1991-09-18,0.0,5.375,5.0,5.1875,5.1875,92200
1991-09-19,0.0,5.625,5.25,5.5,5.5,138200
1991-09-20,0.0,5.625,5.375,5.5,5.5,93500
1991-09-23,0.0,5.5,4.875,5.0,5.0,132600
1991-09-24,0.0,5.125,4.875,5.125,5.125,40100
1991-09-25,0.0,5.25,5.0,5.0,5.0,219700
1991-09-26,0.0,5.25,5.0,5.0,5.0,81600
1991-09-27,0.0,5.125,4.75,4.75,4.75,31400
1991-09-30,0.0,5.125,4.75,5.125,5.125,23900
1991-10-01,0.0,5.125,4.875,5.0,5.0,87000
1991-10-02,0.0,5.125,4.875,5.0,5.0,23200
1991-10-03,0.0,5.125,4.875,5.0,5.0,12900
1991-10-04,0.0,5.125,4.875,5.0,5.0,47300
1991-10-07,0.0,5.625,5.0,5.5,5.5,38600
1991-10-08,0.0,5.625,5.25,5.375,5.375,48300
1991-10-09,0.0,5.625,5.25,5.25,5.25,94100
1991-10-10,0.0,5.625,5.25,5.5,5.5,7100
1991-10-11,0.0,5.5,5.25,5.375,5.375,28200
1991-10-14,0.0,5.625,5.25,5.625,5.625,59700
1991-10-15,0.0,5.625,5.375,5.375,5.375,64900
1991-10-16,0.0,5.625,5.375,5.375,5.375,23700
1991-10-17,0.0,5.375,5.125,5.375,5.375,12800
1991-10-18,0.0,5.375,5.125,5.125,5.125,43000
1991-10-21,0.0,5.5,5.125,5.25,5.25,17000
1991-10-22,0.0,5.5,5.25,5.25,5.25,39600
1991-10-23,0.0,5.5,5.25,5.5,5.5,67000
1991-10-24,0.0,5.875,5.375,5.375,5.375,144400
1991-10-25,0.0,5.625,5.125,5.375,5.375,18100
1991-10-28,0.0,5.375,5.125,5.125,5.125,24200
1991-10-29,0.0,5.375,5.125,5.25,5.25,4600
1991-10-30,0.0,5.5,5.25,5.25,5.25,13200
1991-10-31,0.0,5.5,5.25,5.25,5.25,118500
1991-11-01,0.0,5.5,5.0,5.0,5.0,61600
1991-11-04,0.0,5.25,5.0,5.0,5.0,27400
1991-11-05,0.0,5.25,4.875,5.0,5.0,152300
1991-11-06,0.0,5.125,4.75,4.75,4.75,35800
1991-11-07,0.0,5.0,4.75,4.75,4.75,26500
1991-11-08,0.0,5.0,4.75,4.75,4.75,39600
1991-11-11,4.75,5.0,4.75,5.0,5.0,32200
1991-11-12,4.875,5.0,4.75,4.875,4.875,198200
1991-11-13,5.0,5.0,4.75,5.0,5.0,42400
1991-11-14,5.0,5.125,4.875,5.0,5.0,31900
1991-11-15,5.0,5.0,4.625,4.625,4.625,31000
1991-11-18,4.625,4.75,4.625,4.625,4.625,28800
1991-11-19,4.625,4.875,4.5,4.75,4.75,55000
1991-11-20,4.75,5.125,4.625,5.0,5.0,47900
1991-11-21,5.125,5.125,5.0,5.0,5.0,40600
1991-11-22,4.875,5.125,4.875,5.0,5.0,12000
1991-11-25,4.875,5.125,4.875,5.125,5.125,3800
1991-11-26,4.9375,5.125,4.5,4.625,4.625,29600
1991-11-27,4.625,4.875,4.5,4.6875,4.6875,29300
1991-11-29,4.625,4.75,4.5,4.6875,4.6875,26300
1991-12-02,4.5,4.75,4.5,4.625,4.625,2400
1991-12-03,4.75,4.75,4.375,4.625,4.625,25000
1991-12-04,4.5,4.5,4.25,4.5,4.5,10800
1991-12-05,4.5,5.25,4.25,5.125,5.125,200700
1991-12-06,5.125,5.125,4.875,5.125,5.125,112600
1991-12-09,5.0,5.25,5.0,5.0,5.0,59900
1991-12-10,5.0,5.25,5.0,5.125,5.125,33400
1991-12-11,5.125,5.25,4.875,4.875,4.875,26400
1991-12-12,4.875,5.125,4.75,4.875,4.875,15200
1991-12-13,5.0,5.0,4.875,5.0,5.0,18000
1991-12-16,4.875,5.0,4.5,4.75,4.75,49400
1991-12-17,4.5,4.625,4.375,4.375,4.375,15700
1991-12-18,4.5,4.75,4.375,4.5,4.5,8500
1991-12-19,4.75,4.75,4.0,4.0,4.0,48300
1991-12-20,4.375,4.375,3.75,3.875,3.875,99900
1991-12-23,3.875,4.125,3.875,4.0,4.0,99000
1991-12-24,4.25,4.25,4.0,4.25,4.25,14900
1991-12-26,4.0,4.25,4.0,4.25,4.25,9700
1991-12-27,4.0,4.25,4.0,4.25,4.25,19200
1991-12-30,4.25,4.25,4.0,4.0,4.0,29300
1991-12-31,4.0,4.25,4.0,4.0,4.0,17900
1992-01-02,4.0,4.25,4.0,4.25,4.25,31300
1992-01-03,4.0,4.25,4.0,4.125,4.125,51100
1992-01-06,4.25,4.375,4.125,4.125,4.125,86200
1992-01-07,4.375,4.375,4.125,4.125,4.125,42000
1992-01-08,4.375,4.375,4.125,4.125,4.125,27900
1992-01-09,4.125,5.375,4.125,5.25,5.25,386200
1992-01-10,5.5,5.875,5.125,5.75,5.75,293000
1992-01-13,5.75,5.75,5.25,5.5,5.5,56600
1992-01-14,5.25,5.375,4.75,5.25,5.25,94400
1992-01-15,5.0,5.25,4.75,4.875,4.875,105400
1992-01-16,4.75,4.875,4.375,4.5,4.5,135300
1992-01-17,4.5,4.5,4.25,4.375,4.375,142700
1992-01-20,4.5,4.875,4.25,4.875,4.875,136900
1992-01-21,4.875,5.375,4.75,4.75,4.75,370800
1992-01-22,5.0,5.375,4.75,5.375,5.375,139800
1992-01-23,5.375,5.375,4.875,5.125,5.125,209900
1992-01-24,5.25,5.25,5.0,5.25,5.25,186700
1992-01-27,5.375,5.375,5.125,5.25,5.25,185200
1992-01-28,5.25,5.375,5.0,5.125,5.125,76700
1992-01-29,5.0,5.25,4.875,5.125,5.125,13400
1992-01-30,4.875,5.125,4.625,4.75,4.75,71800
1992-01-31,4.625,5.0,4.5,5.0,5.0,39200
1992-02-03,5.0,5.0,4.5,4.75,4.75,23300
1992-02-04,5.0,5.0,4.75,4.75,4.75,15900
1992-02-05,4.75,5.0,4.75,5.0,5.0,25500
1992-02-06,4.75,5.0,4.75,4.875,4.875,164900
1992-02-07,4.875,5.25,4.875,4.875,4.875,98000
1992-02-10,5.125,5.125,4.875,5.125,5.125,39600
1992-02-11,4.875,5.125,4.875,4.875,4.875,18600
1992-02-12,4.875,5.125,4.875,4.875,4.875,13600
1992-02-13,5.125,5.125,4.75,4.75,4.75,17100
1992-02-14,4.875,5.0,4.625,4.625,4.625,39700
1992-02-18,4.875,4.875,4.625,4.75,4.75,25600
1992-02-19,4.75,4.875,4.5,4.5,4.5,37100
1992-02-20,4.5,4.75,4.5,4.75,4.75,27200
1992-02-21,4.625,4.75,4.625,4.625,4.625,17400
1992-02-24,4.625,4.75,4.5,4.75,4.75,10800
1992-02-25,4.625,4.75,4.375,4.5,4.5,64100
1992-02-26,4.25,4.625,4.25,4.375,4.375,23600
1992-02-27,4.375,4.625,4.375,4.375,4.375,45200
1992-02-28,4.625,4.625,4.25,4.5,4.5,37700
1992-03-02,4.375,4.5,4.25,4.25,4.25,39900
1992-03-03,4.25,4.375,4.125,4.25,4.25,41300
1992-03-04,4.375,4.375,4.125,4.125,4.125,120400
1992-03-05,4.125,4.375,4.125,4.3125,4.3125,63900
1992-03-06,4.375,4.875,4.3125,4.875,4.875,94200
1992-03-09,4.625,4.875,4.5,4.75,4.75,18200
1992-03-10,4.75,4.75,4.5,4.625,4.625,52200
1992-03-11,4.75,4.875,4.625,4.625,4.625,64500
1992-03-12,4.875,4.875,4.625,4.875,4.875,24500
1992-03-13,4.75,4.875,4.625,4.625,4.625,51400
1992-03-16,4.875,4.875,4.5,4.75,4.75,4000
1992-03-17,4.75,5.0,4.625,4.75,4.75,84300
1992-03-18,4.75,5.0,4.5,4.75,4.75,88700
1992-03-19,5.0,5.125,4.75,5.0,5.0,207300
1992-03-20,5.125,5.25,4.875,5.25,5.25,162000
1992-03-23,8.0,8.0,5.375,7.125,7.125,2499400
1992-03-24,7.1875,7.25,6.5,6.75,6.75,1306500
1992-03-25,6.6875,6.75,6.25,6.4375,6.4375,419200
1992-03-26,6.5625,6.625,6.25,6.5,6.5,142000
1992-03-27,6.5,6.5,6.125,6.25,6.25,208700
1992-03-30,6.375,6.75,6.125,6.625,6.625,153400
1992-03-31,6.5,6.625,6.375,6.625,6.625,192500
1992-04-01,6.375,6.5,6.0,6.1875,6.1875,147900
1992-04-02,6.25,6.25,5.875,5.875,5.875,122300
1992-04-03,6.0,6.0,5.375,5.625,5.625,249600
1992-04-06,5.75,6.0,5.5,5.75,5.75,50600
1992-04-07,6.0,6.0,5.625,5.625,5.625,44100
1992-04-08,5.75,5.75,5.375,5.75,5.75,48400
1992-04-09,5.75,6.0,5.5,5.875,5.875,55800
1992-04-10,6.125,6.125,5.75,6.0,6.0,46300
1992-04-13,5.75,6.0,5.75,5.75,5.75,70600
1992-04-14,6.0,6.125,5.75,6.125,6.125,50800
1992-04-15,6.125,6.125,5.625,5.875,5.875,39800
1992-04-16,5.625,6.0,5.5,5.5,5.5,85500
1992-04-20,5.5,5.875,5.375,5.5,5.5,43100
1992-04-21,5.75,5.75,5.375,5.375,5.375,71900
1992-04-22,5.375,5.625,5.25,5.25,5.25,36800
1992-04-23,5.5,5.5,5.125,5.375,5.375,77900
1992-04-24,5.125,5.875,5.0,5.75,5.75,92100
1992-04-27,5.5,5.875,5.375,5.375,5.375,25700
1992-04-28,5.375,5.625,5.25,5.25,5.25,50300
1992-04-29,5.25,5.5,5.125,5.375,5.375,35200
1992-04-30,5.375,5.5,5.125,5.5,5.5,23500
1992-05-01,5.5,5.5,5.25,5.375,5.375,21000
1992-05-04,5.5,5.5,5.25,5.5,5.5,9700
1992-05-05,5.5,5.875,5.25,5.75,5.75,94500
1992-05-06,5.875,5.875,5.375,5.625,5.625,24200
1992-05-07,5.375,5.75,5.375,5.5625,5.5625,31000
1992-05-08,5.625,5.875,5.5,5.875,5.875,47000
1992-05-11,5.625,5.875,5.625,5.625,5.625,27300
1992-05-12,5.875,5.875,5.125,5.25,5.25,86300
1992-05-13,5.25,5.5,5.25,5.25,5.25,41800
1992-05-14,5.125,5.25,5.0,5.125,5.125,36200
1992-05-15,5.125,5.25,4.875,5.0,5.0,120400
1992-05-18,5.0,5.125,4.875,5.125,5.125,60900
1992-05-19,4.875,5.125,4.625,5.125,5.125,264800
1992-05-20,4.875,5.125,4.75,4.75,4.75,43900
1992-05-21,5.0,5.0,4.75,4.75,4.75,50200
1992-05-22,4.75,5.0,4.75,4.75,4.75,24200
1992-05-26,4.75,4.75,4.5,4.75,4.75,41400
1992-05-27,4.625,4.75,4.5,4.5,4.5,17200
1992-05-28,4.75,4.75,4.125,4.25,4.25,79400
1992-05-29,4.5,4.625,4.25,4.375,4.375,34400
1992-06-01,4.625,4.625,4.375,4.625,4.625,27500
1992-06-02,4.625,4.75,4.5,4.75,4.75,33500
1992-06-03,4.5,4.75,4.5,4.625,4.625,12000
1992-06-04,4.5,4.625,4.5,4.625,4.625,3400
1992-06-05,4.5,4.625,4.5,4.625,4.625,33600
1992-06-08,4.5,4.625,4.5,4.5,4.5,13100
1992-06-09,4.625,4.625,4.375,4.375,4.375,53000
1992-06-10,4.375,4.5,4.375,4.375,4.375,12800
1992-06-11,4.375,4.5,4.375,4.375,4.375,28600
1992-06-12,4.5,4.625,4.375,4.375,4.375,42200
1992-06-15,4.625,4.625,4.375,4.375,4.375,17500
1992-06-16,4.375,4.5,4.25,4.25,4.25,42200
1992-06-17,4.375,4.625,4.375,4.5,4.5,97000
1992-06-18,4.375,4.625,4.25,4.5,4.5,24400
1992-06-19,4.5,4.5,4.25,4.25,4.25,33900
1992-06-22,4.5,4.5,4.25,4.5,4.5,57800
