Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,9.83,9.88,9.83,9.88,9.88,74000
2021-08-23,9.88,10.44,9.86,10.0,10.0,402000
2021-08-24,10.09,10.67,9.93,9.93,9.93,900
2021-08-25,9.91,9.91,9.9,9.9,9.9,2300
2021-08-26,9.9,9.9,9.9,9.9,9.9,0
2021-08-27,9.9,9.9,9.9,9.9,9.9,0
2021-08-30,9.9,9.9,9.9,9.9,9.9,0
2021-08-31,9.91,9.91,9.91,9.91,9.91,3900
2021-09-01,9.91,9.91,9.91,9.91,9.91,17800
2021-09-02,9.91,9.91,9.91,9.91,9.91,0
2021-09-03,9.95,9.95,9.95,9.95,9.95,25900
2021-09-07,9.91,9.965,9.91,9.965,9.965,300
2021-09-08,9.965,9.965,9.965,9.965,9.965,0
2021-09-09,9.965,9.965,9.965,9.965,9.965,0
2021-09-10,9.97,9.97,9.97,9.97,9.97,25100
2021-09-13,9.97,9.97,9.97,9.97,9.97,0
2021-09-14,9.96,9.96,9.76,9.93,9.93,29100
2021-09-15,9.93,9.93,9.93,9.93,9.93,0
2021-09-16,9.93,9.96,9.9,9.96,9.96,224800
2021-09-17,9.96,9.96,9.96,9.96,9.96,0
2021-09-20,9.97,9.97,9.97,9.97,9.97,600
2021-09-21,9.96,9.96,9.96,9.96,9.96,74000
2021-09-22,9.96,9.96,9.96,9.96,9.96,0
2021-09-23,9.98,9.98,9.98,9.98,9.98,2400
2021-09-24,9.98,9.98,9.98,9.98,9.98,0
2021-09-27,10.0,10.0,10.0,10.0,10.0,4100
2021-09-28,9.99,10.04,9.99,10.03,10.03,3700
2021-09-29,9.98,9.98,9.98,9.98,9.98,1800
2021-09-30,10.01,10.01,10.01,10.01,10.01,300
2021-10-01,9.99,10.03,9.99,10.03,10.03,3900
2021-10-04,10.08,10.08,10.08,10.08,10.08,500
2021-10-05,10.06,10.06,10.06,10.06,10.06,200
2021-10-06,10.0,10.0,10.0,10.0,10.0,200
2021-10-07,10.03,10.03,10.03,10.03,10.03,300
2021-10-08,10.03,10.03,10.03,10.03,10.03,350100
2021-10-11,10.03,10.03,10.03,10.03,10.03,0
2021-10-12,10.03,10.03,10.03,10.03,10.03,0
2021-10-13,10.03,10.03,10.03,10.03,10.03,0
2021-10-14,10.06,10.06,10.01,10.01,10.01,250000
2021-10-15,10.01,10.01,10.01,10.01,10.01,0
2021-10-18,10.01,10.01,10.01,10.01,10.01,0
2021-10-19,10.01,10.01,10.01,10.01,10.01,0
2021-10-20,10.01,10.01,10.01,10.01,10.01,0
2021-10-21,10.01,10.01,10.01,10.01,10.01,0
2021-10-22,10.01,10.01,10.01,10.01,10.01,0
2021-10-25,10.1,10.145,10.05,10.05,10.05,30600
2021-10-26,10.05,10.05,10.05,10.05,10.05,0
2021-10-27,10.08,10.08,10.08,10.08,10.08,100
2021-10-28,10.08,10.08,10.08,10.08,10.08,0
2021-10-29,10.04,10.06,10.01,10.01,10.01,2000
2021-11-01,10.01,10.01,10.01,10.01,10.01,0
2021-11-02,10.01,10.01,10.01,10.01,10.01,0
2021-11-03,10.01,10.01,10.01,10.01,10.01,0
2021-11-04,10.01,10.01,10.01,10.01,10.01,0
2021-11-05,10.01,10.01,10.01,10.01,10.01,0
2021-11-08,10.01,10.01,10.01,10.01,10.01,0
2021-11-09,10.01,10.01,10.01,10.01,10.01,0
2021-11-10,10.01,10.01,10.01,10.01,10.01,300
2021-11-11,10.01,10.01,10.01,10.01,10.01,0
2021-11-12,10.01,10.01,10.01,10.01,10.01,0
2021-11-15,10.01,10.01,10.01,10.01,10.01,0
2021-11-16,10.155,10.29,10.08,10.126,10.126,12400
2021-11-17,10.13,10.13,10.1,10.115,10.115,4700
2021-11-18,10.12,10.24,10.11,10.12,10.12,1600
2021-11-19,10.11,11.13,10.02,10.095,10.095,10000
2021-11-22,10.1,10.1,10.08,10.08,10.08,2400
2021-11-23,10.09,10.09,10.09,10.09,10.09,600
2021-11-24,10.05,10.07,10.05,10.05,10.05,3500
2021-11-26,10.05,10.05,10.05,10.05,10.05,0
2021-11-29,10.09,10.09,10.03,10.09,10.09,3700
2021-11-30,10.06,10.13,10.04,10.04,10.04,12300
2021-12-01,10.069,10.069,10.0,10.0,10.0,4200
2021-12-02,10.0,10.0,10.0,10.0,10.0,0
2021-12-03,10.0,10.0,10.0,10.0,10.0,0
2021-12-06,10.01,10.01,10.01,10.01,10.01,26000
2021-12-07,10.02,10.02,10.01,10.01,10.01,22100
2021-12-08,10.0,10.053,10.0,10.053,10.053,1500
2021-12-09,10.0,10.06,10.0,10.05,10.05,2500
2021-12-10,10.01,10.02,10.01,10.02,10.02,400
2021-12-13,10.0,10.0,10.0,10.0,10.0,1100
2021-12-14,10.05,10.09,10.05,10.07,10.07,2000
2021-12-15,10.07,10.07,10.07,10.07,10.07,100
2021-12-16,10.07,10.07,10.07,10.07,10.07,0
2021-12-17,10.02,10.02,10.02,10.02,10.02,400
2021-12-20,10.05,10.05,10.03,10.03,10.03,134700
2021-12-21,10.02,10.02,10.02,10.02,10.02,200
2021-12-22,10.02,10.02,10.02,10.02,10.02,700
2021-12-23,10.05,10.05,10.05,10.05,10.05,9600
2021-12-27,10.05,10.05,10.05,10.05,10.05,0
2021-12-28,10.05,10.05,10.05,10.05,10.05,0
2021-12-29,10.05,10.05,10.05,10.05,10.05,0
2021-12-30,10.05,10.05,10.05,10.05,10.05,0
2021-12-31,10.04,10.07,10.04,10.07,10.07,11300
2022-01-03,10.07,10.07,10.07,10.07,10.07,0
2022-01-04,10.02,10.02,10.02,10.02,10.02,1000
2022-01-05,10.05,10.05,10.05,10.05,10.05,66800
2022-01-06,10.06,10.06,10.04,10.04,10.04,1900
2022-01-07,10.04,10.04,10.04,10.04,10.04,0
2022-01-10,10.04,10.04,10.04,10.04,10.04,0
2022-01-11,10.06,10.06,10.04,10.04,10.04,2300
2022-01-12,10.06,10.07,10.06,10.07,10.07,31700
