Date,Open,High,Low,Close,Adj Close,Volume
2023-08-15,4.4,30.0,4.2,28.969999,28.969999,8145000
2023-08-16,20.0,21.9,4.18,4.47,4.47,11671400
2023-08-17,3.63,4.9,2.95,3.15,3.15,5599700
2023-08-18,3.15,3.27,2.5,2.51,2.51,2906200
2023-08-21,2.63,3.28,2.36,2.76,2.76,8158400
2023-08-22,2.6,2.69,2.25,2.35,2.35,1282700
2023-08-23,2.36,2.88,2.28,2.54,2.54,3009500
2023-08-24,2.78,2.78,2.28,2.47,2.47,952100
2023-08-25,2.47,3.06,2.429,2.76,2.76,2613700
2023-08-28,2.75,3.05,2.68,2.77,2.77,747000
2023-08-29,2.76,3.09,2.73,2.81,2.81,1002000
2023-08-30,2.94,2.94,2.27,2.35,2.35,1289200
2023-08-31,2.49,2.49,2.27,2.27,2.27,334500
2023-09-01,2.3,2.37,2.16,2.24,2.24,285900
2023-09-05,2.26,2.36,2.12,2.14,2.14,168700
2023-09-06,2.14,2.4,1.82,1.88,1.88,549500
2023-09-07,1.81,1.81,1.51,1.64,1.64,453600
2023-09-08,1.58,1.71,1.57,1.63,1.63,266200
2023-09-11,1.69,1.69,1.46,1.649,1.649,237000
2023-09-12,1.64,1.668,1.54,1.545,1.545,95200
2023-09-13,1.55,1.622,1.41,1.445,1.445,153000
2023-09-14,1.5,1.545,1.373,1.4,1.4,140300
2023-09-15,1.37,1.44,1.35,1.4,1.4,59500
2023-09-18,1.4,1.69,1.37,1.43,1.43,452600
2023-09-19,1.38,1.497,1.358,1.4,1.4,228400
2023-09-20,1.41,1.44,1.37,1.4,1.4,73400
2023-09-21,1.35,1.465,1.31,1.31,1.31,150100
2023-09-22,1.31,1.37,1.15,1.29,1.29,605500
2023-09-25,1.2,1.51,1.2,1.36,1.36,477800
2023-09-26,1.26,1.3,1.24,1.24,1.24,102800
2023-09-27,1.23,1.28,1.162,1.17,1.17,84100
2023-09-28,1.16,1.24,1.16,1.19,1.19,46500
2023-09-29,1.3,1.3,1.16,1.16,1.16,52800
2023-10-02,1.18,1.21,1.12,1.14,1.14,77300
2023-10-03,1.2,1.25,1.05,1.08,1.08,74100
2023-10-04,1.08,1.18,1.04,1.08,1.08,21800
2023-10-05,1.085,1.25,1.05,1.18,1.18,249800
2023-10-06,1.1,1.16,1.1,1.11,1.11,32300
2023-10-09,1.12,1.17,1.02,1.02,1.02,88600
2023-10-10,1.02,1.05,0.9,1.0,1.0,86400
2023-10-11,1.07,1.07,0.97,0.99,0.99,91100
2023-10-12,1.0,1.1,0.984,1.02,1.02,91700
2023-10-13,1.01,1.19,0.961,1.11,1.11,91000
2023-10-16,1.11,1.14,1.05,1.12,1.12,82400
2023-10-17,1.2,1.21,1.07,1.09,1.09,124800
2023-10-18,1.13,1.2,1.052,1.09,1.09,76000
2023-10-19,1.07,1.1,1.01,1.019,1.019,46300
2023-10-20,1.03,1.129,0.991,1.03,1.03,35500
2023-10-23,0.998,1.0,0.925,0.933,0.933,41400
2023-10-24,0.93,0.96,0.921,0.93,0.93,21000
2023-10-25,0.95,0.96,0.831,0.864,0.864,89400
2023-10-26,0.834,0.855,0.805,0.855,0.855,43200
2023-10-27,0.862,0.862,0.77,0.78,0.78,73500
2023-10-30,0.816,0.9,0.783,0.783,0.783,25600
2023-10-31,0.8,0.845,0.75,0.77,0.77,47600
2023-11-01,0.779,0.854,0.752,0.84,0.84,63800
2023-11-02,0.808,0.83,0.79,0.791,0.791,37600
2023-11-03,0.79,0.843,0.778,0.8,0.8,55000
2023-11-06,0.841,0.841,0.761,0.761,0.761,52300
2023-11-07,0.8,0.8,0.738,0.745,0.745,47100
2023-11-08,0.785,0.785,0.703,0.73,0.73,36200
2023-11-09,0.732,0.732,0.63,0.678,0.678,105200
2023-11-10,0.7,0.7,0.64,0.672,0.672,35000
2023-11-13,0.646,0.67,0.612,0.62,0.62,44700
2023-11-14,0.6203,0.6566,0.62,0.6206,0.6206,38828
