Date,Open,High,Low,Close,Adj Close,Volume
2016-04-21,14.0,14.0,14.0,14.0,14.0,0
2016-04-22,13.89,14.6,13.4,14.0,14.0,7988800
2016-04-25,14.1,14.1,13.5,13.5,13.5,908900
2016-04-26,13.55,13.742,13.25,13.73,13.73,630000
2016-04-27,13.99,14.05,13.55,13.68,13.68,396000
2016-04-28,13.55,13.7,13.34,13.44,13.44,225800
2016-04-29,13.4,13.49,13.1,13.33,13.33,206400
2016-05-02,13.11,13.48,13.02,13.34,13.34,91400
2016-05-03,13.38,13.75,13.155,13.66,13.66,285000
2016-05-04,13.7,13.7,13.3,13.53,13.53,136700
2016-05-05,13.67,13.68,13.355,13.5,13.5,179900
2016-05-06,13.32,13.59,13.085,13.27,13.27,219400
2016-05-09,13.11,13.325,12.172,13.0,13.0,557400
2016-05-10,12.8,13.22,12.55,13.105,13.105,445400
2016-05-11,13.2,13.2,12.65,12.72,12.72,455600
2016-05-12,12.61,13.01,11.96,12.21,12.21,404500
2016-05-13,12.59,12.878,12.17,12.45,12.45,213800
2016-05-16,12.21,13.9,12.21,13.81,13.81,297700
2016-05-17,13.97,14.328,12.92,13.16,13.16,521900
2016-05-18,13.08,13.84,13.08,13.53,13.53,84900
2016-05-19,13.58,13.7,13.18,13.61,13.61,81100
2016-05-20,13.57,13.99,13.533,13.86,13.86,98000
2016-05-23,13.92,13.98,13.11,13.26,13.26,82300
2016-05-24,13.23,13.82,13.15,13.65,13.65,74300
2016-05-25,13.67,13.89,13.61,13.76,13.76,76600
2016-05-26,13.82,13.93,13.36,13.63,13.63,102500
2016-05-27,13.46,13.91,13.23,13.735,13.735,330500
2016-05-31,13.98,13.98,13.5,13.815,13.815,111200
2016-06-01,14.13,14.38,13.11,13.69,13.69,623200
2016-06-02,13.66,13.79,13.12,13.28,13.28,181500
2016-06-03,13.25,13.55,13.25,13.45,13.45,54800
2016-06-06,13.31,14.08,13.25,13.53,13.53,261300
2016-06-07,13.42,13.5,13.19,13.28,13.28,67800
2016-06-08,13.18,13.6,13.11,13.49,13.49,58300
2016-06-09,13.33,13.6,13.1,13.11,13.11,131400
2016-06-10,13.11,13.39,12.67,13.34,13.34,164500
2016-06-13,13.29,13.6,13.05,13.18,13.18,144500
2016-06-14,13.44,15.14,12.77,14.92,14.92,832300
2016-06-15,15.27,16.23,13.874,14.08,14.08,605300
2016-06-16,14.05,15.5,13.5,15.49,15.49,533200
2016-06-17,15.28,15.87,14.81,15.09,15.09,1111500
2016-06-20,15.27,15.27,14.09,14.52,14.52,203100
2016-06-21,14.64,14.64,13.95,14.16,14.16,111000
2016-06-22,13.9,14.49,13.71,13.99,13.99,232800
2016-06-23,14.12,14.22,13.82,14.12,14.12,185000
2016-06-24,13.5,13.93,13.0,13.04,13.04,771100
2016-06-27,13.01,13.66,12.5,13.09,13.09,185200
2016-06-28,13.4,13.56,12.78,12.92,12.92,303200
2016-06-29,13.08,14.24,13.08,13.77,13.77,241500
2016-06-30,13.91,14.23,13.48,14.1,14.1,151000
2016-07-01,14.08,14.08,13.851,14.0,14.0,50400
2016-07-05,13.89,14.07,13.49,13.91,13.91,118400
2016-07-06,13.71,14.11,13.51,14.04,14.04,179700
2016-07-07,14.0,14.08,13.67,13.79,13.79,166300
2016-07-08,13.92,13.984,13.29,13.86,13.86,190700
2016-07-11,13.78,14.79,13.78,14.54,14.54,249000
2016-07-12,14.5,14.99,14.5,14.75,14.75,103200
2016-07-13,14.73,14.958,14.25,14.74,14.74,308700
2016-07-14,15.0,15.025,14.5,14.83,14.83,94500
2016-07-15,14.92,15.42,14.73,15.36,15.36,226000
2016-07-18,15.35,15.46,14.97,15.14,15.14,70000
2016-07-19,15.19,15.19,14.55,14.75,14.75,38700
2016-07-20,14.788,14.788,14.29,14.44,14.44,70600
2016-07-21,14.27,14.48,14.23,14.36,14.36,41600
2016-07-22,14.38,14.58,14.04,14.51,14.51,72000
2016-07-25,14.64,14.86,14.37,14.75,14.75,31300
2016-07-26,14.7,15.02,14.47,15.0,15.0,43100
2016-07-27,15.07,15.07,14.66,14.9,14.9,30100
2016-07-28,15.0,15.0,14.6,14.93,14.93,68200
2016-07-29,14.95,14.96,14.601,14.81,14.81,38000
2016-08-01,14.75,14.89,14.72,14.83,14.83,44700
2016-08-02,14.76,14.76,14.22,14.33,14.33,165400
2016-08-03,14.24,14.59,14.23,14.54,14.54,28200
2016-08-04,14.54,14.7,14.38,14.44,14.44,22700
2016-08-05,14.51,14.51,14.24,14.37,14.37,37300
2016-08-08,14.35,14.35,14.1,14.16,14.16,51600
2016-08-09,14.19,14.19,14.05,14.11,14.11,24500
2016-08-10,14.18,14.18,14.05,14.07,14.07,21800
2016-08-11,14.05,14.165,13.9,14.11,14.11,94400
2016-08-12,14.13,14.13,13.941,14.0,14.0,30400
2016-08-15,13.94,14.25,13.94,14.13,14.13,33600
2016-08-16,14.21,14.23,13.96,14.02,14.02,83900
2016-08-17,13.98,14.095,13.79,13.95,13.95,57800
2016-08-18,14.04,14.12,13.86,14.09,14.09,51500
2016-08-19,14.0,14.67,14.0,14.34,14.34,62800
2016-08-22,14.42,14.77,14.347,14.43,14.43,42800
2016-08-23,14.43,14.8,14.42,14.48,14.48,29300
2016-08-24,14.41,14.73,14.41,14.49,14.49,61000
2016-08-25,14.52,14.631,14.45,14.57,14.57,93100
2016-08-26,14.48,14.59,13.87,14.26,14.26,32600
2016-08-29,14.27,14.474,14.25,14.37,14.37,15300
2016-08-30,14.47,14.63,13.88,14.09,14.09,110100
2016-08-31,14.12,14.36,14.12,14.2,14.2,28400
2016-09-01,14.27,14.275,14.1,14.21,14.21,35000
2016-09-02,14.36,14.36,13.96,14.18,14.18,46100
2016-09-06,14.27,14.83,14.129,14.4,14.4,147000
2016-09-07,15.5,15.8,13.79,13.99,13.99,159300
2016-09-08,14.03,14.144,13.55,13.95,13.95,88400
2016-09-09,13.88,14.011,13.13,13.49,13.49,120700
2016-09-12,13.5,13.65,13.16,13.4,13.4,105600
2016-09-13,13.39,13.45,13.02,13.07,13.07,90600
2016-09-14,13.08,13.08,12.67,12.72,12.72,148100
2016-09-15,12.69,13.065,12.69,12.83,12.83,33500
2016-09-16,12.83,13.01,12.68,12.72,12.72,111100
2016-09-19,12.83,12.97,11.85,12.1,12.1,198100
2016-09-20,12.04,12.436,12.01,12.03,12.03,98400
2016-09-21,12.0,12.25,12.0,12.12,12.12,46600
2016-09-22,12.26,13.04,12.26,12.65,12.65,125300
2016-09-23,12.72,13.1,12.47,12.6,12.6,37100
2016-09-26,12.56,12.7,12.325,12.48,12.48,65800
2016-09-27,12.41,13.14,12.25,12.58,12.58,104100
2016-09-28,12.52,13.02,12.44,12.81,12.81,52400
2016-09-29,12.81,12.864,12.54,12.56,12.56,30300
2016-09-30,12.62,12.69,12.2,12.51,12.51,30100
