Date,Open,High,Low,Close,Adj Close,Volume
1999-10-19,45.5,47.0625,30.0,35.5,32.878479,6362600
1999-10-20,39.5625,53.0,38.25,49.9375,46.249836,3850900
1999-10-21,47.3125,49.75,42.0,45.0,41.676945,1528300
1999-10-22,46.0,46.625,39.875,40.125,37.161942,950000
1999-10-25,40.0,40.125,36.0,40.0,37.046177,518300
1999-10-26,39.625,44.5625,38.0,41.125,38.088093,804800
1999-10-27,43.375,43.375,39.5,39.5625,36.640976,328800
1999-10-28,40.5,42.5,38.0,38.5625,35.714825,383100
1999-10-29,40.25,40.375,37.125,38.75,35.888481,460700
1999-11-01,39.0,43.0,38.5,41.75,38.666943,634700
1999-11-02,43.875,44.875,40.5,41.0,37.972328,439700
1999-11-03,42.375,42.5,39.4375,40.0,37.046177,315200
1999-11-04,40.5625,40.6875,38.25,39.0,36.120022,286900
1999-11-05,40.75,41.25,39.25,40.125,37.161942,336800
1999-11-08,40.0,42.25,40.0,41.0,37.972328,235500
1999-11-09,41.03125,44.0,39.0,43.0,39.824638,480500
1999-11-10,42.1875,53.5,41.625,52.125,48.275799,1509800
1999-11-11,56.0,62.0,55.0,58.125,53.832722,1012600
1999-11-12,59.375,60.0,50.25,57.0,52.790798,739600
1999-11-15,60.0,60.59375,55.375,59.5,55.106182,301500
1999-11-16,61.875,61.875,57.0,59.25,54.874645,359500
1999-11-17,60.0,60.125,57.5,58.75,54.411568,273900
1999-11-18,59.875,59.9375,54.75,55.25,51.170029,257600
1999-11-19,56.0,60.625,55.5,60.0,55.56926,377900
1999-11-22,63.5,77.25,63.375,75.0,69.461571,1023200
1999-11-23,81.0,81.125,70.375,73.625,68.18811,726000
1999-11-24,73.0,83.5,71.75,79.5,73.629272,497500
1999-11-26,90.0,106.375,85.5,105.5,97.709274,636900
1999-11-29,106.125,151.75,100.875,137.75,127.577759,1206000
1999-11-30,131.0,133.375,110.75,117.4375,108.765251,1154800
1999-12-01,116.1875,121.9375,105.5,108.5,100.487747,785700
1999-12-02,111.125,122.0,111.0,115.0625,106.565628,490900
1999-12-03,122.9375,128.875,120.0,122.125,113.10659,537000
1999-12-06,129.0625,137.25,123.0,135.5,125.493912,524100
1999-12-07,142.0,159.5,141.375,157.0,145.406235,739700
1999-12-08,162.625,170.0,148.375,151.5,140.312378,578600
1999-12-09,158.75,162.0,135.0,146.0,135.218536,424800
1999-12-10,166.25,168.0,155.125,165.125,152.931244,504300
1999-12-13,170.0,170.0,158.0,163.0,150.963165,219800
1999-12-14,160.0,160.125,135.0,136.5625,126.477943,563900
1999-12-15,131.875,135.0,116.0,121.625,112.643524,693200
1999-12-16,129.875,146.0,129.625,145.0,134.292374,619600
1999-12-17,143.0,147.0,135.0,145.0,134.292374,269200
1999-12-20,156.0,166.0,152.5,163.875,151.773544,474500
1999-12-21,169.0,175.0,152.125,167.3125,154.957199,523900
1999-12-22,168.5,169.0,157.0,163.0,150.963165,162200
1999-12-23,168.5,169.0,157.0,160.125,148.300476,109100
1999-12-27,158.9375,162.125,140.0,149.0625,138.054886,225100
1999-12-28,159.0,160.5,148.0,150.0,138.923141,120900
1999-12-29,152.5,153.0,148.0,150.0,138.923141,58500
1999-12-30,149.5,150.0,141.0,142.0,131.513916,125800
1999-12-31,143.0,158.75,140.125,155.0,143.553925,101000
2000-01-03,168.0,201.625,161.0,200.0,185.230896,610100
2000-01-04,194.0,245.0,180.0,222.0,205.606247,937600
2000-01-05,220.5,220.5,187.625,195.0,180.600098,849900
2000-01-06,199.0,200.0,180.0,183.0,169.486237,447100
2000-01-07,183.5,200.0,180.0,198.9375,184.246841,344700
2000-01-10,216.0,234.0,197.0,200.5,185.693954,698175
2000-01-11,197.0,197.0,180.0,183.0,169.486237,466350
2000-01-12,187.75,194.5,180.25,188.5,174.580078,198200
2000-01-13,194.5,195.5,176.0,180.5,167.170868,178475
2000-01-14,191.0,191.5,177.0,184.0,170.412415,165450
2000-01-18,186.25,188.0,172.0,174.0,161.150848,171875
2000-01-19,174.5,175.75,160.0,164.25,152.120834,213900
2000-01-20,166.875,189.875,165.75,185.75,172.033173,274775
