Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,19.0,19.0,17.0,17.5,17.5,2956
2021-01-11,17.5,19.5,16.75,19.5,19.5,4068
2021-01-12,21.15,21.200001,16.799999,18.0,18.0,7636
2021-01-13,19.5,20.5,17.450001,18.85,18.85,6850
2021-01-14,19.5,19.5,17.0,17.85,17.85,5068
2021-01-15,18.0,18.0,17.0,17.5,17.5,4838
2021-01-19,18.5,19.0,16.5,16.5,16.5,5404
2021-01-20,17.5,18.5,16.5,16.75,16.75,5348
2021-01-21,18.9,19.0,16.5,18.0,18.0,6548
2021-01-22,18.0,18.5,17.25,17.5,17.5,952
2021-01-25,19.75,22.5,16.0,17.25,17.25,6414
2021-01-26,17.5,20.5,17.5,19.15,19.15,15236
2021-01-27,20.0,20.0,16.5,17.5,17.5,5316
2021-01-28,17.4,19.0,16.75,17.9,17.9,5720
2021-01-29,16.75,17.5,16.5,17.450001,17.450001,1492
2021-02-01,17.0,17.450001,16.5,16.5,16.5,1816
2021-02-02,16.5,18.0,16.1,16.5,16.5,2298
2021-02-03,19.5,19.5,16.5,17.0,17.0,984
2021-02-04,18.0,18.5,16.5,18.0,18.0,2538
2021-02-05,18.0,18.15,16.549999,17.950001,17.950001,1860
2021-02-08,17.25,18.15,13.8,18.0,18.0,9462
2021-02-09,17.0,18.5,16.549999,18.5,18.5,3484
2021-02-10,17.5,19.0,17.5,17.5,17.5,3248
2021-02-11,18.5,22.5,17.5,19.5,19.5,12328
2021-02-12,20.0,21.0,19.5,20.5,20.5,4550
2021-02-16,21.5,24.75,19.35,19.75,19.75,29128
2021-02-17,22.0,24.0,17.0,18.5,18.5,10036
2021-02-18,19.25,21.5,18.0,18.0,18.0,6208
2021-02-19,20.75,21.0,18.0,20.0,20.0,9774
2021-02-22,20.5,22.5,17.0,19.0,19.0,8874
2021-02-23,19.0,20.0,17.049999,17.25,17.25,2130
2021-02-24,18.5,18.5,15.05,17.5,17.5,6724
2021-02-25,18.0,18.450001,16.0,16.5,16.5,1826
2021-02-26,15.75,16.4,14.0,15.5,15.5,6586
2021-03-01,14.6,16.0,14.6,16.0,16.0,1738
2021-03-02,17.0,17.4,15.0,15.5,15.5,780
2021-03-03,14.65,16.0,14.5,14.5,14.5,5630
2021-03-04,15.0,16.5,12.55,13.75,13.75,5148
2021-03-05,14.2,16.5,13.75,14.25,14.25,1204
2021-03-08,14.3,17.5,14.1,15.0,15.0,1990
2021-03-09,17.0,17.0,13.85,14.05,14.05,4232
2021-03-10,16.950001,16.950001,14.15,15.5,15.5,2702
2021-03-11,15.6,16.0,14.25,14.25,14.25,3486
2021-03-12,15.7,16.5,14.5,15.4,15.4,6510
2021-03-15,16.0,16.0,15.25,16.0,16.0,2788
2021-03-16,15.5,16.5,14.3,14.35,14.35,1970
