Date,Open,High,Low,Close,Adj Close,Volume
2018-01-26,382.5,438.75,330.0,339.299988,339.299988,220307
2018-01-29,339.299988,358.049988,326.25,355.5,355.5,19387
2018-01-30,340.049988,352.200012,286.799988,337.5,337.5,45767
2018-01-31,342.899994,412.484985,329.505005,384.299988,384.299988,44607
2018-02-01,385.5,420.0,381.075012,409.649994,409.649994,22507
2018-02-02,411.149994,435.0,393.315002,435.0,435.0,20147
2018-02-05,432.299988,435.75,386.774994,396.75,396.75,19453
2018-02-06,390.75,418.350006,378.149994,397.5,397.5,6920
2018-02-07,395.399994,420.0,387.899994,392.100006,392.100006,9533
2018-02-08,390.600006,407.475006,380.640015,395.25,395.25,12900
2018-02-09,398.25,413.730011,379.649994,384.899994,384.899994,5487
2018-02-12,383.700012,401.549988,380.399994,390.149994,390.149994,9633
2018-02-13,383.100006,400.5,378.299988,390.0,390.0,6680
2018-02-14,380.549988,402.0,380.549988,393.450012,393.450012,3620
2018-02-15,393.75,397.5,376.920013,394.049988,394.049988,7933
2018-02-16,391.649994,413.700012,369.600006,373.950012,373.950012,5340
2018-02-20,364.799988,372.450012,337.5,357.899994,357.899994,9367
2018-02-21,367.950012,397.200012,360.630005,391.799988,391.799988,17300
2018-02-22,397.5,425.535004,392.325012,412.5,412.5,7913
2018-02-23,411.149994,447.0,376.515015,443.399994,443.399994,11880
2018-02-26,448.200012,467.519989,444.75,449.399994,449.399994,5673
2018-02-27,445.350006,447.0,432.75,443.549988,443.549988,11073
2018-02-28,439.5,448.5,432.75,435.0,435.0,9280
2018-03-01,432.600006,471.149994,415.725006,456.0,456.0,10687
2018-03-02,453.299988,506.100006,450.0,497.549988,497.549988,11713
2018-03-05,494.850006,494.850006,446.399994,468.600006,468.600006,12500
2018-03-06,471.75,493.350006,450.674988,458.25,458.25,10380
2018-03-07,452.399994,484.200012,421.200012,435.149994,435.149994,8287
2018-03-08,435.600006,446.25,390.0,413.700012,413.700012,7907
2018-03-09,412.5,441.75,399.51001,422.850006,422.850006,8740
2018-03-12,423.0,432.13501,405.149994,411.149994,411.149994,15973
2018-03-13,423.0,432.13501,390.899994,396.600006,396.600006,10000
2018-03-14,397.799988,412.5,386.25,394.649994,394.649994,23900
2018-03-15,159.0,168.600006,134.25,139.800003,139.800003,359747
2018-03-16,141.75,146.850006,135.149994,143.550003,143.550003,135827
2018-03-19,143.25,144.75,136.5,137.550003,137.550003,23780
2018-03-20,137.850006,140.804993,123.75,125.849998,125.849998,42833
2018-03-21,125.550003,129.375,124.5,127.349998,127.349998,25967
2018-03-22,126.300003,126.300003,119.25,123.900002,123.900002,25667
2018-03-23,124.050003,136.5,122.25,134.399994,134.399994,35260
2018-03-26,136.5,136.5,125.099998,127.5,127.5,60173
2018-03-27,127.650002,127.800003,120.0,120.599998,120.599998,12053
2018-03-28,120.900002,120.900002,106.199997,107.849998,107.849998,23647
2018-03-29,108.150002,116.099998,102.449997,112.5,112.5,20880
2018-04-02,112.5,112.5,102.614998,109.949997,109.949997,21220
2018-04-03,110.849998,123.0,107.925003,121.5,121.5,16600
2018-04-04,119.849998,135.600006,117.449997,135.0,135.0,16013
2018-04-05,136.050003,145.5,128.699997,143.699997,143.699997,30060
2018-04-06,142.800003,145.050003,138.75,143.100006,143.100006,9573
2018-04-09,144.0,156.899994,138.300003,147.75,147.75,27813
2018-04-10,148.949997,151.5,142.5,149.550003,149.550003,21007
2018-04-11,149.850006,156.375,142.949997,150.75,150.75,17693
2018-04-12,150.75,155.399994,149.699997,151.050003,151.050003,11927
2018-04-13,151.649994,154.649994,149.774994,153.0,153.0,16173
2018-04-16,153.899994,157.979996,150.300003,154.649994,154.649994,11787
2018-04-17,155.699997,159.75,151.5,158.399994,158.399994,14587
2018-04-18,160.350006,162.600006,155.550003,161.100006,161.100006,12447
2018-04-19,159.449997,163.050003,157.5,162.75,162.75,14120
2018-04-20,161.699997,189.75,161.699997,187.199997,187.199997,28233
2018-04-23,187.5,208.949997,182.550003,192.0,192.0,29040
2018-04-24,192.300003,197.699997,187.5,194.699997,194.699997,22327
