Date,Open,High,Low,Close,Adj Close,Volume
2022-10-13,10.08,10.1,10.05,10.1,10.1,9070100
2022-10-14,10.08,10.1,10.07,10.09,10.09,577700
2022-10-17,10.13,10.13,10.09,10.09,10.09,1403800
2022-10-18,10.11,10.14,10.09,10.13,10.13,1558600
2022-10-19,10.121,10.14,10.12,10.12,10.12,9200
2022-10-20,10.14,10.18,10.12,10.14,10.14,327700
2022-10-21,10.13,10.145,10.13,10.138,10.138,45600
2022-10-24,10.14,10.141,10.13,10.141,10.141,49300
2022-10-25,10.14,10.156,10.14,10.15,10.15,289400
2022-10-26,10.15,10.16,10.15,10.15,10.15,23100
2022-10-27,10.17,10.17,10.14,10.14,10.14,147300
2022-10-28,10.17,10.28,10.17,10.25,10.25,54300
2022-10-31,10.25,10.34,10.21,10.34,10.34,226900
2022-11-01,10.33,10.35,10.3,10.33,10.33,10100
2022-11-02,10.24,10.36,10.23,10.34,10.34,46500
2022-11-03,10.3,10.35,10.3,10.33,10.33,29300
2022-11-04,10.32,10.335,10.32,10.33,10.33,44400
2022-11-07,10.33,10.34,10.32,10.34,10.34,113500
2022-11-08,10.34,10.34,10.3,10.33,10.33,125900
2022-11-09,10.32,10.32,10.32,10.32,10.32,300
2022-11-10,10.32,10.32,10.32,10.32,10.32,0
2022-11-11,10.32,10.32,10.32,10.32,10.32,0
2022-11-14,10.36,10.36,10.36,10.36,10.36,100
2022-11-15,10.36,10.36,10.36,10.36,10.36,0
2022-11-16,10.34,10.34,10.34,10.34,10.34,2300
2022-11-17,10.34,10.34,10.34,10.34,10.34,0
2022-11-18,10.341,10.341,10.341,10.341,10.341,100
2022-11-21,10.341,10.341,10.341,10.341,10.341,0
2022-11-22,10.32,10.32,10.32,10.32,10.32,400
2022-11-23,10.3,10.31,10.3,10.31,10.31,2600
2022-11-25,10.31,10.31,10.31,10.31,10.31,0
2022-11-28,10.31,10.327,10.31,10.327,10.327,200
2022-11-29,10.3,10.3,10.3,10.3,10.3,100
2022-11-30,10.31,10.31,10.31,10.31,10.31,100
2022-12-01,10.31,10.31,10.31,10.31,10.31,0
2022-12-02,10.31,10.31,10.31,10.31,10.31,0
2022-12-05,10.23,10.32,10.23,10.32,10.32,1500
2022-12-06,10.32,10.32,10.32,10.32,10.32,300
2022-12-07,10.32,10.32,10.32,10.32,10.32,100
2022-12-08,10.32,10.32,10.32,10.32,10.32,200
2022-12-09,10.33,10.33,10.315,10.33,10.33,10900
2022-12-12,10.35,10.37,10.35,10.37,10.37,3700
2022-12-13,10.37,10.37,10.37,10.37,10.37,0
2022-12-14,10.37,10.37,10.37,10.37,10.37,0
2022-12-15,10.37,10.37,10.37,10.37,10.37,0
2022-12-16,10.37,10.37,10.37,10.37,10.37,0
2022-12-19,10.37,10.37,10.37,10.37,10.37,0
2022-12-20,10.33,10.33,10.33,10.33,10.33,100
2022-12-21,10.36,10.36,10.36,10.36,10.36,100
2022-12-22,10.36,10.36,10.36,10.36,10.36,0
2022-12-23,10.36,10.36,10.36,10.36,10.36,0
2022-12-27,10.38,10.38,10.38,10.38,10.38,4200
2022-12-28,10.38,10.38,10.38,10.38,10.38,0
2022-12-29,10.38,10.38,10.38,10.38,10.38,0
2022-12-30,10.38,10.38,10.38,10.38,10.38,0
2023-01-03,10.37,10.4,10.37,10.38,10.38,1700
2023-01-04,10.35,10.4,10.35,10.39,10.39,2300
2023-01-05,10.39,10.41,10.39,10.39,10.39,1400
2023-01-06,10.49,11.11,10.4,11.11,11.11,2700
2023-01-09,10.45,10.49,10.36,10.36,10.36,8200
2023-01-10,10.44,10.55,10.44,10.5,10.5,1500
2023-01-11,10.5,10.5,10.5,10.5,10.5,0
2023-01-12,10.5,10.5,10.5,10.5,10.5,0
2023-01-13,10.5,10.5,10.5,10.5,10.5,0
2023-01-17,10.5,10.5,10.5,10.5,10.5,0
2023-01-18,10.5,10.5,10.5,10.5,10.5,0
2023-01-19,10.5,10.5,10.5,10.5,10.5,0
2023-01-20,10.4,10.76,10.39,10.49,10.49,5900
2023-01-23,10.5,10.5,10.47,10.47,10.47,500
2023-01-24,10.47,10.5,10.47,10.47,10.47,700
2023-01-25,10.49,10.49,10.49,10.49,10.49,800
2023-01-26,10.49,10.49,10.49,10.49,10.49,0
2023-01-27,10.49,10.49,10.49,10.49,10.49,0
2023-01-30,10.51,10.52,10.48,10.501,10.501,1800
2023-01-31,10.515,10.515,10.515,10.515,10.515,100
2023-02-01,10.515,10.515,10.515,10.515,10.515,0
2023-02-02,10.53,10.55,10.51,10.55,10.55,5700
2023-02-03,10.57,10.57,10.57,10.57,10.57,500
2023-02-06,10.57,10.6,10.54,10.57,10.57,9600
2023-02-07,10.57,10.57,10.57,10.57,10.57,0
2023-02-08,10.62,10.62,10.57,10.57,10.57,300
2023-02-09,11.0,11.0,10.644,10.644,10.644,500
2023-02-10,10.644,10.644,10.644,10.644,10.644,0
2023-02-13,10.71,10.71,10.71,10.71,10.71,100
2023-02-14,10.58,10.6,10.57,10.57,10.57,800
2023-02-15,10.57,10.59,10.57,10.59,10.59,1500
2023-02-16,10.59,10.59,10.59,10.59,10.59,0
2023-02-17,10.59,10.59,10.59,10.59,10.59,0
2023-02-21,10.59,10.59,10.59,10.59,10.59,0
2023-02-22,10.62,10.62,10.62,10.62,10.62,800
2023-02-23,10.62,10.62,10.62,10.62,10.62,0
2023-02-24,10.78,10.78,10.73,10.73,10.73,900
2023-02-27,10.73,10.73,10.73,10.73,10.73,0
2023-02-28,10.64,10.64,10.64,10.64,10.64,100
2023-03-01,10.51,11.22,10.51,11.05,11.05,3600
2023-03-02,11.04,11.24,10.63,10.64,10.64,12300
2023-03-03,11.07,11.07,10.5,10.59,10.59,6100
2023-03-06,10.53,10.65,10.53,10.65,10.65,2500
2023-03-07,10.69,10.93,10.69,10.93,10.93,200
2023-03-08,10.7,10.7,10.7,10.7,10.7,700
2023-03-09,10.7,10.7,10.7,10.7,10.7,0
2023-03-10,10.7,10.7,10.7,10.7,10.7,0
2023-03-13,10.66,10.66,10.57,10.57,10.57,11700
2023-03-14,10.57,10.61,10.57,10.61,10.61,1000
2023-03-15,10.57,10.61,10.56,10.61,10.61,36100
2023-03-16,10.61,10.61,10.61,10.61,10.61,600
2023-03-17,10.61,10.61,10.61,10.61,10.61,0
2023-03-20,10.6,10.6,10.6,10.6,10.6,100
2023-03-21,10.69,10.7,10.6,10.62,10.62,1800
2023-03-22,10.62,10.62,10.62,10.62,10.62,0
2023-03-23,10.62,10.62,10.62,10.62,10.62,0
2023-03-24,10.62,10.62,10.62,10.62,10.62,0
2023-03-27,10.62,10.62,10.62,10.62,10.62,0
2023-03-28,10.61,10.61,10.61,10.61,10.61,1300
2023-03-29,10.61,10.61,10.61,10.61,10.61,0
2023-03-30,10.61,10.61,10.61,10.61,10.61,0
2023-03-31,10.61,10.61,10.61,10.61,10.61,0
2023-04-03,10.61,10.61,10.61,10.61,10.61,0
2023-04-04,10.61,10.61,10.61,10.61,10.61,0
2023-04-05,10.61,10.61,10.61,10.61,10.61,0
2023-04-06,10.61,10.61,10.61,10.61,10.61,0
2023-04-10,10.69,10.69,10.69,10.69,10.69,900
2023-04-11,10.64,10.68,10.64,10.68,10.68,900
2023-04-12,10.65,10.65,10.65,10.65,10.65,3100
2023-04-13,10.65,10.65,10.65,10.65,10.65,0
2023-04-14,10.69,10.69,10.64,10.64,10.64,700
2023-04-17,10.659,10.659,10.64,10.64,10.64,400
2023-04-18,10.64,10.64,10.64,10.64,10.64,0
2023-04-19,10.64,10.64,10.64,10.64,10.64,400
2023-04-20,10.64,10.64,10.64,10.64,10.64,0
2023-04-21,10.64,10.64,10.64,10.64,10.64,0
2023-04-24,10.62,10.68,9.961,10.58,10.58,7200
2023-04-25,10.72,11.105,10.56,10.61,10.61,19900
2023-04-26,10.63,10.63,10.63,10.63,10.63,500
2023-04-27,10.693,11.145,10.61,10.655,10.655,7400
2023-04-28,10.694,11.155,10.61,10.64,10.64,2300
2023-05-01,10.62,10.63,10.62,10.63,10.63,300
2023-05-02,10.61,10.65,10.61,10.63,10.63,2000
2023-05-03,10.815,10.815,10.63,10.658,10.658,3900
2023-05-04,10.674,10.815,10.63,10.647,10.647,3000
2023-05-05,10.647,10.647,10.647,10.647,10.647,0
2023-05-08,10.61,10.82,10.61,10.64,10.64,6100
2023-05-09,10.64,10.64,10.64,10.64,10.64,0
2023-05-10,10.67,10.68,10.64,10.67,10.67,2000
2023-05-11,10.67,10.67,10.67,10.67,10.67,0
2023-05-12,10.68,10.69,10.64,10.69,10.69,1900
2023-05-15,10.805,10.805,10.65,10.691,10.691,3400
2023-05-16,10.691,10.691,10.691,10.691,10.691,0
2023-05-17,10.691,10.691,10.691,10.691,10.691,0
2023-05-18,10.64,10.64,10.64,10.64,10.64,1000
2023-05-19,10.805,10.805,10.805,10.805,10.805,100
2023-05-22,10.65,10.65,10.65,10.65,10.65,1500
2023-05-23,10.65,10.65,10.65,10.65,10.65,0
2023-05-24,10.64,10.692,10.64,10.692,10.692,200
2023-05-25,10.692,10.692,10.692,10.692,10.692,0
2023-05-26,10.64,10.64,10.64,10.64,10.64,400
2023-05-30,10.694,10.7,10.66,10.67,10.67,6400
2023-05-31,10.61,11.16,10.61,10.63,10.63,1200
2023-06-01,10.68,10.68,10.68,10.68,10.68,400
2023-06-02,10.68,10.68,10.68,10.68,10.68,0
2023-06-05,10.66,10.66,10.66,10.66,10.66,25100
2023-06-06,10.66,10.66,10.66,10.66,10.66,0
2023-06-07,10.779,11.001,10.62,10.62,10.62,1600
2023-06-08,10.62,10.62,10.62,10.62,10.62,0
2023-06-09,10.68,10.68,10.68,10.68,10.68,2500
2023-06-12,10.68,10.68,10.68,10.68,10.68,0
2023-06-13,10.68,10.68,10.68,10.68,10.68,0
2023-06-14,10.68,10.715,10.65,10.65,10.65,7500
2023-06-15,10.65,10.68,10.65,10.68,10.68,2300
2023-06-16,10.62,10.72,10.61,10.72,10.72,2600
2023-06-20,10.65,10.65,10.65,10.65,10.65,100
2023-06-21,10.68,10.7,10.68,10.7,10.7,1800
2023-06-22,10.7,10.7,10.7,10.7,10.7,0
2023-06-23,10.7,10.7,10.7,10.7,10.7,0
2023-06-26,10.7,10.7,10.7,10.7,10.7,0
2023-06-27,10.7,10.78,10.69,10.78,10.78,2800
2023-06-28,10.69,10.7,10.69,10.7,10.7,1300
2023-06-29,10.7,10.7,10.7,10.7,10.7,0
2023-06-30,10.7,10.7,10.7,10.7,10.7,0
2023-07-03,10.7,10.7,10.7,10.7,10.7,0
2023-07-05,10.71,10.71,10.71,10.71,10.71,300
2023-07-06,10.71,10.71,10.71,10.71,10.71,0
2023-07-07,10.79,10.79,10.79,10.79,10.79,700
2023-07-10,10.79,10.8,10.79,10.8,10.8,1000
2023-07-11,10.71,10.78,10.71,10.75,10.75,106700
2023-07-12,10.77,10.77,10.77,10.77,10.77,15300
2023-07-13,10.71,10.873,10.71,10.873,10.873,800
2023-07-14,10.873,10.873,10.873,10.873,10.873,0
2023-07-17,10.873,10.873,10.873,10.873,10.873,0
2023-07-18,10.873,10.873,10.873,10.873,10.873,0
2023-07-19,10.873,10.873,10.873,10.873,10.873,0
2023-07-20,10.78,10.78,10.77,10.77,10.77,18200
2023-07-21,10.77,10.77,10.77,10.77,10.77,100
2023-07-24,10.77,10.77,10.77,10.77,10.77,0
2023-07-25,10.77,10.77,10.77,10.77,10.77,0
2023-07-26,10.77,10.77,10.77,10.77,10.77,0
2023-07-27,10.77,10.77,10.77,10.77,10.77,0
2023-07-28,10.8,10.88,10.79,10.79,10.79,10200
2023-07-31,10.84,10.85,10.84,10.85,10.85,800
2023-08-01,10.85,10.85,10.85,10.85,10.85,0
2023-08-02,10.85,10.85,10.85,10.85,10.85,0
2023-08-03,10.8,10.8,10.79,10.8,10.8,1300
2023-08-04,10.8,10.8,10.8,10.8,10.8,0
2023-08-07,10.8,10.8,10.8,10.8,10.8,1000
2023-08-08,10.8,10.8,10.8,10.8,10.8,0
2023-08-09,10.8,10.8,10.8,10.8,10.8,0
2023-08-10,10.8,10.8,10.8,10.8,10.8,0
2023-08-11,10.8,10.8,10.8,10.8,10.8,0
2023-08-14,10.85,10.85,10.85,10.85,10.85,1500
2023-08-15,10.85,10.85,10.85,10.85,10.85,0
2023-08-16,10.85,10.85,10.85,10.85,10.85,0
2023-08-17,10.85,10.85,10.85,10.85,10.85,0
2023-08-18,10.85,10.85,10.85,10.85,10.85,0
2023-08-21,10.85,10.85,10.85,10.85,10.85,0
2023-08-22,10.89,10.9,10.89,10.9,10.9,1500
2023-08-23,10.9,10.9,10.9,10.9,10.9,0
2023-08-24,10.9,10.9,10.9,10.9,10.9,0
2023-08-25,10.9,10.9,10.9,10.9,10.9,0
2023-08-28,10.9,10.9,10.9,10.9,10.9,0
2023-08-29,10.9,10.9,10.9,10.9,10.9,0
2023-08-30,10.9,10.9,10.9,10.9,10.9,0
2023-08-31,10.9,10.9,10.9,10.9,10.9,0
2023-09-01,10.9,10.9,10.9,10.9,10.9,0
2023-09-05,10.9,10.9,10.9,10.9,10.9,0
2023-09-06,10.9,10.9,10.9,10.9,10.9,0
2023-09-07,10.9,10.9,10.9,10.9,10.9,0
2023-09-08,10.9,10.9,10.9,10.9,10.9,0
2023-09-11,10.88,10.88,10.88,10.88,10.88,100
2023-09-12,10.82,10.83,10.81,10.83,10.83,8900
2023-09-13,10.83,10.83,10.83,10.83,10.83,0
2023-09-14,10.86,10.86,10.86,10.86,10.86,2700
2023-09-15,10.33,10.88,10.33,10.86,10.86,5600
2023-09-18,10.845,10.87,10.845,10.87,10.87,400
2023-09-19,10.87,10.88,10.87,10.88,10.88,300
2023-09-20,10.88,10.88,10.88,10.88,10.88,0
2023-09-21,10.88,10.88,10.88,10.88,10.88,0
2023-09-22,10.88,10.88,10.88,10.88,10.88,0
2023-09-25,10.88,10.88,10.88,10.88,10.88,0
2023-09-26,10.92,10.92,10.906,10.92,10.92,5400
2023-09-27,10.92,10.92,10.92,10.92,10.92,0
2023-09-28,10.92,10.92,10.92,10.92,10.92,0
2023-09-29,10.92,10.92,10.92,10.92,10.92,0
2023-10-02,10.92,10.92,10.92,10.92,10.92,1300
2023-10-03,10.92,10.92,10.92,10.92,10.92,0
2023-10-04,10.92,10.92,10.92,10.92,10.92,0
2023-10-05,10.94,10.95,10.92,10.94,10.94,700
2023-10-06,10.96,10.96,10.91,10.91,10.91,700
2023-10-09,10.91,10.91,10.91,10.91,10.91,0
2023-10-10,10.91,10.91,10.91,10.91,10.91,0
2023-10-11,10.91,10.91,10.91,10.91,10.91,0
2023-10-12,10.91,10.91,10.91,10.91,10.91,0
2023-10-13,10.91,10.91,10.91,10.91,10.91,0
2023-10-16,10.9,11.5,10.9,10.9,10.9,1500
2023-10-17,10.9,10.91,10.9,10.9,10.9,1300
2023-10-18,10.9,10.9,10.9,10.9,10.9,0
2023-10-19,10.9,10.9,10.9,10.9,10.9,0
2023-10-20,10.9,11.13,10.9,10.91,10.91,26800
2023-10-23,10.91,10.91,10.91,10.91,10.91,0
2023-10-24,10.9,10.9,10.9,10.9,10.9,2000
2023-10-25,10.9,10.9,10.9,10.9,10.9,200
2023-10-26,10.9,10.9,10.9,10.9,10.9,0
2023-10-27,10.9,10.9,10.9,10.9,10.9,0
2023-10-30,10.9,11.0,10.9,10.9,10.9,63900
