Date,Open,High,Low,Close,Adj Close,Volume
1995-04-17,8.25,8.25,8.0,8.0,6.098036,15275
1995-04-18,8.0,8.0,8.0,8.0,6.098036,25250
1995-04-19,8.0,8.25,8.0,8.0,6.098036,1625
1995-04-20,8.0,8.0,8.0,8.0,6.098036,14000
1995-04-21,8.0,8.0,8.0,8.0,6.098036,250
1995-04-24,8.0,8.0,8.0,8.0,6.098036,14500
1995-04-25,8.0,8.0,8.0,8.0,6.098036,1025
1995-04-26,7.75,7.75,7.75,7.75,5.90747,30500
1995-04-27,7.75,7.75,7.5,7.5,5.716908,18375
1995-04-28,7.0,7.0,7.0,7.0,5.33578,17500
1995-05-01,7.0,7.25,6.5,7.25,5.526343,13000
1995-05-02,7.0,7.25,7.0,7.25,5.526343,1375
1995-05-03,7.25,7.25,7.25,7.25,5.526343,0
1995-05-04,7.25,7.25,7.25,7.25,5.526343,0
1995-05-05,7.5,7.5,7.5,7.5,5.716908,250
1995-05-08,7.5,7.5,7.5,7.5,5.716908,0
1995-05-09,7.75,7.75,7.75,7.75,5.90747,1000
1995-05-10,7.5,7.75,7.5,7.75,5.90747,3850
1995-05-11,8.0,8.0,8.0,8.0,6.098036,2500
1995-05-12,8.0,8.0,8.0,8.0,6.098036,0
1995-05-15,8.5,8.5,8.25,8.25,6.288597,3750
1995-05-16,7.75,8.5,7.75,8.5,6.479161,3125
1995-05-17,8.5,8.5,8.5,8.5,6.479161,0
1995-05-18,8.5,8.5,8.5,8.5,6.479161,125
1995-05-19,8.5,8.5,8.5,8.5,6.479161,3750
1995-05-22,8.5,8.5,8.5,8.5,6.479161,0
1995-05-23,8.5,8.5,8.5,8.5,6.479161,0
1995-05-24,8.25,8.25,8.25,8.25,6.288597,250
1995-05-25,8.25,8.25,8.25,8.25,6.288597,525
1995-05-26,8.25,8.25,8.25,8.25,6.288597,0
1995-05-30,8.25,8.25,8.25,8.25,6.288597,0
1995-05-31,8.25,8.25,8.25,8.25,6.288597,0
1995-06-01,8.0,8.0,8.0,8.0,6.098036,750
1995-06-02,8.25,8.25,8.25,8.25,6.288597,1250
1995-06-05,8.25,8.25,8.25,8.25,6.288597,125
1995-06-06,8.25,8.25,8.25,8.25,6.288597,1000
1995-06-07,8.25,8.25,8.25,8.25,6.288597,13775
1995-06-08,8.25,8.25,8.0,8.25,6.288597,3000
1995-06-09,7.75,7.75,7.75,7.75,5.90747,3750
1995-06-12,8.25,8.25,8.25,8.25,6.288597,500
1995-06-13,8.25,8.25,8.25,8.25,6.288597,0
1995-06-14,8.25,8.25,8.25,8.25,6.288597,0
1995-06-15,8.25,8.25,8.25,8.25,6.288597,0
1995-06-16,8.25,8.25,8.25,8.25,6.288597,0
1995-06-19,8.25,8.25,8.25,8.25,6.288597,0
1995-06-20,8.25,8.25,8.25,8.25,6.288597,0
1995-06-21,8.25,8.25,8.25,8.25,6.288597,0
1995-06-22,8.25,8.25,8.25,8.25,6.288597,0
1995-06-23,8.0,8.0,8.0,8.0,6.098036,500
1995-06-26,8.0,8.0,8.0,8.0,6.098036,1250
1995-06-27,8.25,8.25,8.25,8.25,6.288597,300
1995-06-28,8.0,8.0,8.0,8.0,6.098036,1750
1995-06-29,8.0,8.0,8.0,8.0,6.098036,1250
1995-06-30,8.0,8.0,8.0,8.0,6.098036,41125
1995-07-03,8.25,8.25,8.25,8.25,6.288597,75
1995-07-05,8.0,8.0,7.5,7.5,5.716908,1000
1995-07-06,7.5,7.5,7.5,7.5,5.716908,5125
1995-07-07,7.5,7.5,7.5,7.5,5.716908,325
1995-07-10,7.5,7.5,7.5,7.5,5.716908,0
1995-07-11,7.5,7.5,7.5,7.5,5.716908,375
1995-07-12,7.5,7.5,7.5,7.5,5.716908,500
1995-07-13,7.5,7.5,7.5,7.5,5.716908,75
1995-07-14,7.5,7.5,7.5,7.5,5.716908,125
1995-07-17,7.5,7.5,7.5,7.5,5.716908,0
1995-07-18,7.5,7.5,7.5,7.5,5.716908,0
1995-07-19,7.5,7.5,7.5,7.5,5.716908,0
1995-07-20,7.25,7.25,7.25,7.25,5.526343,75
1995-07-21,7.5,7.5,7.5,7.5,5.716908,750
1995-07-24,7.5,7.5,7.5,7.5,5.716908,400
1995-07-25,7.5,7.5,7.0,7.0,5.33578,1275
1995-07-26,6.75,6.75,6.75,6.75,5.145216,1500
1995-07-27,7.25,7.25,7.25,7.25,5.526343,650
1995-07-28,6.75,6.75,6.75,6.75,5.145216,125
1995-07-31,6.5,6.5,6.5,6.5,4.954652,625
1995-08-01,6.5,6.5,6.5,6.5,4.954652,500
1995-08-02,6.5,6.5,6.5,6.5,4.954652,2250
1995-08-03,6.5,6.5,6.5,6.5,4.954652,1625
1995-08-04,6.5,6.5,6.5,6.5,4.954652,0
1995-08-07,6.5,6.5,6.5,6.5,4.954652,0
1995-08-08,6.5,6.5,6.25,6.25,4.76409,325
1995-08-09,6.5,6.5,6.5,6.5,4.954652,1250
1995-08-10,6.5,6.5,6.5,6.5,4.954652,1175
1995-08-11,6.5,6.5,6.5,6.5,4.954652,0
1995-08-14,6.5,6.5,6.5,6.5,4.954652,0
1995-08-15,6.5,6.5,6.5,6.5,4.954652,0
1995-08-16,6.5,6.5,6.5,6.5,4.954652,0
1995-08-17,6.5,6.5,6.5,6.5,4.954652,0
1995-08-18,6.75,6.75,6.75,6.75,5.145216,125
1995-08-21,6.75,7.0,6.75,7.0,5.33578,750
1995-08-22,7.0,7.0,7.0,7.0,5.33578,0
1995-08-23,7.0,7.0,7.0,7.0,5.33578,0
1995-08-24,6.5,6.5,6.5,6.5,4.954652,225
1995-08-25,6.5,6.5,6.5,6.5,4.954652,0
1995-08-28,6.25,6.75,6.25,6.75,5.145216,3000
1995-08-29,6.75,6.75,6.75,6.75,5.145216,0
1995-08-30,6.75,6.75,6.75,6.75,5.145216,0
1995-08-31,6.75,6.75,6.75,6.75,5.145216,0
1995-09-01,6.75,6.75,6.75,6.75,5.145216,0
1995-09-05,6.75,6.75,6.75,6.75,5.145216,0
1995-09-06,6.25,6.25,6.25,6.25,4.76409,500
1995-09-07,6.25,6.25,6.25,6.25,4.76409,0
1995-09-08,6.25,6.25,6.25,6.25,4.76409,0
1995-09-11,6.25,6.25,6.25,6.25,4.76409,0
1995-09-12,6.25,6.25,6.25,6.25,4.76409,0
1995-09-13,6.0,6.0,6.0,6.0,4.573525,1000
1995-09-14,6.0,6.0,5.5,5.5,4.192398,175
1995-09-15,5.5,5.5,5.0,5.0,3.811271,3625
1995-09-18,5.0,5.0,5.0,5.0,3.811271,0
1995-09-19,4.75,4.75,4.75,4.75,3.620708,500
1995-09-20,5.25,5.25,5.25,5.25,4.001835,1000
1995-09-21,4.75,4.75,4.75,4.75,3.620708,250
1995-09-22,4.5,4.5,4.25,4.5,3.430144,5525
1995-09-25,5.0,5.0,5.0,5.0,3.811271,1750
1995-09-26,5.0,5.0,5.0,5.0,3.811271,0
1995-09-27,5.0,5.0,5.0,5.0,3.811271,0
1995-09-28,5.5,5.5,5.5,5.5,4.192398,21375
1995-09-29,5.5,5.5,5.5,5.5,4.192398,0
1995-10-02,5.5,5.5,5.5,5.5,4.192398,0
1995-10-03,5.5,5.5,5.5,5.5,4.192398,0
1995-10-04,5.5,5.5,5.5,5.5,4.192398,0
1995-10-05,4.75,4.75,4.75,4.75,3.620708,250
1995-10-06,4.75,4.75,4.75,4.75,3.620708,0
1995-10-09,5.0,5.0,4.5,4.5,3.430144,950
1995-10-10,4.5,4.5,4.5,4.5,3.430144,0
1995-10-11,4.5,4.5,4.5,4.5,3.430144,0
1995-10-12,4.5,4.5,4.5,4.5,3.430144,0
1995-10-13,5.0,5.0,5.0,5.0,3.811271,125
1995-10-16,5.0,5.0,5.0,5.0,3.811271,500
1995-10-17,5.0,5.0,5.0,5.0,3.811271,0
1995-10-18,5.0,5.0,5.0,5.0,3.811271,0
1995-10-19,4.75,4.75,4.75,4.75,3.620708,25
1995-10-20,4.25,4.25,4.25,4.25,3.239581,625
1995-10-23,4.25,4.25,4.25,4.25,3.239581,0
1995-10-24,4.25,4.25,4.25,4.25,3.239581,0
1995-10-25,4.75,4.75,4.75,4.75,3.620708,125
1995-10-26,4.5,4.5,4.5,4.5,3.430144,225
1995-10-27,4.5,4.5,4.5,4.5,3.430144,0
1995-10-30,4.25,4.25,4.25,4.25,3.239581,1000
1995-10-31,4.5,4.5,4.5,4.5,3.430144,1250
1995-11-01,4.5,4.5,4.25,4.25,3.239581,3250
1995-11-02,4.25,4.25,4.25,4.25,3.239581,0
1995-11-03,4.5,4.5,4.25,4.25,3.239581,5750
1995-11-06,4.25,4.25,4.25,4.25,3.239581,0
1995-11-07,4.25,4.25,4.25,4.25,3.239581,0
1995-11-08,4.25,4.25,4.25,4.25,3.239581,0
1995-11-09,4.25,4.25,4.25,4.25,3.239581,125
1995-11-10,4.5,4.5,4.5,4.5,3.430144,250
1995-11-13,4.0,4.0,4.0,4.0,3.049018,1250
1995-11-14,4.0,4.0,3.5,3.5,2.66789,7750
1995-11-15,3.75,3.75,3.75,3.75,2.858454,2375
1995-11-16,3.75,3.75,3.75,3.75,2.858454,0
1995-11-17,4.0,4.5,4.0,4.0,3.049018,25200
1995-11-20,4.0,4.0,4.0,4.0,3.049018,0
1995-11-21,3.75,4.0,3.75,3.75,2.858454,10450
1995-11-22,4.0,4.0,4.0,4.0,3.049018,7525
1995-11-24,4.0,4.0,4.0,4.0,3.049018,0
1995-11-27,3.5,3.5,3.5,3.5,2.66789,5000
1995-11-28,3.5,3.5,3.5,3.5,2.66789,0
1995-11-29,3.5,3.5,3.5,3.5,2.66789,0
1995-11-30,3.75,3.75,3.75,3.75,2.858454,250
1995-12-01,4.0,4.0,3.75,3.75,2.858454,175
1995-12-04,3.75,3.75,3.75,3.75,2.858454,0
1995-12-05,3.75,3.75,3.75,3.75,2.858454,0
1995-12-06,3.5,3.5,3.5,3.5,2.66789,106250
1995-12-07,3.5,3.5,3.5,3.5,2.66789,30000
1995-12-08,3.5,3.5,3.5,3.5,2.66789,0
1995-12-11,3.25,3.25,3.25,3.25,2.477326,250
1995-12-12,3.5,3.5,3.5,3.5,2.66789,500
1995-12-13,3.5,3.5,3.5,3.5,2.66789,0
1995-12-14,3.5,3.5,3.5,3.5,2.66789,1750
1995-12-15,3.75,3.75,3.75,3.75,2.858454,250
1995-12-18,3.75,3.75,3.75,3.75,2.858454,0
1995-12-19,3.75,3.75,3.75,3.75,2.858454,125
1995-12-20,3.75,3.75,3.75,3.75,2.858454,0
1995-12-21,3.75,3.75,3.75,3.75,2.858454,3550
1995-12-22,3.75,3.75,3.75,3.75,2.858454,0
1995-12-26,3.5,3.5,3.5,3.5,2.66789,500
1995-12-27,3.5,3.5,3.5,3.5,2.66789,0
1995-12-28,3.75,4.0,3.75,4.0,3.049018,9050
1995-12-29,4.25,4.25,4.25,4.25,3.239581,125
1996-01-02,4.25,4.5,4.25,4.5,3.430144,32625
1996-01-03,4.75,5.0,4.75,5.0,3.811271,37125
1996-01-04,5.25,6.0,5.25,6.0,4.573525,53200
1996-01-05,5.75,5.75,5.5,5.5,4.192398,9725
1996-01-08,5.5,5.5,5.5,5.5,4.192398,1875
1996-01-09,5.25,5.25,5.0,5.0,3.811271,152750
1996-01-10,5.25,5.25,5.25,5.25,4.001835,12575
1996-01-11,5.25,5.25,5.25,5.25,4.001835,0
1996-01-12,5.25,5.25,4.75,5.0,3.811271,950
1996-01-15,5.25,5.25,5.25,5.25,4.001835,250
1996-01-16,5.25,5.25,5.25,5.25,4.001835,0
