Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,3.1,4.14,3.0,3.96,3.96,7848000
2021-11-10,4.0,4.99,4.0,4.74,4.74,10580200
2021-11-11,4.6,5.12,4.5,4.86,4.86,3503400
2021-11-12,5.57,6.08,5.3,5.75,5.75,7398600
2021-11-15,5.35,5.59,5.1,5.42,5.42,3026800
2021-11-16,5.61,5.73,5.22,5.31,5.31,1969600
2021-11-17,5.37,5.42,4.775,4.84,4.84,3269700
2021-11-18,4.76,4.86,4.11,4.36,4.36,3238700
2021-11-19,4.39,4.605,4.25,4.36,4.36,1142600
2021-11-22,4.19,4.29,2.73,3.04,3.04,5272200
2021-11-23,3.05,3.12,2.73,2.99,2.99,1328200
2021-11-24,2.91,3.34,2.88,3.24,3.24,808600
2021-11-26,2.99,3.14,2.83,3.13,3.13,329100
2021-11-29,3.205,3.79,3.18,3.55,3.55,2785700
2021-11-30,3.46,3.57,3.23,3.52,3.52,890500
2021-12-01,3.7,4.32,3.65,3.9,3.9,2589700
2021-12-02,3.7,4.84,3.65,4.63,4.63,3912200
2021-12-03,4.5,4.9,4.42,4.72,4.72,2037800
2021-12-06,4.71,5.32,4.44,5.21,5.21,2346500
2021-12-07,5.83,6.27,5.28,5.54,5.54,23771500
2021-12-08,4.72,6.1,4.53,5.66,5.66,12669000
2021-12-09,5.45,5.66,5.15,5.31,5.31,2977000
2021-12-10,5.46,5.73,5.251,5.49,5.49,2621500
2021-12-13,5.531,6.07,5.42,5.75,5.75,2885900
2021-12-14,6.01,6.4,5.86,6.27,6.27,3579900
2021-12-15,6.12,6.187,5.64,5.94,5.94,1891600
2021-12-16,6.15,6.35,5.91,5.99,5.99,965100
2021-12-17,5.94,6.99,5.93,6.5,6.5,2719700
2021-12-20,6.32,6.38,5.81,6.05,6.05,1539000
2021-12-21,6.03,6.44,4.92,5.9,5.9,3747800
2021-12-22,5.86,6.44,5.71,6.37,6.37,1262100
2021-12-23,6.24,6.27,5.84,5.92,5.92,1484200
2021-12-27,5.68,5.79,5.25,5.31,5.31,1393100
