Date,Open,High,Low,Close,Adj Close,Volume
2000-09-25,20.78125,24.75,20.375,23.125,23.125,2082900
2000-09-26,23.875,23.875,21.25,23.5,23.5,875900
2000-09-27,23.78125,23.875,21.125,22.0,22.0,676500
2000-09-28,21.03125,23.875,20.125,22.5625,22.5625,366500
2000-09-29,23.125,25.5,20.875,23.5,23.5,625500
2000-10-02,23.03125,25.5,22.0,23.875,23.875,643500
2000-10-03,24.125,24.25,22.0,22.125,22.125,319100
2000-10-04,22.8125,22.875,21.5,22.125,22.125,446500
2000-10-05,21.5,22.0,19.875,20.0,20.0,239300
2000-10-06,20.1875,20.1875,17.0625,18.625,18.625,949900
2000-10-09,18.34375,18.8125,17.875,18.625,18.625,379700
2000-10-10,18.5,18.75,16.125,16.3125,16.3125,453700
2000-10-11,15.75,15.8125,13.125,13.5625,13.5625,964800
2000-10-12,13.875,15.25,13.125,13.25,13.25,644500
2000-10-13,13.71875,16.375,13.25,15.8125,15.8125,857200
2000-10-16,16.75,18.0,16.25,17.5,17.5,666800
2000-10-17,17.6875,17.875,16.625,16.6875,16.6875,609200
2000-10-18,16.4375,19.0,15.25,16.75,16.75,178900
2000-10-19,18.21875,18.5,16.0,17.5,17.5,181100
2000-10-20,17.5,20.0,17.25,19.6875,19.6875,342800
2000-10-23,19.265625,22.0,19.265625,21.6875,21.6875,288600
2000-10-24,21.9375,25.1875,21.9375,23.125,23.125,842300
2000-10-25,22.25,22.625,17.5,18.875,18.875,278100
2000-10-26,20.125,20.4375,16.125,17.625,17.625,199400
2000-10-27,19.234375,20.0,16.0,17.75,17.75,168400
2000-10-30,18.484375,18.875,14.75,17.125,17.125,200600
2000-10-31,17.875,20.0,17.875,20.0,20.0,310800
2000-11-01,19.71875,21.5,19.0,20.75,20.75,195400
2000-11-02,21.375,22.125,21.0625,21.875,21.875,378800
2000-11-03,21.625,22.25,21.25,22.0,22.0,168300
2000-11-06,22.65625,23.0,21.25,21.75,21.75,63800
2000-11-07,21.5625,21.5625,19.5,20.5,20.5,125000
2000-11-08,19.75,20.3125,19.375,20.0,20.0,183500
