Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,10.0,10.03,9.99,9.99,9.99,9116000
2022-01-19,10.01,10.02,10.005,10.01,10.01,489200
2022-01-20,10.02,10.03,10.0,10.03,10.03,469000
2022-01-21,10.04,10.04,10.01,10.03,10.03,342700
2022-01-24,10.03,10.03,10.02,10.02,10.02,7100
2022-01-25,10.02,10.042,10.02,10.02,10.02,54500
2022-01-26,10.03,10.05,10.02,10.02,10.02,6100
2022-01-27,10.03,10.09,10.01,10.01,10.01,49900
2022-01-28,10.045,10.05,10.04,10.05,10.05,1900
2022-01-31,10.05,10.065,10.03,10.03,10.03,51500
2022-02-01,10.03,10.07,10.03,10.045,10.045,256700
2022-02-02,10.042,10.06,10.04,10.04,10.04,26400
2022-02-03,10.04,10.04,10.04,10.04,10.04,1100
2022-02-04,10.05,10.05,10.04,10.04,10.04,3400
2022-02-07,10.04,10.054,10.04,10.05,10.05,2800
2022-02-08,10.05,10.05,10.042,10.042,10.042,1300
2022-02-09,10.04,10.04,10.03,10.03,10.03,63000
2022-02-10,10.04,10.04,10.04,10.04,10.04,1000
2022-02-11,10.06,10.06,10.03,10.03,10.03,11300
2022-02-14,10.038,10.04,10.02,10.035,10.035,1000
2022-02-15,10.05,10.051,10.01,10.02,10.02,9000
2022-02-16,10.04,10.04,10.01,10.01,10.01,5300
2022-02-17,10.03,10.03,10.029,10.03,10.03,400
2022-02-18,10.04,10.055,10.005,10.04,10.04,47500
2022-02-22,10.05,10.05,10.01,10.014,10.014,5900
2022-02-23,10.06,10.06,10.04,10.04,10.04,400
2022-02-24,10.05,10.051,10.01,10.01,10.01,600
2022-02-25,10.05,10.05,10.05,10.05,10.05,100
2022-02-28,10.05,10.05,10.044,10.044,10.044,400
2022-03-01,10.05,10.06,10.018,10.018,10.018,3700
2022-03-02,10.05,10.05,10.05,10.05,10.05,200
2022-03-03,10.05,10.06,10.035,10.035,10.035,900
2022-03-04,10.07,10.07,10.07,10.07,10.07,100
2022-03-07,10.07,10.07,10.059,10.059,10.059,200
2022-03-08,10.07,10.07,10.07,10.07,10.07,200
2022-03-09,10.07,10.08,10.045,10.05,10.05,43100
2022-03-10,11.0,11.05,10.02,10.02,10.02,1600
2022-03-11,10.08,10.08,10.08,10.08,10.08,200
2022-03-14,10.08,10.08,10.08,10.08,10.08,100
