Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,9.55,9.55,9.55,9.55,9.55,300
2021-04-05,9.94,9.946,9.65,9.9,9.9,2000
2021-04-06,9.91,10.0,9.91,9.93,9.93,12000
2021-04-07,9.82,9.94,9.75,9.82,9.82,250400
2021-04-08,9.8,9.97,9.8,9.97,9.97,8100
2021-04-09,9.97,9.97,9.97,9.97,9.97,0
2021-04-12,9.9,9.9,9.82,9.82,9.82,600
2021-04-13,9.91,9.99,9.85,9.99,9.99,4800
2021-04-14,10.03,10.03,9.79,9.79,9.79,5700
2021-04-15,9.84,9.84,9.81,9.84,9.84,6400
2021-04-16,9.85,9.863,9.85,9.863,9.863,3700
2021-04-19,9.819,9.87,9.81,9.81,9.81,3000
2021-04-20,9.81,9.84,9.81,9.84,9.84,151300
2021-04-21,9.84,9.9,9.8,9.9,9.9,16600
2021-04-22,9.83,9.9,9.805,9.805,9.805,31100
2021-04-23,9.81,9.9,9.81,9.9,9.9,54900
2021-04-26,9.81,9.82,9.76,9.81,9.81,109500
2021-04-27,9.828,9.852,9.81,9.83,9.83,41500
2021-04-28,9.81,9.825,9.8,9.8,9.8,136500
2021-04-29,9.8,9.825,9.8,9.825,9.825,5800
2021-04-30,9.849,9.89,9.79,9.88,9.88,17900
2021-05-03,9.9,9.9,9.76,9.85,9.85,3700
2021-05-04,9.81,9.87,9.75,9.77,9.77,503000
2021-05-05,9.77,9.81,9.71,9.81,9.81,201100
2021-05-06,9.75,9.75,9.75,9.75,9.75,500
2021-05-07,9.75,9.75,9.74,9.75,9.75,27300
2021-05-10,9.75,9.75,9.75,9.75,9.75,0
2021-05-11,9.75,9.76,9.75,9.75,9.75,7100
2021-05-12,9.76,9.76,9.73,9.74,9.74,2500
2021-05-13,9.74,9.77,9.71,9.73,9.73,10000
2021-05-14,9.75,9.75,9.73,9.73,9.73,4100
2021-05-17,9.75,9.81,9.71,9.71,9.71,122400
2021-05-18,9.71,9.71,9.71,9.71,9.71,0
2021-05-19,9.71,9.71,9.71,9.71,9.71,0
2021-05-20,9.75,9.75,9.75,9.75,9.75,300
2021-05-21,9.73,9.75,9.73,9.75,9.75,200
2021-05-24,9.75,9.75,9.73,9.73,9.73,1100
2021-05-25,9.72,9.79,9.69,9.78,9.78,47900
2021-05-26,9.8,9.8,9.73,9.74,9.74,8300
2021-05-27,9.74,9.74,9.74,9.74,9.74,0
2021-05-28,9.7,9.725,9.69,9.71,9.71,16500
2021-06-01,9.76,9.775,9.76,9.775,9.775,800
2021-06-02,9.78,9.78,9.78,9.78,9.78,900
2021-06-03,9.78,9.78,9.78,9.78,9.78,0
2021-06-04,9.79,9.8,9.78,9.79,9.79,251500
2021-06-07,9.79,9.81,9.79,9.805,9.805,86000
2021-06-08,9.82,9.82,9.81,9.81,9.81,52900
2021-06-09,9.78,9.8,9.78,9.79,9.79,18300
2021-06-10,9.8,9.8,9.79,9.79,9.79,7800
2021-06-11,9.81,9.81,9.72,9.775,9.775,10500
2021-06-14,9.79,9.79,9.735,9.75,9.75,4700
2021-06-15,9.75,9.75,9.75,9.75,9.75,0
2021-06-16,9.75,9.75,9.75,9.75,9.75,0
2021-06-17,9.75,9.76,9.71,9.71,9.71,5100
2021-06-18,9.72,9.75,9.72,9.75,9.75,700
2021-06-21,9.783,9.79,9.745,9.75,9.75,7200
2021-06-22,9.72,9.77,9.7,9.76,9.76,58800
2021-06-23,9.775,9.79,9.71,9.75,9.75,5600
2021-06-24,9.68,9.72,9.68,9.72,9.72,700
2021-06-25,9.77,9.77,9.76,9.76,9.76,1600
2021-06-28,9.72,9.77,9.72,9.77,9.77,1700
2021-06-29,9.71,9.71,9.71,9.71,9.71,9100
2021-06-30,9.71,9.72,9.7,9.7,9.7,51200
2021-07-01,9.69,9.73,9.69,9.7,9.7,9800
2021-07-02,9.71,9.71,9.71,9.71,9.71,2200
2021-07-06,9.67,9.71,9.67,9.71,9.71,1500
2021-07-07,9.67,9.71,9.67,9.7,9.7,14300
2021-07-08,9.7,9.74,9.7,9.74,9.74,97300
2021-07-09,9.73,9.76,9.73,9.76,9.76,6000
2021-07-12,9.79,9.8,9.77,9.8,9.8,3700
