Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,80.0,80.0,80.0,80.0,80.0,5
2021-07-09,120.0,140.0,92.199997,105.800003,105.800003,435365
2021-07-12,96.199997,129.0,92.0,129.0,129.0,732625
2021-07-13,119.0,128.0,88.0,91.199997,91.199997,715220
2021-07-14,84.400002,88.800003,76.199997,76.599998,76.599998,126050
2021-07-15,74.800003,78.400002,67.199997,70.800003,70.800003,47340
2021-07-16,70.199997,75.599998,64.400002,64.400002,64.400002,35470
2021-07-19,63.799999,65.400002,53.400002,59.200001,59.200001,59385
2021-07-20,59.200001,61.880001,56.799999,57.799999,57.799999,27375
2021-07-21,59.0,71.599998,59.0,66.199997,66.199997,77165
2021-07-22,64.400002,66.0,60.0,61.799999,61.799999,20855
2021-07-23,61.599998,69.0,60.799999,67.800003,67.800003,26270
2021-07-26,65.400002,72.599998,60.400002,62.400002,62.400002,75195
2021-07-27,62.0,63.400002,57.200001,58.18,58.18,21860
2021-07-28,58.400002,60.18,56.599998,59.599998,59.599998,9285
2021-07-29,59.0,60.599998,57.200001,58.0,58.0,11920
2021-07-30,57.200001,59.799999,57.0,58.200001,58.200001,8230
2021-08-02,59.200001,61.0,57.599998,58.599998,58.599998,7225
2021-08-03,59.0,65.0,58.0,63.400002,63.400002,16040
2021-08-04,62.200001,66.599998,61.02,65.599998,65.599998,19985
2021-08-05,63.400002,69.800003,62.799999,66.400002,66.400002,17040
2021-08-06,66.199997,67.599998,63.0,63.599998,63.599998,9275
2021-08-09,62.599998,67.800003,62.400002,65.199997,65.199997,7110
2021-08-10,64.800003,65.580002,62.799999,63.400002,63.400002,3760
2021-08-11,64.599998,65.0,60.400002,62.599998,62.599998,5265
2021-08-12,62.599998,62.599998,58.400002,60.799999,60.799999,5880
2021-08-13,60.200001,61.0,57.200001,57.400002,57.400002,5365
2021-08-16,57.0,57.400002,53.0,55.400002,55.400002,5555
2021-08-17,55.599998,58.599998,52.400002,55.599998,55.599998,7520
2021-08-18,55.0,58.200001,53.599998,56.799999,56.799999,4840
2021-08-19,55.400002,58.0,54.200001,54.599998,54.599998,5825
2021-08-20,54.400002,56.799999,53.400002,54.400002,54.400002,6815
2021-08-23,55.400002,58.0,53.299999,56.0,56.0,129575
2021-08-24,59.599998,60.0,56.0,59.400002,59.400002,57195
2021-08-25,56.599998,63.0,56.400002,59.799999,59.799999,20140
2021-08-26,60.0,61.799999,57.48,61.0,61.0,16575
2021-08-27,61.400002,62.799999,58.799999,62.0,62.0,6365
2021-08-30,61.0,61.599998,58.200001,59.400002,59.400002,7750
2021-08-31,58.799999,60.799999,58.799999,60.799999,60.799999,3280
2021-09-01,60.799999,62.240002,58.200001,59.0,59.0,9240
2021-09-02,59.400002,60.0,57.0,59.0,59.0,8825
2021-09-03,57.400002,58.700001,51.799999,54.0,54.0,13335
2021-09-07,55.0,58.0,54.799999,56.599998,56.599998,7965
2021-09-08,56.599998,57.400002,55.200001,56.799999,56.799999,4405
2021-09-09,56.599998,57.400002,55.400002,55.599998,55.599998,3760
2021-09-10,56.0,57.0,55.400002,56.0,56.0,2085
2021-09-13,56.200001,56.400002,53.799999,55.799999,55.799999,2930
2021-09-14,56.200001,57.0,50.400002,52.799999,52.799999,6635
2021-09-15,52.200001,53.799999,50.799999,51.599998,51.599998,6315
2021-09-16,52.200001,53.0,50.400002,50.599998,50.599998,3170
2021-09-17,51.200001,51.799999,48.599998,48.599998,48.599998,11800
2021-09-20,49.0,49.599998,47.0,47.400002,47.400002,12395
2021-09-21,48.799999,52.200001,47.400002,49.0,49.0,22070
2021-09-22,48.799999,54.0,48.200001,52.400002,52.400002,16580
2021-09-23,66.199997,105.580002,63.799999,80.400002,80.400002,11300055
2021-09-24,71.0,75.400002,67.599998,73.199997,73.199997,298950
2021-09-27,72.599998,78.800003,68.400002,71.199997,71.199997,132425
2021-09-28,71.0,73.0,60.0,63.799999,63.799999,75885
2021-09-29,63.380001,64.400002,55.599998,63.0,63.0,62710
2021-09-30,62.599998,62.599998,57.400002,59.799999,59.799999,23010
2021-10-01,60.0,60.0,57.200001,57.200001,57.200001,22980
2021-10-04,57.400002,58.200001,52.0,56.0,56.0,22735
2021-10-05,56.400002,57.200001,52.439999,53.400002,53.400002,12790
2021-10-06,53.0,55.599998,51.0,51.599998,51.599998,14170
2021-10-07,53.599998,60.0,52.200001,56.0,56.0,40055
2021-10-08,56.200001,57.400002,54.0,55.0,55.0,12160
2021-10-11,54.599998,60.0,53.0,59.0,59.0,26045
2021-10-12,59.0,59.400002,55.799999,57.799999,57.799999,11735
2021-10-13,57.200001,64.0,56.400002,64.0,64.0,33025
2021-10-14,64.400002,65.199997,63.400002,65.0,65.0,11385
2021-10-15,65.599998,65.599998,62.200001,64.400002,64.400002,8960
2021-10-18,63.599998,65.599998,62.400002,65.0,65.0,5630
2021-10-19,64.800003,65.0,62.599998,63.0,63.0,6565
2021-10-20,62.200001,64.400002,59.5,59.599998,59.599998,10930
2021-10-21,59.200001,59.599998,56.400002,56.799999,56.799999,7670
2021-10-22,57.400002,59.0,54.200001,55.0,55.0,9170
2021-10-25,56.0,56.0,54.0,55.0,55.0,5440
2021-10-26,55.0,57.599998,54.0,57.200001,57.200001,6865
2021-10-27,57.400002,57.400002,54.599998,55.400002,55.400002,7350
2021-10-28,54.599998,59.0,53.040001,59.0,59.0,8645
2021-10-29,58.0,58.599998,55.400002,56.599998,56.599998,3485
2021-11-01,55.799999,62.959999,54.799999,61.599998,61.599998,12630
2021-11-02,61.400002,65.199997,57.599998,65.0,65.0,10575
2021-11-03,64.400002,69.199997,62.599998,68.199997,68.199997,14080
2021-11-04,67.800003,68.400002,65.400002,67.199997,67.199997,4915
2021-11-05,67.0,68.0,65.0,65.599998,65.599998,5810
2021-11-08,65.800003,67.599998,63.200001,65.400002,65.400002,5690
2021-11-09,63.799999,63.799999,60.200001,60.200001,60.200001,3615
2021-11-10,59.0,61.400002,58.200001,59.0,59.0,2890
2021-11-11,59.200001,61.0,56.200001,58.599998,58.599998,3300
2021-11-12,58.200001,60.0,57.799999,59.0,59.0,1335
2021-11-15,59.0,60.0,58.48,59.599998,59.599998,2320
2021-11-16,59.400002,62.599998,56.200001,58.200001,58.200001,8850
2021-11-17,57.5,57.880001,56.200001,57.599998,57.599998,1600
2021-11-18,56.759998,56.759998,52.200001,54.0,54.0,4740
2021-11-19,54.0,55.0,54.0,54.599998,54.599998,1315
2021-11-22,53.799999,56.299999,52.84,54.200001,54.200001,2205
2021-11-23,53.599998,55.599998,50.200001,53.0,53.0,12810
2021-11-24,52.400002,55.400002,52.0,55.0,55.0,1875
2021-11-26,52.799999,55.0,52.400002,53.799999,53.799999,2120
2021-11-29,59.200001,59.740002,54.200001,58.400002,58.400002,4410
2021-11-30,59.200001,59.200001,52.799999,55.0,55.0,2455
2021-12-01,55.200001,62.0,52.799999,54.0,54.0,15450
2021-12-02,53.099998,54.799999,52.200001,54.599998,54.599998,1740
2021-12-03,56.0,56.0,51.200001,54.0,54.0,3205
2021-12-06,53.799999,53.799999,50.400002,52.599998,52.599998,3115
2021-12-07,52.799999,56.599998,51.0,56.400002,56.400002,1490
2021-12-08,55.400002,58.0,55.400002,57.0,57.0,900
2021-12-09,56.799999,57.599998,53.599998,54.200001,54.200001,855
2021-12-10,54.200001,55.400002,52.200001,53.799999,53.799999,2225
2021-12-13,52.0,53.400002,50.200001,51.0,51.0,7155
2021-12-14,50.200001,52.0,49.599998,50.200001,50.200001,3555
2021-12-15,49.799999,51.400002,48.0,49.200001,49.200001,3035
2021-12-16,49.200001,53.200001,49.200001,52.0,52.0,2595
2021-12-17,52.0,54.32,49.619999,51.599998,51.599998,1545
2021-12-20,50.5,51.799999,49.0,49.599998,49.599998,1460
2021-12-21,50.200001,50.66,48.799999,49.799999,49.799999,2520
2021-12-22,49.799999,52.599998,49.799999,51.799999,51.799999,1820
2021-12-23,51.400002,54.0,49.599998,53.599998,53.599998,3015
2021-12-27,53.599998,53.599998,50.200001,51.299999,51.299999,2190
2021-12-28,51.799999,52.0,49.0,50.0,50.0,3700
2021-12-29,49.799999,50.799999,48.0,48.400002,48.400002,4480
2021-12-30,48.599998,50.099998,47.799999,48.599998,48.599998,6085
2021-12-31,47.799999,51.0,47.799999,50.799999,50.799999,3430
2022-01-03,50.799999,55.0,49.400002,54.599998,54.599998,2155
2022-01-04,55.599998,62.599998,54.200001,60.200001,60.200001,12340
2022-01-05,58.200001,59.299999,49.799999,50.200001,50.200001,5780
2022-01-06,54.799999,54.799999,49.599998,51.0,51.0,2250
2022-01-07,52.400002,52.400002,48.200001,48.599998,48.599998,3065
2022-01-10,48.400002,49.200001,48.0,48.799999,48.799999,1690
2022-01-11,49.599998,50.599998,49.080002,50.200001,50.200001,1690
2022-01-12,54.0,54.0,49.400002,50.799999,50.799999,2790
2022-01-13,50.799999,50.799999,47.799999,48.200001,48.200001,2210
2022-01-14,49.599998,50.599998,47.400002,50.200001,50.200001,2230
2022-01-18,47.400002,48.200001,44.0,47.400002,47.400002,2805
2022-01-19,47.0,48.220001,45.0,45.400002,45.400002,1055
2022-01-20,45.599998,46.0,40.599998,41.799999,41.799999,4255
2022-01-21,42.0,42.0,39.040001,40.599998,40.599998,2135
2022-01-24,40.200001,46.0,39.599998,46.0,46.0,2280
2022-01-25,43.599998,46.0,43.0,45.400002,45.400002,425
2022-01-26,44.799999,45.799999,42.200001,44.200001,44.200001,545
2022-01-27,44.200001,44.200001,41.400002,41.400002,41.400002,480
2022-01-28,40.400002,45.599998,39.0,45.400002,45.400002,3505
2022-01-31,47.0,47.0,43.200001,46.0,46.0,995
2022-02-01,46.400002,49.0,44.0,49.0,49.0,860
2022-02-02,49.0,51.799999,46.599998,51.799999,51.799999,1660
2022-02-03,50.0,51.599998,47.900002,47.900002,47.900002,1175
2022-02-04,47.799999,50.0,47.799999,48.400002,48.400002,310
2022-02-07,48.200001,51.200001,47.599998,48.200001,48.200001,710
2022-02-08,48.779999,50.799999,48.599998,50.799999,50.799999,305
2022-02-09,48.82,49.400002,45.0,48.400002,48.400002,2005
2022-02-10,50.599998,50.599998,47.0,47.0,47.0,1525
2022-02-11,48.599998,48.799999,41.0,41.5,41.5,2650
2022-02-14,40.599998,43.400002,40.599998,41.799999,41.799999,510
2022-02-15,41.720001,44.0,41.720001,42.799999,42.799999,735
2022-02-16,45.0,45.0,42.799999,44.400002,44.400002,230
2022-02-17,51.400002,51.400002,43.799999,45.799999,45.799999,820
2022-02-18,45.400002,45.799999,41.200001,44.0,44.0,1290
2022-02-22,42.599998,45.799999,42.599998,45.200001,45.200001,1345
2022-02-23,46.0,46.0,41.299999,41.400002,41.400002,895
2022-02-24,40.599998,42.200001,40.0,40.799999,40.799999,1280
2022-02-25,45.0,45.0,43.599998,43.599998,43.599998,405
2022-02-28,45.0,45.0,41.599998,42.599998,42.599998,740
2022-03-01,43.200001,45.700001,41.040001,42.400002,42.400002,320
2022-03-02,43.799999,43.799999,41.220001,42.200001,42.200001,250
2022-03-03,44.599998,44.599998,41.799999,44.599998,44.599998,140
2022-03-04,42.200001,45.0,42.200001,44.799999,44.799999,785
2022-03-07,45.0,45.200001,42.0,42.799999,42.799999,990
2022-03-08,40.400002,44.0,40.400002,44.0,44.0,1400
2022-03-09,45.799999,46.0,40.799999,46.0,46.0,720
2022-03-10,45.099998,46.0,44.200001,46.0,46.0,300
2022-03-11,46.0,47.599998,43.939999,47.599998,47.599998,1200
