Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,27.0,27.74,26.01,27.5,27.5,7601900
2021-11-01,28.0,29.690001,26.110001,29.219999,29.219999,2189400
2021-11-02,29.219999,29.59,27.705,29.459999,29.459999,1371000
2021-11-03,29.59,29.99,27.129999,28.6,28.6,1338900
2021-11-04,28.98,29.030001,27.219999,27.379999,27.379999,2029700
2021-11-05,27.379999,27.799999,25.242001,26.68,26.68,864100
2021-11-08,27.200001,27.629999,26.17,27.110001,27.110001,629300
2021-11-09,27.48,28.0,26.879999,27.51,27.51,418500
2021-11-10,25.799999,27.09,25.799999,25.99,25.99,688300
2021-11-11,26.32,28.280001,25.51,27.23,27.23,510400
2021-11-12,27.32,27.700001,26.819,27.639999,27.639999,214500
2021-11-15,27.91,29.059999,27.469999,27.639999,27.639999,684000
2021-11-16,28.049999,30.0,27.75,29.68,29.68,617800
2021-11-17,29.299999,31.09,29.08,30.91,30.91,492100
2021-11-18,31.309999,31.780001,29.43,31.1,31.1,339900
2021-11-19,31.1,32.619999,30.809999,30.969999,30.969999,249700
2021-11-22,30.959999,31.610001,28.57,29.290001,29.290001,247200
2021-11-23,28.6,29.83,26.530001,27.41,27.41,486900
2021-11-24,27.34,27.969999,26.485001,26.85,26.85,289200
2021-11-26,26.49,26.91,25.280001,26.200001,26.200001,313900
2021-11-29,26.6,27.6,26.200001,27.18,27.18,370200
2021-11-30,27.209999,27.66,26.91,27.49,27.49,292000
2021-12-01,27.85,28.5,23.530001,23.709999,23.709999,726800
2021-12-02,23.860001,24.870001,20.309999,22.59,22.59,1016900
2021-12-03,22.6,23.030001,20.73,21.68,21.68,487200
2021-12-06,21.84,22.18,20.01,20.530001,20.530001,583800
2021-12-07,21.040001,22.41,20.41,21.77,21.77,854200
2021-12-08,22.030001,22.299999,20.27,21.07,21.07,846000
2021-12-09,21.84,22.0,19.610001,20.35,20.35,696500
2021-12-10,20.75,21.549999,20.52,21.110001,21.110001,391600
2021-12-13,20.969999,22.17,20.24,20.5,20.5,424000
2021-12-14,20.08,20.684999,18.790001,19.6,19.6,364600
2021-12-15,19.610001,20.530001,19.530001,19.959999,19.959999,368600
2021-12-16,20.209999,20.73,18.275,18.58,18.58,460500
2021-12-17,18.32,18.709999,16.85,17.51,17.51,3305100
2021-12-20,17.129999,17.43,16.209999,17.09,17.09,418000
2021-12-21,17.15,17.41,16.559999,17.200001,17.200001,293000
2021-12-22,17.110001,18.18,16.700001,18.18,18.18,292800
2021-12-23,18.219999,19.870001,18.0,19.49,19.49,254700
2021-12-27,19.67,19.9,18.190001,18.82,18.82,315200
2021-12-28,18.9,19.0,17.879999,18.120001,18.120001,328900
2021-12-29,18.120001,18.540001,17.6,18.4,18.4,258700
2021-12-30,18.32,18.99,18.16,18.309999,18.309999,251300
2021-12-31,18.4,19.68,18.200001,19.540001,19.540001,255300
2022-01-03,19.450001,19.780001,18.514999,18.98,18.98,555700
