Date,Open,High,Low,Close,Adj Close,Volume
2020-06-09,40.25,48.880001,38.459999,47.900002,47.900002,16366500
2020-06-10,51.450001,59.0,45.0,49.990002,49.990002,13401100
2020-06-11,43.450001,47.419998,41.560001,45.599998,45.599998,3337200
2020-06-12,47.25,47.549999,41.619999,43.029999,43.029999,3054900
2020-06-15,40.5,43.5,40.0,43.0,43.0,3601500
2020-06-16,43.25,44.09,41.5,42.099998,42.099998,1392800
2020-06-17,42.060001,45.700001,41.599998,43.360001,43.360001,1246900
2020-06-18,42.529999,47.259998,42.529999,45.560001,45.560001,1284400
2020-06-19,47.5,48.849998,46.110001,47.509998,47.509998,1901500
2020-06-22,48.099998,52.209999,47.243999,50.57,50.57,1529600
2020-06-23,51.0,52.299999,47.583,50.490002,50.490002,1591100
2020-06-24,49.09,50.82,47.049999,47.689999,47.689999,913500
2020-06-25,47.099998,57.889999,46.200001,57.540001,57.540001,2059100
2020-06-26,55.639999,58.98,53.049999,54.099998,54.099998,1934800
2020-06-29,54.900002,56.0,50.599998,55.009998,55.009998,1010800
2020-06-30,54.049999,55.549999,50.619999,52.139999,52.139999,943900
2020-07-01,52.450001,56.439999,52.074001,54.189999,54.189999,1202400
2020-07-02,55.27,56.990002,54.16,54.299999,54.299999,582900
2020-07-06,56.490002,60.91,55.709999,55.84,55.84,1781900
2020-07-07,55.27,55.830002,51.450001,52.119999,52.119999,945600
2020-07-08,53.169998,53.555,50.0,50.240002,50.240002,1259800
2020-07-09,50.599998,51.939999,48.0,48.950001,48.950001,823900
2020-07-10,48.98,50.455002,48.5,49.259998,49.259998,390800
2020-07-13,50.299999,52.0,44.709999,44.939999,44.939999,1568300
2020-07-14,44.450001,46.16,43.215,44.189999,44.189999,889600
2020-07-15,45.330002,47.759998,44.41,46.689999,46.689999,708300
2020-07-16,46.110001,46.568001,43.880001,44.040001,44.040001,940100
2020-07-17,44.799999,46.869999,44.715,46.700001,46.700001,598200
2020-07-20,46.59,50.110001,46.0,49.669998,49.669998,823800
2020-07-21,49.790001,50.689999,47.310001,48.709999,48.709999,1006100
2020-07-22,48.599998,49.875,48.494999,49.02,49.02,347400
2020-07-23,49.5,51.349998,48.799,50.220001,50.220001,559200
2020-07-24,48.099998,50.25,47.470001,49.0,49.0,562100
2020-07-27,49.25,50.990002,48.669998,50.650002,50.650002,407500
2020-07-28,50.5,52.98,50.029999,50.279999,50.279999,863700
2020-07-29,50.779999,55.57,50.599998,55.0,55.0,966700
2020-07-30,54.43,57.290001,54.040001,56.220001,56.220001,796600
2020-07-31,56.91,60.0,55.880001,59.189999,59.189999,1038500
2020-08-03,59.004002,62.5,58.689999,59.419998,59.419998,939400
2020-08-04,58.860001,60.82,58.0,59.41,59.41,466500
2020-08-05,59.700001,64.139999,59.0,63.349998,63.349998,1206400
2020-08-06,62.389999,72.68,61.5,67.510002,67.510002,2076800
2020-08-07,69.949997,71.0,62.740002,63.970001,63.970001,1294900
2020-08-10,65.540001,66.900002,63.009998,64.0,64.0,795700
2020-08-11,63.98,67.029999,63.52,64.760002,64.760002,905300
2020-08-12,65.830002,71.089996,64.739998,69.010002,69.010002,1963900
2020-08-13,55.23,61.299999,53.150002,56.369999,56.369999,6812300
2020-08-14,55.5,60.0,55.029999,58.450001,58.450001,2507700
2020-08-17,59.43,59.490002,57.092999,58.32,58.32,759300
2020-08-18,58.580002,60.389999,58.0,59.880001,59.880001,672000
2020-08-19,60.330002,62.439999,58.599998,60.73,60.73,1041000
2020-08-20,60.400002,61.0,59.279999,59.860001,59.860001,461200
2020-08-21,60.0,63.32,59.131001,62.130001,62.130001,789500
2020-08-24,62.779999,66.169998,62.32,65.720001,65.720001,974700
2020-08-25,66.040001,66.480003,64.260002,65.360001,65.360001,582900
2020-08-26,67.050003,68.0,65.139999,65.660004,65.660004,841400
2020-08-27,65.940002,67.0,64.900002,66.139999,66.139999,505500
2020-08-28,66.68,67.485001,64.459999,65.010002,65.010002,605300
2020-08-31,65.279999,69.050003,64.529999,68.629997,68.629997,675000
2020-09-01,69.510002,75.489998,68.660004,73.870003,73.870003,1012300
2020-09-02,74.0,74.400002,67.0,68.870003,68.870003,1303100
2020-09-03,68.18,68.32,59.82,60.48,60.48,1207500
2020-09-04,60.709999,61.77,55.005001,58.040001,58.040001,1264700
